District,Poll Number,Poll Name,Charles Boylan,Ujjal Dosanjh,Joe Sixpack Horrocks,Bev Meslo,Doug Perry,H. Sandhu,Victor Soo Chan,Stephen Von Sychowski,Frank Wagner,Rejected Ballots,Total Vote,Electors
Vancouver South/Vancouver-Sud,1,Vancouver,0,151,0,11,4,0,85,1,1,1,254,515
Vancouver South/Vancouver-Sud,2,Vancouver,1,127,0,7,7,0,64,0,0,1,207,523
Vancouver South/Vancouver-Sud,3,Vancouver,0,138,0,23,18,0,81,0,2,5,267,543
Vancouver South/Vancouver-Sud,4,Vancouver,1,171,0,14,7,1,90,0,1,4,289,545
Vancouver South/Vancouver-Sud,5,Vancouver,1,134,1,45,10,0,85,3,2,1,282,547
Vancouver South/Vancouver-Sud,6,Vancouver,0,64,0,19,5,0,64,0,1,1,154,307
Vancouver South/Vancouver-Sud,7,Vancouver,2,173,0,25,10,0,96,0,1,4,311,595
Vancouver South/Vancouver-Sud,8,Vancouver,0,123,1,15,14,0,67,2,0,0,222,406
Vancouver South/Vancouver-Sud,9,Vancouver,0,117,1,19,0,0,64,1,1,1,204,448
Vancouver South/Vancouver-Sud,10,Vancouver,1,109,0,14,12,1,94,0,0,0,231,579
Vancouver South/Vancouver-Sud,11,Vancouver,1,80,0,19,7,0,74,0,0,1,182,363
Vancouver South/Vancouver-Sud,12,Vancouver,0,123,0,28,10,0,80,0,8,2,251,477
Vancouver South/Vancouver-Sud,13,Vancouver,0,114,0,13,4,0,61,0,1,1,194,398
Vancouver South/Vancouver-Sud,14,Vancouver,1,132,0,33,9,0,85,0,1,0,261,561
Vancouver South/Vancouver-Sud,15,Vancouver,1,154,0,25,15,0,58,0,3,4,260,484
Vancouver South/Vancouver-Sud,16,Vancouver,1,196,0,44,11,0,77,0,4,5,338,653
Vancouver South/Vancouver-Sud,17,Vancouver,0,103,0,35,17,0,75,1,2,2,235,477
Vancouver South/Vancouver-Sud,18,Vancouver,0,128,1,43,14,1,85,0,0,0,272,516
Vancouver South/Vancouver-Sud,19,Vancouver,0,79,0,44,16,0,57,2,0,0,198,382
Vancouver South/Vancouver-Sud,20,Vancouver,0,74,0,43,14,0,61,0,0,5,197,375
Vancouver South/Vancouver-Sud,21,Vancouver,0,102,0,29,13,0,64,0,2,2,212,393
Vancouver South/Vancouver-Sud,22,Vancouver,0,131,0,41,15,0,96,1,3,0,287,500
Vancouver South/Vancouver-Sud,23,Vancouver,1,107,0,20,6,1,89,0,3,1,228,493
Vancouver South/Vancouver-Sud,24,Vancouver,0,144,0,24,5,0,57,0,5,3,238,453
Vancouver South/Vancouver-Sud,25,Vancouver,0,72,1,28,2,0,53,0,0,2,158,287
Vancouver South/Vancouver-Sud,26,Vancouver,0,70,1,86,23,0,61,2,5,3,251,484
Vancouver South/Vancouver-Sud,27,Vancouver,0,38,0,22,4,0,28,0,0,3,95,223
Vancouver South/Vancouver-Sud,28,Vancouver,1,57,0,37,6,0,46,0,3,1,151,393
Vancouver South/Vancouver-Sud,29,Vancouver,1,78,0,26,12,0,36,1,0,3,157,352
Vancouver South/Vancouver-Sud,30,Vancouver,0,49,0,55,4,0,20,0,1,2,131,262
Vancouver South/Vancouver-Sud,31,Vancouver,0,85,0,72,21,1,42,0,2,3,226,385
Vancouver South/Vancouver-Sud,32,Vancouver,1,78,0,86,16,0,59,0,3,1,244,424
Vancouver South/Vancouver-Sud,33,Vancouver,0,77,0,61,15,0,36,0,2,2,193,394
Vancouver South/Vancouver-Sud,34,Vancouver,0,73,0,63,11,1,46,1,0,1,196,345
