District,Poll Number,Poll Name,Stockwell Day,Lelannd Haver,Harry Naegel,Jack William Peach,Joyce Procure,Vanessa Sutton,Rejected Ballots,Total Vote,Electors
Okanagan--Coquihalla/Okanagan--Coquihalla,1,Logan Lake,136,0,7,4,69,64,1,281,408
Okanagan--Coquihalla/Okanagan--Coquihalla,2,Logan Lake,127,2,7,6,84,86,0,312,481
Okanagan--Coquihalla/Okanagan--Coquihalla,3,Logan Lake,137,1,9,2,83,74,0,306,469
Okanagan--Coquihalla/Okanagan--Coquihalla,4,Logan Lake,115,1,9,5,62,54,0,246,375
Okanagan--Coquihalla/Okanagan--Coquihalla,5,Nicola Forest,Merged with No. 7,,,,,,,,167
Okanagan--Coquihalla/Okanagan--Coquihalla,6,Lower Nicola,96,2,6,6,51,24,0,185,287
Okanagan--Coquihalla/Okanagan--Coquihalla,7,Lower Nicola,105,5,11,3,48,38,0,210,218
Okanagan--Coquihalla/Okanagan--Coquihalla,8A,Lower Nicola,56,0,6,3,42,22,0,129,304
Okanagan--Coquihalla/Okanagan--Coquihalla,8B,Lower Nicola,92,0,2,2,28,11,0,135,318
Okanagan--Coquihalla/Okanagan--Coquihalla,9,Coldwater 1,Void,,,,,,,,
Okanagan--Coquihalla/Okanagan--Coquihalla,10,Aspen Grove,Void,,,,,,,,
Okanagan--Coquihalla/Okanagan--Coquihalla,11,Merritt,130,1,4,7,43,32,0,217,502
Okanagan--Coquihalla/Okanagan--Coquihalla,12,Lower Nicola,65,1,3,3,50,32,0,154,395
Okanagan--Coquihalla/Okanagan--Coquihalla,13,Quilchena,41,2,4,3,37,34,0,121,313
Okanagan--Coquihalla/Okanagan--Coquihalla,14,Douglas Lake,Void,,,,,,,,
Okanagan--Coquihalla/Okanagan--Coquihalla,15,Merritt,100,0,4,1,36,36,1,178,330
Okanagan--Coquihalla/Okanagan--Coquihalla,16A,Merritt,76,0,3,3,30,43,0,155,282
Okanagan--Coquihalla/Okanagan--Coquihalla,16B,Merritt,70,0,9,2,29,57,2,169,287
Okanagan--Coquihalla/Okanagan--Coquihalla,17,Merritt,121,0,9,1,40,62,0,233,422
Okanagan--Coquihalla/Okanagan--Coquihalla,18,Merritt,123,2,8,2,72,50,2,259,534
Okanagan--Coquihalla/Okanagan--Coquihalla,19,Merritt,91,0,10,5,54,59,0,219,503
Okanagan--Coquihalla/Okanagan--Coquihalla,20,Merritt,80,1,7,2,38,35,3,166,351
Okanagan--Coquihalla/Okanagan--Coquihalla,21,Merritt,85,1,2,4,68,26,0,186,433
Okanagan--Coquihalla/Okanagan--Coquihalla,22,Merritt,75,3,7,2,49,26,0,162,406
Okanagan--Coquihalla/Okanagan--Coquihalla,23,Merritt,59,0,4,2,38,30,0,133,328
Okanagan--Coquihalla/Okanagan--Coquihalla,24,Merritt,112,1,8,4,55,77,2,259,502
Okanagan--Coquihalla/Okanagan--Coquihalla,25,Merritt,82,1,5,2,47,52,1,190,454
Okanagan--Coquihalla/Okanagan--Coquihalla,26,Fintry,87,1,10,1,41,53,1,194,344
Okanagan--Coquihalla/Okanagan--Coquihalla,27,Fintry,114,1,16,5,48,45,0,229,439
Okanagan--Coquihalla/Okanagan--Coquihalla,28A,Wilson Landing,95,0,11,4,19,38,1,168,330
Okanagan--Coquihalla/Okanagan--Coquihalla,28B,Wilson Landing,63,1,16,1,29,40,0,150,316
Okanagan--Coquihalla/Okanagan--Coquihalla,29,Glenrosa,80,1,5,3,17,18,0,124,219
Okanagan--Coquihalla/Okanagan--Coquihalla,30A,Glenrosa,142,4,12,1,31,56,0,246,476
Okanagan--Coquihalla/Okanagan--Coquihalla,30B,Glenrosa,138,0,16,6,44,53,0,257,483
Okanagan--Coquihalla/Okanagan--Coquihalla,31A,Peachland,110,0,12,3,25,48,1,199,323
Okanagan--Coquihalla/Okanagan--Coquihalla,31B,Peachland,91,1,5,1,36,46,1,181,303
Okanagan--Coquihalla/Okanagan--Coquihalla,32,Peachland,163,0,15,2,44,77,1,302,485
Okanagan--Coquihalla/Okanagan--Coquihalla,33,Peachland,119,2,16,3,40,54,1,235,387
Okanagan--Coquihalla/Okanagan--Coquihalla,34A,Peachland,108,1,10,3,13,40,0,175,314
Okanagan--Coquihalla/Okanagan--Coquihalla,34B,Peachland,95,0,5,2,27,37,1,167,281
Okanagan--Coquihalla/Okanagan--Coquihalla,35,Peachland,138,4,23,4,52,66,1,288,428
Okanagan--Coquihalla/Okanagan--Coquihalla,36,Peachland,134,0,14,6,50,34,2,240,450
Okanagan--Coquihalla/Okanagan--Coquihalla,37,Peachland,146,2,14,4,50,66,1,283,491
Okanagan--Coquihalla/Okanagan--Coquihalla,38,Peachland,146,2,11,2,49,62,1,273,275
Okanagan--Coquihalla/Okanagan--Coquihalla,39,Peachland,Merged with No. 38,,,,,,,,175
Okanagan--Coquihalla/Okanagan--Coquihalla,40,Glenrosa,97,4,21,3,50,59,0,234,449
Okanagan--Coquihalla/Okanagan--Coquihalla,41,Glenrosa,120,2,20,2,56,63,0,263,479
Okanagan--Coquihalla/Okanagan--Coquihalla,42,Glenrosa,101,4,16,4,42,41,0,208,394
Okanagan--Coquihalla/Okanagan--Coquihalla,43,Glenrosa,92,1,13,1,32,54,0,193,368
Okanagan--Coquihalla/Okanagan--Coquihalla,44,Glenrosa,92,1,12,2,39,38,0,184,412
Okanagan--Coquihalla/Okanagan--Coquihalla,45,Glenrosa,113,0,9,2,46,45,0,215,380
Okanagan--Coquihalla/Okanagan--Coquihalla,46,Glenrosa,99,1,10,2,48,41,0,201,377
Okanagan--Coquihalla/Okanagan--Coquihalla,47,Westbank,93,7,8,1,40,44,2,195,387
Okanagan--Coquihalla/Okanagan--Coquihalla,48A,Westbank,126,2,9,1,38,56,0,232,457
Okanagan--Coquihalla/Okanagan--Coquihalla,48B,Westbank,145,1,5,2,34,43,0,230,372
Okanagan--Coquihalla/Okanagan--Coquihalla,48C,Westbank,111,1,11,1,27,49,1,201,352
Okanagan--Coquihalla/Okanagan--Coquihalla,49,Westbank,128,2,17,4,50,39,2,242,494
Okanagan--Coquihalla/Okanagan--Coquihalla,50,Westbank,91,1,10,2,38,30,0,172,334
Okanagan--Coquihalla/Okanagan--Coquihalla,51A,Tsinstikeptum 9,128,1,13,1,32,62,0,237,445
Okanagan--Coquihalla/Okanagan--Coquihalla,51B,Tsinstikeptum 9,143,0,2,1,49,67,0,262,453
Okanagan--Coquihalla/Okanagan--Coquihalla,52A,Tsinstikeptum 9,63,1,7,1,30,34,0,136,314
Okanagan--Coquihalla/Okanagan--Coquihalla,52B,Tsinstikeptum 9,61,4,3,1,22,42,0,133,259
Okanagan--Coquihalla/Okanagan--Coquihalla,53,Lakeview Heights,111,4,16,2,30,69,0,232,424
Okanagan--Coquihalla/Okanagan--Coquihalla,54,Lakeview Heights,131,3,16,3,53,81,0,287,513
Okanagan--Coquihalla/Okanagan--Coquihalla,55,Lakeview Heights,149,0,13,1,22,75,0,260,433
Okanagan--Coquihalla/Okanagan--Coquihalla,56,Lakeview Heights,Merged with No. 79,,,,,,,,109
Okanagan--Coquihalla/Okanagan--Coquihalla,57,Lakeview Heights,138,0,3,3,19,63,2,228,407
Okanagan--Coquihalla/Okanagan--Coquihalla,58,Lakeview Heights,150,1,9,3,46,53,1,263,448
Okanagan--Coquihalla/Okanagan--Coquihalla,59,Tsinstikeptum 9,Void,,,,,,,,
Okanagan--Coquihalla/Okanagan--Coquihalla,60A,Westside,107,2,21,3,27,45,1,206,332
Okanagan--Coquihalla/Okanagan--Coquihalla,60B,Westside,123,1,15,6,45,70,0,260,306
Okanagan--Coquihalla/Okanagan--Coquihalla,61A,Westside,109,0,11,0,31,56,2,209,374
Okanagan--Coquihalla/Okanagan--Coquihalla,61B,Westside,109,1,14,1,23,42,0,190,374
Okanagan--Coquihalla/Okanagan--Coquihalla,62,Westside,117,2,13,6,36,77,0,251,460
Okanagan--Coquihalla/Okanagan--Coquihalla,63,Westside,107,3,19,2,47,72,0,250,454
Okanagan--Coquihalla/Okanagan--Coquihalla,64,Tsinstikeptum 10,Merged with No. 60B,,,,,,,,191
Okanagan--Coquihalla/Okanagan--Coquihalla,65,Tsinstikeptum 10,96,1,8,5,32,71,1,214,366
Okanagan--Coquihalla/Okanagan--Coquihalla,66A,Westbank,109,2,5,2,32,54,0,204,325
Okanagan--Coquihalla/Okanagan--Coquihalla,66B,Westbank,100,0,8,3,20,50,0,181,297
Okanagan--Coquihalla/Okanagan--Coquihalla,67A,Westbank,117,0,7,1,31,46,3,205,368
Okanagan--Coquihalla/Okanagan--Coquihalla,67B,Westbank,104,2,14,3,24,53,1,201,398
Okanagan--Coquihalla/Okanagan--Coquihalla,68,Tsinstikeptum 9,47,3,15,2,28,39,0,134,303
Okanagan--Coquihalla/Okanagan--Coquihalla,69,Westbank,99,3,12,2,25,39,0,180,332
Okanagan--Coquihalla/Okanagan--Coquihalla,70,Tsinstikeptum 9,58,1,1,0,27,33,0,120,200
Okanagan--Coquihalla/Okanagan--Coquihalla,71,Tsinstikeptum 9,61,2,10,5,58,28,0,164,434
Okanagan--Coquihalla/Okanagan--Coquihalla,72A,Lakeview Heights,132,0,10,3,24,68,0,237,364
Okanagan--Coquihalla/Okanagan--Coquihalla,72B,Lakeview Heights,96,0,9,0,16,44,0,165,298
Okanagan--Coquihalla/Okanagan--Coquihalla,73,Tsinstikeptum 9,66,2,9,2,44,21,2,146,301
Okanagan--Coquihalla/Okanagan--Coquihalla,74,Tsinstikeptum 9,36,2,6,2,24,10,0,80,214
Okanagan--Coquihalla/Okanagan--Coquihalla,75A,Tsinstikeptum 9,88,3,10,3,34,34,0,172,405
Okanagan--Coquihalla/Okanagan--Coquihalla,75B,Tsinstikeptum 9,97,0,8,3,34,33,0,175,402
Okanagan--Coquihalla/Okanagan--Coquihalla,76,Lakeview Heights,103,1,14,2,40,45,1,206,479
Okanagan--Coquihalla/Okanagan--Coquihalla,77,Lakeview Heights,124,0,20,4,32,87,0,267,456
Okanagan--Coquihalla/Okanagan--Coquihalla,78,Lakeview Heights,152,1,10,2,14,80,0,259,474
Okanagan--Coquihalla/Okanagan--Coquihalla,79,Lakeview Heights,102,0,7,5,15,62,0,191,255
Okanagan--Coquihalla/Okanagan--Coquihalla,80,Lakeview Heights,131,1,20,3,30,56,1,242,430
Okanagan--Coquihalla/Okanagan--Coquihalla,81,Lakeview Heights,113,0,25,3,46,70,1,258,433
Okanagan--Coquihalla/Okanagan--Coquihalla,82,Lakeview Heights,109,1,25,4,31,97,0,267,464
Okanagan--Coquihalla/Okanagan--Coquihalla,83,Lakeview Heights,68,0,13,3,38,31,0,153,297
Okanagan--Coquihalla/Okanagan--Coquihalla,84,Lakeview Heights,90,1,19,1,29,77,1,218,441
Okanagan--Coquihalla/Okanagan--Coquihalla,85,Lakeview Heights,137,5,17,2,31,73,1,266,447
Okanagan--Coquihalla/Okanagan--Coquihalla,86,Lakeview Heights,74,0,7,4,6,39,0,130,252
Okanagan--Coquihalla/Okanagan--Coquihalla,87,Summerland,129,0,13,7,57,43,13,262,469
Okanagan--Coquihalla/Okanagan--Coquihalla,88,Naramata,57,1,26,2,49,59,1,195,287
