District,Poll Number,Poll Name,Bill Blaikie,Elijah Gair,Bryan McLeod,Tanya Parks,Robert Scott,Paul Sidon,Gavin Whittaker,Rejected Ballots,Total Vote,Electors
Elmwood--Transcona/Elmwood--Transcona,29,Winnipeg,81,1,34,24,0,0,1,0,141,304
Elmwood--Transcona/Elmwood--Transcona,30,Winnipeg,95,8,39,40,2,0,1,0,185,343
Elmwood--Transcona/Elmwood--Transcona,31,Winnipeg,78,6,47,41,2,0,1,0,175,263
Elmwood--Transcona/Elmwood--Transcona,32,Winnipeg,75,7,39,15,0,0,3,0,139,349
Elmwood--Transcona/Elmwood--Transcona,33,Winnipeg,65,3,47,30,3,0,1,0,149,331
Elmwood--Transcona/Elmwood--Transcona,34,Winnipeg,69,3,45,18,1,1,3,0,140,382
Elmwood--Transcona/Elmwood--Transcona,35,Winnipeg,67,8,36,36,0,1,1,0,149,383
Elmwood--Transcona/Elmwood--Transcona,36,Winnipeg,75,0,38,27,2,1,3,0,146,374
Elmwood--Transcona/Elmwood--Transcona,37,Winnipeg,77,7,37,14,1,0,3,0,139,333
Elmwood--Transcona/Elmwood--Transcona,38,Winnipeg,47,7,36,25,2,0,1,1,119,320
Elmwood--Transcona/Elmwood--Transcona,39,Winnipeg,111,8,29,19,2,0,2,1,172,468
Elmwood--Transcona/Elmwood--Transcona,40,Winnipeg,67,8,26,16,0,1,1,1,120,348
Elmwood--Transcona/Elmwood--Transcona,41,Winnipeg,69,4,22,12,1,0,3,0,111,341
Elmwood--Transcona/Elmwood--Transcona,42,Winnipeg,80,2,42,21,6,0,0,1,152,290
Elmwood--Transcona/Elmwood--Transcona,43,Winnipeg,92,4,34,29,0,0,1,0,160,311
Elmwood--Transcona/Elmwood--Transcona,44,Winnipeg,117,0,41,22,4,1,1,0,186,397
Elmwood--Transcona/Elmwood--Transcona,45,Winnipeg,84,0,51,34,3,0,1,0,173,427
Elmwood--Transcona/Elmwood--Transcona,46,Winnipeg,101,5,54,22,5,0,1,0,188,376
Elmwood--Transcona/Elmwood--Transcona,47,Winnipeg,95,4,41,36,3,0,1,0,180,363
Elmwood--Transcona/Elmwood--Transcona,48,Winnipeg,83,3,41,40,2,0,0,0,169,312
Elmwood--Transcona/Elmwood--Transcona,49,Winnipeg,119,3,49,38,1,0,1,0,211,396
Elmwood--Transcona/Elmwood--Transcona,50,Winnipeg,79,2,24,20,1,0,0,1,127,338
Elmwood--Transcona/Elmwood--Transcona,51,Winnipeg,107,2,26,29,0,1,1,0,166,315
Elmwood--Transcona/Elmwood--Transcona,52,Winnipeg,65,3,39,14,0,0,1,0,122,280
Elmwood--Transcona/Elmwood--Transcona,53,Winnipeg,80,0,30,18,1,0,0,1,130,393
Elmwood--Transcona/Elmwood--Transcona,54,Winnipeg,51,2,36,19,1,1,0,0,110,211
Elmwood--Transcona/Elmwood--Transcona,55,Winnipeg,59,5,57,31,2,0,0,0,154,364
Elmwood--Transcona/Elmwood--Transcona,56A,Winnipeg,37,1,13,7,1,0,0,1,60,185
Elmwood--Transcona/Elmwood--Transcona,56B,Mobile poll/Bureau itinérant,43,1,29,15,3,0,0,5,96,257
Elmwood--Transcona/Elmwood--Transcona,57,Winnipeg,81,5,41,45,3,0,4,1,180,453
Elmwood--Transcona/Elmwood--Transcona,58,Winnipeg,94,1,45,38,3,0,3,0,184,475
Elmwood--Transcona/Elmwood--Transcona,59,Winnipeg,86,5,55,27,2,0,1,0,176,311
Elmwood--Transcona/Elmwood--Transcona,60,Winnipeg,139,4,76,53,4,0,2,0,278,469
Elmwood--Transcona/Elmwood--Transcona,61,Winnipeg,83,4,31,26,1,1,1,0,147,384
Elmwood--Transcona/Elmwood--Transcona,62,Winnipeg,134,4,95,61,4,1,1,0,300,578
Elmwood--Transcona/Elmwood--Transcona,63,Winnipeg,33,3,43,21,1,0,1,0,102,190
Elmwood--Transcona/Elmwood--Transcona,64,Winnipeg,103,11,80,17,7,1,6,0,225,426
Elmwood--Transcona/Elmwood--Transcona,65,Winnipeg,78,2,65,21,0,0,3,0,169,328
Elmwood--Transcona/Elmwood--Transcona,66,Winnipeg,85,7,28,29,1,3,1,0,154,396
Elmwood--Transcona/Elmwood--Transcona,67,Winnipeg,84,5,47,19,3,1,0,0,159,338
Elmwood--Transcona/Elmwood--Transcona,68,Winnipeg,59,7,21,25,5,1,2,0,120,290
Elmwood--Transcona/Elmwood--Transcona,69,Winnipeg,61,2,33,27,0,2,3,0,128,414
Elmwood--Transcona/Elmwood--Transcona,70,Winnipeg,71,4,35,22,1,1,1,0,135,374
Elmwood--Transcona/Elmwood--Transcona,71,Winnipeg,46,3,13,26,0,0,5,2,95,324
Elmwood--Transcona/Elmwood--Transcona,72,Winnipeg,44,1,23,10,1,0,0,0,79,269
Elmwood--Transcona/Elmwood--Transcona,73,Winnipeg,51,7,20,19,0,1,0,1,99,240
Elmwood--Transcona/Elmwood--Transcona,74,Winnipeg,68,4,21,21,0,1,2,1,118,325
Elmwood--Transcona/Elmwood--Transcona,75,Winnipeg,49,8,17,28,1,0,1,2,106,402
Elmwood--Transcona/Elmwood--Transcona,76,Winnipeg,73,2,19,13,0,0,1,1,109,316
Elmwood--Transcona/Elmwood--Transcona,77,Winnipeg,76,2,13,12,0,1,3,0,107,430
Elmwood--Transcona/Elmwood--Transcona,78,Winnipeg,37,4,23,8,0,0,4,0,76,306
Elmwood--Transcona/Elmwood--Transcona,79,Winnipeg,43,0,14,26,2,2,2,0,89,294
Elmwood--Transcona/Elmwood--Transcona,80,Winnipeg,38,3,28,13,0,1,1,0,84,294
Elmwood--Transcona/Elmwood--Transcona,81,Winnipeg,64,5,31,24,2,0,4,0,130,357
Elmwood--Transcona/Elmwood--Transcona,82,Winnipeg,49,3,17,15,0,1,1,0,86,254
Elmwood--Transcona/Elmwood--Transcona,83,Winnipeg,60,14,1,22,0,1,1,0,99,290
Elmwood--Transcona/Elmwood--Transcona,84,Winnipeg,70,5,19,24,0,0,1,1,120,353
Elmwood--Transcona/Elmwood--Transcona,85,Winnipeg,76,1,20,26,1,0,3,1,128,316
Elmwood--Transcona/Elmwood--Transcona,86,Winnipeg,72,3,30,14,0,0,3,0,122,353
Elmwood--Transcona/Elmwood--Transcona,87,Winnipeg,76,3,35,31,2,2,5,0,154,348
Elmwood--Transcona/Elmwood--Transcona,88,Winnipeg,83,2,38,34,1,0,2,0,160,299
Elmwood--Transcona/Elmwood--Transcona,89,Winnipeg,67,5,44,38,0,1,0,0,155,321
Elmwood--Transcona/Elmwood--Transcona,90,Winnipeg,63,1,23,25,4,0,2,0,118,342
Elmwood--Transcona/Elmwood--Transcona,91,Winnipeg,76,4,43,23,2,0,1,0,149,336
Elmwood--Transcona/Elmwood--Transcona,92,Winnipeg,62,2,28,19,1,0,1,2,115,269
Elmwood--Transcona/Elmwood--Transcona,93,Winnipeg,100,3,37,25,5,1,0,2,173,393
Elmwood--Transcona/Elmwood--Transcona,94,Winnipeg,78,2,45,39,2,0,4,2,172,435
Elmwood--Transcona/Elmwood--Transcona,95,Winnipeg,86,3,58,33,0,0,1,0,181,296
Elmwood--Transcona/Elmwood--Transcona,96,Winnipeg,71,3,44,18,0,1,5,0,142,274
Elmwood--Transcona/Elmwood--Transcona,97,Winnipeg,51,3,16,16,0,0,0,0,86,386
Elmwood--Transcona/Elmwood--Transcona,98,Winnipeg,51,3,11,12,1,0,3,1,82,396
Elmwood--Transcona/Elmwood--Transcona,99,Winnipeg,58,0,27,20,3,1,0,0,109,342
Elmwood--Transcona/Elmwood--Transcona,100,Winnipeg,92,6,28,17,2,1,1,0,147,452
Elmwood--Transcona/Elmwood--Transcona,101,Winnipeg,59,2,25,35,0,0,2,0,123,223
Elmwood--Transcona/Elmwood--Transcona,102,Winnipeg,77,4,48,18,0,0,1,0,148,432
Elmwood--Transcona/Elmwood--Transcona,103,Winnipeg,102,2,46,30,3,0,3,0,186,373
Elmwood--Transcona/Elmwood--Transcona,104,Winnipeg,125,4,82,45,9,1,2,1,269,471
Elmwood--Transcona/Elmwood--Transcona,105,Winnipeg,101,5,87,52,10,0,1,0,256,514
Elmwood--Transcona/Elmwood--Transcona,106,Winnipeg,117,10,49,53,10,0,0,0,239,455
Elmwood--Transcona/Elmwood--Transcona,107,Winnipeg,114,3,66,46,9,2,1,1,242,470
Elmwood--Transcona/Elmwood--Transcona,108,Winnipeg,92,3,60,30,8,0,2,0,195,493
Elmwood--Transcona/Elmwood--Transcona,109,Winnipeg,89,1,32,20,2,3,1,2,150,248
Elmwood--Transcona/Elmwood--Transcona,110,Winnipeg,90,2,38,30,3,0,2,1,166,257
Elmwood--Transcona/Elmwood--Transcona,111,Winnipeg,79,7,43,22,0,0,0,0,151,278
Elmwood--Transcona/Elmwood--Transcona,112,Winnipeg,111,3,48,36,0,2,3,0,203,348
Elmwood--Transcona/Elmwood--Transcona,113,Winnipeg,91,1,26,23,4,3,3,0,151,278
Elmwood--Transcona/Elmwood--Transcona,114,Winnipeg,87,7,21,23,8,0,4,1,151,297
Elmwood--Transcona/Elmwood--Transcona,115,Winnipeg,89,3,33,15,0,0,4,0,144,351
Elmwood--Transcona/Elmwood--Transcona,116,Winnipeg,86,7,19,23,2,0,2,0,139,319
Elmwood--Transcona/Elmwood--Transcona,117,Winnipeg,99,1,41,30,6,0,0,0,177,321
Elmwood--Transcona/Elmwood--Transcona,118,Winnipeg,106,4,27,21,2,1,2,0,163,321
Elmwood--Transcona/Elmwood--Transcona,119,Winnipeg,86,6,34,18,1,0,5,0,150,323
Elmwood--Transcona/Elmwood--Transcona,120,Winnipeg,103,3,39,23,2,0,1,0,171,396
Elmwood--Transcona/Elmwood--Transcona,121,Winnipeg,63,0,32,19,1,0,2,0,117,328
Elmwood--Transcona/Elmwood--Transcona,122,Winnipeg,106,2,38,25,7,0,4,0,182,378
Elmwood--Transcona/Elmwood--Transcona,123,Winnipeg,120,6,69,61,12,0,2,0,270,483
Elmwood--Transcona/Elmwood--Transcona,124,Winnipeg,123,4,79,46,2,1,1,0,256,452
Elmwood--Transcona/Elmwood--Transcona,125,Winnipeg,113,5,83,57,0,0,2,0,260,434
Elmwood--Transcona/Elmwood--Transcona,126,Winnipeg,86,2,45,22,4,1,2,0,162,294
Elmwood--Transcona/Elmwood--Transcona,127,Winnipeg,73,5,63,26,1,0,0,0,168,298
Elmwood--Transcona/Elmwood--Transcona,128,Winnipeg,114,1,48,41,7,0,4,0,215,412
Elmwood--Transcona/Elmwood--Transcona,129,Winnipeg,86,3,42,16,3,1,1,1,153,386
Elmwood--Transcona/Elmwood--Transcona,130,Winnipeg,68,2,43,18,3,0,1,1,136,341
Elmwood--Transcona/Elmwood--Transcona,131,Winnipeg,81,1,41,37,3,2,3,1,169,418
Elmwood--Transcona/Elmwood--Transcona,132,Winnipeg,74,3,50,21,3,2,3,1,157,377
Elmwood--Transcona/Elmwood--Transcona,133,Winnipeg,110,4,53,33,1,0,2,0,203,427
Elmwood--Transcona/Elmwood--Transcona,134,Winnipeg,121,3,53,34,2,0,3,0,216,398
Elmwood--Transcona/Elmwood--Transcona,135,Winnipeg,144,3,43,20,6,1,1,0,218,392
Elmwood--Transcona/Elmwood--Transcona,136,Winnipeg,77,1,36,27,0,0,3,0,144,322
Elmwood--Transcona/Elmwood--Transcona,137,Winnipeg,73,2,39,24,0,0,1,1,140,298
Elmwood--Transcona/Elmwood--Transcona,138,Winnipeg,113,5,26,29,0,0,2,0,175,328
Elmwood--Transcona/Elmwood--Transcona,139,Winnipeg,117,5,36,31,0,1,2,0,192,388
Elmwood--Transcona/Elmwood--Transcona,140,Winnipeg,127,3,52,26,0,1,4,0,213,368
Elmwood--Transcona/Elmwood--Transcona,141,Winnipeg,96,2,32,23,0,0,3,0,156,338
Elmwood--Transcona/Elmwood--Transcona,142,Winnipeg,82,3,52,23,1,0,3,1,165,273
Elmwood--Transcona/Elmwood--Transcona,143,Winnipeg,109,5,45,28,6,1,2,2,198,406
Elmwood--Transcona/Elmwood--Transcona,144,Winnipeg,101,7,45,22,12,0,2,0,189,401
Elmwood--Transcona/Elmwood--Transcona,145,Winnipeg,106,2,53,18,4,1,2,0,186,406
Elmwood--Transcona/Elmwood--Transcona,146,Winnipeg,97,2,54,31,3,1,1,0,189,407
Elmwood--Transcona/Elmwood--Transcona,147,Winnipeg,101,3,46,33,3,0,3,1,190,348
Elmwood--Transcona/Elmwood--Transcona,148,Winnipeg,120,3,54,25,3,0,2,1,208,369
Elmwood--Transcona/Elmwood--Transcona,149,Winnipeg,91,7,25,6,7,0,0,0,136,263
Elmwood--Transcona/Elmwood--Transcona,150,Winnipeg,107,7,50,26,3,0,2,0,195,380
Elmwood--Transcona/Elmwood--Transcona,151,Winnipeg,103,1,69,39,6,0,2,1,221,407
Elmwood--Transcona/Elmwood--Transcona,152,Winnipeg,101,2,42,27,3,0,2,0,177,366
Elmwood--Transcona/Elmwood--Transcona,153,Winnipeg,59,1,32,18,6,0,1,1,118,246
Elmwood--Transcona/Elmwood--Transcona,154,Winnipeg,102,5,39,29,0,0,2,0,177,410
Elmwood--Transcona/Elmwood--Transcona,155,Winnipeg,73,5,29,20,2,1,5,0,135,327
Elmwood--Transcona/Elmwood--Transcona,156,Winnipeg,94,1,40,32,1,0,2,0,170,411
Elmwood--Transcona/Elmwood--Transcona,157,Winnipeg,62,5,53,22,0,0,1,0,143,334
Elmwood--Transcona/Elmwood--Transcona,158,Winnipeg,95,3,35,30,1,0,0,1,165,373
Elmwood--Transcona/Elmwood--Transcona,159,Winnipeg,118,1,44,25,2,0,1,1,192,412
Elmwood--Transcona/Elmwood--Transcona,160,Winnipeg,85,1,29,16,1,0,3,0,135,338
Elmwood--Transcona/Elmwood--Transcona,161,Winnipeg,75,2,50,28,3,0,1,0,159,348
Elmwood--Transcona/Elmwood--Transcona,162,Winnipeg,98,4,47,31,1,0,1,0,182,412
Elmwood--Transcona/Elmwood--Transcona,163,Winnipeg,80,4,72,49,2,0,2,0,209,404
Elmwood--Transcona/Elmwood--Transcona,500,Mobile poll/Bureau itinérant,62,1,16,14,1,0,0,0,94,224
Elmwood--Transcona/Elmwood--Transcona,501,Mobile poll/Bureau itinérant,93,1,17,22,2,0,0,1,136,205
Elmwood--Transcona/Elmwood--Transcona,502,Mobile poll/Bureau itinérant,64,2,37,10,0,0,0,1,114,193
Elmwood--Transcona/Elmwood--Transcona,600,Winnipeg,193,4,113,72,2,2,1,0,387,
Elmwood--Transcona/Elmwood--Transcona,601,Winnipeg,129,7,75,38,1,2,4,0,256,
Elmwood--Transcona/Elmwood--Transcona,602,Winnipeg,92,3,67,34,3,0,2,0,201,
Elmwood--Transcona/Elmwood--Transcona,603,Winnipeg,58,2,44,22,0,0,0,2,128,
Elmwood--Transcona/Elmwood--Transcona,604,Winnipeg,120,2,63,38,2,1,1,0,227,
Elmwood--Transcona/Elmwood--Transcona,605,Winnipeg,144,2,65,28,2,0,0,0,241,
Elmwood--Transcona/Elmwood--Transcona,606,Winnipeg,176,5,100,46,2,0,1,1,331,
Elmwood--Transcona/Elmwood--Transcona,607,Winnipeg,152,2,74,34,1,0,1,0,264,
Elmwood--Transcona/Elmwood--Transcona,,Group 1/Groupe 1,19,4,15,18,2,1,7,6,72,157
Elmwood--Transcona/Elmwood--Transcona,,Group 2/Groupe 2,214,6,96,64,2,0,4,9,395,
