District,Poll Number,Poll Name,Neil Adair,Russell Barth,Sean Casey,Marlene Catterall,Mary-Sue Haliburton,Alexandre Legeais,Marlene Rivier,Rejected Ballots,Total Vote,Electors
Ottawa West--Nepean/Ottawa-Ouest--Nepean,1,Nepean,23,2,110,81,0,0,19,0,235,396
Ottawa West--Nepean/Ottawa-Ouest--Nepean,2,Nepean,Void,,,,,,,,,
Ottawa West--Nepean/Ottawa-Ouest--Nepean,3,Nepean,12,2,79,112,0,0,24,1,230,390
Ottawa West--Nepean/Ottawa-Ouest--Nepean,4,Nepean,12,1,107,101,1,0,39,1,262,391
Ottawa West--Nepean/Ottawa-Ouest--Nepean,5,Nepean,13,1,105,94,0,0,36,1,250,406
Ottawa West--Nepean/Ottawa-Ouest--Nepean,6,Nepean,18,3,110,119,0,0,31,0,281,436
Ottawa West--Nepean/Ottawa-Ouest--Nepean,7,Nepean,12,3,98,119,0,0,28,1,261,400
Ottawa West--Nepean/Ottawa-Ouest--Nepean,8,Nepean,28,1,157,178,0,0,27,0,391,532
Ottawa West--Nepean/Ottawa-Ouest--Nepean,9,Nepean,13,0,140,105,1,1,29,2,291,429
Ottawa West--Nepean/Ottawa-Ouest--Nepean,10A,Nepean,8,0,44,98,0,0,31,0,181,311
Ottawa West--Nepean/Ottawa-Ouest--Nepean,10B,Nepean,7,1,92,73,0,0,20,0,193,323
Ottawa West--Nepean/Ottawa-Ouest--Nepean,11,Nepean,6,0,61,58,0,0,3,1,129,172
Ottawa West--Nepean/Ottawa-Ouest--Nepean,12,Nepean,10,3,51,109,1,0,40,0,214,448
Ottawa West--Nepean/Ottawa-Ouest--Nepean,13,Nepean,19,3,76,99,0,1,28,0,226,462
Ottawa West--Nepean/Ottawa-Ouest--Nepean,14,Nepean,5,1,61,82,0,0,31,0,180,333
Ottawa West--Nepean/Ottawa-Ouest--Nepean,15,Nepean,3,5,76,102,0,1,50,2,239,568
Ottawa West--Nepean/Ottawa-Ouest--Nepean,16,Nepean,5,1,42,57,0,0,32,1,138,315
Ottawa West--Nepean/Ottawa-Ouest--Nepean,17,Nepean,2,0,19,28,0,0,9,2,60,155
Ottawa West--Nepean/Ottawa-Ouest--Nepean,18,Nepean,8,1,86,144,0,1,56,0,296,620
Ottawa West--Nepean/Ottawa-Ouest--Nepean,19,Nepean,9,1,44,41,0,0,40,0,135,248
Ottawa West--Nepean/Ottawa-Ouest--Nepean,20,Nepean,7,0,84,85,0,0,21,3,200,311
Ottawa West--Nepean/Ottawa-Ouest--Nepean,21,Ottawa,13,5,77,136,0,0,33,1,265,412
Ottawa West--Nepean/Ottawa-Ouest--Nepean,22,Ottawa,6,4,30,44,0,0,20,0,104,182
Ottawa West--Nepean/Ottawa-Ouest--Nepean,23,Ottawa,18,1,108,106,0,0,58,1,292,444
Ottawa West--Nepean/Ottawa-Ouest--Nepean,24,Ottawa,7,7,103,128,0,1,95,1,342,585
