District,Poll Number,Poll Name,André Clermont,Paul Crête,Marc-André Drolet,Frédérick Garon,Isabelle Mignault,Rejected Ballots,Total Vote,Electors
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,1,Notre-Dame-des-Sept-Douleurs,9,140,14,8,42,5,218,417
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,2,L'Isle-Verte,6,123,12,2,44,0,187,348
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,3,L'Isle-Verte,10,163,18,3,52,2,248,402
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,4,Saint-Paul-de-la-Croix,2,114,8,2,50,1,177,307
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,5,Saint-Cyprien,1,114,17,2,44,4,182,305
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,6,Saint-Cyprien,3,84,5,2,30,2,126,226
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,7,Saint-Cyprien,3,156,14,5,43,4,225,356
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,8,Saint-Georges-de-Cacouna,12,179,34,4,78,4,311,556
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,9,Saint-Arsène,0,56,9,0,17,2,84,125
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,10A,Saint-Arsène,1,132,16,7,56,3,215,359
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,10B,Saint-Arsène,4,138,18,13,56,0,229,415
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,11,Saint-Épiphane,2,60,12,4,29,2,109,287
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,12,Saint-Épiphane,3,105,14,3,46,2,173,375
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,13,Saint-François-Xavier-de-Viger,2,62,11,3,13,1,92,200
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,14,Saint-Hubert-de-Rivière-du-Loup,1,117,16,5,39,5,183,352
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,15,Saint-Hubert-de-Rivière-du-Loup,3,95,12,3,33,7,153,288
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,16,Saint-Hubert-de-Rivière-du-Loup,4,122,12,5,53,4,200,397
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,17,Saint-Georges-de-Cacouna,5,140,22,3,56,5,231,400
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,18,Saint-Georges-de-Cacouna,2,78,5,8,23,0,116,219
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,19,Saint-Georges-de-Cacouna,3,94,19,9,40,1,166,254
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,20,Saint-Modeste,3,117,23,5,50,6,204,331
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,21,Saint-Modeste,3,143,9,5,18,5,183,347
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,22,Saint-Patrice-de-la-Rivière-du-Loup,5,160,10,4,56,6,241,450
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,23,Rivière-du-Loup,5,177,9,1,31,5,228,383
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,24,Rivière-du-Loup,4,193,14,7,66,5,289,447
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,25,Rivière-du-Loup,7,135,6,3,44,4,199,364
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,26,Saint-Patrice-de-la-Rivière-du-Loup,1,82,6,3,30,2,124,229
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,27,Saint-Patrice-de-la-Rivière-du-Loup,7,191,13,3,46,3,263,419
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,28,Saint-Patrice-de-la-Rivière-du-Loup,1,103,12,3,38,7,164,308
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,29,Rivière-du-Loup,5,140,17,5,74,4,245,375
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,30,Rivière-du-Loup,2,167,24,6,51,3,253,460
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,31,Rivière-du-Loup,4,163,10,9,42,4,232,408
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,32,Rivière-du-Loup,4,132,4,1,46,2,189,337
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,33,Rivière-du-Loup,1,170,13,5,40,4,233,415
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,34,Rivière-du-Loup,4,123,5,4,26,4,166,379
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,35,Rivière-du-Loup,4,101,11,3,28,1,148,371
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,36,Rivière-du-Loup,0,92,8,3,23,0,126,250
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,37,Saint-Patrice-de-la-Rivière-du-Loup,3,164,11,5,43,3,229,447
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,38,Rivière-du-Loup,4,173,6,8,33,2,226,483
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,39A,Rivière-du-Loup,5,168,14,10,63,4,264,551
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,39B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,,67
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,40A,Rivière-du-Loup,0,89,9,2,46,1,147,296
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,40B,Rivière-du-Loup,2,103,12,4,56,5,182,364
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,41,Rivière-du-Loup,6,132,8,2,72,4,224,501
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,42,Rivière-du-Loup,3,152,4,4,47,6,216,483
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,43,Rivière-du-Loup,2,109,15,4,50,2,182,351
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,44,Rivière-du-Loup,1,78,11,3,70,3,166,312
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,45,Rivière-du-Loup,4,146,15,6,58,0,229,423
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,46,Rivière-du-Loup,2,122,5,9,39,6,183,461
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,47,Rivière-du-Loup,7,182,10,9,66,2,276,469
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,48A,Rivière-du-Loup,1,101,9,0,63,5,179,297
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,48B,Rivière-du-Loup,0,23,12,0,51,4,90,184
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,49,Rivière-du-Loup,5,158,18,5,59,4,249,538
Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,50,Rivière-du-Loup,3,154,7,2,100,1,267,432
