District,Poll Number,Poll Name,Dave Chatters,Joe Dion,Peggy Kirkeby,John A. McDonald,Rejected Ballots,Total Vote,Electors
Westlock--St. Paul/Westlock--St. Paul,23,Waugh,107,15,16,8,0,146,233
Westlock--St. Paul/Westlock--St. Paul,24,Busby,167,27,21,17,0,232,374
Westlock--St. Paul/Westlock--St. Paul,25,Sturgeon No. 90,71,19,10,6,0,106,137
Westlock--St. Paul/Westlock--St. Paul,26,Legal,96,48,12,12,1,169,339
Westlock--St. Paul/Westlock--St. Paul,27,Sturgeon No. 90,212,97,32,15,0,356,689
Westlock--St. Paul/Westlock--St. Paul,28,Legal,147,36,21,19,0,223,306
Westlock--St. Paul/Westlock--St. Paul,29,Alcomdale,170,18,15,14,1,218,409
Westlock--St. Paul/Westlock--St. Paul,30,Alexander 134,16,148,1,1,0,166,337
Westlock--St. Paul/Westlock--St. Paul,31,Rivière Qui Barre,258,35,18,18,1,330,474
Westlock--St. Paul/Westlock--St. Paul,32,Peavey,141,46,20,10,1,218,383
Westlock--St. Paul/Westlock--St. Paul,33,Morinville,96,19,16,12,0,143,315
Westlock--St. Paul/Westlock--St. Paul,34,Morinville,108,22,26,8,0,164,387
Westlock--St. Paul/Westlock--St. Paul,35A,Morinville,87,32,14,7,1,141,284
Westlock--St. Paul/Westlock--St. Paul,35B,Morinville,106,34,18,12,0,170,253
Westlock--St. Paul/Westlock--St. Paul,36,Morinville,122,29,24,7,0,182,354
Westlock--St. Paul/Westlock--St. Paul,37A,Morinville,110,36,22,8,0,176,413
Westlock--St. Paul/Westlock--St. Paul,37B,Morinville,85,28,20,4,1,138,278
Westlock--St. Paul/Westlock--St. Paul,38A,Morinville,63,28,18,9,0,118,257
Westlock--St. Paul/Westlock--St. Paul,38B,Morinville,83,16,24,5,0,128,250
Westlock--St. Paul/Westlock--St. Paul,39,Morinville,128,55,14,11,0,208,406
Westlock--St. Paul/Westlock--St. Paul,40,Morinville,128,40,22,15,0,205,404
Westlock--St. Paul/Westlock--St. Paul,41,Morinville,57,33,15,12,0,117,229
Westlock--St. Paul/Westlock--St. Paul,42,Morinville,136,38,44,12,0,230,411
Westlock--St. Paul/Westlock--St. Paul,43,Morinville,112,21,16,8,0,157,320
Westlock--St. Paul/Westlock--St. Paul,44,Cardiff,115,25,20,15,1,176,330
Westlock--St. Paul/Westlock--St. Paul,45,Cardiff,202,38,28,14,1,283,478
Westlock--St. Paul/Westlock--St. Paul,46,Cardiff,Void,,,,,,
Westlock--St. Paul/Westlock--St. Paul,47A,Calahoo,101,23,12,14,0,150,308
Westlock--St. Paul/Westlock--St. Paul,47B,Calahoo,116,15,21,11,0,163,276
Westlock--St. Paul/Westlock--St. Paul,48,Calahoo,164,31,18,16,1,230,347
Westlock--St. Paul/Westlock--St. Paul,49,Villeneuve,218,46,31,23,2,320,487
Westlock--St. Paul/Westlock--St. Paul,50,Villeneuve,125,44,8,16,0,193,297
Westlock--St. Paul/Westlock--St. Paul,51,Volmer,142,18,10,10,0,180,327
Westlock--St. Paul/Westlock--St. Paul,52A,Sturgeon No. 90,122,38,17,12,1,190,327
Westlock--St. Paul/Westlock--St. Paul,52B,Sturgeon No. 90,130,30,21,8,1,190,327
Westlock--St. Paul/Westlock--St. Paul,53,Carbondale,128,18,19,11,0,176,279
Westlock--St. Paul/Westlock--St. Paul,54,Namao,197,55,30,31,0,313,432
Westlock--St. Paul/Westlock--St. Paul,55,Sturgeon No. 90,30,5,2,1,0,38,69
Westlock--St. Paul/Westlock--St. Paul,56,Sturgeon No. 90,81,27,10,6,0,124,186
Westlock--St. Paul/Westlock--St. Paul,57,Sturgeon No. 90,162,38,25,23,0,248,441
Westlock--St. Paul/Westlock--St. Paul,58,Lancaster Park,79,25,6,9,0,119,171
Westlock--St. Paul/Westlock--St. Paul,59A,Lancaster Park,98,32,12,10,2,154,475
Westlock--St. Paul/Westlock--St. Paul,59B,Lancaster Park,71,19,16,5,1,112,379
Westlock--St. Paul/Westlock--St. Paul,60,Lancaster Park,29,8,4,1,1,43,118
Westlock--St. Paul/Westlock--St. Paul,61,Sturgeon No. 90,97,21,15,13,1,147,255
Westlock--St. Paul/Westlock--St. Paul,62,Bon Accord,118,21,8,10,0,157,253
Westlock--St. Paul/Westlock--St. Paul,63,Coronado,192,46,27,15,1,281,404
Westlock--St. Paul/Westlock--St. Paul,64,Sturgeon No. 90,151,27,18,17,1,214,310
Westlock--St. Paul/Westlock--St. Paul,65,Redwater,195,39,26,11,0,271,392
Westlock--St. Paul/Westlock--St. Paul,66,Redwater,91,24,20,11,0,146,248
Westlock--St. Paul/Westlock--St. Paul,67,Redwater,126,39,12,10,0,187,307
Westlock--St. Paul/Westlock--St. Paul,68,Redwater,134,28,32,14,0,208,334
Westlock--St. Paul/Westlock--St. Paul,69,Amelia,117,15,17,15,0,164,232
Westlock--St. Paul/Westlock--St. Paul,70,Sturgeon No. 90,119,22,11,12,0,164,252
Westlock--St. Paul/Westlock--St. Paul,71,New Lunnon,152,17,19,21,1,210,301
Westlock--St. Paul/Westlock--St. Paul,72,Gibbons,76,13,30,13,0,132,255
Westlock--St. Paul/Westlock--St. Paul,73,Gibbons,94,26,14,12,0,146,269
Westlock--St. Paul/Westlock--St. Paul,74,Gibbons,108,40,15,16,2,181,322
Westlock--St. Paul/Westlock--St. Paul,75,Gibbons,78,34,14,14,0,140,261
Westlock--St. Paul/Westlock--St. Paul,76A,Gibbons,84,18,23,14,0,139,360
Westlock--St. Paul/Westlock--St. Paul,76B,Gibbons,88,16,27,14,1,146,444
Westlock--St. Paul/Westlock--St. Paul,76C,Gibbons,84,16,28,14,1,143,446
Westlock--St. Paul/Westlock--St. Paul,77,Bon Accord,38,11,12,2,0,63,120
Westlock--St. Paul/Westlock--St. Paul,78,Bon Accord,100,15,33,17,0,165,257
Westlock--St. Paul/Westlock--St. Paul,79A,Bon Accord,121,31,25,19,1,197,442
Westlock--St. Paul/Westlock--St. Paul,79B,Bon Accord,115,17,21,14,0,167,367
Westlock--St. Paul/Westlock--St. Paul,80,Bon Accord,159,23,23,16,2,223,357
Westlock--St. Paul/Westlock--St. Paul,81,Duagh,84,21,15,13,0,133,184
Westlock--St. Paul/Westlock--St. Paul,82,Lamoureux,139,31,16,15,0,201,398
Westlock--St. Paul/Westlock--St. Paul,83,Abee,37,3,9,2,1,52,76
Westlock--St. Paul/Westlock--St. Paul,84,Ellscott,25,4,0,2,0,31,39
Westlock--St. Paul/Westlock--St. Paul,85,Newbrook,168,20,31,16,0,235,351
Westlock--St. Paul/Westlock--St. Paul,86,Hollow Lake,29,4,12,1,0,46,72
Westlock--St. Paul/Westlock--St. Paul,87,Sprucefield,71,7,10,3,0,91,146
Westlock--St. Paul/Westlock--St. Paul,88,Thorhild,123,13,9,9,0,154,253
Westlock--St. Paul/Westlock--St. Paul,89,Thorhild,220,35,32,16,1,304,631
Westlock--St. Paul/Westlock--St. Paul,90,Thorhild,85,10,6,3,0,104,157
Westlock--St. Paul/Westlock--St. Paul,91,Waugh,113,14,19,11,0,157,226
Westlock--St. Paul/Westlock--St. Paul,92A,Egremont,77,19,18,9,0,123,336
Westlock--St. Paul/Westlock--St. Paul,92B,Egremont,62,9,17,3,0,91,290
Westlock--St. Paul/Westlock--St. Paul,93,Radway,93,19,15,13,0,140,186
Westlock--St. Paul/Westlock--St. Paul,94,Waskatenau,122,34,33,9,2,200,349
Westlock--St. Paul/Westlock--St. Paul,95,Warspite,136,29,28,16,0,209,352
Westlock--St. Paul/Westlock--St. Paul,96,Beaver River Metis Settlement,22,95,9,4,6,136,182
Westlock--St. Paul/Westlock--St. Paul,97,Kikino,21,56,14,4,1,96,310
Westlock--St. Paul/Westlock--St. Paul,98,Beaver Lake 131,11,0,3,0,1,15,25
Westlock--St. Paul/Westlock--St. Paul,99,Rich Lake,81,3,21,4,0,109,139
Westlock--St. Paul/Westlock--St. Paul,100,Stry,139,21,12,6,0,178,259
Westlock--St. Paul/Westlock--St. Paul,101,Goodfish Lake,97,21,9,3,0,130,222
Westlock--St. Paul/Westlock--St. Paul,102,Vilna,123,50,10,11,1,195,360
Westlock--St. Paul/Westlock--St. Paul,103,Edwand,156,29,22,5,0,212,323
Westlock--St. Paul/Westlock--St. Paul,104,Smoky Lake,84,36,17,8,0,145,256
Westlock--St. Paul/Westlock--St. Paul,105A,Smoky Lake,100,25,15,10,1,151,242
Westlock--St. Paul/Westlock--St. Paul,105B,Smoky Lake,77,28,15,8,0,128,330
Westlock--St. Paul/Westlock--St. Paul,106,Victoria Settlement,103,15,13,11,1,143,283
Westlock--St. Paul/Westlock--St. Paul,107,Bellis,99,19,10,7,0,135,183
Westlock--St. Paul/Westlock--St. Paul,108,Stry,57,16,15,3,0,91,153
Westlock--St. Paul/Westlock--St. Paul,109A,Saddle Lake 125,6,135,5,3,0,149,439
Westlock--St. Paul/Westlock--St. Paul,109B,Saddle Lake 125,1,88,1,0,0,90,267
Westlock--St. Paul/Westlock--St. Paul,110,Iron River,202,19,9,8,2,240,477
Westlock--St. Paul/Westlock--St. Paul,111,Fort Kent,153,41,11,8,1,214,415
Westlock--St. Paul/Westlock--St. Paul,112,Bonnyville No. 87,104,22,8,9,0,143,246
Westlock--St. Paul/Westlock--St. Paul,113,Bonnyville No. 87,111,14,14,7,1,147,207
Westlock--St. Paul/Westlock--St. Paul,114,Franchere,210,20,24,8,0,262,360
Westlock--St. Paul/Westlock--St. Paul,115,Glendon,206,12,27,3,1,249,480
Westlock--St. Paul/Westlock--St. Paul,116,St. Lina,204,35,10,9,0,258,374
Westlock--St. Paul/Westlock--St. Paul,117A,White Fish Lake 128,3,98,0,1,1,103,384
Westlock--St. Paul/Westlock--St. Paul,117B,White Fish Lake 128,1,84,0,0,0,85,459
Westlock--St. Paul/Westlock--St. Paul,117C,White Fish Lake 128,4,131,2,1,2,140,376
Westlock--St. Paul/Westlock--St. Paul,118,Mallaig,202,51,13,10,0,276,408
Westlock--St. Paul/Westlock--St. Paul,119,St. Vincent,118,48,18,10,0,194,275
Westlock--St. Paul/Westlock--St. Paul,120,Beacon Corner,100,17,15,2,0,134,229
Westlock--St. Paul/Westlock--St. Paul,121,Hoselaw,89,14,8,5,0,116,147
Westlock--St. Paul/Westlock--St. Paul,122,Bonnyville Beach,195,50,15,14,1,275,430
Westlock--St. Paul/Westlock--St. Paul,123A,Bonnyville,71,17,12,5,0,105,335
Westlock--St. Paul/Westlock--St. Paul,123B,Bonnyville,82,40,10,11,0,143,244
Westlock--St. Paul/Westlock--St. Paul,124,Bonnyville,111,20,9,12,1,153,396
Westlock--St. Paul/Westlock--St. Paul,125,Bonnyville,176,23,20,6,0,225,441
Westlock--St. Paul/Westlock--St. Paul,126A,Bonnyville,112,29,16,12,0,169,548
Westlock--St. Paul/Westlock--St. Paul,126B,Bonnyville,133,37,20,9,2,201,429
Westlock--St. Paul/Westlock--St. Paul,127,Bonnyville,148,43,26,18,0,235,495
Westlock--St. Paul/Westlock--St. Paul,128,Bonnyville,95,32,17,6,0,150,340
Westlock--St. Paul/Westlock--St. Paul,129A,Bonnyville,105,25,11,8,0,149,299
Westlock--St. Paul/Westlock--St. Paul,129B,Bonnyville,70,13,8,7,0,98,226
Westlock--St. Paul/Westlock--St. Paul,130A,Bonnyville,81,23,17,7,0,128,269
Westlock--St. Paul/Westlock--St. Paul,130B,Bonnyville,83,25,14,2,0,124,235
Westlock--St. Paul/Westlock--St. Paul,131A,Bonnyville,117,33,15,4,0,169,370
Westlock--St. Paul/Westlock--St. Paul,131B,Bonnyville,137,19,10,9,0,175,317
Westlock--St. Paul/Westlock--St. Paul,132,Kehiwin 123,8,397,5,3,3,416,600
Westlock--St. Paul/Westlock--St. Paul,133,Muriel Lake,223,31,15,8,0,277,492
Westlock--St. Paul/Westlock--St. Paul,134,Happy Hollow,50,11,3,1,0,65,107
Westlock--St. Paul/Westlock--St. Paul,135A,Cold Lake,113,22,7,5,0,147,310
Westlock--St. Paul/Westlock--St. Paul,135B,Cold Lake,100,14,8,3,1,126,275
Westlock--St. Paul/Westlock--St. Paul,136,Cold Lake,5,0,0,0,0,5,9
Westlock--St. Paul/Westlock--St. Paul,137A,Cold Lake,106,25,13,11,0,155,277
Westlock--St. Paul/Westlock--St. Paul,137B,Cold Lake,96,25,12,3,0,136,274
Westlock--St. Paul/Westlock--St. Paul,138A,Cold Lake,103,22,13,8,0,146,312
Westlock--St. Paul/Westlock--St. Paul,138B,Cold Lake,103,18,11,5,1,138,242
Westlock--St. Paul/Westlock--St. Paul,139A,Cold Lake,72,24,14,7,0,117,307
Westlock--St. Paul/Westlock--St. Paul,139B,Cold Lake,73,15,9,3,1,101,244
Westlock--St. Paul/Westlock--St. Paul,140,Cold Lake,79,22,6,7,0,114,266
Westlock--St. Paul/Westlock--St. Paul,141,Cold Lake,67,20,5,8,0,100,180
Westlock--St. Paul/Westlock--St. Paul,142A,Cold Lake,104,25,7,5,0,141,317
Westlock--St. Paul/Westlock--St. Paul,142B,Cold Lake,104,31,15,6,1,157,320
Westlock--St. Paul/Westlock--St. Paul,143,Beaver River,141,17,11,10,0,179,248
Westlock--St. Paul/Westlock--St. Paul,144A,Cold Lake,71,26,8,4,0,109,387
Westlock--St. Paul/Westlock--St. Paul,144B,Cold Lake,93,21,8,5,0,127,375
Westlock--St. Paul/Westlock--St. Paul,145A,Cold Lake,105,13,2,4,1,125,284
Westlock--St. Paul/Westlock--St. Paul,145B,Cold Lake,83,21,7,6,0,117,265
Westlock--St. Paul/Westlock--St. Paul,146A,Cold Lake,81,23,5,6,0,115,302
Westlock--St. Paul/Westlock--St. Paul,146B,Cold Lake,96,28,7,4,2,137,277
Westlock--St. Paul/Westlock--St. Paul,147,Cold Lake,122,32,12,13,0,179,450
Westlock--St. Paul/Westlock--St. Paul,148A,Cold Lake,81,20,11,2,1,115,275
Westlock--St. Paul/Westlock--St. Paul,148B,Cold Lake,97,24,12,4,1,138,286
Westlock--St. Paul/Westlock--St. Paul,149,Cold Lake,189,41,23,14,0,267,521
Westlock--St. Paul/Westlock--St. Paul,150A,Cold Lake,98,24,9,5,0,136,532
Westlock--St. Paul/Westlock--St. Paul,150B,Cold Lake,97,19,13,16,0,145,630
Westlock--St. Paul/Westlock--St. Paul,150C,Cold Lake,75,16,5,8,0,104,469
Westlock--St. Paul/Westlock--St. Paul,151,Cold Lake,15,7,2,3,0,27,141
Westlock--St. Paul/Westlock--St. Paul,152,Cold Lake,13,1,1,4,0,19,38
Westlock--St. Paul/Westlock--St. Paul,153,Cold Lake,39,5,5,4,0,53,149
Westlock--St. Paul/Westlock--St. Paul,154,Ardmore,203,23,17,9,2,254,354
Westlock--St. Paul/Westlock--St. Paul,155,Cold Lake 149,11,178,3,6,2,200,581
Westlock--St. Paul/Westlock--St. Paul,156,Cherry Grove,196,33,13,4,0,246,415
Westlock--St. Paul/Westlock--St. Paul,157,Beaverdam,68,42,4,4,2,120,214
Westlock--St. Paul/Westlock--St. Paul,158A,St. Bride's,111,19,16,7,0,153,287
Westlock--St. Paul/Westlock--St. Paul,158B,St. Bride's,85,17,14,3,1,120,236
Westlock--St. Paul/Westlock--St. Paul,159,Owlseye,150,45,10,12,0,217,347
Westlock--St. Paul/Westlock--St. Paul,160,St. Paul,95,38,27,9,0,169,383
Westlock--St. Paul/Westlock--St. Paul,161,St. Paul,150,59,21,17,0,247,437
Westlock--St. Paul/Westlock--St. Paul,162,St. Paul,58,27,14,13,0,112,240
Westlock--St. Paul/Westlock--St. Paul,163,St. Paul,116,67,21,15,5,224,396
Westlock--St. Paul/Westlock--St. Paul,164A,St. Paul,102,25,10,8,0,145,242
Westlock--St. Paul/Westlock--St. Paul,164B,St. Paul,85,28,22,4,0,139,259
Westlock--St. Paul/Westlock--St. Paul,165,St. Paul,166,61,18,15,0,260,434
Westlock--St. Paul/Westlock--St. Paul,166,St. Paul,104,53,29,10,1,197,354
Westlock--St. Paul/Westlock--St. Paul,167,St. Paul,201,64,41,24,0,330,584
Westlock--St. Paul/Westlock--St. Paul,168,Lafond,55,13,7,2,0,77,120
Westlock--St. Paul/Westlock--St. Paul,169,Lafond,72,38,10,5,0,125,188
Westlock--St. Paul/Westlock--St. Paul,170A,St. Edouard,84,17,9,11,0,121,299
Westlock--St. Paul/Westlock--St. Paul,170B,St. Edouard,111,21,5,8,0,145,234
Westlock--St. Paul/Westlock--St. Paul,171,St. Edouard,163,37,24,11,0,235,364
Westlock--St. Paul/Westlock--St. Paul,172,Lake Eliza,90,31,30,12,0,163,239
Westlock--St. Paul/Westlock--St. Paul,173,Elk Point,203,31,17,12,0,263,294
Westlock--St. Paul/Westlock--St. Paul,174,Lindbergh,96,12,27,6,0,141,192
Westlock--St. Paul/Westlock--St. Paul,175A,Elk Point,62,20,8,3,1,94,300
Westlock--St. Paul/Westlock--St. Paul,175B,Elk Point,50,17,19,7,1,94,326
Westlock--St. Paul/Westlock--St. Paul,175C,Elk Point,94,20,13,10,0,137,404
Westlock--St. Paul/Westlock--St. Paul,176,Elk Point,Void,,,,,,
Westlock--St. Paul/Westlock--St. Paul,177,Elk Point,31,13,6,6,0,56,118
Westlock--St. Paul/Westlock--St. Paul,178,Fishing Lake Metis Settlement,7,69,10,3,0,89,234
Westlock--St. Paul/Westlock--St. Paul,179,Puskiakiwenin 122,1,138,0,0,0,139,392
Westlock--St. Paul/Westlock--St. Paul,180,Northern Valley,68,11,3,4,0,86,123
Westlock--St. Paul/Westlock--St. Paul,181,Tulliby Lake,75,16,1,1,0,93,210
Westlock--St. Paul/Westlock--St. Paul,500,Mobile poll/Bureau itinérant,114,29,15,9,1,168,296
Westlock--St. Paul/Westlock--St. Paul,501,Mobile poll/Bureau itinérant,59,28,8,8,5,108,143
Westlock--St. Paul/Westlock--St. Paul,502,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,14
Westlock--St. Paul/Westlock--St. Paul,503,Mobile poll/Bureau itinérant,24,16,8,5,1,54,68
Westlock--St. Paul/Westlock--St. Paul,504,Mobile poll/Bureau itinérant,33,22,2,0,0,57,96
Westlock--St. Paul/Westlock--St. Paul,505,Mobile poll/Bureau itinérant,27,28,4,1,1,61,114
Westlock--St. Paul/Westlock--St. Paul,506,Mobile poll/Bureau itinérant,58,29,16,2,0,105,205
Westlock--St. Paul/Westlock--St. Paul,507,Mobile poll/Bureau itinérant,66,49,10,9,3,137,228
Westlock--St. Paul/Westlock--St. Paul,508,Mobile poll/Bureau itinérant,29,24,10,3,2,68,92
Westlock--St. Paul/Westlock--St. Paul,600,Westlock County,386,41,31,17,1,476,
Westlock--St. Paul/Westlock--St. Paul,601,Morinville--Sturgeon County,290,93,26,17,0,426,
Westlock--St. Paul/Westlock--St. Paul,602,Sturgeon County South,149,25,17,6,0,197,
Westlock--St. Paul/Westlock--St. Paul,603,Sturgeon County East,243,45,44,22,20,374,
Westlock--St. Paul/Westlock--St. Paul,604,Thorhild--Waskatenau,109,15,18,4,0,146,
Westlock--St. Paul/Westlock--St. Paul,605,Smoky Lake--Vilna,94,21,11,9,1,136,
Westlock--St. Paul/Westlock--St. Paul,606,Bonnyville,322,79,24,4,2,431,
Westlock--St. Paul/Westlock--St. Paul,607,Cold Lake,382,95,44,24,0,545,
Westlock--St. Paul/Westlock--St. Paul,608,Elk Point--St. Paul,137,42,8,10,0,197,
Westlock--St. Paul/Westlock--St. Paul,,Group 1/Groupe 1,202,76,25,9,8,320,904
Westlock--St. Paul/Westlock--St. Paul,,Group 2/Groupe 2,265,78,37,16,17,413,
