District,Poll Number,Poll Name,Chris Axworthy,David Greenfield,Priscilla Settee,Maurice Vellacott,Rejected Ballots,Total Vote,Electors
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,1,Mullingar,11,0,12,61,0,84,133
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,2,Mayfair,18,5,21,93,0,137,245
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,3,Pebble Baye,14,3,5,33,0,55,91
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,3-1,Pebble Baye,76,3,22,21,2,124,234
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,4,Parkside,28,4,21,106,0,159,250
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,5,Leask,13,8,19,91,0,131,200
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,6,Leask,32,3,29,137,0,201,368
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,7,Marcelin,51,4,31,58,0,144,299
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,8,Blaine Lake,86,6,26,100,0,218,387
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,9,Blaine Lake,30,4,5,74,0,113,206
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,10,Speers,42,9,35,104,0,190,301
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,11,Hafford,18,7,17,93,0,135,251
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,12,Hafford,37,12,34,104,0,187,328
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,13,Maymont,50,8,29,101,0,188,290
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,14,Radisson,42,5,18,105,0,170,243
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,15,Radisson,48,5,43,110,1,207,375
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,16,Borden,73,10,41,139,2,265,353
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,17,Langham,Merged with No. 18A,,,,,,34
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,18A,Langham,37,5,30,68,0,140,290
Saskatoon--Wanuskewin/Saskatoon--Wanuskewin,18B,Langham,49,4,28,173,0,254,404
