District,Poll Number,Poll Name,John Akpata,Raymond Aubin,Saroj Bains,John Ford,Monia Mazigh,David McGuinty,Alan Riddell,Brad Thomson,Rejected Ballots,Total Vote,Electors
Ottawa South/Ottawa-Sud,1,Ottawa,4,8,1,19,25,161,127,1,5,351,511
Ottawa South/Ottawa-Sud,2,Ottawa,0,4,0,12,17,91,57,4,0,185,315
Ottawa South/Ottawa-Sud,3,Ottawa,2,0,0,16,38,78,50,4,1,189,326
Ottawa South/Ottawa-Sud,4,Ottawa,3,1,0,18,48,122,92,0,1,285,427
Ottawa South/Ottawa-Sud,5,Ottawa,2,0,0,18,34,96,50,5,2,207,300
Ottawa South/Ottawa-Sud,6,Ottawa,0,0,1,26,45,112,77,2,1,264,498
Ottawa South/Ottawa-Sud,7,Ottawa,1,0,1,4,49,91,36,2,1,185,530
Ottawa South/Ottawa-Sud,8,Ottawa,5,0,0,22,44,175,103,2,1,352,372
Ottawa South/Ottawa-Sud,9,Ottawa,5,3,1,28,38,138,90,0,2,305,436
Ottawa South/Ottawa-Sud,10,Ottawa,2,0,0,19,71,149,76,1,1,319,501
Ottawa South/Ottawa-Sud,11,Ottawa,3,0,1,22,49,142,68,3,1,289,442
Ottawa South/Ottawa-Sud,12,Ottawa,1,1,0,18,25,79,57,1,0,182,302
Ottawa South/Ottawa-Sud,13,Ottawa,2,1,0,28,21,131,85,1,0,269,422
Ottawa South/Ottawa-Sud,14,Ottawa,1,0,0,5,18,74,67,2,1,168,319
Ottawa South/Ottawa-Sud,15,Ottawa,Merged with No. 8,,,,,,,,,,136
Ottawa South/Ottawa-Sud,16,Ottawa,3,1,0,29,37,119,102,0,2,293,425
Ottawa South/Ottawa-Sud,17,Ottawa,3,2,0,15,69,99,39,2,1,230,441
Ottawa South/Ottawa-Sud,18,Ottawa,3,5,0,5,24,80,50,1,3,171,315
Ottawa South/Ottawa-Sud,19,Ottawa,1,0,0,13,15,128,94,0,1,252,380
Ottawa South/Ottawa-Sud,20,Ottawa,0,0,0,16,22,138,61,0,2,239,364
Ottawa South/Ottawa-Sud,21,Ottawa,4,0,0,7,23,132,86,2,2,256,359
Ottawa South/Ottawa-Sud,22,Ottawa,1,0,0,23,32,136,66,3,0,261,383
Ottawa South/Ottawa-Sud,23,Ottawa,2,1,0,22,36,153,98,1,0,313,441
Ottawa South/Ottawa-Sud,24,Ottawa,3,0,0,19,20,136,78,1,0,257,366
Ottawa South/Ottawa-Sud,25,Ottawa,1,0,0,19,26,112,74,2,0,234,332
Ottawa South/Ottawa-Sud,26,Ottawa,1,1,0,10,43,124,73,0,5,257,466
Ottawa South/Ottawa-Sud,27,Ottawa,3,0,2,16,37,116,80,0,2,256,379
Ottawa South/Ottawa-Sud,28,Ottawa,0,3,0,25,23,138,67,2,0,258,401
Ottawa South/Ottawa-Sud,29,Ottawa,1,0,0,24,26,120,67,2,1,241,380
Ottawa South/Ottawa-Sud,30,Ottawa,4,0,0,23,42,96,71,2,5,243,382
Ottawa South/Ottawa-Sud,31,Ottawa,2,0,0,20,25,107,67,1,0,222,350
Ottawa South/Ottawa-Sud,32,Ottawa,1,0,0,14,21,145,83,0,0,264,387
Ottawa South/Ottawa-Sud,33,Ottawa,3,0,1,25,18,120,67,2,3,239,357
Ottawa South/Ottawa-Sud,34,Ottawa,1,2,0,14,38,115,55,3,0,228,368
Ottawa South/Ottawa-Sud,35,Ottawa,1,1,1,15,26,70,66,0,2,182,374
Ottawa South/Ottawa-Sud,36,Ottawa,Void,,,,,,,,,,
Ottawa South/Ottawa-Sud,37,Ottawa,1,0,0,11,24,143,94,0,0,273,391
Ottawa South/Ottawa-Sud,38,Ottawa,0,2,0,12,24,103,74,0,1,216,346
Ottawa South/Ottawa-Sud,39,Ottawa,0,0,1,11,14,129,83,0,1,239,370
Ottawa South/Ottawa-Sud,40,Ottawa,0,2,0,12,12,129,84,1,1,241,492
Ottawa South/Ottawa-Sud,41,Ottawa,1,0,0,3,9,67,38,0,0,118,265
Ottawa South/Ottawa-Sud,42,Ottawa,1,0,1,10,13,110,65,0,1,201,339
Ottawa South/Ottawa-Sud,43,Ottawa,0,0,1,21,15,156,74,1,2,270,400
Ottawa South/Ottawa-Sud,44,Ottawa,0,0,0,6,19,123,99,2,1,250,345
Ottawa South/Ottawa-Sud,45,Ottawa,2,0,1,12,25,115,83,1,0,239,351
Ottawa South/Ottawa-Sud,46,Ottawa,1,3,0,15,45,101,87,2,0,254,434
Ottawa South/Ottawa-Sud,47,Ottawa,0,1,0,20,15,101,100,2,1,240,361
Ottawa South/Ottawa-Sud,48,Ottawa,1,3,0,19,22,126,82,2,2,257,379
Ottawa South/Ottawa-Sud,49,Ottawa,0,0,0,9,19,132,71,0,0,231,352
Ottawa South/Ottawa-Sud,50,Ottawa,1,0,0,19,21,87,115,2,3,248,359
Ottawa South/Ottawa-Sud,51,Ottawa,1,1,0,19,26,101,95,0,1,244,383
Ottawa South/Ottawa-Sud,52,Ottawa,2,1,0,21,25,105,99,1,0,254,372
Ottawa South/Ottawa-Sud,53,Ottawa,1,2,1,19,23,127,84,1,1,259,356
Ottawa South/Ottawa-Sud,54,Ottawa,5,5,1,18,25,116,93,2,0,265,363
Ottawa South/Ottawa-Sud,55,Ottawa,2,1,0,7,27,90,72,1,3,203,385
Ottawa South/Ottawa-Sud,56,Ottawa,0,1,0,16,29,106,62,2,0,216,397
Ottawa South/Ottawa-Sud,57,Ottawa,0,1,0,25,16,98,79,3,1,223,352
Ottawa South/Ottawa-Sud,58,Ottawa,0,0,1,21,14,93,109,1,1,240,378
Ottawa South/Ottawa-Sud,59,Ottawa,3,2,0,20,23,104,90,1,0,243,393
Ottawa South/Ottawa-Sud,60,Ottawa,3,2,0,23,19,98,62,0,1,208,335
Ottawa South/Ottawa-Sud,61,Ottawa,0,1,0,18,25,82,69,1,4,200,368
Ottawa South/Ottawa-Sud,62,Ottawa,2,4,0,11,19,102,65,0,0,203,367
Ottawa South/Ottawa-Sud,63,Ottawa,0,0,0,10,28,105,77,1,0,221,394
Ottawa South/Ottawa-Sud,64,Ottawa,1,0,0,9,15,77,51,2,1,156,337
Ottawa South/Ottawa-Sud,65,Ottawa,2,1,1,15,26,118,91,4,1,259,423
Ottawa South/Ottawa-Sud,66,Ottawa,2,0,1,16,24,102,117,0,6,268,397
Ottawa South/Ottawa-Sud,67,Ottawa,2,1,0,4,38,60,29,2,3,139,423
Ottawa South/Ottawa-Sud,68,Ottawa,2,2,0,0,56,58,29,0,1,148,395
Ottawa South/Ottawa-Sud,69,Ottawa,6,3,0,4,40,110,45,3,3,214,326
Ottawa South/Ottawa-Sud,70,Ottawa,2,3,0,14,24,130,108,0,3,284,407
Ottawa South/Ottawa-Sud,71,Ottawa,1,1,0,6,23,106,96,1,0,234,358
Ottawa South/Ottawa-Sud,72,Ottawa,3,0,0,9,25,95,79,2,3,216,359
Ottawa South/Ottawa-Sud,73,Ottawa,1,0,0,5,39,84,68,4,2,203,384
Ottawa South/Ottawa-Sud,74,Ottawa,2,1,1,8,30,128,85,1,1,257,418
Ottawa South/Ottawa-Sud,75,Ottawa,2,1,0,6,53,74,51,4,0,191,344
Ottawa South/Ottawa-Sud,76,Ottawa,4,2,0,11,46,88,62,2,0,215,447
Ottawa South/Ottawa-Sud,77,Ottawa,2,0,0,8,23,61,68,1,1,164,309
Ottawa South/Ottawa-Sud,78,Ottawa,3,0,1,8,14,71,58,0,2,157,260
Ottawa South/Ottawa-Sud,79,Ottawa,8,1,1,14,37,112,91,1,0,265,411
Ottawa South/Ottawa-Sud,80,Ottawa,3,6,0,8,34,129,79,2,2,263,390
Ottawa South/Ottawa-Sud,81,Ottawa,2,1,1,21,62,95,59,2,0,243,403
Ottawa South/Ottawa-Sud,82,Ottawa,4,1,0,19,34,112,92,1,5,268,429
Ottawa South/Ottawa-Sud,83,Ottawa,3,0,2,14,42,96,76,1,2,236,353
Ottawa South/Ottawa-Sud,84,Ottawa,1,2,1,16,68,69,68,2,1,228,388
Ottawa South/Ottawa-Sud,85,Ottawa,5,1,0,16,37,98,94,1,1,253,405
Ottawa South/Ottawa-Sud,86,Ottawa,1,6,1,16,38,197,104,0,0,363,373
Ottawa South/Ottawa-Sud,87,Ottawa,Merged with No. 86,,,,,,,,,,120
Ottawa South/Ottawa-Sud,88,Ottawa,0,0,0,11,9,150,57,1,4,232,470
Ottawa South/Ottawa-Sud,89,Ottawa,3,2,0,11,18,93,80,5,1,213,330
Ottawa South/Ottawa-Sud,90,Ottawa,0,0,2,22,45,118,96,1,3,287,424
Ottawa South/Ottawa-Sud,91,Ottawa,7,1,0,16,39,64,63,0,1,191,418
Ottawa South/Ottawa-Sud,92,Ottawa,2,0,2,18,40,95,42,1,0,200,509
Ottawa South/Ottawa-Sud,93,Ottawa,1,0,1,23,34,121,78,1,1,260,403
Ottawa South/Ottawa-Sud,94,Ottawa,1,0,0,29,36,140,68,1,3,278,423
Ottawa South/Ottawa-Sud,95,Ottawa,1,0,0,9,35,107,88,1,0,241,364
Ottawa South/Ottawa-Sud,96,Ottawa,1,3,1,10,13,122,100,0,2,252,343
Ottawa South/Ottawa-Sud,97,Ottawa,0,0,0,13,12,103,80,0,0,208,351
Ottawa South/Ottawa-Sud,98,Ottawa,2,0,0,26,29,123,103,1,1,285,397
Ottawa South/Ottawa-Sud,99,Ottawa,2,3,0,15,25,92,100,2,0,239,384
Ottawa South/Ottawa-Sud,100,Ottawa,1,1,1,21,22,100,104,0,0,250,340
Ottawa South/Ottawa-Sud,101,Ottawa,2,0,0,19,40,78,56,1,1,197,298
Ottawa South/Ottawa-Sud,102,Ottawa,3,3,1,14,24,96,84,2,4,231,364
Ottawa South/Ottawa-Sud,103,Ottawa,1,0,0,17,26,106,115,1,0,266,371
Ottawa South/Ottawa-Sud,104,Ottawa,3,2,2,17,31,124,98,1,0,278,401
Ottawa South/Ottawa-Sud,105,Ottawa,2,2,1,11,45,135,74,1,3,274,379
Ottawa South/Ottawa-Sud,106,Ottawa,7,2,0,13,63,100,55,2,3,245,528
Ottawa South/Ottawa-Sud,107,Ottawa,1,1,0,12,75,80,56,3,1,229,444
Ottawa South/Ottawa-Sud,108,Ottawa,4,0,0,14,76,58,32,0,4,188,335
Ottawa South/Ottawa-Sud,109,Ottawa,2,1,0,4,33,59,37,0,3,139,399
Ottawa South/Ottawa-Sud,110,Ottawa,0,0,0,9,48,50,24,0,1,132,317
Ottawa South/Ottawa-Sud,111,Ottawa,3,1,0,14,46,80,59,3,1,207,410
Ottawa South/Ottawa-Sud,112,Ottawa,3,0,1,7,65,75,31,0,2,184,428
Ottawa South/Ottawa-Sud,113,Ottawa,0,0,0,0,43,70,32,0,3,148,388
Ottawa South/Ottawa-Sud,114,Ottawa,1,1,0,10,52,66,63,4,5,202,435
Ottawa South/Ottawa-Sud,115,Ottawa,3,0,0,11,26,68,44,1,1,154,296
Ottawa South/Ottawa-Sud,116,Ottawa,5,1,2,5,38,114,67,3,2,237,440
Ottawa South/Ottawa-Sud,117,Ottawa,2,1,0,6,58,120,45,2,4,238,466
Ottawa South/Ottawa-Sud,118,Ottawa,1,0,2,9,51,75,81,2,3,224,417
Ottawa South/Ottawa-Sud,119,Ottawa,1,1,0,9,29,55,37,2,0,134,336
Ottawa South/Ottawa-Sud,120,Ottawa,2,2,1,13,42,101,74,3,6,244,367
Ottawa South/Ottawa-Sud,121,Ottawa,2,1,0,16,74,79,41,4,2,219,490
