District,Poll Number,Poll Name,Anthony Barendregt,Bruce Benson,James Bezan,Trevor Farley,Duane Nicol,Rejected Ballots,Total Vote,Electors
Selkirk--Interlake/Selkirk--Interlake,1,St. Martin,1,18,90,2,41,0,152,247
Selkirk--Interlake/Selkirk--Interlake,1-1,St. Martin,0,7,1,0,1,0,9,10
Selkirk--Interlake/Selkirk--Interlake,2,Dauphin River,2,22,5,0,8,1,38,68
Selkirk--Interlake/Selkirk--Interlake,3,Grahamdale,3,22,159,3,24,0,211,315
Selkirk--Interlake/Selkirk--Interlake,4,Lake St. Martin,2,100,1,1,15,0,119,454
Selkirk--Interlake/Selkirk--Interlake,5,Little Saskatchewan,0,99,4,1,22,0,126,237
Selkirk--Interlake/Selkirk--Interlake,6A,Fairford 50,1,92,3,1,15,0,112,316
Selkirk--Interlake/Selkirk--Interlake,6B,Fairford 50,0,86,6,0,18,0,110,305
Selkirk--Interlake/Selkirk--Interlake,7,Dallas,0,3,13,0,3,0,19,38
Selkirk--Interlake/Selkirk--Interlake,8,Jackhead Harbour,0,70,0,0,9,0,79,185
Selkirk--Interlake/Selkirk--Interlake,9,Matheson Island,0,9,10,3,33,0,55,69
Selkirk--Interlake/Selkirk--Interlake,10A,Fisher River,0,76,3,0,15,0,94,330
Selkirk--Interlake/Selkirk--Interlake,10B,Fisher River,0,69,6,0,31,0,106,442
Selkirk--Interlake/Selkirk--Interlake,11,Little Bullhead,1,2,7,3,15,0,28,78
Selkirk--Interlake/Selkirk--Interlake,12,Peguis,2,34,2,3,29,0,70,302
Selkirk--Interlake/Selkirk--Interlake,13A,Peguis,0,62,6,1,41,0,110,365
Selkirk--Interlake/Selkirk--Interlake,13B,Peguis,2,47,5,1,26,0,81,403
Selkirk--Interlake/Selkirk--Interlake,14,Peguis,1,64,5,2,55,1,128,435
Selkirk--Interlake/Selkirk--Interlake,15A,Hodgson,0,14,58,1,31,1,105,271
Selkirk--Interlake/Selkirk--Interlake,15B,Hodgson,1,19,41,3,15,1,80,264
Selkirk--Interlake/Selkirk--Interlake,16,Fisher Branch,0,22,69,3,54,0,148,211
