District,Poll Number,Poll Name,Dan Douglas,Bruce Knutson,Daryl Kramp,Tom Lawson,Joseph Sahadat,Rejected Ballots,Total Vote,Electors
Prince Edward--Hastings/Prince Edward--Hastings,1,Bangor,28,48,94,5,1,1,177,306
Prince Edward--Hastings/Prince Edward--Hastings,2,Bangor,43,40,100,12,1,2,198,343
Prince Edward--Hastings/Prince Edward--Hastings,3,Bangor,21,56,139,6,0,0,222,367
Prince Edward--Hastings/Prince Edward--Hastings,4,Herschel,11,17,74,0,3,1,106,194
Prince Edward--Hastings/Prince Edward--Hastings,5,Monteagle,32,43,79,7,0,0,161,305
Prince Edward--Hastings/Prince Edward--Hastings,6,Herschel,22,50,62,4,2,1,141,245
Prince Edward--Hastings/Prince Edward--Hastings,7,Herschel,39,67,169,8,3,3,289,476
Prince Edward--Hastings/Prince Edward--Hastings,8,Monteagle,15,20,48,1,0,0,84,249
Prince Edward--Hastings/Prince Edward--Hastings,9,Monteagle,45,51,98,8,0,0,202,386
Prince Edward--Hastings/Prince Edward--Hastings,10,Carlow,32,39,122,10,3,0,206,291
Prince Edward--Hastings/Prince Edward--Hastings,11,Mayo,21,32,124,3,1,0,181,304
Prince Edward--Hastings/Prince Edward--Hastings,12,Faraday,30,37,76,5,0,2,150,305
Prince Edward--Hastings/Prince Edward--Hastings,13,Faraday,41,50,109,9,1,1,211,327
Prince Edward--Hastings/Prince Edward--Hastings,14,Faraday,8,37,47,7,0,0,99,208
Prince Edward--Hastings/Prince Edward--Hastings,15,Bancroft,43,44,127,4,1,0,219,504
Prince Edward--Hastings/Prince Edward--Hastings,16,Bancroft,18,47,65,3,0,0,133,275
Prince Edward--Hastings/Prince Edward--Hastings,17,Bancroft,15,22,47,0,0,0,84,263
Prince Edward--Hastings/Prince Edward--Hastings,18,Bancroft,39,29,73,3,0,1,145,287
Prince Edward--Hastings/Prince Edward--Hastings,19,Dungannon,34,34,125,3,3,1,200,430
Prince Edward--Hastings/Prince Edward--Hastings,20,Bancroft,34,59,97,7,0,0,197,382
Prince Edward--Hastings/Prince Edward--Hastings,21,Bancroft,41,59,137,4,1,1,243,515
Prince Edward--Hastings/Prince Edward--Hastings,22,Bancroft,16,35,76,7,1,0,135,258
Prince Edward--Hastings/Prince Edward--Hastings,23,Dungannon,31,44,109,11,3,2,200,341
Prince Edward--Hastings/Prince Edward--Hastings,24,Dungannon,36,58,140,13,0,2,249,442
Prince Edward--Hastings/Prince Edward--Hastings,25,Wollaston,29,25,60,7,0,0,121,218
Prince Edward--Hastings/Prince Edward--Hastings,26,Limerick,24,22,51,6,2,0,105,156
Prince Edward--Hastings/Prince Edward--Hastings,27,Tudor and Cashel,8,13,20,0,0,1,42,76
Prince Edward--Hastings/Prince Edward--Hastings,28,Wollaston,48,58,129,8,2,0,245,444
Prince Edward--Hastings/Prince Edward--Hastings,29,Tudor and Cashel,41,39,156,8,0,0,244,476
Prince Edward--Hastings/Prince Edward--Hastings,30,Elzevir and Grimsthorpe,16,22,65,7,1,0,111,232
Prince Edward--Hastings/Prince Edward--Hastings,31,Marmora and Lake,38,74,149,18,1,0,280,492
Prince Edward--Hastings/Prince Edward--Hastings,32,Marmora and Lake,52,96,152,11,1,6,318,474
Prince Edward--Hastings/Prince Edward--Hastings,33,Marmora and Lake,33,41,48,5,1,0,128,210
Prince Edward--Hastings/Prince Edward--Hastings,34,Marmora,52,82,139,6,3,4,286,542
Prince Edward--Hastings/Prince Edward--Hastings,35,Marmora,36,45,121,7,1,1,211,352
Prince Edward--Hastings/Prince Edward--Hastings,36,Marmora,20,62,100,13,0,1,196,482
Prince Edward--Hastings/Prince Edward--Hastings,37,Marmora and Lake,25,54,123,13,3,0,218,306
Prince Edward--Hastings/Prince Edward--Hastings,38,Madoc,46,59,155,20,0,0,280,603
Prince Edward--Hastings/Prince Edward--Hastings,39,Madoc,30,40,106,5,0,0,181,333
Prince Edward--Hastings/Prince Edward--Hastings,40,Madoc,49,67,150,9,2,3,280,530
Prince Edward--Hastings/Prince Edward--Hastings,41,Madoc,22,54,115,6,2,2,201,428
Prince Edward--Hastings/Prince Edward--Hastings,42,Madoc,30,61,123,7,3,0,224,333
Prince Edward--Hastings/Prince Edward--Hastings,43,Madoc,14,24,81,1,0,0,120,248
Prince Edward--Hastings/Prince Edward--Hastings,44,Madoc,17,22,91,4,0,0,134,271
Prince Edward--Hastings/Prince Edward--Hastings,45,Huntingdon,29,58,188,5,1,0,281,477
Prince Edward--Hastings/Prince Edward--Hastings,46,Rawdon,27,27,63,9,0,0,126,190
Prince Edward--Hastings/Prince Edward--Hastings,47,Rawdon,45,28,141,4,1,0,219,352
Prince Edward--Hastings/Prince Edward--Hastings,48,Rawdon,29,40,134,10,0,0,213,335
Prince Edward--Hastings/Prince Edward--Hastings,49,Rawdon,42,55,131,17,0,2,247,444
Prince Edward--Hastings/Prince Edward--Hastings,50,Rawdon,6,28,126,5,0,2,167,289
Prince Edward--Hastings/Prince Edward--Hastings,51,Rawdon,35,62,101,13,1,0,212,320
Prince Edward--Hastings/Prince Edward--Hastings,52A,Stirling,25,59,99,6,2,0,191,364
Prince Edward--Hastings/Prince Edward--Hastings,52B,Stirling,19,55,80,7,0,0,161,318
Prince Edward--Hastings/Prince Edward--Hastings,53,Stirling,28,58,128,3,0,1,218,330
Prince Edward--Hastings/Prince Edward--Hastings,54,Stirling,34,59,112,6,0,0,211,303
Prince Edward--Hastings/Prince Edward--Hastings,55,Stirling,32,76,126,11,0,0,245,372
Prince Edward--Hastings/Prince Edward--Hastings,56,Elzevir and Grimsthorpe,58,85,114,19,4,2,282,520
Prince Edward--Hastings/Prince Edward--Hastings,57,Hungerford,24,64,76,10,0,1,175,325
Prince Edward--Hastings/Prince Edward--Hastings,58,Hungerford,24,61,109,7,0,1,202,394
Prince Edward--Hastings/Prince Edward--Hastings,59,Tweed,41,92,89,16,2,4,244,446
Prince Edward--Hastings/Prince Edward--Hastings,60,Tweed,25,59,79,4,4,1,172,311
Prince Edward--Hastings/Prince Edward--Hastings,61,Tweed,35,61,93,16,3,5,213,340
Prince Edward--Hastings/Prince Edward--Hastings,62,Hungerford,46,109,88,15,1,1,260,472
Prince Edward--Hastings/Prince Edward--Hastings,63,Hungerford,46,83,133,14,1,0,277,487
Prince Edward--Hastings/Prince Edward--Hastings,64,Hungerford,58,56,102,21,2,2,241,414
Prince Edward--Hastings/Prince Edward--Hastings,65,Hungerford,75,77,161,15,0,1,329,501
Prince Edward--Hastings/Prince Edward--Hastings,66,Huntingdon,28,31,111,7,3,0,180,259
Prince Edward--Hastings/Prince Edward--Hastings,67,Huntingdon,22,41,80,14,0,0,157,250
Prince Edward--Hastings/Prince Edward--Hastings,68,Huntingdon,55,104,173,17,3,1,353,568
Prince Edward--Hastings/Prince Edward--Hastings,69,Huntingdon,23,65,120,16,1,0,225,309
Prince Edward--Hastings/Prince Edward--Hastings,70,Belleville,22,76,96,10,0,1,205,339
Prince Edward--Hastings/Prince Edward--Hastings,71,Belleville,40,83,123,10,2,1,259,439
Prince Edward--Hastings/Prince Edward--Hastings,72,Belleville,17,65,71,8,0,0,161,319
Prince Edward--Hastings/Prince Edward--Hastings,73,Belleville,24,59,115,8,0,0,206,373
Prince Edward--Hastings/Prince Edward--Hastings,74,Belleville,25,70,88,12,2,0,197,361
Prince Edward--Hastings/Prince Edward--Hastings,75,Belleville,27,86,68,3,2,1,187,322
Prince Edward--Hastings/Prince Edward--Hastings,76,Belleville,35,76,93,10,0,0,214,395
Prince Edward--Hastings/Prince Edward--Hastings,77,Belleville,23,58,73,2,2,0,158,412
Prince Edward--Hastings/Prince Edward--Hastings,78,Belleville,29,82,101,9,2,3,226,348
Prince Edward--Hastings/Prince Edward--Hastings,79,Belleville,20,129,115,5,0,2,271,496
Prince Edward--Hastings/Prince Edward--Hastings,80,Belleville,30,62,62,3,0,0,157,355
Prince Edward--Hastings/Prince Edward--Hastings,81,Belleville,31,94,138,3,0,0,266,515
Prince Edward--Hastings/Prince Edward--Hastings,82,Belleville,18,78,98,5,1,0,200,457
Prince Edward--Hastings/Prince Edward--Hastings,83,Belleville,40,84,75,9,0,1,209,361
Prince Edward--Hastings/Prince Edward--Hastings,84,Belleville,25,89,76,3,1,1,195,349
Prince Edward--Hastings/Prince Edward--Hastings,85,Belleville,6,81,60,25,0,0,172,264
Prince Edward--Hastings/Prince Edward--Hastings,86,Tyendinaga (Read),49,67,135,13,1,1,266,452
Prince Edward--Hastings/Prince Edward--Hastings,87,Tyendinaga (Read),15,41,50,4,1,0,111,235
Prince Edward--Hastings/Prince Edward--Hastings,88,Tyendinaga (Read),28,122,82,17,1,0,250,404
Prince Edward--Hastings/Prince Edward--Hastings,89,Tyendinaga (Read),30,73,68,17,2,1,191,351
Prince Edward--Hastings/Prince Edward--Hastings,90,Tyendinaga (Shannonville),42,77,83,8,1,1,212,373
Prince Edward--Hastings/Prince Edward--Hastings,91,Tyendinaga (Shannonville),18,54,47,4,0,0,123,294
Prince Edward--Hastings/Prince Edward--Hastings,92,Tyendinaga,30,79,63,9,0,0,181,345
Prince Edward--Hastings/Prince Edward--Hastings,93,Tyendinaga (Shannonville),19,16,11,3,0,0,49,242
Prince Edward--Hastings/Prince Edward--Hastings,94,Tyendinaga Mohawk Territory,45,58,34,1,1,2,141,401
Prince Edward--Hastings/Prince Edward--Hastings,95,Tyendinaga Mohawk Territory,16,31,12,0,1,0,60,207
Prince Edward--Hastings/Prince Edward--Hastings,96,Tyendinaga Mohawk Territory,13,28,24,1,1,0,67,293
Prince Edward--Hastings/Prince Edward--Hastings,97,Deseronto,39,45,71,6,2,2,165,360
Prince Edward--Hastings/Prince Edward--Hastings,98,Deseronto,42,54,67,6,3,2,174,332
Prince Edward--Hastings/Prince Edward--Hastings,99,Deseronto,38,62,52,6,2,0,160,305
Prince Edward--Hastings/Prince Edward--Hastings,100,Deseronto,35,64,48,8,2,0,157,317
Prince Edward--Hastings/Prince Edward--Hastings,101,Belleville,20,105,53,5,0,0,183,330
Prince Edward--Hastings/Prince Edward--Hastings,102,Belleville,30,61,45,8,1,1,146,297
Prince Edward--Hastings/Prince Edward--Hastings,103,Belleville,30,58,47,12,0,1,148,426
Prince Edward--Hastings/Prince Edward--Hastings,104,Belleville,14,104,89,6,0,1,214,360
Prince Edward--Hastings/Prince Edward--Hastings,105,Belleville,25,107,75,8,0,0,215,464
Prince Edward--Hastings/Prince Edward--Hastings,106,Belleville,39,174,134,14,3,1,365,634
Prince Edward--Hastings/Prince Edward--Hastings,107,Belleville,38,86,72,11,4,1,212,394
Prince Edward--Hastings/Prince Edward--Hastings,108,Belleville,40,65,54,2,1,4,166,347
Prince Edward--Hastings/Prince Edward--Hastings,109,Belleville,36,122,76,11,0,0,245,412
Prince Edward--Hastings/Prince Edward--Hastings,110,Belleville,25,167,69,7,1,0,269,447
Prince Edward--Hastings/Prince Edward--Hastings,111,Belleville,23,95,62,4,1,0,185,351
Prince Edward--Hastings/Prince Edward--Hastings,112,Belleville,38,121,77,6,0,1,243,437
Prince Edward--Hastings/Prince Edward--Hastings,113,Belleville,32,74,84,9,2,2,203,593
Prince Edward--Hastings/Prince Edward--Hastings,114,Belleville,20,49,34,9,1,3,116,293
Prince Edward--Hastings/Prince Edward--Hastings,115,Belleville,20,53,44,8,1,0,126,196
Prince Edward--Hastings/Prince Edward--Hastings,116,Belleville,39,87,82,5,4,3,220,398
Prince Edward--Hastings/Prince Edward--Hastings,117,Belleville,41,64,44,9,0,0,158,398
Prince Edward--Hastings/Prince Edward--Hastings,118,Belleville,33,80,50,5,0,2,170,443
Prince Edward--Hastings/Prince Edward--Hastings,119,Belleville,33,91,56,5,2,1,188,347
Prince Edward--Hastings/Prince Edward--Hastings,120,Belleville,31,49,65,5,1,0,151,339
Prince Edward--Hastings/Prince Edward--Hastings,121,Belleville,29,36,16,2,1,0,84,300
Prince Edward--Hastings/Prince Edward--Hastings,122,Belleville,16,89,55,5,3,0,168,282
Prince Edward--Hastings/Prince Edward--Hastings,123,Belleville,70,125,118,7,1,1,322,607
Prince Edward--Hastings/Prince Edward--Hastings,124,Belleville,55,81,80,6,0,0,222,521
Prince Edward--Hastings/Prince Edward--Hastings,125,Belleville,50,41,38,11,1,0,141,378
Prince Edward--Hastings/Prince Edward--Hastings,126,Belleville,46,43,43,6,0,0,138,408
Prince Edward--Hastings/Prince Edward--Hastings,127,Belleville,37,54,42,4,1,0,138,361
Prince Edward--Hastings/Prince Edward--Hastings,128,Belleville,37,75,60,10,1,1,184,358
Prince Edward--Hastings/Prince Edward--Hastings,129,Belleville,27,115,53,13,0,0,208,415
Prince Edward--Hastings/Prince Edward--Hastings,130,Belleville,28,118,52,8,2,0,208,436
Prince Edward--Hastings/Prince Edward--Hastings,131,Belleville,42,97,61,6,1,3,210,381
Prince Edward--Hastings/Prince Edward--Hastings,132,Belleville,50,124,38,16,0,0,228,439
Prince Edward--Hastings/Prince Edward--Hastings,133,Belleville,43,110,62,11,1,1,228,444
Prince Edward--Hastings/Prince Edward--Hastings,134,Belleville,35,117,52,9,2,0,215,399
Prince Edward--Hastings/Prince Edward--Hastings,135,Belleville,50,129,87,6,2,0,274,449
Prince Edward--Hastings/Prince Edward--Hastings,136,Belleville,22,137,48,6,0,2,215,383
Prince Edward--Hastings/Prince Edward--Hastings,137,Belleville,24,97,42,14,2,0,179,362
Prince Edward--Hastings/Prince Edward--Hastings,138,Belleville,41,112,48,10,3,1,215,405
Prince Edward--Hastings/Prince Edward--Hastings,139,Belleville,21,111,42,6,0,1,181,331
Prince Edward--Hastings/Prince Edward--Hastings,140,Belleville,28,176,112,8,1,1,326,631
Prince Edward--Hastings/Prince Edward--Hastings,141,Belleville,40,132,61,7,1,0,241,367
Prince Edward--Hastings/Prince Edward--Hastings,142,Belleville,22,141,65,9,0,0,237,408
Prince Edward--Hastings/Prince Edward--Hastings,143,Belleville,22,117,58,6,0,1,204,348
Prince Edward--Hastings/Prince Edward--Hastings,144,Belleville,38,174,66,7,0,1,286,449
Prince Edward--Hastings/Prince Edward--Hastings,145,Belleville,24,133,56,3,1,0,217,392
