District,Poll Number,Poll Name,Steve Armstrong,Chris Bradshaw,Gord Brown,Joe Jordan,Rejected Ballots,Total Vote,Electors
Leeds--Grenville/Leeds--Grenville,136,Augusta,23,4,85,35,0,147,221
Leeds--Grenville/Leeds--Grenville,137,Augusta,37,17,98,38,0,190,309
Leeds--Grenville/Leeds--Grenville,138,Augusta,43,10,156,62,0,271,404
Leeds--Grenville/Leeds--Grenville,139,Augusta,39,13,144,52,2,250,421
Leeds--Grenville/Leeds--Grenville,140,Augusta,48,20,165,78,1,312,474
Leeds--Grenville/Leeds--Grenville,141,Augusta,27,7,142,84,1,261,436
Leeds--Grenville/Leeds--Grenville,142,Augusta,38,9,133,90,0,270,435
Leeds--Grenville/Leeds--Grenville,143,Augusta,43,7,189,93,0,332,548
Leeds--Grenville/Leeds--Grenville,144,Augusta,28,9,162,61,2,262,380
Leeds--Grenville/Leeds--Grenville,145,Augusta,5,13,84,64,0,166,259
Leeds--Grenville/Leeds--Grenville,146,Augusta,33,14,190,105,2,344,486
Leeds--Grenville/Leeds--Grenville,147,Augusta,25,22,128,158,0,333,459
Leeds--Grenville/Leeds--Grenville,148,Augusta,30,16,147,87,2,282,414
Leeds--Grenville/Leeds--Grenville,149,Prescott,34,14,101,72,1,222,414
Leeds--Grenville/Leeds--Grenville,150,Prescott,29,2,71,59,1,162,334
Leeds--Grenville/Leeds--Grenville,151,Prescott,31,8,119,70,1,229,370
Leeds--Grenville/Leeds--Grenville,152,Prescott,37,11,78,103,1,230,420
Leeds--Grenville/Leeds--Grenville,153,Prescott,41,13,99,85,0,238,423
Leeds--Grenville/Leeds--Grenville,154,Prescott,23,9,88,67,4,191,364
Leeds--Grenville/Leeds--Grenville,155,Prescott,24,15,94,59,0,192,346
Leeds--Grenville/Leeds--Grenville,156,Prescott,35,10,90,77,0,212,369
Leeds--Grenville/Leeds--Grenville,157,North Grenville,19,31,119,66,0,235,382
Leeds--Grenville/Leeds--Grenville,158,North Grenville,27,32,135,67,0,261,427
Leeds--Grenville/Leeds--Grenville,159,North Grenville,23,24,127,52,2,228,327
Leeds--Grenville/Leeds--Grenville,160,North Grenville,15,17,146,67,0,245,403
Leeds--Grenville/Leeds--Grenville,161,North Grenville,25,15,127,65,1,233,368
Leeds--Grenville/Leeds--Grenville,162,North Grenville,31,21,135,49,0,236,358
Leeds--Grenville/Leeds--Grenville,163,North Grenville,23,20,169,54,0,266,421
Leeds--Grenville/Leeds--Grenville,164,North Grenville,29,13,212,107,0,361,597
