District,Poll Number,Poll Name,Jordan Katz,Brian Masse,Richard Pollock,Rob Spring,Enver Villamizar,Rejected Ballots,Total Vote,Electors
Windsor West/Windsor-Ouest,1,Windsor,13,75,29,5,1,1,124,384
Windsor West/Windsor-Ouest,2,Windsor,13,35,33,3,0,2,86,289
Windsor West/Windsor-Ouest,3,Windsor,18,89,40,2,0,4,153,381
Windsor West/Windsor-Ouest,4,Windsor,20,112,26,14,1,1,174,556
Windsor West/Windsor-Ouest,5,Windsor,18,63,71,6,0,2,160,394
Windsor West/Windsor-Ouest,6,Windsor,24,111,49,2,0,0,186,492
Windsor West/Windsor-Ouest,7,Windsor,14,71,28,1,0,0,114,355
Windsor West/Windsor-Ouest,8,Windsor,37,83,34,7,1,6,168,483
Windsor West/Windsor-Ouest,9,Windsor,17,66,47,3,1,0,134,399
Windsor West/Windsor-Ouest,10,Windsor,9,61,23,7,4,0,104,264
Windsor West/Windsor-Ouest,11,Windsor,14,75,83,3,1,1,177,401
Windsor West/Windsor-Ouest,12,Windsor,22,57,56,8,1,2,146,377
Windsor West/Windsor-Ouest,13,Windsor,29,71,76,4,0,3,183,407
Windsor West/Windsor-Ouest,14,Windsor,25,91,56,3,0,2,177,407
Windsor West/Windsor-Ouest,15,Windsor,24,82,65,5,0,0,176,386
Windsor West/Windsor-Ouest,16,Windsor,38,117,61,14,0,1,231,481
Windsor West/Windsor-Ouest,17,Windsor,27,68,86,13,0,6,200,375
Windsor West/Windsor-Ouest,18,Windsor,32,73,40,8,1,4,158,469
Windsor West/Windsor-Ouest,19,Windsor,27,63,32,7,0,1,130,325
Windsor West/Windsor-Ouest,20,Windsor,22,67,35,2,0,1,127,264
Windsor West/Windsor-Ouest,21,Windsor,28,52,38,4,2,0,124,259
Windsor West/Windsor-Ouest,22,Windsor,32,123,48,14,1,1,219,469
Windsor West/Windsor-Ouest,23,Windsor,27,85,70,12,0,1,195,468
Windsor West/Windsor-Ouest,24,Windsor,40,113,60,10,1,1,225,451
Windsor West/Windsor-Ouest,25,Windsor,40,118,38,8,0,0,204,349
Windsor West/Windsor-Ouest,26,Windsor,9,38,35,3,1,1,87,236
Windsor West/Windsor-Ouest,27,Windsor,15,69,39,15,3,0,141,347
Windsor West/Windsor-Ouest,28,Windsor,15,43,32,8,1,0,99,259
Windsor West/Windsor-Ouest,29,Windsor,33,133,86,14,0,2,268,463
Windsor West/Windsor-Ouest,30,Windsor,12,45,25,6,0,2,90,224
Windsor West/Windsor-Ouest,31,Windsor,29,58,39,3,0,0,129,342
Windsor West/Windsor-Ouest,32,Windsor,23,83,30,6,1,0,143,365
Windsor West/Windsor-Ouest,33,Windsor,19,101,43,9,1,0,173,317
Windsor West/Windsor-Ouest,34,Windsor,25,70,23,8,1,1,128,227
Windsor West/Windsor-Ouest,35,Windsor,19,68,32,4,0,1,124,321
Windsor West/Windsor-Ouest,36,Windsor,20,74,22,4,0,0,120,338
Windsor West/Windsor-Ouest,37,Windsor,17,84,23,2,1,1,128,324
Windsor West/Windsor-Ouest,38,Windsor,20,59,43,5,0,0,127,386
Windsor West/Windsor-Ouest,39,Windsor,17,72,50,12,1,0,152,404
Windsor West/Windsor-Ouest,40,Windsor,20,91,34,8,1,3,157,542
Windsor West/Windsor-Ouest,41,Windsor,22,88,44,5,0,5,164,451
Windsor West/Windsor-Ouest,42,Windsor,26,93,60,13,3,0,195,489
Windsor West/Windsor-Ouest,43,Windsor,12,27,12,2,0,0,53,140
Windsor West/Windsor-Ouest,44,Windsor,17,51,30,4,0,0,102,270
Windsor West/Windsor-Ouest,45,Windsor,6,47,24,3,0,0,80,258
Windsor West/Windsor-Ouest,46,Windsor,15,47,20,9,1,0,92,280
Windsor West/Windsor-Ouest,47,Windsor,12,68,36,4,1,0,121,385
Windsor West/Windsor-Ouest,48,Windsor,8,79,37,5,0,0,129,302
Windsor West/Windsor-Ouest,49,Windsor,19,101,29,2,1,0,152,435
