District,Poll Number,Poll Name,Edmund Arthur Bull,Jon Charles Carey,Matthew Granger,Robert Thibault,Rejected Ballots,Total Vote,Electors
West Nova/Nova-Ouest,1,Canada Creek,23,20,5,25,0,73,132
West Nova/Nova-Ouest,2,Harbourville,62,86,11,68,0,227,398
West Nova/Nova-Ouest,3,Somerset,36,90,7,62,1,196,313
West Nova/Nova-Ouest,4,Somerset,35,85,9,83,2,214,339
West Nova/Nova-Ouest,5,Somerset,36,79,10,42,1,168,281
West Nova/Nova-Ouest,6,Morristown,47,94,3,83,0,227,340
West Nova/Nova-Ouest,7,Berwick West,41,56,3,44,0,144,281
West Nova/Nova-Ouest,8,South Berwick,50,60,1,73,1,185,440
West Nova/Nova-Ouest,9,Waterville,85,152,10,57,2,306,591
West Nova/Nova-Ouest,10,Waterville,13,21,5,28,0,67,105
West Nova/Nova-Ouest,11,Waterville,33,47,2,23,0,105,214
West Nova/Nova-Ouest,12,Waterville,57,61,5,61,0,184,323
West Nova/Nova-Ouest,13,North Alton,Merged with No. 6,,,,,,21
West Nova/Nova-Ouest,14,East Dalhousie,27,47,10,37,0,121,182
West Nova/Nova-Ouest,15,Berwick,66,82,8,120,2,278,517
West Nova/Nova-Ouest,16,Berwick,50,64,9,89,2,214,390
West Nova/Nova-Ouest,17,Berwick,60,99,17,96,1,273,456
West Nova/Nova-Ouest,18,Berwick,22,44,5,34,0,105,208
West Nova/Nova-Ouest,19,Berwick,40,38,3,39,1,121,288
West Nova/Nova-Ouest,20,Berwick,14,39,2,33,6,94,181
West Nova/Nova-Ouest,21,Aylesford,38,91,9,50,0,188,359
West Nova/Nova-Ouest,22,Aylesford,35,85,2,66,1,189,289
West Nova/Nova-Ouest,23,Aylesford,43,96,11,51,5,206,366
West Nova/Nova-Ouest,24,Kingston,34,76,13,89,2,214,390
West Nova/Nova-Ouest,25,Kingston,40,89,7,114,0,250,449
West Nova/Nova-Ouest,26,Kingston,43,54,2,85,1,185,352
West Nova/Nova-Ouest,27,Kingston,51,124,8,188,1,372,581
West Nova/Nova-Ouest,28,Kingston,35,81,5,140,1,262,549
West Nova/Nova-Ouest,29,Kingston,49,72,10,95,1,227,413
West Nova/Nova-Ouest,30,Greenwood,13,44,3,41,1,102,238
West Nova/Nova-Ouest,31,Kingston,35,45,10,85,1,176,352
West Nova/Nova-Ouest,32,Greenwood,24,63,6,55,0,148,486
West Nova/Nova-Ouest,33A,Greenwood,36,67,10,84,0,197,439
West Nova/Nova-Ouest,33B,Greenwood,37,75,11,81,1,205,431
West Nova/Nova-Ouest,34,Greenwood,14,32,6,30,0,82,340
West Nova/Nova-Ouest,35,Greenwood,37,62,6,117,0,222,361
West Nova/Nova-Ouest,36,Greenwood,24,59,3,90,1,177,396
West Nova/Nova-Ouest,37,Greenwood,30,97,6,95,0,228,473
West Nova/Nova-Ouest,38,Auburn,51,102,2,65,2,222,374
West Nova/Nova-Ouest,39,Auburn,55,138,10,101,0,304,519
West Nova/Nova-Ouest,40,Morristown,66,165,14,62,1,308,551
West Nova/Nova-Ouest,41,Port George,54,65,4,80,1,204,334
West Nova/Nova-Ouest,42,Margaretsville,62,64,12,109,2,249,373
West Nova/Nova-Ouest,43,Melvern Square,41,64,3,112,0,220,359
West Nova/Nova-Ouest,44,Melvern Square,41,83,6,108,0,238,391
