District,Poll Number,Poll Name,Mark de Pelham,Daria Fox,Stephen J. Harper,Larry R. Heather,Darcy Kraus,Avalon Roberts,Rejected Ballots,Total Vote,Electors
Calgary Southwest/Calgary-Sud-Ouest,57,Calgary,1,14,142,1,23,52,0,233,336
Calgary Southwest/Calgary-Sud-Ouest,58,Calgary,0,13,168,5,18,47,0,251,362
Calgary Southwest/Calgary-Sud-Ouest,59,Calgary,2,12,108,0,11,38,0,171,302
Calgary Southwest/Calgary-Sud-Ouest,60,Calgary,5,17,140,1,21,43,0,227,373
Calgary Southwest/Calgary-Sud-Ouest,61,Calgary,2,19,157,1,26,36,0,241,391
Calgary Southwest/Calgary-Sud-Ouest,62,Calgary,2,16,139,0,13,35,1,206,410
Calgary Southwest/Calgary-Sud-Ouest,63,Calgary,2,14,162,3,11,46,0,238,384
Calgary Southwest/Calgary-Sud-Ouest,64,Calgary,4,11,124,5,31,54,0,229,331
Calgary Southwest/Calgary-Sud-Ouest,65,Calgary,0,25,164,5,10,54,1,259,376
Calgary Southwest/Calgary-Sud-Ouest,66,Calgary,6,20,179,3,26,59,0,293,457
Calgary Southwest/Calgary-Sud-Ouest,67,Calgary,2,21,128,0,15,50,0,216,361
Calgary Southwest/Calgary-Sud-Ouest,68,Calgary,3,9,155,0,15,50,1,233,409
Calgary Southwest/Calgary-Sud-Ouest,69,Calgary,5,8,132,0,15,22,0,182,348
Calgary Southwest/Calgary-Sud-Ouest,70,Calgary,3,14,147,1,13,43,0,221,358
Calgary Southwest/Calgary-Sud-Ouest,71,Calgary,5,21,117,1,14,32,1,191,389
Calgary Southwest/Calgary-Sud-Ouest,72,Calgary,0,14,140,0,17,31,0,202,493
Calgary Southwest/Calgary-Sud-Ouest,73,Calgary,4,13,174,1,6,35,1,234,413
Calgary Southwest/Calgary-Sud-Ouest,74,Calgary,3,9,166,2,15,46,0,241,415
Calgary Southwest/Calgary-Sud-Ouest,75,Calgary,4,20,112,0,15,22,0,173,297
Calgary Southwest/Calgary-Sud-Ouest,76,Calgary,3,18,145,0,10,48,1,225,411
Calgary Southwest/Calgary-Sud-Ouest,77,Calgary,0,7,133,1,12,40,0,193,325
Calgary Southwest/Calgary-Sud-Ouest,78,Calgary,3,10,135,2,13,45,1,209,366
Calgary Southwest/Calgary-Sud-Ouest,79,Calgary,5,13,117,3,15,33,0,186,362
Calgary Southwest/Calgary-Sud-Ouest,80,Calgary,1,11,178,1,10,43,0,244,404
Calgary Southwest/Calgary-Sud-Ouest,81,Calgary,4,14,175,1,13,51,0,258,454
Calgary Southwest/Calgary-Sud-Ouest,82,Calgary,1,22,157,1,17,32,0,230,392
Calgary Southwest/Calgary-Sud-Ouest,83,Calgary,1,15,124,0,18,43,1,202,326
Calgary Southwest/Calgary-Sud-Ouest,84,Calgary,1,22,138,0,8,37,1,207,355
Calgary Southwest/Calgary-Sud-Ouest,85,Calgary,6,11,207,0,21,55,1,301,477
Calgary Southwest/Calgary-Sud-Ouest,86,Calgary,1,11,173,1,11,49,1,247,386
Calgary Southwest/Calgary-Sud-Ouest,87,Calgary,4,23,111,2,14,36,0,190,400
Calgary Southwest/Calgary-Sud-Ouest,88,Calgary,0,19,89,2,11,15,0,136,340
