District,Poll Number,Poll Name,Bob Callow,Jim Conrad,Pamela Courtot,Bernadette Manning,Lui Temelkovski,Maurice G Whittle,Rejected Ballots,Total Vote,Electors
Oak Ridges--Markham/Oak Ridges--Markham,1,King,62,1,8,5,62,2,0,140,235
Oak Ridges--Markham/Oak Ridges--Markham,2,Schomberg,100,1,14,11,112,3,0,241,396
Oak Ridges--Markham/Oak Ridges--Markham,3,Schomberg,110,2,26,14,123,2,2,279,506
Oak Ridges--Markham/Oak Ridges--Markham,4A,Schomberg,59,2,22,17,76,4,0,180,298
Oak Ridges--Markham/Oak Ridges--Markham,4B,Schomberg,51,3,14,25,68,4,0,165,292
Oak Ridges--Markham/Oak Ridges--Markham,5,King,111,4,13,12,103,3,2,248,438
Oak Ridges--Markham/Oak Ridges--Markham,6,King,131,10,16,26,142,6,2,333,559
Oak Ridges--Markham/Oak Ridges--Markham,7,Nobleton,122,2,22,13,103,6,2,270,502
Oak Ridges--Markham/Oak Ridges--Markham,8,Nobleton,59,0,22,10,62,2,2,157,303
Oak Ridges--Markham/Oak Ridges--Markham,9,Nobleton,79,5,7,7,66,3,2,169,277
Oak Ridges--Markham/Oak Ridges--Markham,10,Nobleton,92,5,13,10,93,4,0,217,371
Oak Ridges--Markham/Oak Ridges--Markham,11,Nobleton,130,4,18,7,171,2,2,334,513
Oak Ridges--Markham/Oak Ridges--Markham,12,Nobleton,115,5,19,15,109,3,4,270,462
Oak Ridges--Markham/Oak Ridges--Markham,13,Nobleton,62,5,14,9,97,0,2,189,323
Oak Ridges--Markham/Oak Ridges--Markham,14,Nobleton,62,0,14,14,82,3,0,175,272
Oak Ridges--Markham/Oak Ridges--Markham,15,Nobleton,90,4,30,14,97,0,0,235,374
Oak Ridges--Markham/Oak Ridges--Markham,16,Nobleton,100,5,23,11,114,2,3,258,370
Oak Ridges--Markham/Oak Ridges--Markham,17,Nobleton,79,3,30,16,143,3,0,274,498
Oak Ridges--Markham/Oak Ridges--Markham,18,King,103,2,11,10,105,0,1,232,353
Oak Ridges--Markham/Oak Ridges--Markham,19,King,76,0,15,10,86,2,1,190,279
Oak Ridges--Markham/Oak Ridges--Markham,20,King,58,7,9,12,67,0,0,153,254
Oak Ridges--Markham/Oak Ridges--Markham,21,King City,72,8,13,12,81,0,1,187,361
Oak Ridges--Markham/Oak Ridges--Markham,22A,King City,75,3,12,14,123,0,0,227,424
Oak Ridges--Markham/Oak Ridges--Markham,22B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,,,33
Oak Ridges--Markham/Oak Ridges--Markham,23,King City,81,6,17,11,91,1,1,208,446
Oak Ridges--Markham/Oak Ridges--Markham,24,King City,79,3,4,10,181,4,1,282,466
Oak Ridges--Markham/Oak Ridges--Markham,25,King City,71,0,1,7,104,0,0,183,350
Oak Ridges--Markham/Oak Ridges--Markham,26,King City,77,4,17,14,116,1,1,230,438
Oak Ridges--Markham/Oak Ridges--Markham,27,King City,87,2,16,13,90,0,0,208,422
Oak Ridges--Markham/Oak Ridges--Markham,28,King City,92,6,12,9,113,4,2,238,468
Oak Ridges--Markham/Oak Ridges--Markham,29,King City,38,1,15,12,69,4,1,140,279
Oak Ridges--Markham/Oak Ridges--Markham,30,King City,62,3,24,18,120,1,2,230,408
Oak Ridges--Markham/Oak Ridges--Markham,31,King City,77,4,13,19,151,0,5,269,440
Oak Ridges--Markham/Oak Ridges--Markham,32,King City,53,5,10,17,95,3,0,183,346
Oak Ridges--Markham/Oak Ridges--Markham,33A,Richmond Hill,69,3,22,7,108,1,2,212,405
Oak Ridges--Markham/Oak Ridges--Markham,33B,Richmond Hill,81,2,19,6,107,2,1,218,380
Oak Ridges--Markham/Oak Ridges--Markham,34,Richmond Hill,100,3,10,8,173,1,0,295,516
Oak Ridges--Markham/Oak Ridges--Markham,35,Richmond Hill,98,3,22,16,131,0,2,272,441
Oak Ridges--Markham/Oak Ridges--Markham,36A,Richmond Hill,86,3,36,16,104,1,3,249,407
Oak Ridges--Markham/Oak Ridges--Markham,36B,Richmond Hill,81,0,31,19,105,1,0,237,408
Oak Ridges--Markham/Oak Ridges--Markham,37A,Richmond Hill,39,5,13,4,115,1,3,180,284
Oak Ridges--Markham/Oak Ridges--Markham,37B,Richmond Hill,48,2,15,11,91,1,1,169,285
Oak Ridges--Markham/Oak Ridges--Markham,38,Richmond Hill,79,7,19,21,130,0,1,257,455
Oak Ridges--Markham/Oak Ridges--Markham,39A,Richmond Hill,77,2,28,11,99,0,1,218,330
Oak Ridges--Markham/Oak Ridges--Markham,39B,Richmond Hill,73,4,18,9,90,2,3,199,326
Oak Ridges--Markham/Oak Ridges--Markham,39-1,Richmond Hill,69,2,25,8,116,0,3,223,418
Oak Ridges--Markham/Oak Ridges--Markham,40A,Richmond Hill,55,2,20,4,95,1,1,178,340
