District,Poll Number,Poll Name,Gerry Byrne,Wynanne Downer,Steve Durant,Holly Pike,Rejected Ballots,Total Vote,Electors
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,52,Rocky Harbour,169,28,1,28,2,228,528
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,53,Woody Point,107,35,2,13,1,158,283
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,54,Norris Point,116,12,3,12,1,144,268
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,55,Norris Point,100,21,4,27,3,155,351
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,56,Trout River,87,11,0,9,1,108,260
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,57,Shoal Brook,79,22,4,12,2,119,219
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,58,Wiltondale,20,10,2,5,0,37,59
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,59,Nicholsville,129,45,8,24,1,207,451
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,60,Cormack,78,54,2,19,0,153,331
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,61,Cormack,29,18,0,8,0,55,161
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,62,Howley,83,30,1,7,1,122,212
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,63,Reidville,115,42,0,26,1,184,343
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,64,Deer Lake,137,80,1,25,1,244,477
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,65,Deer Lake,96,36,1,30,1,164,448
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,66,Deer Lake,124,35,2,32,0,193,439
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,67,Deer Lake,112,63,1,24,0,200,522
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,68,Deer Lake,111,56,0,13,0,180,363
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,69,Deer Lake,121,29,0,28,1,179,422
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,70,Deer Lake,85,13,1,13,0,112,237
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,71,Deer Lake,113,44,2,18,0,177,356
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,72,St. Judes,51,24,2,21,0,98,246
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,73,Wild Cove,14,8,3,3,0,28,71
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,74,Fleur de Lys,86,38,3,12,1,140,262
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,75,Pacquet,57,33,2,7,0,99,184
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,76,Coachman's Cove,24,16,0,1,1,42,101
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,77,Ming's Bight,33,23,1,5,1,63,259
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,78,Woodstock,39,20,1,3,0,63,196
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,79,Seal Cove,60,17,1,10,1,89,333
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,80,Baie Verte,48,30,1,26,0,105,265
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,81,Baie Verte,66,48,0,23,0,137,288
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,82,Baie Verte,89,57,3,21,0,170,522
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,83,Burlington,41,40,0,4,1,86,300
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,84,Smith's Harbour,22,11,0,1,0,34,104
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,85,Westport,52,28,4,14,0,98,243
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,86,Middle Arm,36,27,0,2,1,66,361
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,87,Nippers Harbour,43,2,0,4,0,49,136
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,88,Harbour Round,55,13,1,2,1,72,205
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,89,Brent's Cove,41,16,0,9,0,66,186
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,89-1,Brent's Cove,Merged with No. 89,,,,,,4
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,90,La Scie,75,19,1,4,0,99,359
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,91,La Scie,57,16,3,5,2,83,236
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,92,La Scie,59,5,0,2,0,66,225
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,93,Shoe Cove,49,16,1,1,0,67,170
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,94,King's Point,29,17,2,3,0,51,150
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,95,Jackson's Cove--Harry's Harbour,48,25,0,2,1,76,220
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,96,Little Bay,45,39,1,6,0,91,313
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,97,King's Point,106,62,2,17,0,187,525
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,98,Springdale,54,66,1,19,3,143,303
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,99,Springdale,64,58,1,15,0,138,434
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,100,Springdale,89,56,1,25,0,171,441
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,101,Springdale,75,78,1,16,1,171,416
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,102,Springdale,65,41,1,7,1,115,289
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,103,Springdale,88,74,32,1,0,195,560
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,104,Sheppardville,14,6,0,3,0,23,60
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,105,South Brook,77,75,3,30,0,185,437
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,106,Little Bay Islands,36,20,1,15,0,72,165
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,107,Beaumont,85,16,0,11,0,112,256
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,108,Port Anson,28,57,0,3,0,88,255
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,109,Robert's Arm,27,35,0,4,0,66,183
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,110,Pilley's Island,68,50,1,13,0,132,303
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,111,Brighton,51,51,2,14,0,118,185
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,112,Triton,34,53,0,7,0,94,242
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,113A,Triton,57,65,3,5,0,130,379
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,113B,Triton,36,47,2,4,1,90,237
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,114,Robert's Arm,76,70,1,16,0,163,477
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,115,Cox's Cove,87,33,0,6,2,128,358
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,116,Humber Village--Little Rapids,73,26,4,32,0,135,211
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,117,Cox's Cove,52,27,0,11,1,91,211
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,118,McIver's,102,84,5,36,0,227,459
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,119,Gillams,82,52,6,45,0,185,316
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,120,Meadows,218,37,3,34,3,295,528
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,121,Summerside,114,28,3,21,0,166,260
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,122,Summerside,79,20,4,20,0,123,179
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,123,Irishtown,114,21,2,18,0,155,258
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,124,Corner Brook,92,28,2,29,0,151,281
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,125,Corner Brook,115,57,3,51,0,226,350
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,126,Corner Brook,105,49,0,49,0,203,376
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,127,Corner Brook,125,53,1,39,0,218,438
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,128,Corner Brook,88,29,2,29,0,148,365
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,129,Corner Brook,128,24,3,30,0,185,401
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,130,Corner Brook,119,25,1,22,0,167,386
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,131,Corner Brook,104,33,0,39,0,176,380
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,132,Corner Brook,106,29,1,23,1,160,319
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,133,Corner Brook,161,61,5,38,1,266,484
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,134,Corner Brook,137,43,6,44,1,231,418
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,135,Corner Brook,117,42,6,48,0,213,398
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,136,Corner Brook,115,46,4,36,2,203,374
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,137,Corner Brook,140,51,3,38,0,232,379
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,138,Corner Brook,151,75,4,29,0,259,437
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,139,Corner Brook,121,65,2,42,0,230,456
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,140,Corner Brook,107,75,5,27,0,214,374
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,141,Corner Brook,83,35,2,33,1,154,290
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,142,Corner Brook,92,33,0,6,0,131,284
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,143,Corner Brook,73,22,3,18,0,116,336
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,144,Corner Brook,93,31,2,24,0,150,415
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,145,Corner Brook,80,14,1,25,0,120,227
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,146,Corner Brook,129,42,3,55,1,230,518
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,147,Corner Brook,71,25,4,30,0,130,251
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,148,Corner Brook,65,21,1,38,0,125,292
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,149,Corner Brook,84,29,0,26,0,139,322
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,150,Corner Brook,110,25,4,38,2,179,414
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,151,Corner Brook,115,38,0,50,1,204,427
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,152,Corner Brook,128,52,1,32,1,214,468
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,153,Lark Harbour,70,26,2,7,0,105,208
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,154,Lark Harbour,92,26,1,11,0,130,283
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,155,York Harbour,106,53,2,19,0,180,297
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,156,Frenchman's Cove,73,27,0,15,3,118,211
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,157,John's Beach,63,14,0,20,1,98,184
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,158,Benoit's Cove,49,35,1,29,1,115,264
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,159,Benoit's Cove,99,11,1,18,4,133,347
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,160,Benoit's Cove,35,12,0,14,1,62,139
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,161,Halfway Point,53,34,1,25,0,113,213
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,162,Mount Moriah,55,9,0,7,0,71,131
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,163,Mount Moriah,106,27,3,38,0,174,443
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,164,Corner Brook,76,30,4,23,1,134,274
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,165,Corner Brook,116,41,4,41,0,202,443
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,166,Corner Brook,87,29,3,43,0,162,352
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,167,Corner Brook,87,28,3,32,0,150,335
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,168,Corner Brook,109,36,3,37,1,186,345
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,169,Corner Brook,93,38,1,50,0,182,366
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,170,Corner Brook,154,43,3,38,0,238,422
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,171,Corner Brook,59,35,5,43,0,142,300
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,172,Corner Brook,75,26,2,27,0,130,310
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,173,Corner Brook,103,51,2,26,2,184,357
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,174,Corner Brook,94,41,1,30,0,166,424
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,175,Corner Brook,116,45,3,33,2,199,384
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,176,Corner Brook,96,41,0,38,0,175,363
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,177,Corner Brook,93,37,4,37,1,172,370
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,178,Corner Brook,98,39,0,30,2,169,330
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,179,Corner Brook,85,36,3,34,0,158,347
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,180,Corner Brook,90,28,4,27,4,153,330
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,181,Corner Brook,100,40,0,31,2,173,366
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,182,Corner Brook,53,18,1,18,0,90,403
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,183,Pasadena,61,32,4,19,1,117,247
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,184,Pasadena,99,44,6,52,1,202,422
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,185,Pasadena,61,45,4,18,0,128,234
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,186,Pasadena,113,44,2,43,0,202,425
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,187,Pasadena,138,40,4,39,1,222,436
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,188,Pasadena,118,53,4,37,1,213,444
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,189,Pasadena,90,27,1,33,3,154,329
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,500,Mobile poll/Bureau itinérant,43,13,0,1,0,57,68
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,501,Mobile poll/Bureau itinérant,14,2,1,2,0,19,24
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,600,St. Anthony,43,10,0,5,1,59,
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,601,Plum Point,29,9,1,1,0,40,
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,602,Roddickton,15,6,0,0,0,21,
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,603,Port au Choix,30,22,0,0,0,52,
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,604,Deer Lake,86,45,1,14,0,146,
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,605,Baie Verte,34,25,0,6,0,65,
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,606,La Scie,18,9,0,1,0,28,
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,607,Springdale,41,51,4,13,0,109,
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,608,Triton,14,9,2,2,0,27,
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,609,Corner Brook,264,128,9,64,0,465,
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,610,Corner Brook,139,46,2,31,2,220,
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,611,Pasadena,70,41,1,9,0,121,
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,,Group 1/Groupe 1,96,106,5,23,2,232,808
Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte,,Group 2/Groupe 2,236,65,5,38,3,347,
