District,Poll Number,Poll Name,Jason Kenney,Brian Pincott,George Read,Jim Tanner,Rejected Ballots,Total Vote,Electors
Calgary Southeast/Calgary-Sud-Est,82,Calgary,189,19,14,43,0,265,474
Calgary Southeast/Calgary-Sud-Est,83,Calgary,105,21,12,34,0,172,301
Calgary Southeast/Calgary-Sud-Est,84,Calgary,159,20,21,27,0,227,406
Calgary Southeast/Calgary-Sud-Est,85,Calgary,104,13,13,23,0,153,353
Calgary Southeast/Calgary-Sud-Est,86,Calgary,178,16,14,48,3,259,416
Calgary Southeast/Calgary-Sud-Est,87,Calgary,154,15,21,35,0,225,402
Calgary Southeast/Calgary-Sud-Est,88,Calgary,83,26,5,20,0,134,313
Calgary Southeast/Calgary-Sud-Est,89,Calgary,96,16,18,32,1,163,313
Calgary Southeast/Calgary-Sud-Est,90,Calgary,94,17,6,37,1,155,314
Calgary Southeast/Calgary-Sud-Est,91,Calgary,74,9,18,23,0,124,307
Calgary Southeast/Calgary-Sud-Est,92,Calgary,98,18,14,32,0,162,375
Calgary Southeast/Calgary-Sud-Est,93,Calgary,186,21,14,33,0,254,486
Calgary Southeast/Calgary-Sud-Est,94,Calgary,173,18,23,38,0,252,426
Calgary Southeast/Calgary-Sud-Est,95,Calgary,155,16,27,48,0,246,460
Calgary Southeast/Calgary-Sud-Est,96,Calgary,122,14,14,34,0,184,380
Calgary Southeast/Calgary-Sud-Est,97,Calgary,169,29,19,31,1,249,440
Calgary Southeast/Calgary-Sud-Est,98,Calgary,90,8,5,39,0,142,237
Calgary Southeast/Calgary-Sud-Est,99,Calgary,129,13,9,32,0,183,287
Calgary Southeast/Calgary-Sud-Est,100,Calgary,161,6,6,41,0,214,369
Calgary Southeast/Calgary-Sud-Est,101,Calgary,220,10,18,61,0,309,492
Calgary Southeast/Calgary-Sud-Est,102,Calgary,136,5,6,23,0,170,311
Calgary Southeast/Calgary-Sud-Est,103,Calgary,171,15,7,43,1,237,384
Calgary Southeast/Calgary-Sud-Est,104,Calgary,271,13,14,58,0,356,567
Calgary Southeast/Calgary-Sud-Est,105,Calgary,232,7,14,50,0,303,475
Calgary Southeast/Calgary-Sud-Est,106,Calgary,150,12,10,44,0,216,415
Calgary Southeast/Calgary-Sud-Est,107,Calgary,169,9,3,32,0,213,393
Calgary Southeast/Calgary-Sud-Est,108,Calgary,258,9,6,63,4,340,557
Calgary Southeast/Calgary-Sud-Est,109,Calgary,155,14,4,38,0,211,367
Calgary Southeast/Calgary-Sud-Est,110,Calgary,143,21,4,37,0,205,361
Calgary Southeast/Calgary-Sud-Est,111,Calgary,149,10,2,38,0,199,340
Calgary Southeast/Calgary-Sud-Est,112,Calgary,164,20,10,50,0,244,532
Calgary Southeast/Calgary-Sud-Est,113,Calgary,162,7,5,26,0,200,348
Calgary Southeast/Calgary-Sud-Est,114,Calgary,195,6,8,31,0,240,429
Calgary Southeast/Calgary-Sud-Est,115,Calgary,118,13,9,21,0,161,351
Calgary Southeast/Calgary-Sud-Est,116,Calgary,177,2,3,26,0,208,379
Calgary Southeast/Calgary-Sud-Est,117,Calgary,73,10,7,19,0,109,236
Calgary Southeast/Calgary-Sud-Est,118,Calgary,179,8,9,37,0,233,386
Calgary Southeast/Calgary-Sud-Est,119A,Calgary,117,15,12,21,0,165,358
Calgary Southeast/Calgary-Sud-Est,119B,Calgary,109,8,14,16,0,147,332
Calgary Southeast/Calgary-Sud-Est,120,Calgary,103,16,14,29,2,164,289
Calgary Southeast/Calgary-Sud-Est,121,Calgary,74,13,8,39,0,134,377
Calgary Southeast/Calgary-Sud-Est,122,Calgary,138,17,6,15,0,176,300
Calgary Southeast/Calgary-Sud-Est,123,Calgary,106,13,11,21,1,152,278
Calgary Southeast/Calgary-Sud-Est,124,Calgary,138,31,12,34,0,215,394
Calgary Southeast/Calgary-Sud-Est,125,Calgary,141,18,14,22,0,195,332
Calgary Southeast/Calgary-Sud-Est,126,Calgary,160,14,15,37,0,226,417
Calgary Southeast/Calgary-Sud-Est,127,Calgary,176,15,23,35,0,249,433
Calgary Southeast/Calgary-Sud-Est,128,Calgary,195,10,11,46,0,262,386
Calgary Southeast/Calgary-Sud-Est,129,Calgary,196,23,21,36,1,277,472
Calgary Southeast/Calgary-Sud-Est,130,Calgary,72,9,8,18,0,107,204
Calgary Southeast/Calgary-Sud-Est,131,Calgary,242,13,31,48,3,337,490
Calgary Southeast/Calgary-Sud-Est,132,Calgary,130,8,6,25,0,169,272
Calgary Southeast/Calgary-Sud-Est,133,Calgary,104,18,13,23,0,158,271
Calgary Southeast/Calgary-Sud-Est,134,Calgary,210,17,17,41,0,285,430
Calgary Southeast/Calgary-Sud-Est,135,Calgary,136,13,11,28,0,188,325
Calgary Southeast/Calgary-Sud-Est,136,Calgary,149,10,12,44,0,215,347
Calgary Southeast/Calgary-Sud-Est,137,Calgary,199,19,10,44,0,272,368
Calgary Southeast/Calgary-Sud-Est,138,Calgary,139,9,17,47,3,215,329
Calgary Southeast/Calgary-Sud-Est,139,Calgary,204,10,23,49,1,287,423
Calgary Southeast/Calgary-Sud-Est,140,Calgary,178,16,33,67,0,294,434
Calgary Southeast/Calgary-Sud-Est,141,Calgary,262,18,21,62,1,364,551
Calgary Southeast/Calgary-Sud-Est,142,Calgary,191,15,26,34,0,266,403
Calgary Southeast/Calgary-Sud-Est,143,Calgary,167,26,25,56,0,274,388
Calgary Southeast/Calgary-Sud-Est,144,Calgary,177,21,22,55,0,275,431
Calgary Southeast/Calgary-Sud-Est,145,Calgary,190,27,17,37,0,271,449
Calgary Southeast/Calgary-Sud-Est,146,Calgary,129,17,24,19,0,189,357
Calgary Southeast/Calgary-Sud-Est,147,Calgary,212,30,20,56,0,318,515
Calgary Southeast/Calgary-Sud-Est,148,Calgary,194,18,24,47,1,284,456
Calgary Southeast/Calgary-Sud-Est,149,Calgary,232,22,24,40,0,318,490
Calgary Southeast/Calgary-Sud-Est,150,Calgary,212,19,28,45,3,307,481
Calgary Southeast/Calgary-Sud-Est,151A,Calgary,94,10,12,33,1,150,318
Calgary Southeast/Calgary-Sud-Est,151B,Calgary,92,10,14,16,1,133,271
Calgary Southeast/Calgary-Sud-Est,152,Calgary,165,20,20,29,0,234,463
Calgary Southeast/Calgary-Sud-Est,153A,Calgary,67,6,6,9,0,88,153
Calgary Southeast/Calgary-Sud-Est,153B,Mobile poll/Bureau itinérant,Merged with No. 52B,,,,,,112
Calgary Southeast/Calgary-Sud-Est,154,Calgary,83,24,8,18,0,133,231
Calgary Southeast/Calgary-Sud-Est,155,Calgary,199,15,13,32,1,260,392
Calgary Southeast/Calgary-Sud-Est,156,Calgary,166,10,10,52,0,238,397
Calgary Southeast/Calgary-Sud-Est,157,Calgary,202,16,21,58,0,297,437
Calgary Southeast/Calgary-Sud-Est,158,Calgary,203,7,7,53,0,270,418
Calgary Southeast/Calgary-Sud-Est,159,Calgary,192,13,13,36,3,257,388
Calgary Southeast/Calgary-Sud-Est,160,Calgary,245,12,11,42,0,310,516
Calgary Southeast/Calgary-Sud-Est,161,Calgary,117,9,16,25,0,167,328
Calgary Southeast/Calgary-Sud-Est,162,Calgary,136,7,4,43,0,190,370
Calgary Southeast/Calgary-Sud-Est,163,Calgary,182,10,8,40,0,240,394
Calgary Southeast/Calgary-Sud-Est,164,Calgary,150,20,16,37,0,223,347
Calgary Southeast/Calgary-Sud-Est,165,Calgary,201,23,11,31,0,266,431
Calgary Southeast/Calgary-Sud-Est,166,Calgary,156,13,9,43,2,223,381
Calgary Southeast/Calgary-Sud-Est,167,Calgary,245,23,22,50,1,341,571
Calgary Southeast/Calgary-Sud-Est,168,Calgary,174,10,12,44,1,241,418
Calgary Southeast/Calgary-Sud-Est,169,Calgary,237,15,15,48,0,315,476
Calgary Southeast/Calgary-Sud-Est,170,Calgary,194,14,10,44,1,263,447
Calgary Southeast/Calgary-Sud-Est,171A,Calgary,156,5,6,29,0,196,321
Calgary Southeast/Calgary-Sud-Est,171B,Calgary,164,5,5,30,0,204,350
Calgary Southeast/Calgary-Sud-Est,172,Calgary,171,13,10,34,0,228,332
Calgary Southeast/Calgary-Sud-Est,173A,Calgary,259,17,13,41,0,330,529
Calgary Southeast/Calgary-Sud-Est,173B,Calgary,219,12,15,43,1,290,535
Calgary Southeast/Calgary-Sud-Est,174,Calgary,208,22,21,35,0,286,505
Calgary Southeast/Calgary-Sud-Est,175,Calgary,223,7,14,50,0,294,464
Calgary Southeast/Calgary-Sud-Est,176,Calgary,246,10,18,73,0,347,568
Calgary Southeast/Calgary-Sud-Est,177,Calgary,183,22,9,40,0,254,486
Calgary Southeast/Calgary-Sud-Est,178,Calgary,149,4,5,40,0,198,359
Calgary Southeast/Calgary-Sud-Est,179,Calgary,88,3,13,13,0,117,201
Calgary Southeast/Calgary-Sud-Est,180,Calgary,157,16,10,41,0,224,385
Calgary Southeast/Calgary-Sud-Est,181,Calgary,164,4,9,32,0,209,339
Calgary Southeast/Calgary-Sud-Est,182,Calgary,164,4,9,38,0,215,387
