District,Poll Number,Poll Name,Paul DeVillers,Jen Hill,Mary Lou Kirby,Adrian Kooger,Peter Stock,Ian Woods,Rejected Ballots,Total Vote,Electors
Simcoe North/Simcoe-Nord,1,Christian Island 30,178,10,7,0,9,1,0,205,328
Simcoe North/Simcoe-Nord,2,Tiny,208,30,22,0,69,2,3,334,544
Simcoe North/Simcoe-Nord,3,Tiny,133,48,24,4,64,1,6,280,529
Simcoe North/Simcoe-Nord,4,Tiny,98,30,19,2,46,0,2,197,337
Simcoe North/Simcoe-Nord,5,Tiny,95,24,15,0,58,2,0,194,326
Simcoe North/Simcoe-Nord,6,Tiny,159,24,21,5,73,0,4,286,406
Simcoe North/Simcoe-Nord,7,Tiny,179,30,24,3,69,0,0,305,491
Simcoe North/Simcoe-Nord,8,Tiny,81,10,8,0,38,1,0,138,264
Simcoe North/Simcoe-Nord,9,Tiny,126,17,13,1,70,0,2,229,377
Simcoe North/Simcoe-Nord,10,Tiny,186,33,23,0,115,1,1,359,573
Simcoe North/Simcoe-Nord,11,Tiny,141,26,25,1,62,0,1,256,434
Simcoe North/Simcoe-Nord,12,Tiny,156,24,19,0,121,0,1,321,442
Simcoe North/Simcoe-Nord,13,Tiny,160,35,27,4,86,0,1,313,424
Simcoe North/Simcoe-Nord,14,Tiny,186,37,25,1,154,1,1,405,599
Simcoe North/Simcoe-Nord,15,Tiny,138,29,26,2,151,0,0,346,540
Simcoe North/Simcoe-Nord,16,Tiny,120,20,16,2,93,1,1,253,379
Simcoe North/Simcoe-Nord,17,Tiny,69,16,20,2,69,0,0,176,279
Simcoe North/Simcoe-Nord,18,Tiny,28,6,12,0,45,0,2,93,147
Simcoe North/Simcoe-Nord,19A,Penetanguishene,101,22,23,2,74,1,2,225,425
Simcoe North/Simcoe-Nord,19B,Penetanguishene,35,5,10,4,17,0,0,71,171
Simcoe North/Simcoe-Nord,20A,Penetanguishene,34,8,2,0,21,0,0,65,138
Simcoe North/Simcoe-Nord,20B,Penetanguishene,47,11,6,3,19,0,0,86,116
Simcoe North/Simcoe-Nord,21,Penetanguishene,125,20,25,0,63,1,0,234,411
Simcoe North/Simcoe-Nord,22,Penetanguishene,137,25,12,2,56,0,2,234,368
Simcoe North/Simcoe-Nord,23A,Penetanguishene,97,22,13,0,46,1,0,179,286
Simcoe North/Simcoe-Nord,23B,Penetanguishene,87,15,12,0,31,1,2,148,310
Simcoe North/Simcoe-Nord,24,Penetanguishene,76,18,16,2,31,1,1,145,298
Simcoe North/Simcoe-Nord,25,Penetanguishene,106,14,6,1,32,0,1,160,311
Simcoe North/Simcoe-Nord,26,Penetanguishene,173,18,12,3,60,0,2,268,431
Simcoe North/Simcoe-Nord,27,Penetanguishene,123,18,5,2,48,0,0,196,325
Simcoe North/Simcoe-Nord,28,Penetanguishene,158,21,15,1,43,1,1,240,396
Simcoe North/Simcoe-Nord,29A,Penetanguishene,84,31,3,2,25,0,4,149,267
Simcoe North/Simcoe-Nord,29B,Penetanguishene,71,22,10,1,26,1,1,132,318
Simcoe North/Simcoe-Nord,30,Penetanguishene,132,22,4,7,44,0,2,211,407
Simcoe North/Simcoe-Nord,31,Penetanguishene,64,15,6,0,14,0,0,99,189
Simcoe North/Simcoe-Nord,32,Penetanguishene,121,29,13,1,52,3,0,219,421
Simcoe North/Simcoe-Nord,33,Penetanguishene,74,32,4,1,28,0,0,139,293
Simcoe North/Simcoe-Nord,34,Penetanguishene,97,24,12,1,54,1,2,191,336
Simcoe North/Simcoe-Nord,35,Midland,159,40,10,0,84,1,0,294,575
Simcoe North/Simcoe-Nord,36,Midland,68,15,10,0,28,0,1,122,220
Simcoe North/Simcoe-Nord,37,Midland,63,18,11,3,55,1,1,152,318
Simcoe North/Simcoe-Nord,38,Midland,65,19,13,0,48,0,2,147,379
Simcoe North/Simcoe-Nord,39,Midland,75,17,10,0,46,3,1,152,324
Simcoe North/Simcoe-Nord,40,Midland,171,30,9,3,85,1,0,299,525
Simcoe North/Simcoe-Nord,41,Midland,108,26,7,2,48,1,1,193,370
Simcoe North/Simcoe-Nord,42,Midland,135,21,13,1,85,0,2,257,400
Simcoe North/Simcoe-Nord,43,Midland,145,23,20,2,80,1,3,274,506
Simcoe North/Simcoe-Nord,44,Midland,106,26,16,1,55,0,1,205,388
Simcoe North/Simcoe-Nord,45,Midland,120,16,7,1,54,0,1,199,398
Simcoe North/Simcoe-Nord,46,Midland,70,19,16,0,26,1,3,135,281
Simcoe North/Simcoe-Nord,47,Midland,76,14,12,1,54,0,3,160,354
Simcoe North/Simcoe-Nord,48,Midland,84,17,4,0,44,0,2,151,285
Simcoe North/Simcoe-Nord,49,Midland,52,19,4,1,42,1,1,120,256
Simcoe North/Simcoe-Nord,50,Midland,78,12,9,0,39,0,0,138,238
Simcoe North/Simcoe-Nord,51,Midland,52,28,10,1,41,1,1,134,358
Simcoe North/Simcoe-Nord,52,Midland,55,24,5,0,38,1,1,124,306
Simcoe North/Simcoe-Nord,53,Midland,68,20,3,0,47,1,0,139,279
Simcoe North/Simcoe-Nord,54,Midland,86,34,10,2,41,0,0,173,395
Simcoe North/Simcoe-Nord,55,Midland,62,40,11,2,44,0,2,161,414
Simcoe North/Simcoe-Nord,56,Midland,75,23,10,0,54,0,0,162,350
Simcoe North/Simcoe-Nord,57,Midland,113,23,18,2,87,0,0,243,421
Simcoe North/Simcoe-Nord,58,Midland,117,33,14,0,91,0,1,256,446
Simcoe North/Simcoe-Nord,59,Midland,94,27,6,0,62,0,1,190,355
Simcoe North/Simcoe-Nord,60,Midland,120,21,10,0,75,0,0,226,395
Simcoe North/Simcoe-Nord,61A,Midland,48,13,2,0,31,0,0,94,191
Simcoe North/Simcoe-Nord,61B,Midland,82,43,10,2,76,0,0,213,430
Simcoe North/Simcoe-Nord,62,Midland,86,18,9,1,50,0,0,164,307
Simcoe North/Simcoe-Nord,63,Midland,111,33,10,3,51,1,0,209,409
Simcoe North/Simcoe-Nord,64,Midland,98,22,16,1,66,0,2,205,469
Simcoe North/Simcoe-Nord,65,Midland,113,13,11,3,76,0,3,219,411
Simcoe North/Simcoe-Nord,66,Penetanguishene,138,24,25,2,87,0,0,276,484
Simcoe North/Simcoe-Nord,67,Midland,197,21,18,1,103,0,1,341,510
Simcoe North/Simcoe-Nord,68,Tay,59,13,12,0,62,0,0,146,241
Simcoe North/Simcoe-Nord,69,Tay,80,25,9,0,66,0,3,183,349
Simcoe North/Simcoe-Nord,70,Tay,36,37,15,1,50,1,1,141,306
Simcoe North/Simcoe-Nord,71,Tay,71,27,12,0,50,1,3,164,313
Simcoe North/Simcoe-Nord,72,Tay,90,57,15,1,93,1,3,260,434
Simcoe North/Simcoe-Nord,73,Tay,76,37,9,0,55,0,0,177,388
Simcoe North/Simcoe-Nord,74,Tay,81,27,15,1,77,0,1,202,365
Simcoe North/Simcoe-Nord,75,Tay,63,12,7,0,69,0,0,151,302
Simcoe North/Simcoe-Nord,76,Tay,62,16,8,0,74,0,0,160,282
Simcoe North/Simcoe-Nord,77,Tay,110,31,17,4,73,1,0,236,434
Simcoe North/Simcoe-Nord,78,Tay,56,27,18,1,63,2,2,169,281
Simcoe North/Simcoe-Nord,79,Tay,48,30,10,0,69,0,1,158,314
Simcoe North/Simcoe-Nord,80,Tay,85,16,18,0,84,0,3,206,410
Simcoe North/Simcoe-Nord,81,Tay,117,38,13,0,77,1,2,248,475
Simcoe North/Simcoe-Nord,82,Tay,73,24,11,0,45,0,1,154,279
Simcoe North/Simcoe-Nord,83,Tay,75,40,14,1,96,1,0,227,410
Simcoe North/Simcoe-Nord,84,Tay,87,18,23,0,81,0,0,209,335
Simcoe North/Simcoe-Nord,85,Tay,145,23,20,1,98,1,0,288,447
Simcoe North/Simcoe-Nord,86,Tay,77,26,20,1,85,0,0,209,377
Simcoe North/Simcoe-Nord,87,Tay,46,18,7,0,65,1,2,139,224
Simcoe North/Simcoe-Nord,88,Severn,62,14,6,1,69,1,2,155,271
Simcoe North/Simcoe-Nord,89,Severn,58,18,1,1,50,0,0,128,209
Simcoe North/Simcoe-Nord,90,Severn,46,29,11,0,87,0,0,173,288
Simcoe North/Simcoe-Nord,91,Severn,45,28,9,3,47,0,0,132,235
Simcoe North/Simcoe-Nord,92A,Severn,42,17,19,0,61,0,1,140,281
Simcoe North/Simcoe-Nord,92B,Severn,73,16,16,0,91,0,1,197,296
Simcoe North/Simcoe-Nord,93,Severn,104,40,17,5,149,3,0,318,504
Simcoe North/Simcoe-Nord,94,Severn,84,35,18,3,152,0,1,293,493
Simcoe North/Simcoe-Nord,95,Severn,44,21,6,5,127,0,1,204,398
Simcoe North/Simcoe-Nord,96,Severn,71,19,8,2,110,0,2,212,346
Simcoe North/Simcoe-Nord,97,Severn,124,36,21,4,119,0,0,304,456
Simcoe North/Simcoe-Nord,98,Severn,84,25,30,0,109,1,2,251,380
Simcoe North/Simcoe-Nord,99,Severn,123,38,21,2,117,1,1,303,466
Simcoe North/Simcoe-Nord,100,Severn,79,36,23,6,98,2,1,245,477
Simcoe North/Simcoe-Nord,101,Severn,48,32,10,4,73,0,0,167,305
Simcoe North/Simcoe-Nord,102,Severn,92,22,8,8,126,0,0,256,437
Simcoe North/Simcoe-Nord,103,Severn,56,26,10,0,95,0,1,188,325
Simcoe North/Simcoe-Nord,104,Severn,112,14,12,2,109,0,0,249,412
Simcoe North/Simcoe-Nord,105,Severn,71,31,7,4,95,0,0,208,396
Simcoe North/Simcoe-Nord,106,Severn,74,14,10,5,116,2,0,221,363
Simcoe North/Simcoe-Nord,107A,Severn,65,17,19,0,113,0,1,215,348
Simcoe North/Simcoe-Nord,107B,Severn,64,18,13,2,93,0,0,190,279
Simcoe North/Simcoe-Nord,108,Severn,51,15,10,3,97,1,2,179,318
Simcoe North/Simcoe-Nord,109,Severn,130,19,18,6,119,1,3,296,474
Simcoe North/Simcoe-Nord,110,Oro-Medonte,157,48,53,6,157,2,0,423,594
Simcoe North/Simcoe-Nord,111,Oro-Medonte,51,11,5,0,37,1,0,105,167
Simcoe North/Simcoe-Nord,112,Oro-Medonte,161,39,29,5,153,2,0,389,586
Simcoe North/Simcoe-Nord,113,Oro-Medonte,44,17,14,1,66,0,0,142,274
