District,Poll Number,Poll Name,Bill Archer,Bev Desjarlais,Ron Evans,C. David Nickarz,Rejected Ballots,Total Vote,Electors
Churchill/Churchill,90,Opaskwayak,3,15,10,1,0,29,100
Churchill/Churchill,91,The Pas,48,71,48,5,0,172,439
Churchill/Churchill,92,The Pas,56,117,49,9,0,231,633
Churchill/Churchill,93,The Pas,34,58,31,8,2,133,312
Churchill/Churchill,94,The Pas,58,85,41,6,1,191,467
Churchill/Churchill,95,Ralls Island,66,61,37,13,0,177,361
Churchill/Churchill,96,Youngs Point,56,62,31,7,0,156,346
Churchill/Churchill,97,Moose Lake,4,97,127,12,1,241,582
Churchill/Churchill,98,Easterville,5,94,56,1,1,157,555
Churchill/Churchill,99,Grand Rapids,14,96,76,4,0,190,370
Churchill/Churchill,100,Grand Rapids,4,14,16,0,0,34,264
Churchill/Churchill,101A,Norway House ,7,29,190,2,0,228,636
Churchill/Churchill,101B,Norway House ,2,34,186,3,0,225,616
Churchill/Churchill,102,Norway House ,2,44,216,1,0,263,526
Churchill/Churchill,103,Norway House ,2,24,119,2,0,147,329
Churchill/Churchill,104,Norway House ,1,17,163,1,0,182,360
Churchill/Churchill,105,Norway House ,0,21,86,0,0,107,284
Churchill/Churchill,106,Norway House ,3,48,75,2,0,128,239
Churchill/Churchill,107,Waasagomach,4,20,152,1,0,177,588
Churchill/Churchill,108,Garden Hill,1,5,221,1,0,228,486
Churchill/Churchill,109,Red Sucker Lake ,2,4,131,1,0,138,435
Churchill/Churchill,110,Garden Hill,1,10,277,1,0,289,849
Churchill/Churchill,111A,Island Lake ,1,10,166,2,0,179,649
Churchill/Churchill,111B,Island Lake ,10,11,9,4,0,34,55
Churchill/Churchill,112,Island Lake,0,6,199,3,0,208,613
Churchill/Churchill,113,Poplar River,6,34,63,1,0,104,417
Churchill/Churchill,114,Poplar River,Void,,,,,,
Churchill/Churchill,115,Berens River,1,33,73,1,1,109,613
Churchill/Churchill,116,Pauingassi First Nation,8,121,41,7,0,177,184
Churchill/Churchill,117,Bloodvein ,1,36,14,1,1,53,346
Churchill/Churchill,118,Little Grand Rapids,9,65,73,4,1,152,501
Churchill/Churchill,119,Hollow Water ,7,76,57,1,0,141,448
Churchill/Churchill,120,Manigotagan,17,39,27,5,0,88,158
Churchill/Churchill,121,Bissett,33,11,8,1,0,53,114
Churchill/Churchill,122,Little Black River,0,31,43,2,0,76,205
Churchill/Churchill,123,Fort Alexander ,3,43,210,3,0,259,309
Churchill/Churchill,124,Fort Alexander ,2,20,145,0,0,167,619
Churchill/Churchill,500,Mobile poll/Bureau itinérant,5,16,8,2,1,32,75
Churchill/Churchill,501,Mobile poll/Bureau itinérant,2,14,9,0,0,25,55
Churchill/Churchill,600,Churchill,8,15,3,3,0,29,
Churchill/Churchill,601,South Indian Lake,3,22,8,4,0,37,
Churchill/Churchill,602,Leaf Rapids,8,15,23,1,0,47,
Churchill/Churchill,603,Nelson House,1,15,10,1,0,27,
Churchill/Churchill,604,Flin Flon,46,90,25,4,0,165,
Churchill/Churchill,605,Snow Lake,19,41,10,2,0,72,
Churchill/Churchill,606,Thompson Rural,28,37,16,4,0,85,
Churchill/Churchill,607,Thompson,76,179,57,13,1,326,
Churchill/Churchill,608,Gillam,16,46,26,0,1,89,
Churchill/Churchill,609,Cross Lake,5,20,6,0,0,31,
Churchill/Churchill,610,The Pas Rural,40,35,29,4,0,108,
Churchill/Churchill,611,The Pas,51,77,47,8,1,184,
Churchill/Churchill,612,Grand Rapids,6,27,19,0,0,52,
Churchill/Churchill,613,Norway House,7,50,303,1,0,361,
Churchill/Churchill,614,Indian Lake,1,2,29,1,0,33,
Churchill/Churchill,615,Bloodvein River,3,32,49,2,0,86,
Churchill/Churchill,616,Fort Alexander,4,8,27,0,2,41,
Churchill/Churchill,,Group 1/Groupe 1,15,33,39,7,3,97,159
Churchill/Churchill,,Group 2/Groupe 2,79,145,63,14,2,303,
