District,Poll Number,Poll Name,John Carty,Kent Fox,Daron Letts,Andy Scott,Rejected Ballots,Total Vote,Electors
Fredericton/Fredericton,1A,Fredericton,19,66,2,85,1,173,310
Fredericton/Fredericton,1B,Fredericton,33,75,4,66,0,178,306
Fredericton/Fredericton,2A,Fredericton,18,52,6,68,0,144,257
Fredericton/Fredericton,2B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,49
Fredericton/Fredericton,3,Fredericton,37,61,1,71,0,170,319
Fredericton/Fredericton,4,Fredericton,29,82,1,82,0,194,373
Fredericton/Fredericton,5A,Fredericton,33,49,3,49,2,136,314
Fredericton/Fredericton,5B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,105
Fredericton/Fredericton,6,Fredericton,34,102,3,120,0,259,469
Fredericton/Fredericton,7A,Fredericton,45,62,0,77,0,184,354
Fredericton/Fredericton,7B,Fredericton,58,49,2,75,0,184,349
Fredericton/Fredericton,8,Fredericton,43,64,3,117,0,227,340
Fredericton/Fredericton,9,Fredericton,23,74,4,142,2,245,356
Fredericton/Fredericton,10,Fredericton,36,72,1,71,2,182,289
Fredericton/Fredericton,11,Fredericton,29,51,5,84,3,172,323
Fredericton/Fredericton,12,Fredericton,37,69,6,82,0,194,308
Fredericton/Fredericton,13,Fredericton,41,84,6,85,0,216,357
Fredericton/Fredericton,14,Fredericton,31,55,9,63,0,158,419
Fredericton/Fredericton,15,Fredericton,48,49,3,73,2,175,378
Fredericton/Fredericton,16,Fredericton,43,53,3,58,2,159,413
Fredericton/Fredericton,17,Fredericton,25,62,3,91,0,181,320
Fredericton/Fredericton,18,Fredericton,30,67,6,86,1,190,303
Fredericton/Fredericton,19,Fredericton,23,76,1,86,2,188,287
Fredericton/Fredericton,20,Fredericton,21,64,4,87,3,179,309
Fredericton/Fredericton,21,Fredericton,32,95,2,134,0,263,389
Fredericton/Fredericton,22,Fredericton,22,71,4,69,0,166,271
Fredericton/Fredericton,23,Fredericton,16,83,2,157,1,259,439
Fredericton/Fredericton,24,Fredericton,19,98,2,197,2,318,468
Fredericton/Fredericton,25,Fredericton,44,70,7,110,1,232,460
Fredericton/Fredericton,26,Fredericton,47,82,5,100,0,234,446
Fredericton/Fredericton,27A,Fredericton,30,34,7,43,0,114,252
Fredericton/Fredericton,27B,Fredericton,39,31,4,54,2,130,263
Fredericton/Fredericton,28A,Fredericton,15,7,7,56,0,85,286
Fredericton/Fredericton,28B,Fredericton,14,4,1,54,1,74,289
Fredericton/Fredericton,29,Fredericton,37,67,3,69,4,180,431
Fredericton/Fredericton,30,Fredericton,23,48,4,116,1,192,290
Fredericton/Fredericton,31,Fredericton,45,63,3,67,2,180,330
Fredericton/Fredericton,32A,Fredericton,19,57,6,97,3,182,282
Fredericton/Fredericton,32B,Fredericton,24,49,2,91,1,167,290
Fredericton/Fredericton,33,Fredericton,52,110,2,119,2,285,473
Fredericton/Fredericton,34,Fredericton,48,83,6,141,4,282,448
Fredericton/Fredericton,35,Fredericton,46,87,7,110,0,250,431
Fredericton/Fredericton,36,Fredericton,31,85,1,71,1,189,338
Fredericton/Fredericton,37,Fredericton,52,61,3,67,0,183,356
Fredericton/Fredericton,38,Fredericton,45,61,2,111,0,219,427
Fredericton/Fredericton,39,Fredericton,26,47,2,53,1,129,365
Fredericton/Fredericton,40,Fredericton,41,102,1,136,2,282,416
Fredericton/Fredericton,41,Fredericton,61,55,12,88,3,219,410
Fredericton/Fredericton,42,Fredericton,57,73,9,122,2,263,487
Fredericton/Fredericton,43,Fredericton,44,59,4,97,2,206,427
Fredericton/Fredericton,44,Fredericton,45,97,5,105,3,255,441
Fredericton/Fredericton,45,Fredericton,31,59,1,73,1,165,335
Fredericton/Fredericton,46,Fredericton,26,67,8,75,1,177,337
Fredericton/Fredericton,47,Fredericton,24,60,5,100,0,189,333
Fredericton/Fredericton,48,Fredericton,41,81,9,113,0,244,408
Fredericton/Fredericton,49A,Fredericton,26,52,5,65,0,148,252
Fredericton/Fredericton,49B,Fredericton,28,49,4,51,2,134,239
Fredericton/Fredericton,50,Fredericton,25,36,0,76,1,138,220
Fredericton/Fredericton,51A,Fredericton,27,29,2,86,0,144,279
