District,Poll Number,Poll Name,Reg Harper,Joe McGuire,Irené Novaczek,Regena Kaye Russell,Rejected Ballots,Total Vote,Electors
Egmont/Egmont,1,Seacow Pond,86,143,4,18,1,252,326
Egmont/Egmont,2,Nail Pond,84,163,7,18,4,276,404
Egmont/Egmont,3,Judes Point,59,121,4,14,2,200,297
Egmont/Egmont,4,Tignish Central,53,104,8,13,4,182,346
Egmont/Egmont,5,Tignish South,41,64,4,12,0,121,191
Egmont/Egmont,6,Skinners Pond,72,112,5,22,2,213,387
Egmont/Egmont,7,Peterville,79,125,5,24,2,235,377
Egmont/Egmont,8,St. Felix,83,145,9,19,3,259,357
Egmont/Egmont,9,Profits Corner,55,115,1,16,1,188,321
Egmont/Egmont,10,Central Kildare,79,119,16,39,0,253,377
Egmont/Egmont,11,St. Edward,85,163,7,12,2,269,369
Egmont/Egmont,12,Ebbsfleet,55,118,11,39,0,223,305
Egmont/Egmont,13,Lauretta,82,137,5,28,0,252,339
Egmont/Egmont,14,Elmsdale,75,124,5,22,1,227,347
Egmont/Egmont,15,Alberton North,76,91,9,22,4,202,305
Egmont/Egmont,16,Mill River East,115,144,14,28,5,306,452
Egmont/Egmont,17,Alberton South,89,152,8,36,1,286,401
Egmont/Egmont,18,Alberton East,64,159,10,24,1,258,384
Egmont/Egmont,19,Campbellton,48,52,0,11,2,113,145
Egmont/Egmont,20,Burton,33,79,6,9,2,129,223
Egmont/Egmont,21,Duvar,41,74,1,33,0,149,239
Egmont/Egmont,22,Fortune Cove,85,110,7,40,3,245,331
Egmont/Egmont,23,Freeland,45,114,7,37,4,207,305
Egmont/Egmont,24,Unionvale,34,57,7,31,0,129,233
Egmont/Egmont,25,O'Leary North,53,65,5,36,1,160,311
Egmont/Egmont,26,O'Leary South East,43,60,2,34,1,140,285
Egmont/Egmont,27,West Devon,28,51,0,16,1,96,246
Egmont/Egmont,28,North Enmore,52,65,5,17,1,140,280
Egmont/Egmont,29,O'Leary South,64,104,8,51,1,228,466
Egmont/Egmont,30,Knutsford,54,117,0,25,1,197,322
Egmont/Egmont,31,Brae,40,83,2,26,1,152,292
Egmont/Egmont,32,Dunblane,64,91,2,34,3,194,269
Egmont/Egmont,33,East Bideford,58,81,6,23,2,170,285
Egmont/Egmont,34,Lennox Island,2,66,6,6,2,82,174
Egmont/Egmont,35,Tyne Valley,73,213,9,31,4,330,466
Egmont/Egmont,36,Springhill,70,92,6,30,2,200,385
Egmont/Egmont,37,Arlington,52,183,10,28,1,274,375
Egmont/Egmont,38,Central Lot 16,94,139,18,31,1,283,407
Egmont/Egmont,39,St. Gilbert,56,145,8,16,2,227,269
Egmont/Egmont,40,Egmont Bay,58,135,5,25,1,224,302
Egmont/Egmont,41,Miscouche West,77,157,10,37,2,283,413
Egmont/Egmont,42,Miscouche East,60,166,13,35,0,274,499
Egmont/Egmont,43,Linkletter,48,85,4,14,2,153,229
Egmont/Egmont,44,Wellington,71,214,14,35,0,334,467
Egmont/Egmont,45,Abram-Village,46,115,9,28,0,198,237
Egmont/Egmont,46,St. Nicholas,65,73,12,21,0,171,231
Egmont/Egmont,47,Mount Carmel,56,204,11,20,2,293,373
Egmont/Egmont,48,Sherbrooke,60,87,5,22,0,174,295
Egmont/Egmont,49,Summerside,70,138,21,56,1,286,567
Egmont/Egmont,50,Summerside,87,201,20,38,5,351,540
Egmont/Egmont,51,Summerside,89,178,4,33,0,304,497
Egmont/Egmont,52,Summerside,44,81,7,16,0,148,269
Egmont/Egmont,53,Summerside,50,149,7,34,0,240,385
Egmont/Egmont,54A,Summerside,51,86,9,15,1,162,303
Egmont/Egmont,54B,Summerside,43,127,7,22,2,201,324
Egmont/Egmont,55,Summerside,47,110,8,16,2,183,363
Egmont/Egmont,56,Summerside,45,74,9,20,1,149,274
Egmont/Egmont,57,Summerside,75,115,9,19,0,218,514
Egmont/Egmont,58,Summerside,61,98,10,19,0,188,339
Egmont/Egmont,59,Summerside,42,70,12,18,3,145,293
Egmont/Egmont,60,Summerside,30,75,5,22,0,132,243
Egmont/Egmont,61,Summerside,32,85,11,20,2,150,252
Egmont/Egmont,62,Summerside,52,93,5,15,1,166,334
Egmont/Egmont,63,Summerside,49,111,13,26,3,202,394
Egmont/Egmont,64,Summerside,29,71,7,8,1,116,206
Egmont/Egmont,65,Summerside,27,72,6,20,0,125,268
Egmont/Egmont,66,Summerside,54,113,5,26,1,199,393
Egmont/Egmont,67,Summerside,66,139,7,26,0,238,383
Egmont/Egmont,68,Summerside,75,180,13,39,0,307,510
Egmont/Egmont,69,Summerside,51,116,16,19,0,202,484
Egmont/Egmont,70,Summerside,90,135,14,38,2,279,506
Egmont/Egmont,71A,Summerside,37,95,7,17,0,156,261
Egmont/Egmont,71B,Summerside,53,104,8,16,1,182,305
Egmont/Egmont,72,Summerside,32,81,7,10,2,132,232
Egmont/Egmont,73,Summerside,49,108,16,11,1,185,286
Egmont/Egmont,74,Summerside,38,64,4,19,1,126,220
Egmont/Egmont,75A,Summerside,47,99,12,17,0,175,304
Egmont/Egmont,75B,Summerside,29,75,9,18,1,132,241
Egmont/Egmont,76,Summerside,38,71,12,20,0,141,284
Egmont/Egmont,77,Summerside,50,94,17,29,2,192,355
Egmont/Egmont,78,Summerside,49,75,9,31,1,165,309
Egmont/Egmont,500,Mobile poll/Bureau itinérant,39,51,1,10,2,103,122
Egmont/Egmont,501,Mobile poll/Bureau itinérant,25,26,1,3,4,59,75
Egmont/Egmont,600,Tignish,162,221,7,23,8,421,
Egmont/Egmont,601,O'Leary,139,230,5,62,4,440,
Egmont/Egmont,602,Wellington,46,84,8,7,1,146,
Egmont/Egmont,603,Summerside,83,174,7,23,1,288,
Egmont/Egmont,604,Summerside,95,196,19,33,3,346,
Egmont/Egmont,,Group 1/Groupe 1,51,42,4,5,1,103,271
Egmont/Egmont,,Group 2/Groupe 2,80,137,9,6,1,233,
