District,Poll Number,Poll Name,Patrick Cardinal,Maxime Côté,Peter Graham,Jeff Howard,Daniel Quinn,Francis Scarpaleggia,Rejected Ballots,Total Vote,Electors
Lac-Saint-Louis/Lac-Saint-Louis,1,Pierrefonds,5,99,11,19,12,109,2,257,483
Lac-Saint-Louis/Lac-Saint-Louis,2,Pierrefonds,4,51,11,26,17,154,1,264,526
Lac-Saint-Louis/Lac-Saint-Louis,3A,Pierrefonds,1,34,7,27,18,114,2,203,393
Lac-Saint-Louis/Lac-Saint-Louis,3B,Pierrefonds,4,28,10,16,14,98,1,171,313
Lac-Saint-Louis/Lac-Saint-Louis,4,Pierrefonds,1,45,2,23,18,141,3,233,509
Lac-Saint-Louis/Lac-Saint-Louis,5,Pierrefonds,3,70,5,12,10,93,3,196,381
Lac-Saint-Louis/Lac-Saint-Louis,6,Pierrefonds,0,58,3,9,14,74,2,160,386
Lac-Saint-Louis/Lac-Saint-Louis,7A,Pierrefonds,3,25,5,17,8,93,1,152,304
Lac-Saint-Louis/Lac-Saint-Louis,7B,Pierrefonds,1,37,5,14,13,81,0,151,287
Lac-Saint-Louis/Lac-Saint-Louis,8,Pierrefonds,1,22,6,6,2,53,0,90,252
Lac-Saint-Louis/Lac-Saint-Louis,9,Pierrefonds,4,25,5,25,15,92,0,166,376
Lac-Saint-Louis/Lac-Saint-Louis,10,Pierrefonds,1,33,4,13,18,89,0,158,348
Lac-Saint-Louis/Lac-Saint-Louis,11,Pierrefonds,5,29,8,29,21,136,4,232,448
Lac-Saint-Louis/Lac-Saint-Louis,12,Pierrefonds,1,38,9,14,20,97,0,179,366
Lac-Saint-Louis/Lac-Saint-Louis,13,Pierrefonds,1,39,8,22,18,134,3,225,406
Lac-Saint-Louis/Lac-Saint-Louis,14,Pierrefonds,0,33,6,19,15,189,2,264,508
Lac-Saint-Louis/Lac-Saint-Louis,15,Pierrefonds,1,24,2,11,4,65,4,111,365
Lac-Saint-Louis/Lac-Saint-Louis,16A,Pierrefonds,1,43,4,26,9,133,1,217,405
Lac-Saint-Louis/Lac-Saint-Louis,16B,Pierrefonds,1,33,3,22,17,119,0,195,420
Lac-Saint-Louis/Lac-Saint-Louis,17,Pierrefonds,1,35,6,14,6,143,1,206,382
Lac-Saint-Louis/Lac-Saint-Louis,18,Pierrefonds,0,11,2,21,11,123,0,168,302
Lac-Saint-Louis/Lac-Saint-Louis,19A,Pierrefonds,3,24,2,15,11,145,2,202,356
Lac-Saint-Louis/Lac-Saint-Louis,19B,Pierrefonds,3,33,2,19,8,147,0,212,374
Lac-Saint-Louis/Lac-Saint-Louis,20A,Pierrefonds,1,31,9,22,7,108,0,178,312
Lac-Saint-Louis/Lac-Saint-Louis,20B,Pierrefonds,2,26,5,16,14,108,3,174,280
