District,Poll Number,Poll Name,Giorgio Cattabeni,Morgan DuFord,Steve Garland,Art Hanger,Dale Muti,Rejected Ballots,Total Vote,Electors
Calgary Northeast/Calgary-Nord-Est,153,Calgary,11,7,2,86,28,0,134,335
Calgary Northeast/Calgary-Nord-Est,154,Calgary,23,18,3,128,58,0,230,477
Calgary Northeast/Calgary-Nord-Est,155,Calgary,23,7,1,77,40,0,148,379
Calgary Northeast/Calgary-Nord-Est,156,Calgary,18,7,0,74,48,1,148,398
Calgary Northeast/Calgary-Nord-Est,157,Calgary,12,4,2,57,31,0,106,312
Calgary Northeast/Calgary-Nord-Est,158,Calgary,9,8,1,116,40,2,176,371
Calgary Northeast/Calgary-Nord-Est,159,Calgary,5,9,3,103,55,2,177,407
Calgary Northeast/Calgary-Nord-Est,160,Calgary,7,5,1,69,21,1,104,304
Calgary Northeast/Calgary-Nord-Est,161,Calgary,24,9,2,151,52,2,240,420
Calgary Northeast/Calgary-Nord-Est,162,Calgary,6,6,1,127,30,0,170,310
Calgary Northeast/Calgary-Nord-Est,163,Calgary,6,14,1,146,32,2,201,365
Calgary Northeast/Calgary-Nord-Est,164,Calgary,7,0,2,114,74,1,198,429
Calgary Northeast/Calgary-Nord-Est,165,Calgary,14,2,2,79,111,2,210,484
Calgary Northeast/Calgary-Nord-Est,166,Calgary,8,3,2,132,37,0,182,323
Calgary Northeast/Calgary-Nord-Est,167,Calgary,11,6,0,222,67,1,307,478
Calgary Northeast/Calgary-Nord-Est,168A,Calgary,8,3,1,90,63,0,165,314
Calgary Northeast/Calgary-Nord-Est,168B,Calgary,10,3,0,58,70,2,143,297
Calgary Northeast/Calgary-Nord-Est,169,Calgary,16,4,2,114,76,3,215,491
Calgary Northeast/Calgary-Nord-Est,170,Calgary,7,5,2,75,52,0,141,282
Calgary Northeast/Calgary-Nord-Est,170-1,Calgary,8,2,0,59,52,0,121,324
Calgary Northeast/Calgary-Nord-Est,500,Mobile poll/Bureau itinérant,10,5,3,71,21,0,110,154
Calgary Northeast/Calgary-Nord-Est,600,Calgary,24,10,7,237,51,0,329,
Calgary Northeast/Calgary-Nord-Est,601,Calgary,13,9,1,152,65,2,242,
Calgary Northeast/Calgary-Nord-Est,602,Calgary,15,8,1,116,37,0,177,
Calgary Northeast/Calgary-Nord-Est,603,Calgary,17,18,1,146,45,0,227,
Calgary Northeast/Calgary-Nord-Est,604,Calgary,19,11,1,158,49,0,238,
Calgary Northeast/Calgary-Nord-Est,605,Calgary,9,11,0,148,37,0,205,
Calgary Northeast/Calgary-Nord-Est,606,Calgary,8,7,0,165,51,0,231,
Calgary Northeast/Calgary-Nord-Est,,Group 1/Groupe 1,4,6,2,31,23,5,71,116
Calgary Northeast/Calgary-Nord-Est,,Group 2/Groupe 2,29,15,3,305,76,25,453,
