District,Poll Number,Poll Name,Jim Pankiw,Ron Schriml,Bradley R. Trost,Nettie Wiebe,Patrick Wolfe,Larry Zarysky,Rejected Ballots,Total Vote,Electors
Saskatoon--Humboldt/Saskatoon--Humboldt,1,St. Louis,57,4,40,73,42,0,0,216,476
Saskatoon--Humboldt/Saskatoon--Humboldt,2,St-Laurent--Grandin,17,1,17,19,21,0,0,75,106
Saskatoon--Humboldt/Saskatoon--Humboldt,3,St-Isidore-de-Bellevue,55,0,16,25,82,1,0,179,240
Saskatoon--Humboldt/Saskatoon--Humboldt,4,Batoche,24,1,23,26,7,0,0,81,135
Saskatoon--Humboldt/Saskatoon--Humboldt,5,Domremy,79,0,49,43,31,0,0,202,273
Saskatoon--Humboldt/Saskatoon--Humboldt,6,One Arrow 95,3,0,9,40,46,0,1,99,171
Saskatoon--Humboldt/Saskatoon--Humboldt,7,Sokal,41,0,12,9,9,0,0,71,141
Saskatoon--Humboldt/Saskatoon--Humboldt,8,Bonne Madone,70,3,22,26,19,2,0,142,223
Saskatoon--Humboldt/Saskatoon--Humboldt,9,Wakaw,23,0,19,24,7,1,0,74,176
Saskatoon--Humboldt/Saskatoon--Humboldt,10,Wakaw,23,0,12,16,10,0,0,61,133
Saskatoon--Humboldt/Saskatoon--Humboldt,11,Wakaw,91,6,64,57,53,2,1,274,479
Saskatoon--Humboldt/Saskatoon--Humboldt,12,Cudworth,57,0,36,8,29,0,0,130,172
Saskatoon--Humboldt/Saskatoon--Humboldt,13,Cudworth,41,0,41,21,34,0,0,137,203
Saskatoon--Humboldt/Saskatoon--Humboldt,14,Cudworth,88,3,74,30,48,1,1,245,422
Saskatoon--Humboldt/Saskatoon--Humboldt,15,Waitville,25,1,38,20,11,0,0,95,140
Saskatoon--Humboldt/Saskatoon--Humboldt,16,Crystal Springs,42,1,38,20,14,0,0,115,152
Saskatoon--Humboldt/Saskatoon--Humboldt,17,Tarnopol,58,0,21,23,11,1,0,114,170
Saskatoon--Humboldt/Saskatoon--Humboldt,18,St. Brieux,54,0,30,16,13,1,0,114,168
Saskatoon--Humboldt/Saskatoon--Humboldt,19,St. Brieux,67,1,81,16,50,0,0,215,402
Saskatoon--Humboldt/Saskatoon--Humboldt,20,St. Brieux,49,0,44,15,21,0,0,129,167
Saskatoon--Humboldt/Saskatoon--Humboldt,21,Pleasantdale,49,1,38,23,19,1,0,131,232
Saskatoon--Humboldt/Saskatoon--Humboldt,22,Kinistino 91,3,3,7,5,131,1,0,150,198
Saskatoon--Humboldt/Saskatoon--Humboldt,23,Naicam,69,2,56,36,28,1,1,193,290
Saskatoon--Humboldt/Saskatoon--Humboldt,24,Naicam,58,4,53,40,43,1,0,199,385
Saskatoon--Humboldt/Saskatoon--Humboldt,25,Naicam,36,2,21,29,21,1,1,111,203
Saskatoon--Humboldt/Saskatoon--Humboldt,26,Spalding,33,2,49,15,24,1,0,124,214
Saskatoon--Humboldt/Saskatoon--Humboldt,27,Spalding,49,0,42,23,15,0,0,129,191
Saskatoon--Humboldt/Saskatoon--Humboldt,28,Smuts,50,0,16,33,25,0,0,124,218
Saskatoon--Humboldt/Saskatoon--Humboldt,29,Aberdeen,56,6,74,46,39,0,0,221,337
Saskatoon--Humboldt/Saskatoon--Humboldt,30,Aberdeen,52,3,64,67,36,2,0,224,428
Saskatoon--Humboldt/Saskatoon--Humboldt,31,Laniwci,30,6,70,42,36,0,0,184,282
Saskatoon--Humboldt/Saskatoon--Humboldt,32,Vonda,63,13,81,26,52,1,0,236,392
Saskatoon--Humboldt/Saskatoon--Humboldt,33,Prud'homme,41,1,44,42,42,0,0,170,232
Saskatoon--Humboldt/Saskatoon--Humboldt,34,Dana,13,0,20,17,9,0,0,59,115
