District,Poll Number,Poll Name,Jean Bédard,Jean-Philippe Côté,Jean-Marie Fiset,Christiane Gagnon,Pierre Gaudreault,Pierre-Etienne Paradis,Antonine Yaccarini,Rejected Ballots,Total Vote,Electors
Québec/Québec,1,Québec,0,72,10,131,55,0,9,6,283,407
Québec/Québec,2,Québec,0,61,11,104,53,2,4,3,238,373
Québec/Québec,3,Québec,1,40,7,100,56,1,4,5,214,444
Québec/Québec,4,Québec,0,58,5,95,35,2,7,5,207,341
Québec/Québec,5,Québec,0,40,4,120,50,1,7,6,228,414
Québec/Québec,6,Québec,1,54,6,97,24,3,5,3,193,437
Québec/Québec,7,Québec,1,75,7,77,38,1,5,6,210,358
Québec/Québec,8,Québec,1,71,5,112,38,2,8,7,244,506
Québec/Québec,9,Québec,1,50,9,82,34,4,5,8,193,383
Québec/Québec,10,Québec,3,54,8,68,40,2,7,8,190,363
Québec/Québec,11,Québec,0,40,5,91,39,2,10,8,195,336
Québec/Québec,12,Québec,1,50,9,83,50,1,5,11,210,330
Québec/Québec,13,Québec,0,50,12,103,66,3,4,9,247,392
Québec/Québec,14,Québec,2,51,8,134,36,4,7,7,249,414
Québec/Québec,15,Québec,0,54,17,178,62,4,11,10,336,484
Québec/Québec,16,Québec,0,65,10,141,51,3,6,14,290,488
Québec/Québec,17,Québec,2,41,8,136,44,2,7,6,246,443
Québec/Québec,18,Québec,2,57,8,101,32,1,4,6,211,331
Québec/Québec,19,Québec,2,48,7,105,51,1,6,7,227,355
Québec/Québec,20,Québec,1,57,9,92,20,1,5,3,188,296
Québec/Québec,21,Québec,2,63,13,105,31,0,7,2,223,353
Québec/Québec,22,Québec,0,61,6,96,31,3,14,14,225,383
Québec/Québec,23,Québec,1,26,9,93,45,4,9,14,201,463
Québec/Québec,24,Québec,5,113,6,109,38,5,11,7,294,529
Québec/Québec,25,Québec,0,65,6,107,31,4,7,4,224,368
Québec/Québec,26,Québec,2,64,23,150,88,0,9,11,347,630
Québec/Québec,27,Québec,1,31,4,73,33,3,0,5,150,347
Québec/Québec,28,Québec,1,36,14,87,26,0,5,6,175,355
Québec/Québec,29,Québec,3,44,10,80,35,1,8,6,187,435
Québec/Québec,30,Québec,0,46,7,90,34,0,8,8,193,385
Québec/Québec,31,Québec,0,41,4,95,46,4,4,6,200,452
Québec/Québec,32,Québec,1,33,3,84,33,2,7,7,170,421
Québec/Québec,33,Québec,0,40,9,105,29,6,2,3,194,322
Québec/Québec,34,Québec,0,45,8,110,47,4,10,10,234,433
Québec/Québec,35,Québec,1,42,8,152,68,2,2,7,282,506
Québec/Québec,35-1,Québec,2,47,8,82,45,2,5,7,198,365
Québec/Québec,36,Québec,4,35,2,33,24,0,1,10,109,229
Québec/Québec,37,Québec,0,26,3,61,31,0,1,2,124,296
Québec/Québec,38,Québec,1,29,8,75,31,4,8,5,161,337
Québec/Québec,39,Vanier,1,60,1,95,51,0,2,7,217,368
Québec/Québec,40,Vanier,0,51,1,90,36,2,7,4,191,332
Québec/Québec,41,Vanier,1,32,10,91,40,0,5,4,183,378
Québec/Québec,42,Vanier,1,35,9,77,31,4,7,11,175,492
Québec/Québec,43,Vanier,1,54,4,73,36,1,4,5,178,409
Québec/Québec,44,Québec,3,35,8,107,18,1,9,7,188,368
Québec/Québec,45A,Québec,0,68,12,130,28,1,16,3,258,464
Québec/Québec,45B,Québec,1,36,1,43,11,2,1,4,99,242
Québec/Québec,46,Vanier,0,42,7,55,35,0,7,2,148,384
Québec/Québec,47,Vanier,1,42,4,61,10,0,5,5,128,303
Québec/Québec,48,Vanier,2,61,5,47,28,1,2,2,148,286
Québec/Québec,49,Vanier,2,71,6,107,57,3,2,6,254,533
Québec/Québec,50,Vanier,1,35,9,65,27,0,3,5,145,373
Québec/Québec,51,Vanier,1,40,5,89,26,1,0,3,165,285
Québec/Québec,52,Vanier,0,41,6,75,29,2,2,3,158,289
Québec/Québec,53,Vanier,0,46,4,79,25,7,6,6,173,364
Québec/Québec,54,Vanier,0,40,6,54,18,3,5,9,135,400
Québec/Québec,55,Vanier,1,28,4,68,26,0,3,5,135,358
Québec/Québec,56,Vanier,0,53,3,51,23,2,1,2,135,316
Québec/Québec,57,Vanier,1,34,8,68,21,1,3,0,136,349
Québec/Québec,58,Vanier,0,27,2,50,13,2,1,5,100,171
Québec/Québec,59,Vanier,0,46,8,61,18,3,4,3,143,353
Québec/Québec,60,Vanier,1,64,8,66,16,2,8,3,168,340
Québec/Québec,61,Vanier,2,47,3,61,28,2,5,6,154,394
Québec/Québec,62,Vanier,0,27,2,57,28,1,3,11,129,315
Québec/Québec,63,Vanier,0,38,4,60,27,3,4,3,139,315
Québec/Québec,64,Vanier,1,18,6,54,26,0,3,4,112,258
Québec/Québec,65,Vanier,0,32,4,61,22,0,1,6,126,286
Québec/Québec,66,Vanier,3,55,7,54,30,0,5,6,160,354
Québec/Québec,67,Québec,2,99,13,127,25,6,7,5,284,506
Québec/Québec,68,Québec,1,50,5,61,11,1,6,2,137,258
Québec/Québec,69,Québec,1,42,12,130,11,2,7,0,205,356
Québec/Québec,70,Québec,2,41,19,145,23,3,2,7,242,429
Québec/Québec,71,Québec,0,32,10,110,7,3,8,2,172,388
Québec/Québec,72,Québec,2,25,11,84,11,0,8,6,147,358
Québec/Québec,73,Québec,1,39,7,101,4,6,7,2,167,462
Québec/Québec,74,Québec,3,22,9,90,11,2,4,4,145,344
Québec/Québec,75,Québec,1,19,13,129,3,4,9,2,180,477
Québec/Québec,76,Québec,1,34,12,106,13,1,12,2,181,476
Québec/Québec,77,Québec,1,44,16,85,13,2,3,5,169,332
Québec/Québec,78,Québec,0,29,23,95,6,2,8,3,166,406
Québec/Québec,79,Québec,2,43,10,124,9,2,12,0,202,515
Québec/Québec,80,Québec,1,23,7,78,14,4,11,2,140,237
Québec/Québec,81,Québec,2,19,22,131,9,5,26,5,219,420
Québec/Québec,82,Québec,1,12,26,115,13,6,6,2,181,442
Québec/Québec,83,Québec,0,48,18,159,11,4,12,7,259,560
Québec/Québec,84,Québec,2,36,10,76,12,6,11,3,156,342
Québec/Québec,85,Québec,0,53,13,85,6,2,7,4,170,351
Québec/Québec,86,Québec,2,39,11,83,21,3,10,4,173,333
Québec/Québec,87,Québec,2,31,8,99,16,4,12,4,176,298
Québec/Québec,88,Québec,3,30,10,117,13,2,3,7,185,330
Québec/Québec,89,Québec,0,22,7,85,14,4,10,6,148,374
Québec/Québec,90,Québec,1,25,10,109,19,2,14,3,183,376
Québec/Québec,91,Québec,0,71,7,69,25,2,3,6,183,382
Québec/Québec,92,Québec,1,35,11,115,23,4,7,7,203,462
Québec/Québec,93,Québec,3,31,6,72,16,4,7,8,147,392
Québec/Québec,94,Québec,1,32,8,99,9,1,5,4,159,329
Québec/Québec,95,Québec,2,31,9,88,7,3,6,2,148,380
Québec/Québec,96,Québec,0,42,8,93,16,1,16,7,183,379
Québec/Québec,97,Québec,0,38,7,86,14,0,8,6,159,393
Québec/Québec,98,Québec,0,42,9,60,11,4,0,0,126,269
Québec/Québec,99,Québec,0,41,16,114,23,7,8,0,209,427
Québec/Québec,100,Québec,0,43,13,110,19,4,13,7,209,419
Québec/Québec,101,Québec,0,36,16,128,17,5,18,0,220,423
Québec/Québec,102,Québec,1,36,14,65,16,5,4,1,142,385
Québec/Québec,103,Québec,0,35,5,95,23,4,3,9,174,373
Québec/Québec,104,Québec,2,31,7,75,25,4,9,7,160,385
Québec/Québec,105,Québec,0,35,11,70,13,4,8,6,147,401
Québec/Québec,106,Québec,0,35,9,72,21,2,11,10,160,363
Québec/Québec,107,Québec,2,39,12,89,18,3,7,10,180,437
Québec/Québec,108,Québec,2,29,7,92,17,5,6,2,160,357
Québec/Québec,109,Québec,0,63,7,94,15,8,6,0,193,410
Québec/Québec,110,Québec,0,41,4,74,20,4,6,6,155,430
Québec/Québec,111,Québec,0,25,8,63,17,2,4,3,122,341
Québec/Québec,112,Québec,1,47,13,88,24,3,12,9,197,460
Québec/Québec,113,Québec,0,68,6,102,28,5,8,4,221,391
Québec/Québec,114,Québec,1,34,3,75,17,0,8,0,138,341
Québec/Québec,115,Québec,4,25,1,24,4,2,1,2,63,266
Québec/Québec,116,Québec,1,49,5,83,28,0,10,2,178,316
Québec/Québec,117,Québec,1,53,8,99,23,3,9,9,205,456
Québec/Québec,118,Québec,0,32,10,84,15,3,3,3,150,340
Québec/Québec,119,Québec,0,27,15,86,6,0,17,5,156,355
Québec/Québec,120,Québec,0,34,17,116,19,4,20,5,215,387
Québec/Québec,121,Québec,0,45,6,39,10,1,5,2,108,302
Québec/Québec,122,Québec,1,38,18,136,11,3,15,4,226,454
Québec/Québec,123,Québec,1,75,11,104,22,2,10,2,227,388
Québec/Québec,124,Québec,0,38,16,101,18,0,10,2,185,330
Québec/Québec,125,Québec,1,106,6,55,14,1,2,5,190,372
Québec/Québec,126,Québec,2,61,2,24,9,0,2,1,101,192
Québec/Québec,127,Québec,0,62,6,61,9,0,4,5,147,289
Québec/Québec,128,Québec,1,82,3,55,5,0,2,3,151,252
Québec/Québec,129,Québec,0,46,14,96,13,0,7,5,181,349
Québec/Québec,130,Québec,2,89,12,97,20,0,7,6,233,415
Québec/Québec,131,Québec,0,83,11,96,28,2,15,7,242,380
