District,Poll Number,Poll Name,Robert Gervais,Serge Lachapelle,Louis La Rochelle,David John Proctor,Lucienne Robillard,Brian Sarwer-Foner,Eric Wilson Steedman,Rejected Ballots,Total Vote,Electors
Westmount--Ville-Marie/Westmount--Ville-Marie,1,Montréal,8,0,17,3,33,2,16,2,81,168
Westmount--Ville-Marie/Westmount--Ville-Marie,2,Montréal,5,0,28,2,57,6,42,1,141,438
Westmount--Ville-Marie/Westmount--Ville-Marie,3A,Montréal,7,1,38,4,78,10,28,1,167,424
Westmount--Ville-Marie/Westmount--Ville-Marie,3B,Montréal,2,0,16,0,19,0,2,1,40,79
Westmount--Ville-Marie/Westmount--Ville-Marie,4,Montréal,16,1,56,3,104,14,42,1,237,580
Westmount--Ville-Marie/Westmount--Ville-Marie,5,Montréal,13,0,29,0,71,7,17,2,139,340
Westmount--Ville-Marie/Westmount--Ville-Marie,6,Montréal,18,0,81,9,110,15,66,2,301,694
Westmount--Ville-Marie/Westmount--Ville-Marie,7,Montréal,7,1,55,0,65,13,35,0,176,347
Westmount--Ville-Marie/Westmount--Ville-Marie,8,Montréal,7,0,42,2,80,6,21,1,159,445
Westmount--Ville-Marie/Westmount--Ville-Marie,9,Montréal,6,0,35,2,55,8,30,0,136,410
Westmount--Ville-Marie/Westmount--Ville-Marie,10,Montréal,9,1,65,2,63,10,33,0,183,461
Westmount--Ville-Marie/Westmount--Ville-Marie,11,Montréal,17,3,20,0,56,2,8,1,107,361
Westmount--Ville-Marie/Westmount--Ville-Marie,12,Montréal,17,1,30,1,87,3,7,1,147,494
Westmount--Ville-Marie/Westmount--Ville-Marie,13,Montréal,9,1,70,2,94,10,12,1,199,346
Westmount--Ville-Marie/Westmount--Ville-Marie,14,Montréal,9,0,64,3,71,14,19,1,181,404
Westmount--Ville-Marie/Westmount--Ville-Marie,15,Montréal,24,0,93,7,131,18,37,0,310,584
Westmount--Ville-Marie/Westmount--Ville-Marie,16,Montréal,2,1,146,1,151,15,20,3,339,616
Westmount--Ville-Marie/Westmount--Ville-Marie,17A,Montréal,11,0,112,1,88,12,20,3,247,457
Westmount--Ville-Marie/Westmount--Ville-Marie,17B,Montréal,34,0,66,0,168,8,3,0,279,440
Westmount--Ville-Marie/Westmount--Ville-Marie,17C,Montréal,0,0,29,0,18,5,5,1,58,118
Westmount--Ville-Marie/Westmount--Ville-Marie,18,Montréal,5,0,49,2,83,14,31,1,185,471
Westmount--Ville-Marie/Westmount--Ville-Marie,19,Montréal,10,0,63,3,69,12,23,1,181,440
Westmount--Ville-Marie/Westmount--Ville-Marie,20,Montréal,7,0,8,0,49,10,15,0,89,243
Westmount--Ville-Marie/Westmount--Ville-Marie,21,Montréal,6,0,25,0,38,9,19,0,97,239
Westmount--Ville-Marie/Westmount--Ville-Marie,22,Montréal,16,0,16,2,100,7,31,2,174,515
Westmount--Ville-Marie/Westmount--Ville-Marie,23,Montréal,18,0,30,1,95,10,25,0,179,480
Westmount--Ville-Marie/Westmount--Ville-Marie,24,Montréal,11,0,22,3,54,9,29,1,129,293
Westmount--Ville-Marie/Westmount--Ville-Marie,25,Montréal,5,0,4,2,27,6,13,1,58,187
Westmount--Ville-Marie/Westmount--Ville-Marie,26,Montréal,18,0,30,1,115,9,43,0,216,575
Westmount--Ville-Marie/Westmount--Ville-Marie,27,Montréal,11,0,21,0,51,9,19,0,111,315
Westmount--Ville-Marie/Westmount--Ville-Marie,28,Montréal,9,0,7,0,29,11,20,0,76,178
Westmount--Ville-Marie/Westmount--Ville-Marie,29,Montréal,14,0,12,1,62,2,5,0,96,432
Westmount--Ville-Marie/Westmount--Ville-Marie,30,Montréal,9,1,9,1,55,1,11,0,87,384
Westmount--Ville-Marie/Westmount--Ville-Marie,31A,Montréal,17,0,48,1,81,14,12,1,174,551
Westmount--Ville-Marie/Westmount--Ville-Marie,31B,Montréal,20,0,84,2,107,8,24,0,245,706
Westmount--Ville-Marie/Westmount--Ville-Marie,32,Montréal,42,0,10,1,129,14,15,2,213,645
Westmount--Ville-Marie/Westmount--Ville-Marie,33A,Montréal,17,0,23,0,107,2,18,1,168,609
Westmount--Ville-Marie/Westmount--Ville-Marie,33B,Montréal,18,1,10,0,115,5,17,2,168,563
Westmount--Ville-Marie/Westmount--Ville-Marie,34,Montréal,17,0,6,0,113,3,11,1,151,339
Westmount--Ville-Marie/Westmount--Ville-Marie,35,Montréal,30,0,23,0,134,7,18,0,212,581
Westmount--Ville-Marie/Westmount--Ville-Marie,36,Montréal,34,1,19,1,128,12,12,2,209,473
Westmount--Ville-Marie/Westmount--Ville-Marie,37,Montréal,47,1,6,2,183,8,3,0,250,579
Westmount--Ville-Marie/Westmount--Ville-Marie,38,Montréal,18,0,19,0,124,11,15,3,190,446
Westmount--Ville-Marie/Westmount--Ville-Marie,39,Montréal,11,0,11,2,77,5,11,0,117,350
Westmount--Ville-Marie/Westmount--Ville-Marie,40,Montréal,17,0,5,2,109,5,5,1,144,361
