District,Poll Number,Poll Name,Ken Epp,Chris Harwood,Margaret Marean,Maureen Towns,Rejected Ballots,Total Vote,Electors
Edmonton--Sherwood Park/Edmonton--Sherwood Park,33,Edmonton,164,27,16,118,0,325,565
Edmonton--Sherwood Park/Edmonton--Sherwood Park,34,Edmonton,139,41,24,107,0,311,624
Edmonton--Sherwood Park/Edmonton--Sherwood Park,35,Edmonton,110,37,19,70,0,236,442
Edmonton--Sherwood Park/Edmonton--Sherwood Park,36,Edmonton,104,11,6,74,1,196,421
Edmonton--Sherwood Park/Edmonton--Sherwood Park,37,Edmonton,167,24,11,96,1,299,591
Edmonton--Sherwood Park/Edmonton--Sherwood Park,38,Edmonton,115,16,12,61,0,204,451
Edmonton--Sherwood Park/Edmonton--Sherwood Park,39,Edmonton,71,9,5,10,0,95,273
Edmonton--Sherwood Park/Edmonton--Sherwood Park,40,Edmonton,168,32,14,44,1,259,503
Edmonton--Sherwood Park/Edmonton--Sherwood Park,41,Edmonton,Merged with No. 42,,,,,,13
Edmonton--Sherwood Park/Edmonton--Sherwood Park,42,Edmonton,35,7,10,15,0,67,164
Edmonton--Sherwood Park/Edmonton--Sherwood Park,43A,Edmonton,117,43,20,48,0,228,530
Edmonton--Sherwood Park/Edmonton--Sherwood Park,43B,Edmonton,133,38,20,61,1,253,553
Edmonton--Sherwood Park/Edmonton--Sherwood Park,44,Edmonton,169,41,23,68,1,302,664
Edmonton--Sherwood Park/Edmonton--Sherwood Park,45,Edmonton,87,29,16,65,1,198,388
Edmonton--Sherwood Park/Edmonton--Sherwood Park,46,Edmonton,62,38,10,66,0,176,384
Edmonton--Sherwood Park/Edmonton--Sherwood Park,47,Edmonton,115,34,16,77,0,242,522
Edmonton--Sherwood Park/Edmonton--Sherwood Park,48,Edmonton,100,23,17,64,0,204,416
Edmonton--Sherwood Park/Edmonton--Sherwood Park,49,Edmonton,118,41,11,50,2,222,528
Edmonton--Sherwood Park/Edmonton--Sherwood Park,50,Edmonton,67,24,9,42,1,143,321
Edmonton--Sherwood Park/Edmonton--Sherwood Park,51,Edmonton,120,40,20,51,0,231,487
Edmonton--Sherwood Park/Edmonton--Sherwood Park,52,Edmonton,145,36,20,74,0,275,512
Edmonton--Sherwood Park/Edmonton--Sherwood Park,53A,Edmonton,66,31,16,29,0,142,353
Edmonton--Sherwood Park/Edmonton--Sherwood Park,53B,Edmonton,60,22,11,41,1,135,327
Edmonton--Sherwood Park/Edmonton--Sherwood Park,54,Edmonton,73,32,9,61,1,176,348
Edmonton--Sherwood Park/Edmonton--Sherwood Park,55,Edmonton,128,37,14,61,1,241,451
Edmonton--Sherwood Park/Edmonton--Sherwood Park,56,Edmonton,90,20,12,57,0,179,426
Edmonton--Sherwood Park/Edmonton--Sherwood Park,57,Edmonton,115,38,17,48,0,218,465
Edmonton--Sherwood Park/Edmonton--Sherwood Park,58,Edmonton,81,27,10,49,0,167,408
Edmonton--Sherwood Park/Edmonton--Sherwood Park,59,Edmonton,69,48,9,47,1,174,411
Edmonton--Sherwood Park/Edmonton--Sherwood Park,60,Edmonton,124,30,13,61,0,228,444
Edmonton--Sherwood Park/Edmonton--Sherwood Park,61,Edmonton,71,28,9,50,0,158,276
Edmonton--Sherwood Park/Edmonton--Sherwood Park,62,Edmonton,150,15,18,50,1,234,421
Edmonton--Sherwood Park/Edmonton--Sherwood Park,63,Edmonton,91,27,16,47,0,181,360
Edmonton--Sherwood Park/Edmonton--Sherwood Park,64,Edmonton,101,17,21,51,0,190,382
Edmonton--Sherwood Park/Edmonton--Sherwood Park,65,Edmonton,86,17,9,52,0,164,327
Edmonton--Sherwood Park/Edmonton--Sherwood Park,66,Edmonton,99,24,17,69,0,209,369
Edmonton--Sherwood Park/Edmonton--Sherwood Park,67,Edmonton,85,51,6,54,1,197,431
Edmonton--Sherwood Park/Edmonton--Sherwood Park,68,Edmonton,34,12,12,33,0,91,352
Edmonton--Sherwood Park/Edmonton--Sherwood Park,69,Edmonton,63,17,10,39,0,129,371
Edmonton--Sherwood Park/Edmonton--Sherwood Park,70,Edmonton,44,33,12,35,0,124,378
Edmonton--Sherwood Park/Edmonton--Sherwood Park,71,Edmonton,84,31,15,68,0,198,386
Edmonton--Sherwood Park/Edmonton--Sherwood Park,72,Edmonton,133,32,9,56,0,230,536
Edmonton--Sherwood Park/Edmonton--Sherwood Park,73,Edmonton,74,13,10,54,0,151,362
Edmonton--Sherwood Park/Edmonton--Sherwood Park,74,Edmonton,100,32,11,54,0,197,357
Edmonton--Sherwood Park/Edmonton--Sherwood Park,75,Edmonton,60,27,10,31,0,128,267
Edmonton--Sherwood Park/Edmonton--Sherwood Park,76,Edmonton,68,28,8,50,0,154,428
Edmonton--Sherwood Park/Edmonton--Sherwood Park,77,Edmonton,95,22,9,54,0,180,392
Edmonton--Sherwood Park/Edmonton--Sherwood Park,78,Edmonton,181,46,19,77,0,323,634
Edmonton--Sherwood Park/Edmonton--Sherwood Park,79,Edmonton,100,27,6,70,1,204,413
Edmonton--Sherwood Park/Edmonton--Sherwood Park,80,Edmonton,68,27,16,52,0,163,343
Edmonton--Sherwood Park/Edmonton--Sherwood Park,81,Edmonton,88,21,10,44,0,163,301
Edmonton--Sherwood Park/Edmonton--Sherwood Park,82,Edmonton,50,14,15,48,0,127,252
Edmonton--Sherwood Park/Edmonton--Sherwood Park,83,Edmonton,50,16,15,30,0,111,257
Edmonton--Sherwood Park/Edmonton--Sherwood Park,84,Edmonton,98,48,6,32,0,184,364
Edmonton--Sherwood Park/Edmonton--Sherwood Park,85,Edmonton,51,14,10,21,1,97,258
Edmonton--Sherwood Park/Edmonton--Sherwood Park,86,Edmonton,54,22,16,23,0,115,281
Edmonton--Sherwood Park/Edmonton--Sherwood Park,87,Edmonton,86,20,12,41,0,159,277
Edmonton--Sherwood Park/Edmonton--Sherwood Park,88,Edmonton,80,9,13,42,0,144,335
Edmonton--Sherwood Park/Edmonton--Sherwood Park,89,Edmonton,43,14,2,16,0,75,277
Edmonton--Sherwood Park/Edmonton--Sherwood Park,90,Edmonton,108,43,14,51,0,216,367
Edmonton--Sherwood Park/Edmonton--Sherwood Park,91,Edmonton,53,28,13,27,0,121,235
Edmonton--Sherwood Park/Edmonton--Sherwood Park,92,Edmonton,69,25,9,29,0,132,331
Edmonton--Sherwood Park/Edmonton--Sherwood Park,93,Edmonton,60,19,6,38,0,123,314
Edmonton--Sherwood Park/Edmonton--Sherwood Park,94,Edmonton,104,33,9,76,1,223,415
Edmonton--Sherwood Park/Edmonton--Sherwood Park,95,Edmonton,154,42,21,75,1,293,575
Edmonton--Sherwood Park/Edmonton--Sherwood Park,96,Sandy Beach,104,13,11,19,0,147,388
Edmonton--Sherwood Park/Edmonton--Sherwood Park,97,East Edmonton,132,15,10,62,0,219,402
Edmonton--Sherwood Park/Edmonton--Sherwood Park,98,Sherwood Park,173,37,17,51,0,278,543
Edmonton--Sherwood Park/Edmonton--Sherwood Park,99,Sherwood Park,110,36,10,48,0,204,367
Edmonton--Sherwood Park/Edmonton--Sherwood Park,100,Sherwood Park,153,26,18,58,1,256,387
Edmonton--Sherwood Park/Edmonton--Sherwood Park,101,Sherwood Park,155,22,17,45,1,240,372
Edmonton--Sherwood Park/Edmonton--Sherwood Park,102,Sherwood Park,192,14,8,67,1,282,423
Edmonton--Sherwood Park/Edmonton--Sherwood Park,103,Sherwood Park,162,12,12,37,0,223,404
Edmonton--Sherwood Park/Edmonton--Sherwood Park,104,Sherwood Park,125,10,6,56,1,198,292
Edmonton--Sherwood Park/Edmonton--Sherwood Park,105,Sherwood Park,270,44,21,77,2,414,637
Edmonton--Sherwood Park/Edmonton--Sherwood Park,106,Sherwood Park,133,19,13,36,0,201,347
Edmonton--Sherwood Park/Edmonton--Sherwood Park,107,Sherwood Park,145,15,11,21,0,192,325
Edmonton--Sherwood Park/Edmonton--Sherwood Park,108,Sherwood Park,100,12,8,39,0,159,339
Edmonton--Sherwood Park/Edmonton--Sherwood Park,109,Sherwood Park,97,12,5,35,0,149,271
Edmonton--Sherwood Park/Edmonton--Sherwood Park,110,Sherwood Park,248,25,20,83,1,377,748
Edmonton--Sherwood Park/Edmonton--Sherwood Park,111,Sherwood Park,153,15,9,60,0,237,463
Edmonton--Sherwood Park/Edmonton--Sherwood Park,112,Sherwood Park,154,16,11,67,0,248,429
Edmonton--Sherwood Park/Edmonton--Sherwood Park,113,Strathcona Park,176,38,24,81,2,321,500
Edmonton--Sherwood Park/Edmonton--Sherwood Park,114,Sherwood Park,181,28,18,114,0,341,528
Edmonton--Sherwood Park/Edmonton--Sherwood Park,115,Sherwood Park,131,19,20,57,0,227,389
