District,Poll Number,Poll Name,Christopher Black,David Johnson,Ryan Kidd,Dan King,Valerie Mah,Yasmin Ratansi,Rejected Ballots,Total Vote,Electors
Don Valley East/Don Valley-Est,1,North York,1,54,1,4,36,135,0,231,421
Don Valley East/Don Valley-Est,2A,North York,0,44,1,1,12,121,0,179,298
Don Valley East/Don Valley-Est,2B,North York,1,34,4,5,14,107,1,166,299
Don Valley East/Don Valley-Est,3,North York,0,70,0,9,31,129,1,240,385
Don Valley East/Don Valley-Est,4,North York,0,61,1,7,30,141,1,241,394
Don Valley East/Don Valley-Est,5,North York,0,61,1,1,38,168,2,271,451
Don Valley East/Don Valley-Est,6,North York,0,56,5,9,33,151,0,254,423
Don Valley East/Don Valley-Est,7,North York,0,54,0,5,28,125,0,212,383
Don Valley East/Don Valley-Est,8,North York,0,74,5,3,29,79,3,193,450
Don Valley East/Don Valley-Est,9,North York,2,38,2,4,40,148,0,234,394
Don Valley East/Don Valley-Est,10,North York,0,48,3,2,27,82,1,163,302
Don Valley East/Don Valley-Est,11,North York,3,70,2,4,44,125,5,253,454
Don Valley East/Don Valley-Est,12,North York,1,35,1,7,25,108,0,177,316
Don Valley East/Don Valley-Est,13,North York,Void,,,,,,,,
Don Valley East/Don Valley-Est,14,North York,0,72,3,2,29,177,0,283,486
Don Valley East/Don Valley-Est,15,North York,0,90,0,4,40,164,2,300,488
Don Valley East/Don Valley-Est,16,North York,5,51,3,9,32,143,0,243,440
Don Valley East/Don Valley-Est,17,North York,2,41,2,2,26,116,3,192,356
Don Valley East/Don Valley-Est,18,North York,0,58,0,5,29,116,0,208,364
Don Valley East/Don Valley-Est,19,North York,3,53,9,8,30,121,0,224,396
Don Valley East/Don Valley-Est,20,North York,0,49,2,3,19,127,1,201,337
Don Valley East/Don Valley-Est,21,North York,3,43,1,3,24,138,0,212,404
Don Valley East/Don Valley-Est,22,North York,1,55,3,2,18,113,3,195,406
Don Valley East/Don Valley-Est,23,North York,0,52,2,4,29,131,3,221,430
Don Valley East/Don Valley-Est,24,North York,1,84,2,4,20,137,0,248,495
Don Valley East/Don Valley-Est,25,North York,0,53,1,7,28,119,1,209,496
Don Valley East/Don Valley-Est,26,North York,3,49,1,4,30,107,1,195,388
Don Valley East/Don Valley-Est,27,North York,0,30,2,4,30,93,1,160,387
Don Valley East/Don Valley-Est,28,North York,1,37,1,3,25,74,3,144,350
Don Valley East/Don Valley-Est,29,North York,1,43,0,8,26,138,4,220,403
Don Valley East/Don Valley-Est,30,North York,1,62,2,4,26,135,3,233,398
Don Valley East/Don Valley-Est,31,North York,1,38,1,4,25,118,3,190,366
Don Valley East/Don Valley-Est,32,North York,0,56,1,9,25,191,1,283,462
Don Valley East/Don Valley-Est,33,North York,4,33,3,2,28,76,1,147,368
Don Valley East/Don Valley-Est,34,North York,1,49,5,1,26,121,0,203,403
Don Valley East/Don Valley-Est,35,North York,1,63,3,2,31,146,4,250,402
Don Valley East/Don Valley-Est,36,North York,0,53,0,3,46,70,0,172,403
Don Valley East/Don Valley-Est,37,North York,2,22,1,3,12,26,0,66,227
Don Valley East/Don Valley-Est,38,North York,0,32,4,4,28,103,0,171,403
Don Valley East/Don Valley-Est,39,North York,3,36,3,6,28,93,1,170,363
Don Valley East/Don Valley-Est,40,North York,0,40,2,6,19,89,1,157,311
Don Valley East/Don Valley-Est,41,North York,7,65,3,11,40,111,2,239,414
Don Valley East/Don Valley-Est,42,North York,0,47,2,4,33,85,3,174,359
Don Valley East/Don Valley-Est,43,North York,1,33,0,4,20,90,3,151,354
Don Valley East/Don Valley-Est,44,North York,0,12,3,0,17,42,1,75,210
Don Valley East/Don Valley-Est,44-1,North York,0,50,2,10,55,151,3,271,578
Don Valley East/Don Valley-Est,45,North York,0,13,1,0,33,47,0,94,243
Don Valley East/Don Valley-Est,46,North York,0,46,1,2,33,109,0,191,377
Don Valley East/Don Valley-Est,47,North York,0,70,2,7,25,95,2,201,330
Don Valley East/Don Valley-Est,48,North York,0,65,1,6,13,125,0,210,391
Don Valley East/Don Valley-Est,49,North York,0,83,2,3,29,127,0,244,387
Don Valley East/Don Valley-Est,50,North York,0,61,2,11,40,119,0,233,407
Don Valley East/Don Valley-Est,51,North York,2,25,1,3,8,72,1,112,198
Don Valley East/Don Valley-Est,52,North York,0,87,0,3,16,115,1,222,339
Don Valley East/Don Valley-Est,53,North York,0,80,0,13,21,126,0,240,365
Don Valley East/Don Valley-Est,54,North York,0,87,3,12,43,138,3,286,520
Don Valley East/Don Valley-Est,55,North York,0,80,2,7,12,115,1,217,367
Don Valley East/Don Valley-Est,56,North York,1,49,4,23,46,91,3,217,483
Don Valley East/Don Valley-Est,57,North York,1,35,4,4,34,92,2,172,504
Don Valley East/Don Valley-Est,58,North York,1,43,3,4,38,75,2,166,391
Don Valley East/Don Valley-Est,59,North York,0,41,8,7,24,110,0,190,352
Don Valley East/Don Valley-Est,60,North York,0,26,1,3,14,51,0,95,182
Don Valley East/Don Valley-Est,61,North York,2,38,2,5,22,68,1,138,344
Don Valley East/Don Valley-Est,62,North York,1,43,3,2,28,151,0,228,391
Don Valley East/Don Valley-Est,63,North York,0,84,0,4,22,128,0,238,404
