District,Poll Number,Poll Name,Frank Cerminara,Bill Cunningham,Adam Desaulniers,George Drazenovic,Hanne Gidora,Shawn Hunsdale,Bill Siksay,Rejected Ballots,Total Vote,Electors
Burnaby--Douglas/Burnaby--Douglas,1,Burnaby,1,65,2,76,0,12,129,0,285,417
Burnaby--Douglas/Burnaby--Douglas,2,Burnaby,1,65,1,67,0,14,120,34,302,416
Burnaby--Douglas/Burnaby--Douglas,3A,Burnaby,3,25,1,14,1,2,34,0,80,117
Burnaby--Douglas/Burnaby--Douglas,3B,Mobile poll/Bureau itinérant,2,63,7,48,1,6,84,3,214,262
Burnaby--Douglas/Burnaby--Douglas,4,Burnaby,0,81,0,60,0,13,104,4,262,404
Burnaby--Douglas/Burnaby--Douglas,5,Burnaby,0,87,1,80,0,17,103,2,290,429
Burnaby--Douglas/Burnaby--Douglas,6,Burnaby,4,81,1,50,0,6,111,0,253,408
Burnaby--Douglas/Burnaby--Douglas,7,Burnaby,1,74,0,65,1,7,93,3,244,408
Burnaby--Douglas/Burnaby--Douglas,8,Burnaby,3,87,1,42,0,11,123,0,267,490
Burnaby--Douglas/Burnaby--Douglas,9,Burnaby,0,82,0,46,0,13,90,2,233,401
Burnaby--Douglas/Burnaby--Douglas,10,Burnaby,2,104,3,66,0,13,107,0,295,526
Burnaby--Douglas/Burnaby--Douglas,11,Burnaby,5,106,0,63,3,8,93,1,279,461
Burnaby--Douglas/Burnaby--Douglas,12,Burnaby,0,80,0,47,2,15,125,2,271,461
Burnaby--Douglas/Burnaby--Douglas,13,Burnaby,2,48,1,30,0,8,81,0,170,290
Burnaby--Douglas/Burnaby--Douglas,14,Burnaby,1,34,0,30,0,7,52,3,127,232
Burnaby--Douglas/Burnaby--Douglas,15,Burnaby,1,70,3,56,1,12,137,0,280,498
Burnaby--Douglas/Burnaby--Douglas,16,Burnaby,5,113,1,52,0,3,81,5,260,449
Burnaby--Douglas/Burnaby--Douglas,17,Burnaby,4,56,3,62,2,5,80,1,213,414
Burnaby--Douglas/Burnaby--Douglas,18,Burnaby,3,85,3,56,1,11,62,1,222,422
Burnaby--Douglas/Burnaby--Douglas,19,Burnaby,2,93,2,67,3,12,91,5,275,490
Burnaby--Douglas/Burnaby--Douglas,20,Burnaby,2,122,3,61,1,6,73,3,271,467
Burnaby--Douglas/Burnaby--Douglas,21,Burnaby,1,63,2,64,0,9,101,0,240,398
Burnaby--Douglas/Burnaby--Douglas,22,Burnaby,1,100,1,61,0,10,68,1,242,384
Burnaby--Douglas/Burnaby--Douglas,23,Burnaby,1,94,1,70,1,10,100,0,277,446
Burnaby--Douglas/Burnaby--Douglas,24,Burnaby,2,55,1,66,0,10,142,0,276,389
