District,Poll Number,Poll Name,Martine Carrière,Christelle Dusablon-Pelletier,André Frappier,Jimmy Garoufalis,Adam Jastrzebski,Peter Macrisopoulos,André Parizeau,Pierre Pettigrew,Mustaque Sarker,Rejected Ballots,Total Vote,Electors
Papineau/Papineau,1,Montréal,62,5,3,1,1,1,2,64,11,1,151,407
Papineau/Papineau,2,Montréal,52,6,9,1,2,0,1,158,9,4,242,459
Papineau/Papineau,3,Montréal,78,3,10,1,4,0,2,116,10,2,226,435
Papineau/Papineau,4,Montréal,78,2,8,0,7,0,0,110,8,7,220,384
Papineau/Papineau,5,Montréal,89,0,20,2,5,0,0,89,15,7,227,550
Papineau/Papineau,6,Montréal,63,5,7,2,4,2,1,101,10,0,195,387
Papineau/Papineau,7,Montréal,93,3,11,0,5,0,2,122,21,5,262,472
Papineau/Papineau,8,Montréal,0,51,7,2,0,0,0,111,13,0,184,396
Papineau/Papineau,9,Montréal,79,6,2,2,1,2,2,103,16,2,215,430
Papineau/Papineau,10,Montréal,58,0,8,1,6,0,0,104,10,5,192,397
Papineau/Papineau,11,Montréal,85,5,14,1,3,0,3,111,12,2,236,474
Papineau/Papineau,12,Montréal,58,4,9,1,4,0,0,116,7,6,205,374
Papineau/Papineau,13,Montréal,83,2,10,0,2,0,0,93,5,4,199,397
Papineau/Papineau,14,Montréal,67,1,16,0,2,1,3,60,9,0,159,352
Papineau/Papineau,15,Montréal,52,2,17,3,6,0,1,84,11,3,179,407
Papineau/Papineau,16,Montréal,74,1,18,0,2,2,0,79,8,0,184,458
Papineau/Papineau,17,Montréal,124,9,10,1,7,0,3,73,13,5,245,491
Papineau/Papineau,18,Montréal,107,3,23,1,4,1,5,105,12,4,265,563
Papineau/Papineau,19,Montréal,51,5,10,3,3,0,3,150,11,2,238,459
Papineau/Papineau,20,Montréal,75,2,11,1,3,1,2,133,21,3,252,440
Papineau/Papineau,21,Montréal,42,0,6,1,3,3,1,92,6,3,157,325
Papineau/Papineau,22,Montréal,75,6,13,1,5,0,1,111,4,12,228,418
Papineau/Papineau,23,Montréal,62,2,9,0,3,1,1,125,6,1,210,408
Papineau/Papineau,24,Montréal,70,0,24,0,2,0,1,157,7,2,263,453
Papineau/Papineau,25,Montréal,73,2,21,0,3,0,0,135,8,2,244,424
Papineau/Papineau,26,Montréal,70,5,10,0,0,1,1,95,5,5,192,388
Papineau/Papineau,27,Montréal,86,2,18,0,4,1,1,106,6,1,225,491
Papineau/Papineau,28,Montréal,103,2,16,0,2,1,1,80,16,4,225,511
Papineau/Papineau,29,Montréal,140,2,24,2,5,0,0,79,6,6,264,488
Papineau/Papineau,30,Montréal,56,1,11,1,3,0,1,75,2,3,153,361
