District,Poll Number,Poll Name,Leon E. Benoit,James Kenney,Len Legault,Duff Stewart,Rejected Ballots,Total Vote,Electors
Vegreville--Wainwright/Vegreville--Wainwright,1,Scotford,175,15,17,21,0,228,306
Vegreville--Wainwright/Vegreville--Wainwright,2,Griesbach,143,16,14,11,0,184,301
Vegreville--Wainwright/Vegreville--Wainwright,3,Josephburg,103,23,21,45,0,192,316
Vegreville--Wainwright/Vegreville--Wainwright,4,Sandy Beach,158,26,26,28,0,238,498
Vegreville--Wainwright/Vegreville--Wainwright,5,Ardrossan,183,17,20,24,1,245,413
Vegreville--Wainwright/Vegreville--Wainwright,6,Ardrossan,187,39,41,49,0,316,515
Vegreville--Wainwright/Vegreville--Wainwright,7,Ardrossan,202,22,44,55,1,324,520
Vegreville--Wainwright/Vegreville--Wainwright,8,Ardrossan,206,26,27,44,1,304,477
Vegreville--Wainwright/Vegreville--Wainwright,9,Ardrossan,215,24,26,47,1,313,488
Vegreville--Wainwright/Vegreville--Wainwright,10,Ardrossan,216,34,43,31,0,324,554
Vegreville--Wainwright/Vegreville--Wainwright,11,Ardrossan,182,39,37,41,0,299,540
Vegreville--Wainwright/Vegreville--Wainwright,12,Ardrossan,83,11,10,14,0,118,218
Vegreville--Wainwright/Vegreville--Wainwright,13,Ardrossan,209,30,24,32,1,296,510
Vegreville--Wainwright/Vegreville--Wainwright,14,Ardrossan,133,10,22,28,2,195,388
Vegreville--Wainwright/Vegreville--Wainwright,15,Ardrossan,160,18,11,37,0,226,387
Vegreville--Wainwright/Vegreville--Wainwright,16,Ardrossan,124,19,29,28,0,200,325
Vegreville--Wainwright/Vegreville--Wainwright,17,Wyeclif,203,16,37,55,0,311,488
Vegreville--Wainwright/Vegreville--Wainwright,18,Wyeclif,146,21,26,74,0,267,450
Vegreville--Wainwright/Vegreville--Wainwright,19,Whitecroft,132,17,13,48,0,210,363
Vegreville--Wainwright/Vegreville--Wainwright,20,Whitecroft,157,14,14,21,0,206,361
Vegreville--Wainwright/Vegreville--Wainwright,21,Whitecroft,170,19,24,29,1,243,441
Vegreville--Wainwright/Vegreville--Wainwright,22A,Whitecroft,120,11,8,12,1,152,239
Vegreville--Wainwright/Vegreville--Wainwright,22B,Whitecroft,103,5,9,15,0,132,224
Vegreville--Wainwright/Vegreville--Wainwright,23A,North Cooking Lake,108,16,21,23,0,168,321
Vegreville--Wainwright/Vegreville--Wainwright,23B,North Cooking Lake,87,17,14,20,0,138,333
Vegreville--Wainwright/Vegreville--Wainwright,24,Cooking Lake,163,37,32,39,2,273,510
Vegreville--Wainwright/Vegreville--Wainwright,25,Cooking Lake,215,18,10,42,0,285,496
Vegreville--Wainwright/Vegreville--Wainwright,26,Cooking Lake,129,29,23,23,1,205,383
Vegreville--Wainwright/Vegreville--Wainwright,27,Cooking Lake,148,9,20,23,0,200,391
Vegreville--Wainwright/Vegreville--Wainwright,28,Bretona,188,15,20,41,0,264,484
Vegreville--Wainwright/Vegreville--Wainwright,29,Bretona,134,10,6,26,0,176,335
Vegreville--Wainwright/Vegreville--Wainwright,30,Bretona,155,15,9,22,1,202,324
Vegreville--Wainwright/Vegreville--Wainwright,31,Cooking Lake,183,16,15,49,0,263,382
Vegreville--Wainwright/Vegreville--Wainwright,32A,Cooking Lake,209,17,23,40,2,291,537
Vegreville--Wainwright/Vegreville--Wainwright,32B,Cooking Lake,Merged with No. 33,,,,,,187
Vegreville--Wainwright/Vegreville--Wainwright,33,Cooking Lake,234,56,28,41,5,364,426
Vegreville--Wainwright/Vegreville--Wainwright,34,Cooking Lake,182,24,25,30,1,262,421
Vegreville--Wainwright/Vegreville--Wainwright,35,Ministik Lake,200,32,34,26,0,292,465
Vegreville--Wainwright/Vegreville--Wainwright,36A,Deville,77,24,20,23,0,144,342
Vegreville--Wainwright/Vegreville--Wainwright,36B,Deville,152,31,9,28,2,222,390
Vegreville--Wainwright/Vegreville--Wainwright,37,Skaro,115,8,16,5,0,144,270
Vegreville--Wainwright/Vegreville--Wainwright,38,Andrew,108,14,17,19,0,158,248
Vegreville--Wainwright/Vegreville--Wainwright,39,Andrew,81,3,14,18,0,116,229
Vegreville--Wainwright/Vegreville--Wainwright,40,Andrew,67,7,26,26,1,127,247
Vegreville--Wainwright/Vegreville--Wainwright,41,Andrew,88,5,9,23,0,125,213
Vegreville--Wainwright/Vegreville--Wainwright,42,St. Michael,107,11,18,16,0,152,234
Vegreville--Wainwright/Vegreville--Wainwright,43,Beaverhill,148,19,9,13,0,189,263
Vegreville--Wainwright/Vegreville--Wainwright,44A,Bruderheim,125,16,11,44,0,196,434
Vegreville--Wainwright/Vegreville--Wainwright,44B,Bruderheim,142,25,21,27,0,215,455
Vegreville--Wainwright/Vegreville--Wainwright,45,Bruderheim,Void,,,,,,
Vegreville--Wainwright/Vegreville--Wainwright,46,Lamont,114,18,16,25,3,176,362
Vegreville--Wainwright/Vegreville--Wainwright,47,Lamont,141,19,13,25,0,198,310
Vegreville--Wainwright/Vegreville--Wainwright,48,Lamont,160,16,25,44,1,246,379
Vegreville--Wainwright/Vegreville--Wainwright,49,Beaverhill,151,19,17,26,0,213,429
Vegreville--Wainwright/Vegreville--Wainwright,50,Delph,126,16,18,23,0,183,246
Vegreville--Wainwright/Vegreville--Wainwright,51,Chipman,150,22,30,28,1,231,424
Vegreville--Wainwright/Vegreville--Wainwright,52,Mundare,140,9,11,30,0,190,292
Vegreville--Wainwright/Vegreville--Wainwright,53,Mundare,194,22,32,52,1,301,570
Vegreville--Wainwright/Vegreville--Wainwright,54,Mundare,120,8,25,29,1,183,293
Vegreville--Wainwright/Vegreville--Wainwright,55,Willingdon,102,7,26,17,0,152,217
Vegreville--Wainwright/Vegreville--Wainwright,56,Willingdon,84,11,22,25,1,143,251
Vegreville--Wainwright/Vegreville--Wainwright,57,Hairy Hill,123,5,39,34,0,201,333
Vegreville--Wainwright/Vegreville--Wainwright,58,Two Hills,67,7,23,13,1,111,189
Vegreville--Wainwright/Vegreville--Wainwright,59,Two Hills,73,4,14,22,0,113,148
Vegreville--Wainwright/Vegreville--Wainwright,60,Two Hills,138,11,22,34,0,205,517
Vegreville--Wainwright/Vegreville--Wainwright,61,Two Hills,67,5,6,20,0,98,185
Vegreville--Wainwright/Vegreville--Wainwright,62,Two Hills,93,5,16,17,1,132,212
Vegreville--Wainwright/Vegreville--Wainwright,63,Beauvallon,185,10,27,18,1,241,437
Vegreville--Wainwright/Vegreville--Wainwright,64,Myrnam,74,5,16,13,0,108,155
Vegreville--Wainwright/Vegreville--Wainwright,65,Derwent,165,15,18,24,0,222,365
Vegreville--Wainwright/Vegreville--Wainwright,66,Looma,280,26,35,51,0,392,595
Vegreville--Wainwright/Vegreville--Wainwright,67,Looma,Void,,,,,,
Vegreville--Wainwright/Vegreville--Wainwright,68,New Sarepta,187,32,24,18,1,262,415
Vegreville--Wainwright/Vegreville--Wainwright,69,New Sarepta,Merged with No. 68,,,,,,67
Vegreville--Wainwright/Vegreville--Wainwright,70,Rolly View,Void,,,,,,
Vegreville--Wainwright/Vegreville--Wainwright,71,New Sarepta,266,28,37,37,1,369,565
Vegreville--Wainwright/Vegreville--Wainwright,72,Deville,72,7,11,17,0,107,160
Vegreville--Wainwright/Vegreville--Wainwright,73,Spilstead,150,21,35,29,3,238,406
Vegreville--Wainwright/Vegreville--Wainwright,74,Shonts,200,15,16,14,0,245,371
Vegreville--Wainwright/Vegreville--Wainwright,75,Tofield,161,13,32,32,0,238,572
Vegreville--Wainwright/Vegreville--Wainwright,76A,Tofield,127,13,20,14,2,176,385
Vegreville--Wainwright/Vegreville--Wainwright,76B,Tofield,140,12,15,29,0,196,394
Vegreville--Wainwright/Vegreville--Wainwright,77,Tofield,198,11,14,27,0,250,376
Vegreville--Wainwright/Vegreville--Wainwright,78A,Shonts,109,23,26,25,0,183,279
Vegreville--Wainwright/Vegreville--Wainwright,78B,Shonts,158,24,20,23,0,225,394
Vegreville--Wainwright/Vegreville--Wainwright,79,Ryley,139,10,17,16,0,182,294
Vegreville--Wainwright/Vegreville--Wainwright,80,Ryley,144,17,17,38,4,220,407
Vegreville--Wainwright/Vegreville--Wainwright,81,Haight,126,4,20,17,1,168,268
Vegreville--Wainwright/Vegreville--Wainwright,82,Holden,112,15,17,34,0,178,328
Vegreville--Wainwright/Vegreville--Wainwright,83,Bruce,112,10,23,16,0,161,426
Vegreville--Wainwright/Vegreville--Wainwright,84,Viking,126,6,13,8,0,153,290
Vegreville--Wainwright/Vegreville--Wainwright,85,Viking,153,8,6,15,0,182,310
Vegreville--Wainwright/Vegreville--Wainwright,86,Viking,Merged with No. 87,,,,,,150
Vegreville--Wainwright/Vegreville--Wainwright,87,Viking,168,5,14,22,0,209,173
Vegreville--Wainwright/Vegreville--Wainwright,88,Viking,168,19,18,22,0,227,512
Vegreville--Wainwright/Vegreville--Wainwright,89,Kinsella,107,1,7,5,0,120,170
Vegreville--Wainwright/Vegreville--Wainwright,90,Warwick,129,17,23,20,0,189,291
Vegreville--Wainwright/Vegreville--Wainwright,91,Inland,147,22,28,24,0,221,336
Vegreville--Wainwright/Vegreville--Wainwright,92A,Vegreville,119,17,22,37,0,195,409
Vegreville--Wainwright/Vegreville--Wainwright,92B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,17
