District,Poll Number,Poll Name,Benoît Beauchamp,Bernard Bigras,Christian Bolduc,François Chevalier,Kenneth Higham,Michel Sauvé,Rejected Ballots,Total Vote,Electors
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,1,Montréal,10,129,94,8,1,10,4,256,519
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,2,Montréal,14,124,82,10,0,7,6,243,450
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,3,Montréal,15,94,50,4,0,5,1,169,302
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,4,Montréal,19,130,62,7,0,5,3,226,398
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,5,Montréal,10,132,86,7,2,7,7,251,399
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,6,Montréal,16,117,61,6,0,7,3,210,355
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,7,Montréal,9,126,57,3,1,7,5,208,366
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,8A,Montréal,8,98,51,3,0,4,0,164,280
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,8B,Montréal,16,114,103,2,0,11,4,250,352
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,9,Montréal,6,72,42,4,0,4,3,131,355
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,10,Montréal,22,109,63,10,0,9,4,217,392
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,11,Montréal,10,114,73,6,1,4,3,211,371
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,12,Montréal,7,135,63,13,1,15,4,238,433
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,13,Montréal,15,139,78,7,0,8,8,255,463
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,14,Montréal,16,144,48,7,0,8,7,230,401
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,15,Montréal,15,133,52,17,0,7,6,230,405
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,16,Montréal,10,148,62,7,0,6,2,235,378
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,17,Montréal,8,75,92,7,1,9,6,198,274
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,18,Montréal,17,122,51,15,0,6,0,211,327
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,19,Montréal,14,124,27,7,0,3,3,178,277
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,20,Montréal,8,92,73,0,0,10,2,185,402
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,21,Montréal,11,114,48,8,0,5,4,190,350
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,22,Montréal,13,131,20,5,0,10,3,182,330
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,23,Montréal,17,112,98,7,2,8,5,249,527
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,24,Montréal,18,149,52,4,1,6,2,232,430
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,25,Montréal,13,131,46,12,0,7,4,213,378
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,26,Montréal,4,109,69,8,1,9,1,201,387
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,27,Montréal,9,162,37,12,0,5,5,230,383
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,28,Montréal,15,126,35,12,0,1,4,193,319
Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,29,Montréal,11,133,54,9,1,3,0,211,332
