District,Poll Number,Poll Name,André Bellavance,Lucie LaForest,Jason S. Noble,Pierre Poissant,Christine St-Pierre,Rejected Ballots,Total Vote,Electors
Richmond--Arthabaska/Richmond--Arthabaska,1,Saint-Louis-de-Blandford,69,6,6,28,16,3,128,245
Richmond--Arthabaska/Richmond--Arthabaska,2,Saint-Louis-de-Blandford,143,7,7,40,43,9,249,479
Richmond--Arthabaska/Richmond--Arthabaska,3,Maddington,88,8,6,32,40,1,175,341
Richmond--Arthabaska/Richmond--Arthabaska,4,Daveluyville,114,5,6,38,54,10,227,380
Richmond--Arthabaska/Richmond--Arthabaska,5,Daveluyville,96,2,8,32,53,7,198,386
Richmond--Arthabaska/Richmond--Arthabaska,6,Sainte-Anne-du-Sault,125,8,6,26,62,9,236,390
Richmond--Arthabaska/Richmond--Arthabaska,7,Sainte-Anne-du-Sault,132,13,7,29,60,13,254,413
Richmond--Arthabaska/Richmond--Arthabaska,8,Sainte-Anne-du-Sault,57,7,7,20,29,2,122,187
Richmond--Arthabaska/Richmond--Arthabaska,9,Saint-Rosaire,63,6,8,14,43,0,134,225
Richmond--Arthabaska/Richmond--Arthabaska,10,Saint-Rosaire,118,6,7,26,39,3,199,356
Richmond--Arthabaska/Richmond--Arthabaska,11,Saint-Valère,183,11,4,33,54,10,295,532
Richmond--Arthabaska/Richmond--Arthabaska,12,Saint-Valère,157,5,7,41,41,12,263,447
Richmond--Arthabaska/Richmond--Arthabaska,13,Saint-Samuel,79,6,2,18,26,4,135,234
Richmond--Arthabaska/Richmond--Arthabaska,14,Saint-Samuel,95,5,2,41,30,4,177,287
Richmond--Arthabaska/Richmond--Arthabaska,15,Sainte-Clothilde-de-Horton,101,15,5,19,57,9,206,366
Richmond--Arthabaska/Richmond--Arthabaska,16,Saint-Jacques-de-Horton,41,1,6,14,20,3,85,131
Richmond--Arthabaska/Richmond--Arthabaska,17,Saint-Albert-de-Warwick,64,5,3,15,22,3,112,197
Richmond--Arthabaska/Richmond--Arthabaska,18,Saint-Albert-de-Warwick,156,6,7,18,30,7,224,388
Richmond--Arthabaska/Richmond--Arthabaska,19,Saint-Albert-de-Warwick,137,7,4,30,47,8,233,401
Richmond--Arthabaska/Richmond--Arthabaska,20,Sainte-Élisabeth-de-Warwick,136,14,11,28,64,4,257,436
Richmond--Arthabaska/Richmond--Arthabaska,21,Sainte-Clothilde-de-Horton,129,12,1,10,46,6,204,390
Richmond--Arthabaska/Richmond--Arthabaska,22,Sainte-Clothilde-de-Horton,99,6,3,14,32,5,159,263
Richmond--Arthabaska/Richmond--Arthabaska,23,Sainte-Séraphine,80,8,9,28,41,1,167,251
Richmond--Arthabaska/Richmond--Arthabaska,24,Kingsey Falls,122,20,9,30,45,9,235,405
Richmond--Arthabaska/Richmond--Arthabaska,25,Kingsey Falls,202,13,8,35,91,5,354,563
Richmond--Arthabaska/Richmond--Arthabaska,26,Kingsey Falls,197,11,12,33,72,3,328,473
Richmond--Arthabaska/Richmond--Arthabaska,27,Victoriaville,189,12,6,35,44,8,294,512
Richmond--Arthabaska/Richmond--Arthabaska,28,Victoriaville,107,4,2,24,45,1,183,337
Richmond--Arthabaska/Richmond--Arthabaska,29,Victoriaville,129,10,1,35,37,4,216,361
Richmond--Arthabaska/Richmond--Arthabaska,30,Victoriaville,139,7,8,21,67,11,253,416
Richmond--Arthabaska/Richmond--Arthabaska,31,Victoriaville,125,8,9,24,98,6,270,409
Richmond--Arthabaska/Richmond--Arthabaska,32,Victoriaville,134,8,1,27,76,7,253,427
Richmond--Arthabaska/Richmond--Arthabaska,33,Victoriaville,71,6,1,14,52,6,150,351
Richmond--Arthabaska/Richmond--Arthabaska,34,Victoriaville,98,7,2,21,45,4,177,375
Richmond--Arthabaska/Richmond--Arthabaska,35,Victoriaville,93,7,2,23,88,6,219,377
Richmond--Arthabaska/Richmond--Arthabaska,36,Victoriaville,121,10,3,15,56,9,214,375
Richmond--Arthabaska/Richmond--Arthabaska,37,Victoriaville,196,7,6,31,75,10,325,481
Richmond--Arthabaska/Richmond--Arthabaska,38,Victoriaville,177,13,13,22,60,12,297,530
