District,Poll Number,Poll Name,Stéphane Bergeron,Sébastien Drouin,Philippe Morlighem,Francis-Pierre Rémillard,Nathalie Tousignant,Simon Vallée,Rejected Ballots,Total Vote,Electors
Verchères--Les Patriotes/Verchères--Les Patriotes,1,Contrecoeur,213,2,2,19,75,6,8,325,491
Verchères--Les Patriotes/Verchères--Les Patriotes,2,Contrecoeur,138,2,3,7,50,8,3,211,325
Verchères--Les Patriotes/Verchères--Les Patriotes,3,Contrecoeur,138,1,0,8,24,3,4,178,302
Verchères--Les Patriotes/Verchères--Les Patriotes,4,Contrecoeur,293,6,5,24,40,5,8,381,635
Verchères--Les Patriotes/Verchères--Les Patriotes,5,Contrecoeur,239,2,1,10,43,3,5,303,431
Verchères--Les Patriotes/Verchères--Les Patriotes,6,Contrecoeur,164,3,3,12,27,5,7,221,373
Verchères--Les Patriotes/Verchères--Les Patriotes,7,Contrecoeur,122,4,1,10,26,7,5,175,301
Verchères--Les Patriotes/Verchères--Les Patriotes,8,Contrecoeur,162,4,3,13,26,4,4,216,385
Verchères--Les Patriotes/Verchères--Les Patriotes,9,Contrecoeur,200,3,1,17,22,3,2,248,401
Verchères--Les Patriotes/Verchères--Les Patriotes,10,Contrecoeur,171,5,7,10,24,6,7,230,395
Verchères--Les Patriotes/Verchères--Les Patriotes,11,Contrecoeur,164,3,3,17,18,1,2,208,325
Verchères--Les Patriotes/Verchères--Les Patriotes,12,Verchères,143,3,2,12,45,10,8,223,321
Verchères--Les Patriotes/Verchères--Les Patriotes,13,Verchères,239,4,3,8,39,7,6,306,521
Verchères--Les Patriotes/Verchères--Les Patriotes,14,Verchères,271,4,5,17,40,2,5,344,546
Verchères--Les Patriotes/Verchères--Les Patriotes,15,Verchères,165,6,9,14,31,6,5,236,395
Verchères--Les Patriotes/Verchères--Les Patriotes,16,Verchères,218,7,7,8,48,12,6,306,517
Verchères--Les Patriotes/Verchères--Les Patriotes,17,Verchères,218,4,5,14,22,8,3,274,418
Verchères--Les Patriotes/Verchères--Les Patriotes,18,Verchères,264,8,4,18,43,9,6,352,518
Verchères--Les Patriotes/Verchères--Les Patriotes,19,Verchères,147,3,2,22,39,11,0,224,352
Verchères--Les Patriotes/Verchères--Les Patriotes,20,Verchères,169,4,3,17,26,11,7,237,371
Verchères--Les Patriotes/Verchères--Les Patriotes,21,Calixa-Lavallée,215,1,4,13,36,14,4,287,394
Verchères--Les Patriotes/Verchères--Les Patriotes,22,Saint-Antoine-sur-Richelieu,166,1,8,15,31,10,4,235,376
Verchères--Les Patriotes/Verchères--Les Patriotes,23,Saint-Antoine-sur-Richelieu,86,0,3,9,29,5,2,134,222
Verchères--Les Patriotes/Verchères--Les Patriotes,24,Saint-Denis,184,4,8,21,45,11,8,281,448
Verchères--Les Patriotes/Verchères--Les Patriotes,25,Saint-Denis,176,1,8,12,34,2,10,243,374
Verchères--Les Patriotes/Verchères--Les Patriotes,26,Saint-Denis,164,2,7,15,40,4,9,241,342
Verchères--Les Patriotes/Verchères--Les Patriotes,27,Saint-Antoine-sur-Richelieu,140,0,4,7,36,7,7,201,275
Verchères--Les Patriotes/Verchères--Les Patriotes,28,Saint-Antoine-sur-Richelieu,145,3,3,11,46,4,8,220,333
Verchères--Les Patriotes/Verchères--Les Patriotes,29,Saint-Denis,232,5,8,33,72,6,8,364,580
Verchères--Les Patriotes/Verchères--Les Patriotes,30,Saint-Marc-sur-Richelieu,162,4,6,15,35,7,4,233,384
Verchères--Les Patriotes/Verchères--Les Patriotes,31,Saint-Marc-sur-Richelieu,134,2,8,14,47,9,3,217,333
