District,Poll Number,Poll Name,Joel E. Bernard,Yvon Godin,Mario Lanteigne,Serge Rousselle,Rejected Ballots,Total Vote,Electors
Acadie--Bathurst/Acadie--Bathurst,1,Pointe-Verte,16,90,8,48,4,166,246
Acadie--Bathurst/Acadie--Bathurst,2A,Pointe-Verte,19,108,4,52,3,186,303
Acadie--Bathurst/Acadie--Bathurst,2B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,8
Acadie--Bathurst/Acadie--Bathurst,3,Pointe-Verte,11,122,7,43,1,184,293
Acadie--Bathurst/Acadie--Bathurst,4,Petit-Rocher-Nord,17,105,5,60,2,189,344
Acadie--Bathurst/Acadie--Bathurst,5,Madran,16,133,4,63,1,217,353
Acadie--Bathurst/Acadie--Bathurst,6,Alcida,20,96,2,52,4,174,269
Acadie--Bathurst/Acadie--Bathurst,7A,Laplante,12,59,5,37,0,113,229
Acadie--Bathurst/Acadie--Bathurst,7B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,3
Acadie--Bathurst/Acadie--Bathurst,8,Petit-Rocher,21,104,0,86,6,217,360
Acadie--Bathurst/Acadie--Bathurst,9,Petit-Rocher-Sud,14,82,2,75,1,174,296
Acadie--Bathurst/Acadie--Bathurst,10A,Tremblay,12,140,4,75,4,235,411
Acadie--Bathurst/Acadie--Bathurst,10B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,8
Acadie--Bathurst/Acadie--Bathurst,11,Robertville,10,84,1,37,2,134,231
Acadie--Bathurst/Acadie--Bathurst,12A,Nicholas Denys,15,111,3,37,3,169,269
Acadie--Bathurst/Acadie--Bathurst,12B,Nicholas Denys,13,63,4,50,2,132,223
Acadie--Bathurst/Acadie--Bathurst,13,Val-Michaud,22,166,3,59,4,254,377
Acadie--Bathurst/Acadie--Bathurst,14,Robertville,29,135,7,93,0,264,446
Acadie--Bathurst/Acadie--Bathurst,15,Sainte-Louise,16,141,4,51,0,212,333
Acadie--Bathurst/Acadie--Bathurst,16,Robertville,18,110,2,60,2,192,340
Acadie--Bathurst/Acadie--Bathurst,17,Dunlop,16,88,5,53,1,163,304
Acadie--Bathurst/Acadie--Bathurst,18,Dunlop,30,103,4,68,1,206,386
Acadie--Bathurst/Acadie--Bathurst,19A,Petit-Rocher,24,128,5,84,5,246,361
Acadie--Bathurst/Acadie--Bathurst,19B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,7
Acadie--Bathurst/Acadie--Bathurst,20A,Petit-Rocher,23,127,10,108,1,269,442
Acadie--Bathurst/Acadie--Bathurst,20B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,1
Acadie--Bathurst/Acadie--Bathurst,21A,Petit-Rocher,39,108,8,96,3,254,412
Acadie--Bathurst/Acadie--Bathurst,21B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,8
Acadie--Bathurst/Acadie--Bathurst,22,Petit-Rocher,26,104,3,75,4,212,348
Acadie--Bathurst/Acadie--Bathurst,23,Nigadoo,29,164,8,85,2,288,397
Acadie--Bathurst/Acadie--Bathurst,24,Nigadoo,34,96,13,74,2,219,344
Acadie--Bathurst/Acadie--Bathurst,25A,Beresford,27,52,4,62,3,148,233
Acadie--Bathurst/Acadie--Bathurst,25B,Beresford,15,66,5,49,3,138,218
Acadie--Bathurst/Acadie--Bathurst,26,Beresford,25,102,7,79,0,213,377
Acadie--Bathurst/Acadie--Bathurst,27,Beresford,12,60,4,49,3,128,201
Acadie--Bathurst/Acadie--Bathurst,28,Beresford,22,105,3,83,2,215,369
Acadie--Bathurst/Acadie--Bathurst,29,Beresford,33,120,9,121,1,284,471
Acadie--Bathurst/Acadie--Bathurst,30A,Beresford,16,67,4,62,1,150,274
Acadie--Bathurst/Acadie--Bathurst,30B,Beresford,16,58,2,55,2,133,226
Acadie--Bathurst/Acadie--Bathurst,31,Beresford,25,90,3,90,1,209,432
Acadie--Bathurst/Acadie--Bathurst,32,Beresford,29,109,4,94,1,237,367
Acadie--Bathurst/Acadie--Bathurst,33,Beresford,31,78,9,60,1,179,374
