District,Poll Number,Poll Name,Terry Duguid,Jacob Giesbrecht,Lorene Mahoney,Katharine Reimer,Joy Smith,Rebecca Whittaker,Rejected Ballots,Total Vote,Electors
Kildonan--St. Paul/Kildonan--St. Paul,1,Parkdale,56,3,25,4,76,0,0,164,327
Kildonan--St. Paul/Kildonan--St. Paul,2,Rivercrest,49,6,45,0,112,1,0,213,425
Kildonan--St. Paul/Kildonan--St. Paul,3,Middlechurch,69,0,29,1,93,3,1,196,444
Kildonan--St. Paul/Kildonan--St. Paul,4,Middlechurch,87,11,35,2,98,2,1,236,425
Kildonan--St. Paul/Kildonan--St. Paul,5,Rivercrest,65,6,41,3,92,5,0,212,365
Kildonan--St. Paul/Kildonan--St. Paul,6,Middlechurch,64,9,60,2,60,1,6,202,460
Kildonan--St. Paul/Kildonan--St. Paul,7,McNaughton,65,4,52,2,84,4,0,211,398
Kildonan--St. Paul/Kildonan--St. Paul,8,Riverdale,78,12,40,4,112,2,0,248,451
Kildonan--St. Paul/Kildonan--St. Paul,9,East St. Paul,76,4,34,2,109,2,0,227,422
Kildonan--St. Paul/Kildonan--St. Paul,10,East St. Paul,53,2,24,2,103,3,0,187,332
Kildonan--St. Paul/Kildonan--St. Paul,11A,East St. Paul,61,0,14,0,64,2,0,141,282
Kildonan--St. Paul/Kildonan--St. Paul,11B,East St. Paul,64,2,27,0,75,1,0,169,296
Kildonan--St. Paul/Kildonan--St. Paul,12,East St. Paul,67,9,24,0,140,2,3,245,377
Kildonan--St. Paul/Kildonan--St. Paul,13,East St. Paul,124,8,39,1,120,2,0,294,466
Kildonan--St. Paul/Kildonan--St. Paul,14,East St. Paul,75,3,12,0,70,1,0,161,230
Kildonan--St. Paul/Kildonan--St. Paul,15,East St. Paul,57,1,15,1,76,0,0,150,235
Kildonan--St. Paul/Kildonan--St. Paul,16,Birds Hill,107,6,23,2,100,1,0,239,391
Kildonan--St. Paul/Kildonan--St. Paul,17,Birds Hill,72,3,32,0,96,4,0,207,328
Kildonan--St. Paul/Kildonan--St. Paul,18,Birds Hill,79,1,29,3,131,2,0,245,433
Kildonan--St. Paul/Kildonan--St. Paul,19,Birds Hill,59,4,25,2,71,2,1,164,330
Kildonan--St. Paul/Kildonan--St. Paul,20A,East St. Paul,84,7,7,0,145,2,0,245,384
Kildonan--St. Paul/Kildonan--St. Paul,20B,East St. Paul,103,0,29,0,130,2,1,265,401
Kildonan--St. Paul/Kildonan--St. Paul,21,East St. Paul,114,7,34,5,149,2,0,311,491
Kildonan--St. Paul/Kildonan--St. Paul,22,East St. Paul,88,6,48,1,133,6,1,283,484
Kildonan--St. Paul/Kildonan--St. Paul,23,East St. Paul,54,3,32,2,118,2,1,212,414
