District,Poll Number,Poll Name,Blaine Armstrong,Carol Hughes,Lindsay Killen,Brent St. Denis,Rejected Ballots,Total Vote,Electors
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,502,Mobile poll/Bureau itinérant,19,7,2,30,0,58,118
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,600,Manitouwadge,48,65,9,69,0,191,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,601,Hornepayne,23,36,7,36,2,104,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,602,White River,17,46,3,21,0,87,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,603,Hearst,20,103,4,156,4,287,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,604,Kapuskasing,75,152,13,235,6,481,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,605,Smooth Rock Falls,12,46,2,50,1,111,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,606,Wawa,64,49,8,79,0,200,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,607,Chapleau,52,58,18,153,3,284,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,608,Thessalon,67,21,6,65,1,160,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,609,Blind River,112,130,27,258,5,532,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,610,Elliot Lake,139,115,17,224,0,495,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,611,Elliot Lake,259,198,35,264,5,761,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,612,Massey,50,35,7,49,0,141,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,613,Espanola,117,110,22,182,1,432,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,614,Little Current,70,30,19,86,1,206,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,615,Central Manitoulin,62,18,4,45,1,130,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,616,Gore Bay,35,12,8,25,0,80,
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,,Group 1/Groupe 1,47,18,7,36,6,114,292
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,,Group 2/Groupe 2,249,281,33,405,20,988,
