District,Poll Number,Poll Name,Blaine Armstrong,Carol Hughes,Lindsay Killen,Brent St. Denis,Rejected Ballots,Total Vote,Electors
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,19A,Calstock,6,50,4,49,0,109,479
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,19B,Calstock,5,39,3,38,0,85,126
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,20,Hearst,15,87,4,92,0,198,418
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,21,Hearst,17,64,5,102,1,189,318
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,22,Hearst,16,49,7,79,1,152,375
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,23,Hearst,20,58,4,114,0,196,388
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,24,Hearst,11,69,10,110,2,202,384
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,25,Hearst,8,53,7,111,2,181,335
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,26,Hearst,14,65,2,93,1,175,354
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,27,Hearst,16,82,8,114,0,220,446
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,28,Hearst,9,71,4,84,3,171,341
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,29,Hearst,19,160,8,120,5,312,634
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,30,Lac-Ste-Thérèse,10,44,1,63,1,119,340
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,31,Mattice,8,73,0,28,0,109,216
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,32,Jogues,12,97,5,97,1,212,594
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,33,Mattice,12,103,3,86,1,205,374
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,34,Opasatika,13,74,5,54,3,149,245
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,35,Harty,12,31,0,28,0,71,147
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,36,Val Rita,19,87,4,83,3,196,385
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,37,Kapuskasing,21,37,0,35,1,94,224
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,38,Kapuskasing,28,42,4,89,0,163,264
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,39,Kapuskasing,19,43,8,71,3,144,298
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,40,Kapuskasing,22,63,5,93,2,185,340
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,41,Kapuskasing,26,66,4,76,3,175,284
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,42,Kapuskasing,15,43,5,57,0,120,294
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,43,Kapuskasing,20,61,6,82,0,169,330
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,44,Kapuskasing,23,44,3,58,2,130,282
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,45,Kapuskasing,17,70,8,75,4,174,335
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,46,Kapuskasing,16,67,1,88,5,177,350
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,47,Kapuskasing,14,29,3,48,0,94,262
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,48,Kapuskasing,16,41,3,68,2,130,299
