District,Poll Number,Poll Name,Michael James Culkin,Phil Green,Neeraj Jain,Dagmar Sullivan,Paul John Mark Szabo,Rejected Ballots,Total Vote,Electors
Mississauga South/Mississauga-Sud,1,Mississauga,20,79,12,0,116,3,230,347
Mississauga South/Mississauga-Sud,2,Mississauga,18,65,7,0,125,1,216,342
Mississauga South/Mississauga-Sud,3,Mississauga,19,67,3,0,107,1,197,392
Mississauga South/Mississauga-Sud,4,Mississauga,10,33,3,0,97,1,144,280
Mississauga South/Mississauga-Sud,5,Mississauga,18,49,5,0,87,1,160,256
Mississauga South/Mississauga-Sud,6,Mississauga,26,80,12,1,161,2,282,479
Mississauga South/Mississauga-Sud,7,Mississauga,19,99,5,0,162,0,285,463
Mississauga South/Mississauga-Sud,8,Mississauga,34,89,21,0,132,0,276,445
Mississauga South/Mississauga-Sud,9,Mississauga,17,68,11,0,173,1,270,404
Mississauga South/Mississauga-Sud,10,Mississauga,14,61,9,0,116,2,202,335
Mississauga South/Mississauga-Sud,11,Mississauga,16,64,3,0,111,4,198,298
Mississauga South/Mississauga-Sud,12,Mississauga,21,71,7,0,101,0,200,276
Mississauga South/Mississauga-Sud,13,Mississauga,44,89,8,0,159,1,301,454
Mississauga South/Mississauga-Sud,14,Mississauga,16,66,9,2,131,1,225,369
Mississauga South/Mississauga-Sud,15,Mississauga,Merged with No. 22,,,,,,,68
Mississauga South/Mississauga-Sud,16,Mississauga,13,43,7,1,92,1,157,292
Mississauga South/Mississauga-Sud,17,Mississauga,29,79,4,0,145,0,257,466
Mississauga South/Mississauga-Sud,18,Mississauga,27,74,6,0,121,1,229,395
Mississauga South/Mississauga-Sud,19,Mississauga,25,54,6,1,94,1,181,340
Mississauga South/Mississauga-Sud,20,Mississauga,42,80,9,0,116,0,247,501
Mississauga South/Mississauga-Sud,21,Mississauga,40,45,10,2,49,1,147,522
Mississauga South/Mississauga-Sud,22,Mississauga,11,14,1,0,36,0,62,132
Mississauga South/Mississauga-Sud,23,Mississauga,17,34,2,0,68,0,121,328
Mississauga South/Mississauga-Sud,24,Mississauga,40,100,11,0,111,4,266,417
Mississauga South/Mississauga-Sud,25,Mississauga,17,70,7,0,156,0,250,416
Mississauga South/Mississauga-Sud,26,Mississauga,43,80,12,0,139,0,274,479
Mississauga South/Mississauga-Sud,27,Mississauga,53,64,9,1,94,1,222,481
Mississauga South/Mississauga-Sud,28,Mississauga,25,60,6,1,119,2,213,389
Mississauga South/Mississauga-Sud,29,Mississauga,14,14,2,0,16,0,46,184
Mississauga South/Mississauga-Sud,30,Mississauga,31,71,14,2,119,1,238,376
Mississauga South/Mississauga-Sud,31,Mississauga,34,50,7,0,103,2,196,383
Mississauga South/Mississauga-Sud,32,Mississauga,30,44,14,0,130,2,220,402
Mississauga South/Mississauga-Sud,33,Mississauga,30,56,7,1,115,3,212,422
Mississauga South/Mississauga-Sud,34,Mississauga,25,84,10,1,112,3,235,459
Mississauga South/Mississauga-Sud,35,Mississauga,18,68,10,0,115,1,212,363
Mississauga South/Mississauga-Sud,36,Mississauga,35,67,9,2,116,2,231,383
Mississauga South/Mississauga-Sud,37,Mississauga,38,70,9,4,112,0,233,387
Mississauga South/Mississauga-Sud,38,Mississauga,24,47,4,3,132,3,213,386
Mississauga South/Mississauga-Sud,39A,Mississauga,25,72,14,0,129,0,240,421
Mississauga South/Mississauga-Sud,39B,Mississauga,31,66,8,0,128,1,234,414
Mississauga South/Mississauga-Sud,40,Mississauga,26,57,12,0,78,1,174,368
Mississauga South/Mississauga-Sud,41,Mississauga,35,39,10,2,90,2,178,407
Mississauga South/Mississauga-Sud,42,Mississauga,20,47,6,1,63,1,138,331
Mississauga South/Mississauga-Sud,43,Mississauga,43,46,6,1,119,1,216,498
Mississauga South/Mississauga-Sud,44,Mississauga,48,80,17,1,97,0,243,437
Mississauga South/Mississauga-Sud,45,Mississauga,29,38,4,2,83,1,157,454
