District,Poll Number,Poll Name,Nancy Clegg,Sukh Dhaliwal,Gurmant Grewal,John Hague,Nazir Rizvi,Rejected Ballots,Total Vote,Electors
Newton--North Delta/Newton--Delta-Nord,73,Delta,46,74,54,12,0,1,187,298
Newton--North Delta/Newton--Delta-Nord,74,Delta,73,61,68,27,0,0,229,361
Newton--North Delta/Newton--Delta-Nord,75,Delta,46,79,78,12,0,0,215,317
Newton--North Delta/Newton--Delta-Nord,76,Delta,40,82,75,22,0,1,220,338
Newton--North Delta/Newton--Delta-Nord,77,Delta,41,97,69,25,1,2,235,414
Newton--North Delta/Newton--Delta-Nord,78,Delta,32,83,75,25,0,0,215,409
Newton--North Delta/Newton--Delta-Nord,79,Delta,52,88,64,14,0,2,220,392
Newton--North Delta/Newton--Delta-Nord,80,Delta,60,73,68,17,1,0,219,397
Newton--North Delta/Newton--Delta-Nord,81,Delta,51,83,99,12,0,1,246,415
Newton--North Delta/Newton--Delta-Nord,82,Delta,55,78,80,12,2,0,227,339
Newton--North Delta/Newton--Delta-Nord,83,Delta,58,93,109,23,0,1,284,468
Newton--North Delta/Newton--Delta-Nord,84,Delta,52,100,108,28,0,1,289,401
Newton--North Delta/Newton--Delta-Nord,85,Delta,48,62,56,24,0,0,190,297
Newton--North Delta/Newton--Delta-Nord,86,Surrey,83,58,71,3,1,2,218,398
Newton--North Delta/Newton--Delta-Nord,87,Surrey,122,81,98,14,0,1,316,568
Newton--North Delta/Newton--Delta-Nord,88,Surrey,110,74,88,34,3,0,309,630
Newton--North Delta/Newton--Delta-Nord,89,Surrey,50,38,59,14,1,0,162,310
Newton--North Delta/Newton--Delta-Nord,90,Surrey,65,67,119,8,1,0,260,578
Newton--North Delta/Newton--Delta-Nord,91,Surrey,27,38,41,6,0,2,114,229
Newton--North Delta/Newton--Delta-Nord,92A,Surrey,72,37,58,14,0,2,183,342
Newton--North Delta/Newton--Delta-Nord,92B,Surrey,49,47,54,13,1,2,166,307
Newton--North Delta/Newton--Delta-Nord,93,Surrey,27,31,32,5,1,0,96,171
Newton--North Delta/Newton--Delta-Nord,94,Surrey,60,76,59,9,1,0,205,439
Newton--North Delta/Newton--Delta-Nord,95,Surrey,32,22,34,2,0,3,93,193
Newton--North Delta/Newton--Delta-Nord,96,Surrey,51,102,102,7,2,1,265,545
Newton--North Delta/Newton--Delta-Nord,97,Surrey,54,40,87,10,1,0,192,360
Newton--North Delta/Newton--Delta-Nord,98,Surrey,31,38,41,5,1,4,120,255
Newton--North Delta/Newton--Delta-Nord,99,Surrey,47,122,75,11,1,4,260,548
Newton--North Delta/Newton--Delta-Nord,100,Surrey,57,64,66,21,0,0,208,367
Newton--North Delta/Newton--Delta-Nord,101,Surrey,67,66,67,9,1,0,210,465
Newton--North Delta/Newton--Delta-Nord,102,Surrey,40,78,52,4,0,1,175,412
Newton--North Delta/Newton--Delta-Nord,103,Surrey,35,94,80,1,2,1,213,493
Newton--North Delta/Newton--Delta-Nord,104,Surrey,68,101,77,11,1,1,259,611
Newton--North Delta/Newton--Delta-Nord,105,Surrey,24,82,42,4,0,0,152,327
Newton--North Delta/Newton--Delta-Nord,106,Surrey,28,55,42,5,0,0,130,274
Newton--North Delta/Newton--Delta-Nord,107,Surrey,53,75,75,4,0,0,207,457
Newton--North Delta/Newton--Delta-Nord,108,Surrey,53,63,78,7,2,1,204,441
Newton--North Delta/Newton--Delta-Nord,109,Surrey,109,76,100,19,1,1,306,563
Newton--North Delta/Newton--Delta-Nord,110,Surrey,74,62,77,7,0,2,222,382
Newton--North Delta/Newton--Delta-Nord,111,Surrey,109,99,118,23,1,1,351,625
Newton--North Delta/Newton--Delta-Nord,112,Surrey,39,108,80,5,0,2,234,445
Newton--North Delta/Newton--Delta-Nord,113,Surrey,60,102,90,3,0,0,255,502
Newton--North Delta/Newton--Delta-Nord,114,Surrey,51,79,83,3,0,1,217,497
Newton--North Delta/Newton--Delta-Nord,115A,Surrey,25,81,81,2,1,6,196,460
Newton--North Delta/Newton--Delta-Nord,115B,Surrey,31,115,69,2,0,0,217,451
Newton--North Delta/Newton--Delta-Nord,116,Surrey,91,60,77,12,0,1,241,463
Newton--North Delta/Newton--Delta-Nord,117,Surrey,46,57,67,11,1,0,182,375
Newton--North Delta/Newton--Delta-Nord,118,Surrey,47,40,49,2,0,2,140,280
Newton--North Delta/Newton--Delta-Nord,119,Surrey,65,37,54,8,0,0,164,290
Newton--North Delta/Newton--Delta-Nord,120,Surrey,74,38,55,10,0,1,178,310
Newton--North Delta/Newton--Delta-Nord,121,Surrey,40,31,33,8,0,1,113,225
Newton--North Delta/Newton--Delta-Nord,122,Surrey,90,44,67,22,2,1,226,489
Newton--North Delta/Newton--Delta-Nord,123,Surrey,41,55,40,12,0,0,148,312
Newton--North Delta/Newton--Delta-Nord,124,Surrey,78,76,95,7,0,2,258,454
Newton--North Delta/Newton--Delta-Nord,125,Surrey,43,83,79,6,0,2,213,478
Newton--North Delta/Newton--Delta-Nord,126A,Surrey,38,102,95,1,0,0,236,474
Newton--North Delta/Newton--Delta-Nord,126B,Surrey,51,83,87,2,0,1,224,452
Newton--North Delta/Newton--Delta-Nord,127,Surrey,28,96,60,0,0,2,186,402
Newton--North Delta/Newton--Delta-Nord,128,Surrey,73,70,64,12,1,2,222,429
Newton--North Delta/Newton--Delta-Nord,129,Surrey,59,97,78,13,1,1,249,426
Newton--North Delta/Newton--Delta-Nord,130,Surrey,77,102,134,20,0,1,334,511
Newton--North Delta/Newton--Delta-Nord,131,Surrey,25,50,82,9,0,0,166,270
Newton--North Delta/Newton--Delta-Nord,132,Surrey,25,43,36,3,0,0,107,179
Newton--North Delta/Newton--Delta-Nord,133,Surrey,86,105,129,17,0,1,338,485
Newton--North Delta/Newton--Delta-Nord,134,Surrey,39,50,72,4,1,0,166,348
Newton--North Delta/Newton--Delta-Nord,135,Surrey,27,117,122,10,1,0,277,464
Newton--North Delta/Newton--Delta-Nord,136,Surrey,52,79,55,6,1,1,194,408
