District,Poll Number,Poll Name,Bruno-Marie Béchard,Serge Cardin,Jeffrey Champagne,Philippe Dion,Réal Leblanc,Rejected Ballots,Total Vote,Electors
Sherbrooke/Sherbrooke,1,Brompton,86,196,6,7,8,7,310,514
Sherbrooke/Sherbrooke,2,Brompton,17,106,3,2,10,3,141,222
Sherbrooke/Sherbrooke,3,Bromptonville,76,208,6,4,22,3,319,528
Sherbrooke/Sherbrooke,4,Bromptonville,45,110,3,4,14,3,179,301
Sherbrooke/Sherbrooke,5,Bromptonville,50,125,4,1,14,6,200,375
Sherbrooke/Sherbrooke,6A,Bromptonville,46,122,2,4,4,0,178,301
Sherbrooke/Sherbrooke,6B,Bromptonville,46,113,3,3,14,1,180,306
Sherbrooke/Sherbrooke,7,Bromptonville,53,154,6,1,12,3,229,338
Sherbrooke/Sherbrooke,8,Bromptonville,74,172,6,3,11,8,274,547
Sherbrooke/Sherbrooke,9,Brompton,23,93,7,2,6,2,133,249
Sherbrooke/Sherbrooke,10,Brompton,68,177,9,17,10,4,285,451
Sherbrooke/Sherbrooke,11,Sherbrooke,83,158,11,2,15,4,273,493
Sherbrooke/Sherbrooke,12,Sherbrooke,89,152,10,9,6,1,267,387
Sherbrooke/Sherbrooke,13,Sherbrooke,39,150,9,7,9,2,216,396
Sherbrooke/Sherbrooke,14,Sherbrooke,63,134,10,8,7,0,222,399
Sherbrooke/Sherbrooke,15,Sherbrooke,75,145,7,6,13,3,249,391
Sherbrooke/Sherbrooke,16,Sherbrooke,137,145,10,15,10,2,319,497
Sherbrooke/Sherbrooke,17,Sherbrooke,90,129,2,4,6,4,235,365
Sherbrooke/Sherbrooke,18,Sherbrooke,68,125,5,10,12,1,221,440
Sherbrooke/Sherbrooke,19,Sherbrooke,88,188,11,7,20,3,317,489
Sherbrooke/Sherbrooke,20,Sherbrooke,112,190,8,6,20,1,337,574
Sherbrooke/Sherbrooke,21,Sherbrooke,92,165,7,4,7,0,275,548
Sherbrooke/Sherbrooke,22,Sherbrooke,70,96,4,9,7,0,186,349
Sherbrooke/Sherbrooke,23,Sherbrooke,45,40,2,5,3,2,97,216
Sherbrooke/Sherbrooke,24,Sherbrooke,66,144,8,15,8,4,245,520
Sherbrooke/Sherbrooke,25,Sherbrooke,95,161,9,7,10,1,283,528
Sherbrooke/Sherbrooke,26,Sherbrooke,94,121,5,7,18,2,247,479
Sherbrooke/Sherbrooke,27,Sherbrooke,104,141,9,6,17,2,279,448
Sherbrooke/Sherbrooke,28,Sherbrooke,96,157,8,2,9,5,277,568
Sherbrooke/Sherbrooke,29,Sherbrooke,91,111,10,4,13,3,232,415
Sherbrooke/Sherbrooke,30,Sherbrooke,120,58,2,2,5,0,187,456
Sherbrooke/Sherbrooke,31,Sherbrooke,129,97,3,2,8,2,241,462
Sherbrooke/Sherbrooke,32,Sherbrooke,70,76,4,2,3,2,157,324
Sherbrooke/Sherbrooke,33,Sherbrooke,90,112,6,10,6,4,228,362
Sherbrooke/Sherbrooke,34,Sherbrooke,77,93,5,10,8,2,195,353
Sherbrooke/Sherbrooke,35,Sherbrooke,79,108,8,2,10,4,211,430
Sherbrooke/Sherbrooke,36,Sherbrooke,76,161,9,7,19,5,277,417
Sherbrooke/Sherbrooke,37,Sherbrooke,112,191,16,21,3,4,347,522
Sherbrooke/Sherbrooke,38,Sherbrooke,119,155,6,11,16,3,310,436
Sherbrooke/Sherbrooke,39,Sherbrooke,126,104,6,18,9,1,264,380
Sherbrooke/Sherbrooke,40,Sherbrooke,92,135,5,19,10,2,263,374
Sherbrooke/Sherbrooke,41,Sherbrooke,81,148,11,5,6,3,254,362
Sherbrooke/Sherbrooke,42,Sherbrooke,67,152,8,11,3,4,245,424
Sherbrooke/Sherbrooke,43,Sherbrooke,161,92,7,5,6,4,275,387
Sherbrooke/Sherbrooke,44A,Sherbrooke,90,170,10,11,7,3,291,432
Sherbrooke/Sherbrooke,44B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,,50
Sherbrooke/Sherbrooke,45,Sherbrooke,83,126,13,13,12,1,248,398
Sherbrooke/Sherbrooke,46,Sherbrooke,50,142,10,8,9,2,221,396
Sherbrooke/Sherbrooke,47,Sherbrooke,73,108,12,4,5,0,202,399
Sherbrooke/Sherbrooke,48,Sherbrooke,61,123,8,14,9,3,218,412
