District,Poll Number,Poll Name,Navdeep Bains,David Gershuny,Parvinder Sandhu,Paul Simas,Larry Taylor,Rejected Ballots,Total Vote,Electors
Mississauga--Brampton South/Mississauga--Brampton-Sud,1,Brampton,109,1,21,9,20,3,163,373
Mississauga--Brampton South/Mississauga--Brampton-Sud,2,Brampton,151,2,52,11,24,4,244,420
Mississauga--Brampton South/Mississauga--Brampton-Sud,3,Brampton,118,1,68,6,24,2,219,408
Mississauga--Brampton South/Mississauga--Brampton-Sud,4,Brampton,106,1,54,5,32,2,200,459
Mississauga--Brampton South/Mississauga--Brampton-Sud,5,Brampton,80,1,61,5,20,2,169,351
Mississauga--Brampton South/Mississauga--Brampton-Sud,6,Brampton,114,1,51,7,29,0,202,483
Mississauga--Brampton South/Mississauga--Brampton-Sud,7,Brampton,151,1,48,10,29,2,241,603
Mississauga--Brampton South/Mississauga--Brampton-Sud,8,Brampton,143,0,39,7,28,2,219,538
Mississauga--Brampton South/Mississauga--Brampton-Sud,9,Brampton,134,1,56,8,40,1,240,576
Mississauga--Brampton South/Mississauga--Brampton-Sud,10A,Brampton,122,1,36,8,32,0,199,533
Mississauga--Brampton South/Mississauga--Brampton-Sud,10B,Mobile poll/Bureau itinérant,Merged with No. 406,,,,,,,44
Mississauga--Brampton South/Mississauga--Brampton-Sud,11,Brampton,57,0,35,5,21,2,120,412
Mississauga--Brampton South/Mississauga--Brampton-Sud,12,Brampton,137,1,63,17,25,2,245,456
Mississauga--Brampton South/Mississauga--Brampton-Sud,13,Brampton,118,0,30,4,14,5,171,428
Mississauga--Brampton South/Mississauga--Brampton-Sud,14,Brampton,164,0,31,13,25,1,234,610
Mississauga--Brampton South/Mississauga--Brampton-Sud,15,Brampton,73,0,14,5,15,1,108,245
Mississauga--Brampton South/Mississauga--Brampton-Sud,16,Brampton,105,0,26,1,22,1,155,390
Mississauga--Brampton South/Mississauga--Brampton-Sud,17,Brampton,106,1,45,2,17,3,174,508
Mississauga--Brampton South/Mississauga--Brampton-Sud,18,Brampton,97,1,36,1,14,2,151,441
Mississauga--Brampton South/Mississauga--Brampton-Sud,19,Brampton,76,0,27,4,6,3,116,330
Mississauga--Brampton South/Mississauga--Brampton-Sud,20,Mississauga,92,2,24,5,20,0,143,361
Mississauga--Brampton South/Mississauga--Brampton-Sud,21,Mississauga,91,0,21,3,16,0,131,278
Mississauga--Brampton South/Mississauga--Brampton-Sud,22,Mississauga,91,2,52,6,31,0,182,348
Mississauga--Brampton South/Mississauga--Brampton-Sud,23,Mississauga,127,2,53,9,27,0,218,412
Mississauga--Brampton South/Mississauga--Brampton-Sud,24,Mississauga,136,4,47,4,26,0,217,508
