District,Poll Number,Poll Name,Bob Kilger,Guy Lauzon,Elaine MacDonald,Tom Manley,Rejected Ballots,Total Vote,Electors
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,104,Cornwall,72,67,34,10,0,183,331
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,105,Cornwall,76,46,24,13,1,160,344
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,106,Cornwall,77,51,12,2,0,142,329
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,107,Cornwall,107,58,22,11,0,198,413
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,108,Cornwall,109,72,22,7,1,211,412
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,109,Cornwall,69,82,16,13,1,181,335
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,110,Cornwall,71,66,29,3,1,170,336
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,111,Cornwall,81,62,23,10,1,177,375
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,112,Cornwall,82,49,28,8,1,168,334
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,113,Cornwall,52,56,21,13,0,142,383
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,114,Cornwall,50,50,18,5,1,124,266
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,115,Cornwall,68,60,19,11,1,159,366
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,116,Cornwall,58,43,27,6,1,135,341
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,117,Cornwall,46,61,24,6,3,140,359
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,118,Cornwall,42,68,25,7,1,143,301
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,119,Cornwall,39,34,22,5,1,101,337
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,120,Cornwall,63,68,37,10,4,182,420
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,121,Cornwall,42,62,32,5,1,142,336
