District,Poll Number,Poll Name,Mike Allen,Scott Jones,Jason Mapplebeck,Andy Savoy,Rejected Ballots,Total Vote,Electors
Tobique--Mactaquac/Tobique--Mactaquac,1A,Saint-André,38,5,19,120,7,189,320
Tobique--Mactaquac/Tobique--Mactaquac,1B,Saint-André,28,5,18,50,3,104,207
Tobique--Mactaquac/Tobique--Mactaquac,2,Saint-André,71,5,34,136,9,255,458
Tobique--Mactaquac/Tobique--Mactaquac,3,Saint-André,57,9,25,138,7,236,426
Tobique--Mactaquac/Tobique--Mactaquac,4,Saint-André,78,4,26,117,13,238,351
Tobique--Mactaquac/Tobique--Mactaquac,5,Drummond,Void,,,,,,
Tobique--Mactaquac/Tobique--Mactaquac,6A,Drummond,63,3,14,126,9,215,374
Tobique--Mactaquac/Tobique--Mactaquac,6B,Drummond,50,6,27,120,8,211,313
Tobique--Mactaquac/Tobique--Mactaquac,7,Drummond,56,10,39,140,10,255,446
Tobique--Mactaquac/Tobique--Mactaquac,8,Drummond,40,1,25,120,5,191,305
Tobique--Mactaquac/Tobique--Mactaquac,9,Drummond,27,3,24,158,6,218,323
Tobique--Mactaquac/Tobique--Mactaquac,10,Drummond,52,8,30,189,6,285,509
Tobique--Mactaquac/Tobique--Mactaquac,11,New Denmark,60,6,32,114,3,215,376
Tobique--Mactaquac/Tobique--Mactaquac,12,Salmonhurst Corner,62,3,22,132,0,219,392
Tobique--Mactaquac/Tobique--Mactaquac,13,Grand Falls--Grand-Sault,25,5,20,112,4,166,345
Tobique--Mactaquac/Tobique--Mactaquac,14A,Grand Falls--Grand-Sault,27,9,13,91,0,140,205
Tobique--Mactaquac/Tobique--Mactaquac,14B,Grand Falls--Grand-Sault,44,3,17,115,6,185,323
Tobique--Mactaquac/Tobique--Mactaquac,15,Grand Falls--Grand-Sault,59,6,15,184,10,274,476
Tobique--Mactaquac/Tobique--Mactaquac,16,Grand Falls--Grand-Sault,41,8,27,134,2,212,420
Tobique--Mactaquac/Tobique--Mactaquac,17,Grand Falls--Grand-Sault,34,5,21,93,7,160,314
Tobique--Mactaquac/Tobique--Mactaquac,18,Grand Falls--Grand-Sault,26,4,12,73,2,117,363
Tobique--Mactaquac/Tobique--Mactaquac,19,Grand Falls--Grand-Sault,31,3,10,96,1,141,344
Tobique--Mactaquac/Tobique--Mactaquac,20,Grand Falls--Grand-Sault,27,7,21,91,2,148,332
Tobique--Mactaquac/Tobique--Mactaquac,21A,Grand Falls--Grand-Sault,31,5,32,96,7,171,282
