District,Poll Number,Poll Name,Pierre Corbeil,François Dionne,Martin Fournier,Yvon Lévesque,Guy St-Julien,Rejected Ballots,Total Vote,Electors
Nunavik--Eeyou/Nunavik--Eeyou,1,Ivujivik,4,3,4,4,47,1,63,171
Nunavik--Eeyou/Nunavik--Eeyou,2,Salluit,21,13,7,17,200,24,282,609
Nunavik--Eeyou/Nunavik--Eeyou,3,Akulivik,4,4,1,14,78,5,106,244
Nunavik--Eeyou/Nunavik--Eeyou,4,Puvirnituq,7,7,6,14,52,0,86,240
Nunavik--Eeyou/Nunavik--Eeyou,5,Puvirnituq,9,7,9,21,80,0,126,550
Nunavik--Eeyou/Nunavik--Eeyou,6,Inukjuak,4,4,1,3,84,0,96,231
Nunavik--Eeyou/Nunavik--Eeyou,7,Inukjuak,19,13,16,9,167,2,226,627
Nunavik--Eeyou/Nunavik--Eeyou,8,Kangiqsujuaq,5,5,26,7,106,2,151,321
Nunavik--Eeyou/Nunavik--Eeyou,9,Quaqtaq,2,6,4,7,56,0,75,156
Nunavik--Eeyou/Nunavik--Eeyou,10,Kangirsuk,3,7,7,7,99,1,124,258
Nunavik--Eeyou/Nunavik--Eeyou,11,Aupaluk,4,0,4,5,36,0,49,98
Nunavik--Eeyou/Nunavik--Eeyou,12,Tasiujaq,3,1,6,2,62,1,75,129
Nunavik--Eeyou/Nunavik--Eeyou,13,Kuujjuaq,11,4,8,33,123,0,179,621
Nunavik--Eeyou/Nunavik--Eeyou,14,Kuujjuaq,11,4,1,21,76,0,113,250
Nunavik--Eeyou/Nunavik--Eeyou,15,Kangiqsualujjuaq,13,12,32,14,138,0,209,412
Nunavik--Eeyou/Nunavik--Eeyou,16,Kuujjuaq,21,4,6,15,141,0,187,211
Nunavik--Eeyou/Nunavik--Eeyou,17,Kawawachikamach,Void,,,,,,,
Nunavik--Eeyou/Nunavik--Eeyou,18,Umiujaq,10,11,5,6,76,1,109,194
Nunavik--Eeyou/Nunavik--Eeyou,19,Kuujjuarapik,18,4,15,19,99,1,156,657
Nunavik--Eeyou/Nunavik--Eeyou,20,Whapmagoostui,5,9,8,4,38,0,64,213
Nunavik--Eeyou/Nunavik--Eeyou,21,Chisasibi,7,5,12,6,84,0,114,288
Nunavik--Eeyou/Nunavik--Eeyou,22,Chisasibi,3,4,13,6,57,0,83,260
Nunavik--Eeyou/Nunavik--Eeyou,23A,Chisasibi,6,0,9,12,109,1,137,517
Nunavik--Eeyou/Nunavik--Eeyou,23B,Chisasibi,7,3,11,18,65,2,106,500
Nunavik--Eeyou/Nunavik--Eeyou,24,Chisasibi,2,2,5,2,48,1,60,256
Nunavik--Eeyou/Nunavik--Eeyou,25,Chisasibi,3,2,4,6,69,2,86,372
Nunavik--Eeyou/Nunavik--Eeyou,26A,Wemindji,5,7,5,13,99,0,129,380
Nunavik--Eeyou/Nunavik--Eeyou,26B,Wemindji,0,1,7,4,95,1,108,369
Nunavik--Eeyou/Nunavik--Eeyou,27,Eastmain,8,15,15,16,116,1,171,401
Nunavik--Eeyou/Nunavik--Eeyou,28,Radisson,4,6,2,81,43,2,138,292
Nunavik--Eeyou/Nunavik--Eeyou,29A,Waskaganish,12,7,15,13,177,2,226,643
Nunavik--Eeyou/Nunavik--Eeyou,29B,Waskaganish,9,5,5,10,124,0,153,452
Nunavik--Eeyou/Nunavik--Eeyou,30,Waskaganish,Void,,,,,,,
Nunavik--Eeyou/Nunavik--Eeyou,31,Nemaska,9,8,7,16,88,1,129,409
Nunavik--Eeyou/Nunavik--Eeyou,32,Matagami,8,9,5,68,57,0,147,310
Nunavik--Eeyou/Nunavik--Eeyou,33,Matagami,7,9,2,89,64,2,173,332
Nunavik--Eeyou/Nunavik--Eeyou,34,Matagami,4,5,6,66,54,2,137,330
Nunavik--Eeyou/Nunavik--Eeyou,35,Matagami,8,6,1,45,47,5,112,324
Nunavik--Eeyou/Nunavik--Eeyou,36,Mistissini,Void,,,,,,,
Nunavik--Eeyou/Nunavik--Eeyou,37A,Mistissini,3,4,7,9,84,1,108,540
Nunavik--Eeyou/Nunavik--Eeyou,37B,Mistissini,4,8,4,11,105,2,134,548
Nunavik--Eeyou/Nunavik--Eeyou,37C,Mistissini,2,7,3,8,90,5,115,564
Nunavik--Eeyou/Nunavik--Eeyou,38,Chibougamau,5,3,3,40,23,1,75,218
Nunavik--Eeyou/Nunavik--Eeyou,39,Chibougamau,3,1,3,120,31,3,161,375
Nunavik--Eeyou/Nunavik--Eeyou,40,Chibougamau,5,4,2,109,42,3,165,349
Nunavik--Eeyou/Nunavik--Eeyou,41,Chibougamau,2,8,2,127,31,2,172,432
Nunavik--Eeyou/Nunavik--Eeyou,42,Chibougamau,3,2,2,70,20,0,97,315
Nunavik--Eeyou/Nunavik--Eeyou,43,Chibougamau,0,1,2,60,18,3,84,256
Nunavik--Eeyou/Nunavik--Eeyou,44,Chibougamau,0,7,6,81,17,1,112,344
Nunavik--Eeyou/Nunavik--Eeyou,45,Chibougamau,3,4,2,95,31,3,138,316
Nunavik--Eeyou/Nunavik--Eeyou,46,Chibougamau,6,2,5,77,16,1,107,342
Nunavik--Eeyou/Nunavik--Eeyou,47,Chibougamau,10,6,4,122,49,2,193,434
Nunavik--Eeyou/Nunavik--Eeyou,48,Chibougamau,4,5,4,112,46,4,175,366
Nunavik--Eeyou/Nunavik--Eeyou,49,Chibougamau,3,2,4,61,26,2,98,239
Nunavik--Eeyou/Nunavik--Eeyou,50,Chibougamau,3,0,5,112,32,5,157,389
Nunavik--Eeyou/Nunavik--Eeyou,51,Chibougamau,2,7,5,117,32,5,168,448
Nunavik--Eeyou/Nunavik--Eeyou,52,Chibougamau,6,6,7,106,73,3,201,410
Nunavik--Eeyou/Nunavik--Eeyou,53A,Chibougamau,4,4,6,118,39,6,177,348
Nunavik--Eeyou/Nunavik--Eeyou,53B,Chibougamau,9,6,1,92,58,2,168,363
Nunavik--Eeyou/Nunavik--Eeyou,54,Chibougamau,1,5,2,11,64,0,83,350
Nunavik--Eeyou/Nunavik--Eeyou,55,Chapais,6,7,3,90,29,1,136,313
Nunavik--Eeyou/Nunavik--Eeyou,56,Chapais,3,1,2,45,17,1,69,228
Nunavik--Eeyou/Nunavik--Eeyou,57,Chapais,2,2,3,56,23,1,87,264
Nunavik--Eeyou/Nunavik--Eeyou,58,Chapais,3,3,0,73,40,1,120,290
Nunavik--Eeyou/Nunavik--Eeyou,59,Chapais,4,4,1,52,8,2,71,241
Nunavik--Eeyou/Nunavik--Eeyou,60,Desmaraisville,0,0,0,4,2,0,6,12
Nunavik--Eeyou/Nunavik--Eeyou,61A,Waswanipi,6,9,20,14,117,2,168,410
Nunavik--Eeyou/Nunavik--Eeyou,61B,Waswanipi,6,8,6,13,127,0,160,365
Nunavik--Eeyou/Nunavik--Eeyou,62,Miquelon,1,0,0,2,7,0,10,12
Nunavik--Eeyou/Nunavik--Eeyou,63,Lebel-sur-Quévillon,4,7,1,180,37,5,234,513
Nunavik--Eeyou/Nunavik--Eeyou,64,Lebel-sur-Quévillon,6,13,6,135,29,1,190,381
Nunavik--Eeyou/Nunavik--Eeyou,65,Lebel-sur-Quévillon,4,2,2,116,33,2,159,307
Nunavik--Eeyou/Nunavik--Eeyou,66,Lebel-sur-Quévillon,10,4,1,142,15,3,175,345
Nunavik--Eeyou/Nunavik--Eeyou,67,Lebel-sur-Quévillon,10,11,3,86,38,3,151,327
Nunavik--Eeyou/Nunavik--Eeyou,68,Lebel-sur-Quévillon,2,7,4,118,13,6,150,363
Nunavik--Eeyou/Nunavik--Eeyou,69,Senneterre,11,11,8,122,94,2,248,518
Nunavik--Eeyou/Nunavik--Eeyou,70,Belcourt,8,3,2,65,29,1,108,212
Nunavik--Eeyou/Nunavik--Eeyou,71,Senneterre,15,17,6,80,58,3,179,381
Nunavik--Eeyou/Nunavik--Eeyou,72,Senneterre,8,16,7,58,73,2,164,293
Nunavik--Eeyou/Nunavik--Eeyou,73,Senneterre,11,10,3,95,85,8,212,481
Nunavik--Eeyou/Nunavik--Eeyou,74,Senneterre,9,6,4,83,55,1,158,306
Nunavik--Eeyou/Nunavik--Eeyou,75,Senneterre,7,11,4,46,54,1,123,282
Nunavik--Eeyou/Nunavik--Eeyou,76,Senneterre,4,10,5,83,68,4,174,409
Nunavik--Eeyou/Nunavik--Eeyou,77,Senneterre,5,9,4,46,38,0,102,274
Nunavik--Eeyou/Nunavik--Eeyou,78,Senneterre,5,3,1,37,30,4,80,220
Nunavik--Eeyou/Nunavik--Eeyou,79A,Kitcisakik,1,1,1,0,37,0,40,71
Nunavik--Eeyou/Nunavik--Eeyou,79B,Louvicourt,1,4,2,31,34,0,72,143
Nunavik--Eeyou/Nunavik--Eeyou,80,Lac-Simon,13,2,3,3,104,3,128,602
Nunavik--Eeyou/Nunavik--Eeyou,81,Vassan,10,21,5,122,48,3,209,424
Nunavik--Eeyou/Nunavik--Eeyou,82,Vassan,6,12,6,67,37,3,131,283
Nunavik--Eeyou/Nunavik--Eeyou,83,Sullivan,9,17,9,138,84,12,269,527
Nunavik--Eeyou/Nunavik--Eeyou,84A,Sullivan,Merged with No. 86,,,,,,,121
Nunavik--Eeyou/Nunavik--Eeyou,84B,Sullivan,7,13,10,132,92,7,261,500
Nunavik--Eeyou/Nunavik--Eeyou,85,Sullivan,15,12,6,151,120,8,312,585
Nunavik--Eeyou/Nunavik--Eeyou,86,Sullivan,5,9,2,113,56,6,191,232
Nunavik--Eeyou/Nunavik--Eeyou,87,Val-d'Or,4,4,4,75,65,5,157,322
Nunavik--Eeyou/Nunavik--Eeyou,88,Val-d'Or,14,12,4,146,82,10,268,459
Nunavik--Eeyou/Nunavik--Eeyou,89,Val-d'Or,11,7,7,159,120,1,305,571
Nunavik--Eeyou/Nunavik--Eeyou,90,Val-d'Or,7,8,6,109,75,3,208,485
Nunavik--Eeyou/Nunavik--Eeyou,91,Val-Senneville,7,5,2,89,69,4,176,384
Nunavik--Eeyou/Nunavik--Eeyou,92,Val-Senneville,3,11,2,94,33,6,149,329
Nunavik--Eeyou/Nunavik--Eeyou,93A,Val-Senneville,6,7,6,81,59,4,163,365
Nunavik--Eeyou/Nunavik--Eeyou,93B,Val-Senneville,7,10,4,77,42,0,140,286
Nunavik--Eeyou/Nunavik--Eeyou,93C,Val-Senneville,4,9,3,126,57,4,203,362
Nunavik--Eeyou/Nunavik--Eeyou,94,Val-Senneville,Void,,,,,,,
Nunavik--Eeyou/Nunavik--Eeyou,95,Val-d'Or,7,7,4,61,70,4,153,410
Nunavik--Eeyou/Nunavik--Eeyou,96,Val-d'Or,6,10,4,76,89,6,191,401
Nunavik--Eeyou/Nunavik--Eeyou,97,Val-d'Or,13,3,3,87,61,6,173,398
Nunavik--Eeyou/Nunavik--Eeyou,98,Val-d'Or,7,5,4,77,53,2,148,344
Nunavik--Eeyou/Nunavik--Eeyou,99,Val-d'Or,9,6,5,108,82,7,217,487
Nunavik--Eeyou/Nunavik--Eeyou,100,Val-d'Or,3,7,2,46,54,6,118,383
Nunavik--Eeyou/Nunavik--Eeyou,101,Val-d'Or,4,7,4,47,48,4,114,341
Nunavik--Eeyou/Nunavik--Eeyou,102,Val-d'Or,8,8,0,64,69,4,153,384
Nunavik--Eeyou/Nunavik--Eeyou,103,Val-d'Or,7,5,5,94,74,7,192,406
Nunavik--Eeyou/Nunavik--Eeyou,104,Val-d'Or,5,6,3,75,70,2,161,356
Nunavik--Eeyou/Nunavik--Eeyou,105,Val-d'Or,4,11,4,75,70,5,169,339
Nunavik--Eeyou/Nunavik--Eeyou,106,Val-d'Or,8,5,4,110,113,7,247,454
Nunavik--Eeyou/Nunavik--Eeyou,107,Val-d'Or,9,8,4,97,87,5,210,373
Nunavik--Eeyou/Nunavik--Eeyou,108,Val-d'Or,3,5,3,77,49,3,140,325
Nunavik--Eeyou/Nunavik--Eeyou,109,Val-d'Or,3,6,3,76,52,1,141,365
Nunavik--Eeyou/Nunavik--Eeyou,110,Val-d'Or,3,5,2,65,92,5,172,307
Nunavik--Eeyou/Nunavik--Eeyou,111,Val-d'Or,8,10,4,94,91,0,207,400
Nunavik--Eeyou/Nunavik--Eeyou,112,Val-d'Or,3,11,4,90,81,3,192,461
Nunavik--Eeyou/Nunavik--Eeyou,113,Val-d'Or,11,2,6,101,74,6,200,403
Nunavik--Eeyou/Nunavik--Eeyou,114,Val-d'Or,8,5,7,89,107,5,221,380
Nunavik--Eeyou/Nunavik--Eeyou,115,Val-d'Or,2,6,1,74,66,2,151,290
Nunavik--Eeyou/Nunavik--Eeyou,116,Val-d'Or,7,6,5,79,62,3,162,318
Nunavik--Eeyou/Nunavik--Eeyou,117,Sullivan,5,5,6,95,58,1,170,348
Nunavik--Eeyou/Nunavik--Eeyou,118,Sullivan,2,1,2,58,30,1,94,207
Nunavik--Eeyou/Nunavik--Eeyou,119,Val-d'Or,7,18,9,76,59,6,175,347
Nunavik--Eeyou/Nunavik--Eeyou,120,Val-d'Or,2,7,4,72,83,3,171,347
Nunavik--Eeyou/Nunavik--Eeyou,121,Val-d'Or,7,8,4,114,70,2,205,482
Nunavik--Eeyou/Nunavik--Eeyou,122,Val-d'Or,2,7,2,39,47,2,99,244
Nunavik--Eeyou/Nunavik--Eeyou,123,Val-d'Or,9,10,2,100,106,1,228,376
Nunavik--Eeyou/Nunavik--Eeyou,124,Val-d'Or,8,10,5,92,71,3,189,378
Nunavik--Eeyou/Nunavik--Eeyou,125,Val-d'Or,4,9,6,61,66,6,152,293
Nunavik--Eeyou/Nunavik--Eeyou,126,Val-d'Or,6,9,5,143,89,6,258,490
Nunavik--Eeyou/Nunavik--Eeyou,127,Val-d'Or,5,10,7,105,89,3,219,388
Nunavik--Eeyou/Nunavik--Eeyou,128,Val-d'Or,6,8,3,103,67,1,188,327
Nunavik--Eeyou/Nunavik--Eeyou,129,Val-d'Or,10,10,6,99,73,3,201,399
Nunavik--Eeyou/Nunavik--Eeyou,130,Val-d'Or,13,4,3,120,82,9,231,453
Nunavik--Eeyou/Nunavik--Eeyou,131,Val-d'Or,5,5,5,124,85,5,229,473
