District,Poll Number,Poll Name,Ruby Dhalla,Nick Hudson,Sam Hundal,Gurdev Singh Mattu,Kathy Pounder,Rejected Ballots,Total Vote,Electors
Brampton--Springdale/Brampton--Springdale,60,Brampton,95,11,85,0,44,1,236,405
Brampton--Springdale/Brampton--Springdale,61,Brampton,108,18,82,0,36,2,246,445
Brampton--Springdale/Brampton--Springdale,62,Brampton,100,10,87,0,60,5,262,487
Brampton--Springdale/Brampton--Springdale,63,Brampton,153,16,101,0,31,2,303,493
Brampton--Springdale/Brampton--Springdale,64,Brampton,135,10,59,0,35,2,241,419
Brampton--Springdale/Brampton--Springdale,65,Brampton,120,17,73,2,51,4,267,473
Brampton--Springdale/Brampton--Springdale,66,Brampton,68,4,53,0,53,0,178,340
Brampton--Springdale/Brampton--Springdale,67,Brampton,70,9,58,0,58,0,195,387
Brampton--Springdale/Brampton--Springdale,68,Brampton,50,5,68,0,55,1,179,389
Brampton--Springdale/Brampton--Springdale,69,Brampton,65,7,55,0,34,0,161,284
Brampton--Springdale/Brampton--Springdale,70,Brampton,146,16,89,0,30,0,281,448
Brampton--Springdale/Brampton--Springdale,71,Brampton,69,16,43,0,58,6,192,373
Brampton--Springdale/Brampton--Springdale,72,Brampton,93,20,100,1,53,7,274,485
Brampton--Springdale/Brampton--Springdale,73A,Brampton,94,3,19,0,29,3,148,279
Brampton--Springdale/Brampton--Springdale,73B,Brampton,91,12,34,0,20,1,158,313
Brampton--Springdale/Brampton--Springdale,74,Brampton,129,11,54,0,39,3,236,460
Brampton--Springdale/Brampton--Springdale,75A,Brampton,63,5,41,0,22,2,133,270
Brampton--Springdale/Brampton--Springdale,75B,Brampton,65,8,32,0,22,1,128,265
Brampton--Springdale/Brampton--Springdale,76,Brampton,103,15,61,0,48,0,227,426
Brampton--Springdale/Brampton--Springdale,77,Brampton,91,18,65,1,53,2,230,408
Brampton--Springdale/Brampton--Springdale,78,Brampton,80,14,42,0,48,0,184,379
Brampton--Springdale/Brampton--Springdale,79,Brampton,82,22,72,0,62,2,240,472
Brampton--Springdale/Brampton--Springdale,80,Brampton,75,19,66,0,52,3,215,400
Brampton--Springdale/Brampton--Springdale,81,Brampton,88,17,70,0,42,1,218,418
Brampton--Springdale/Brampton--Springdale,82A,Brampton,68,4,34,0,19,1,126,284
Brampton--Springdale/Brampton--Springdale,82B,Brampton,59,3,29,0,19,1,111,248
Brampton--Springdale/Brampton--Springdale,83A,Brampton,47,2,35,0,19,1,104,263
Brampton--Springdale/Brampton--Springdale,83B,Brampton,85,6,17,0,16,0,124,275
Brampton--Springdale/Brampton--Springdale,84,Brampton,93,2,44,0,23,2,164,426
Brampton--Springdale/Brampton--Springdale,85,Brampton,65,6,18,0,36,0,125,306
Brampton--Springdale/Brampton--Springdale,86,Brampton,72,4,39,0,42,2,159,411
Brampton--Springdale/Brampton--Springdale,87A,Brampton,57,2,29,0,36,0,124,279
Brampton--Springdale/Brampton--Springdale,87B,Brampton,64,4,33,2,41,1,145,253
Brampton--Springdale/Brampton--Springdale,88,Brampton,93,15,62,0,60,0,230,486
Brampton--Springdale/Brampton--Springdale,89,Brampton,55,9,52,0,39,0,155,398
Brampton--Springdale/Brampton--Springdale,90,Brampton,119,2,80,0,35,2,238,502
Brampton--Springdale/Brampton--Springdale,91,Brampton,113,6,46,0,47,2,214,477
Brampton--Springdale/Brampton--Springdale,92,Brampton,77,11,41,0,27,1,157,391
Brampton--Springdale/Brampton--Springdale,93A,Brampton,63,2,34,0,31,0,130,257
Brampton--Springdale/Brampton--Springdale,93B,Brampton,47,0,25,0,25,1,98,257
Brampton--Springdale/Brampton--Springdale,94,Brampton,88,11,58,0,37,2,196,372
Brampton--Springdale/Brampton--Springdale,95A,Brampton,76,2,18,0,24,0,120,265
Brampton--Springdale/Brampton--Springdale,95B,Brampton,78,1,39,0,23,4,145,275
Brampton--Springdale/Brampton--Springdale,96,Brampton,138,16,72,0,41,9,276,458
Brampton--Springdale/Brampton--Springdale,97,Brampton,147,14,59,0,64,5,289,462
Brampton--Springdale/Brampton--Springdale,98,Brampton,95,16,71,1,60,0,243,427
Brampton--Springdale/Brampton--Springdale,99,Brampton,149,10,69,2,46,1,277,476
Brampton--Springdale/Brampton--Springdale,100,Brampton,110,8,55,0,57,0,230,388
Brampton--Springdale/Brampton--Springdale,101,Brampton,66,12,25,0,50,1,154,317
Brampton--Springdale/Brampton--Springdale,102,Brampton,128,5,34,1,35,0,203,420
Brampton--Springdale/Brampton--Springdale,103,Brampton,111,8,44,0,42,2,207,396
Brampton--Springdale/Brampton--Springdale,104,Brampton,129,16,47,1,41,0,234,427
Brampton--Springdale/Brampton--Springdale,105,Brampton,151,15,52,1,38,1,258,472
Brampton--Springdale/Brampton--Springdale,106,Brampton,112,7,54,0,33,1,207,399
Brampton--Springdale/Brampton--Springdale,107,Brampton,96,10,58,0,53,3,220,418
Brampton--Springdale/Brampton--Springdale,108,Brampton,123,9,51,1,61,1,246,456
Brampton--Springdale/Brampton--Springdale,109,Brampton,135,8,48,0,48,1,240,501
Brampton--Springdale/Brampton--Springdale,110,Brampton,137,16,75,0,31,0,259,455
Brampton--Springdale/Brampton--Springdale,111A,Brampton,79,6,29,0,22,1,137,241
Brampton--Springdale/Brampton--Springdale,111B,Brampton,81,9,17,0,17,1,125,268
Brampton--Springdale/Brampton--Springdale,112,Brampton,107,12,68,1,42,0,230,415
Brampton--Springdale/Brampton--Springdale,113,Brampton,141,11,61,3,58,2,276,508
Brampton--Springdale/Brampton--Springdale,114,Brampton,71,14,88,0,45,1,219,356
Brampton--Springdale/Brampton--Springdale,115,Brampton,120,21,87,1,31,0,260,443
Brampton--Springdale/Brampton--Springdale,116,Brampton,104,22,62,1,68,2,259,476
Brampton--Springdale/Brampton--Springdale,117,Brampton,83,16,62,0,46,0,207,388
Brampton--Springdale/Brampton--Springdale,118,Brampton,113,8,39,0,43,3,206,385
Brampton--Springdale/Brampton--Springdale,119,Brampton,87,6,26,0,31,1,151,356
Brampton--Springdale/Brampton--Springdale,120,Brampton,71,14,44,1,46,3,179,362
Brampton--Springdale/Brampton--Springdale,121,Brampton,82,4,77,0,46,1,210,424
Brampton--Springdale/Brampton--Springdale,122,Brampton,69,5,57,0,41,0,172,320
Brampton--Springdale/Brampton--Springdale,123,Brampton,87,7,48,0,33,0,175,351
