District,Poll Number,Poll Name,Stephan Asselin,Dennis Dawson,Jeannine T. Desharnais,Nicolas Frichot,Christian Simard,Xavier Trégan,Rejected Ballots,Total Vote,Electors
Beauport/Beauport,1,Beauport,43,21,7,2,89,4,9,175,457
Beauport/Beauport,2,Beauport,54,23,3,4,93,7,2,186,365
Beauport/Beauport,3,Beauport,39,24,7,4,101,11,7,193,439
Beauport/Beauport,4,Beauport,41,34,5,1,106,7,8,202,453
Beauport/Beauport,5,Beauport,47,43,6,3,110,10,6,225,516
Beauport/Beauport,6,Beauport,29,37,6,3,71,8,0,154,368
Beauport/Beauport,7,Beauport,34,39,2,3,127,3,3,211,484
Beauport/Beauport,8,Beauport,22,38,6,4,119,6,14,209,384
Beauport/Beauport,9,Beauport,40,26,11,5,90,8,5,185,328
Beauport/Beauport,10,Beauport,48,53,5,2,115,5,7,235,474
Beauport/Beauport,11,Beauport,61,54,3,2,132,5,11,268,604
Beauport/Beauport,12,Beauport,35,33,4,3,90,11,6,182,449
Beauport/Beauport,13,Beauport,68,49,4,7,171,4,4,307,525
Beauport/Beauport,14,Beauport,87,48,7,3,129,3,12,289,524
Beauport/Beauport,15,Beauport,40,24,4,1,106,6,7,188,344
Beauport/Beauport,16,Beauport,36,21,4,1,127,5,1,195,435
Beauport/Beauport,17,Beauport,60,40,13,2,158,14,6,293,502
Beauport/Beauport,18,Beauport,44,43,9,1,150,11,4,262,486
Beauport/Beauport,19,Beauport,47,48,12,4,128,7,10,256,460
Beauport/Beauport,20A,Beauport,28,21,1,2,98,4,5,159,322
Beauport/Beauport,20B,Beauport,24,36,5,2,83,9,6,165,321
Beauport/Beauport,21,Beauport,64,44,3,4,174,8,8,305,576
Beauport/Beauport,22,Beauport,43,42,5,3,156,5,2,256,489
Beauport/Beauport,23,Beauport,49,44,11,2,108,6,6,226,449
Beauport/Beauport,24,Beauport,31,25,8,1,86,1,1,153,271
Beauport/Beauport,25,Beauport,36,27,8,4,94,6,6,181,354
Beauport/Beauport,26,Beauport,33,34,2,1,103,10,4,187,303
Beauport/Beauport,27,Beauport,73,40,6,1,171,11,4,306,594
Beauport/Beauport,28,Beauport,40,23,7,0,99,1,2,172,324
Beauport/Beauport,29,Beauport,35,40,3,2,106,7,6,199,372
Beauport/Beauport,30,Beauport,30,40,3,2,98,9,7,189,336
Beauport/Beauport,31A,Beauport,50,55,9,4,139,10,4,271,440
Beauport/Beauport,31B,Mobile poll/Bureau itinérant,Merged with No. 106B,,,,,,,,29
Beauport/Beauport,32,Beauport,64,50,7,1,158,9,15,304,577
Beauport/Beauport,33,Beauport,45,33,7,3,125,10,5,228,434
Beauport/Beauport,34,Beauport,40,38,7,3,98,4,4,194,432
Beauport/Beauport,35,Beauport,44,45,3,0,133,11,2,238,424
Beauport/Beauport,36,Beauport,29,30,8,1,89,5,7,169,339
Beauport/Beauport,37,Beauport,49,46,7,2,112,6,5,227,443
Beauport/Beauport,38,Beauport,57,63,3,4,144,15,6,292,481
Beauport/Beauport,39,Beauport,40,63,3,3,137,14,6,266,470
Beauport/Beauport,40,Beauport,17,19,3,2,65,5,0,111,226
Beauport/Beauport,41,Beauport,48,36,6,2,101,5,4,202,348
Beauport/Beauport,42,Beauport,42,57,5,1,139,10,5,259,443
Beauport/Beauport,43A,Beauport,37,31,7,2,94,4,2,177,280
Beauport/Beauport,43B,Beauport,22,38,6,2,124,1,7,200,320
Beauport/Beauport,44,Beauport,58,45,12,0,137,8,7,267,449
Beauport/Beauport,45,Beauport,39,27,5,2,140,8,4,225,380
Beauport/Beauport,46,Beauport,56,51,11,4,125,16,12,275,471
Beauport/Beauport,47,Beauport,49,53,10,1,159,12,7,291,581
Beauport/Beauport,48,Beauport,47,44,6,0,110,8,4,219,438
Beauport/Beauport,49,Beauport,46,78,3,5,121,7,7,267,415
Beauport/Beauport,50,Beauport,40,41,1,0,74,8,3,167,275
Beauport/Beauport,51,Beauport,29,52,5,2,70,6,5,169,332
Beauport/Beauport,52,Beauport,46,61,6,2,114,7,9,245,390
Beauport/Beauport,53,Beauport,41,88,11,1,74,2,5,222,440
Beauport/Beauport,54,Beauport,25,26,1,1,59,2,5,119,248
Beauport/Beauport,55,Beauport,35,53,6,0,103,10,2,209,431
Beauport/Beauport,56,Beauport,44,51,8,3,129,9,4,248,448
Beauport/Beauport,57,Beauport,30,53,9,4,87,10,1,194,396
Beauport/Beauport,58,Beauport,19,55,12,0,80,6,5,177,330
Beauport/Beauport,59,Beauport,26,43,6,3,83,6,4,171,375
Beauport/Beauport,60,Beauport,25,49,7,3,91,5,0,180,399
Beauport/Beauport,61,Beauport,34,45,5,4,91,6,1,186,368
Beauport/Beauport,62,Beauport,33,44,4,3,88,6,4,182,439
Beauport/Beauport,63,Beauport,41,52,6,1,85,7,6,198,332
Beauport/Beauport,64,Beauport,29,43,4,2,104,4,3,189,296
Beauport/Beauport,65,Beauport,24,43,2,2,81,3,2,157,289
Beauport/Beauport,66A,Beauport,40,58,3,4,103,7,8,223,478
Beauport/Beauport,66B,Beauport,44,30,2,2,85,6,2,171,321
Beauport/Beauport,66C,Mobile poll/Bureau itinérant,Merged with No. 106B,,,,,,,,18
Beauport/Beauport,67,Beauport,51,101,1,0,115,15,2,285,474
Beauport/Beauport,68,Beauport,14,37,4,1,49,2,2,109,330
Beauport/Beauport,69,Beauport,65,64,5,1,139,5,2,281,587
Beauport/Beauport,70,Beauport,58,101,6,4,130,4,9,312,585
Beauport/Beauport,71,Beauport,35,52,6,1,85,10,4,193,391
Beauport/Beauport,72,Beauport,30,53,5,1,103,7,5,204,485
Beauport/Beauport,73,Beauport,54,66,8,2,130,12,6,278,564
Beauport/Beauport,74,Beauport,41,60,7,0,81,5,2,196,330
Beauport/Beauport,75,Beauport,30,43,8,5,109,9,6,210,319
Beauport/Beauport,76,Beauport,35,66,4,1,116,9,0,231,362
Beauport/Beauport,77,Beauport,31,184,1,0,15,0,2,233,374
Beauport/Beauport,78,Beauport,39,54,7,1,84,5,2,192,326
Beauport/Beauport,79,Beauport,25,50,3,2,100,3,4,187,360
Beauport/Beauport,80,Beauport,22,72,4,3,30,3,7,141,234
Beauport/Beauport,81,Beauport,14,34,5,2,37,6,6,104,416
Beauport/Beauport,82,Beauport,21,36,5,2,69,6,1,140,316
