District,Poll Number,Poll Name,Bruce King,Doug McLachlan,James Rajotte,Bruce Sinclair,Rejected Ballots,Total Vote,Electors
Edmonton--Leduc/Edmonton--Leduc,1A,Edmonton,55,18,106,14,0,193,319
Edmonton--Leduc/Edmonton--Leduc,1B,Edmonton,81,15,81,15,1,193,339
Edmonton--Leduc/Edmonton--Leduc,2,Edmonton,82,19,165,23,0,289,462
Edmonton--Leduc/Edmonton--Leduc,3,Edmonton,77,22,148,17,0,264,391
Edmonton--Leduc/Edmonton--Leduc,4,Edmonton,59,20,109,20,0,208,355
Edmonton--Leduc/Edmonton--Leduc,5,Edmonton,82,30,124,16,1,253,463
Edmonton--Leduc/Edmonton--Leduc,6,Edmonton,48,25,83,11,0,167,365
Edmonton--Leduc/Edmonton--Leduc,7,Edmonton,70,22,120,10,0,222,398
Edmonton--Leduc/Edmonton--Leduc,8,Edmonton,72,15,102,14,0,203,338
Edmonton--Leduc/Edmonton--Leduc,9,Edmonton,78,16,130,17,1,242,415
Edmonton--Leduc/Edmonton--Leduc,10,Edmonton,76,23,101,19,1,220,338
Edmonton--Leduc/Edmonton--Leduc,11,Edmonton,82,13,163,19,0,277,402
Edmonton--Leduc/Edmonton--Leduc,12,Edmonton,98,34,115,16,0,263,461
Edmonton--Leduc/Edmonton--Leduc,13,Edmonton,111,21,108,12,0,252,439
Edmonton--Leduc/Edmonton--Leduc,14,Edmonton,102,15,126,21,0,264,421
Edmonton--Leduc/Edmonton--Leduc,15,Edmonton,97,11,139,22,0,269,399
Edmonton--Leduc/Edmonton--Leduc,16,Edmonton,117,20,165,16,0,318,510
Edmonton--Leduc/Edmonton--Leduc,17,Edmonton,91,20,126,9,0,246,404
Edmonton--Leduc/Edmonton--Leduc,18,Edmonton,86,8,109,18,0,221,388
Edmonton--Leduc/Edmonton--Leduc,19,Edmonton,74,4,146,9,0,233,373
Edmonton--Leduc/Edmonton--Leduc,20,Edmonton,91,20,133,24,0,268,468
Edmonton--Leduc/Edmonton--Leduc,21,Edmonton,99,9,173,9,0,290,533
Edmonton--Leduc/Edmonton--Leduc,22,Edmonton,84,16,137,6,2,245,410
Edmonton--Leduc/Edmonton--Leduc,23,Edmonton,128,19,145,12,1,305,446
Edmonton--Leduc/Edmonton--Leduc,24,Edmonton,98,20,157,10,1,286,502
Edmonton--Leduc/Edmonton--Leduc,25,Edmonton,89,14,112,11,1,227,429
Edmonton--Leduc/Edmonton--Leduc,26,Edmonton,73,14,81,18,0,186,312
Edmonton--Leduc/Edmonton--Leduc,27,Edmonton,54,3,43,2,0,102,173
Edmonton--Leduc/Edmonton--Leduc,28,Edmonton,110,13,118,9,0,250,498
Edmonton--Leduc/Edmonton--Leduc,29,Edmonton,98,19,120,8,1,246,465
Edmonton--Leduc/Edmonton--Leduc,30,Edmonton,91,18,103,13,0,225,381
Edmonton--Leduc/Edmonton--Leduc,31,Edmonton,87,20,160,12,1,280,410
Edmonton--Leduc/Edmonton--Leduc,32,Edmonton,70,15,104,11,1,201,357
Edmonton--Leduc/Edmonton--Leduc,33,Edmonton,97,12,102,3,0,214,434
Edmonton--Leduc/Edmonton--Leduc,34,Edmonton,102,17,150,9,2,280,463
Edmonton--Leduc/Edmonton--Leduc,35,Edmonton,93,12,126,6,3,240,388
Edmonton--Leduc/Edmonton--Leduc,36,Edmonton,121,20,138,12,2,293,508
Edmonton--Leduc/Edmonton--Leduc,37,Edmonton,73,7,98,13,0,191,343
Edmonton--Leduc/Edmonton--Leduc,38,Edmonton,72,12,109,6,0,199,352
Edmonton--Leduc/Edmonton--Leduc,39,Edmonton,64,9,117,13,3,206,371
Edmonton--Leduc/Edmonton--Leduc,40A,Edmonton,73,10,94,10,0,187,343
Edmonton--Leduc/Edmonton--Leduc,40B,Edmonton,77,10,88,6,0,181,329
Edmonton--Leduc/Edmonton--Leduc,41,Edmonton,85,10,123,10,0,228,422
Edmonton--Leduc/Edmonton--Leduc,42,Edmonton,84,40,112,22,1,259,368
Edmonton--Leduc/Edmonton--Leduc,43,Edmonton,77,43,130,20,0,270,343
Edmonton--Leduc/Edmonton--Leduc,44,Edmonton,88,39,111,23,0,261,393
Edmonton--Leduc/Edmonton--Leduc,45A,Edmonton,69,21,103,12,0,205,326
Edmonton--Leduc/Edmonton--Leduc,45B,Edmonton,83,23,118,13,0,237,368
Edmonton--Leduc/Edmonton--Leduc,46,Edmonton,93,13,158,8,0,272,462
Edmonton--Leduc/Edmonton--Leduc,47,Edmonton,92,12,163,9,0,276,422
Edmonton--Leduc/Edmonton--Leduc,48,Edmonton,80,31,90,23,4,228,430
Edmonton--Leduc/Edmonton--Leduc,49,Edmonton,34,17,59,17,0,127,375
Edmonton--Leduc/Edmonton--Leduc,50,Edmonton,26,17,43,5,0,91,286
Edmonton--Leduc/Edmonton--Leduc,51A,Edmonton,46,28,74,13,0,161,308
Edmonton--Leduc/Edmonton--Leduc,51B,Edmonton,61,28,57,15,1,162,318
Edmonton--Leduc/Edmonton--Leduc,52,Edmonton,35,19,59,16,1,130,284
Edmonton--Leduc/Edmonton--Leduc,53,Edmonton,84,20,81,20,0,205,330
Edmonton--Leduc/Edmonton--Leduc,54,Edmonton,30,24,69,15,0,138,260
Edmonton--Leduc/Edmonton--Leduc,55,Edmonton,72,25,100,10,0,207,395
Edmonton--Leduc/Edmonton--Leduc,56,Edmonton,66,29,92,18,1,206,356
Edmonton--Leduc/Edmonton--Leduc,57,Edmonton,52,7,70,9,0,138,232
Edmonton--Leduc/Edmonton--Leduc,58,Edmonton,53,20,89,17,1,180,339
Edmonton--Leduc/Edmonton--Leduc,59,Edmonton,50,15,106,23,3,197,351
Edmonton--Leduc/Edmonton--Leduc,60,Edmonton,50,16,71,11,0,148,235
Edmonton--Leduc/Edmonton--Leduc,61,Edmonton,53,27,116,12,0,208,444
Edmonton--Leduc/Edmonton--Leduc,62,Edmonton,29,24,43,17,1,114,301
Edmonton--Leduc/Edmonton--Leduc,63,Edmonton,69,14,117,12,1,213,293
Edmonton--Leduc/Edmonton--Leduc,64,Edmonton,57,29,108,13,0,207,322
Edmonton--Leduc/Edmonton--Leduc,65,Edmonton,58,27,118,16,0,219,349
Edmonton--Leduc/Edmonton--Leduc,66,Edmonton,61,40,67,15,2,185,384
Edmonton--Leduc/Edmonton--Leduc,67,Edmonton,37,35,46,8,1,127,291
Edmonton--Leduc/Edmonton--Leduc,68,Edmonton,80,29,96,8,0,213,299
Edmonton--Leduc/Edmonton--Leduc,69,Edmonton,43,34,87,8,0,172,281
Edmonton--Leduc/Edmonton--Leduc,70,Edmonton,87,25,106,13,0,231,372
Edmonton--Leduc/Edmonton--Leduc,71,Edmonton,62,43,121,15,1,242,356
Edmonton--Leduc/Edmonton--Leduc,72,Edmonton,76,46,129,21,0,272,406
Edmonton--Leduc/Edmonton--Leduc,73,Edmonton,91,40,143,13,1,288,420
Edmonton--Leduc/Edmonton--Leduc,74,Edmonton,78,29,108,20,0,235,349
Edmonton--Leduc/Edmonton--Leduc,75,Edmonton,70,22,119,24,2,237,374
Edmonton--Leduc/Edmonton--Leduc,76,Edmonton,72,27,104,22,1,226,372
Edmonton--Leduc/Edmonton--Leduc,77,Edmonton,95,19,139,11,0,264,390
Edmonton--Leduc/Edmonton--Leduc,78,Edmonton,74,24,85,9,0,192,372
Edmonton--Leduc/Edmonton--Leduc,79,Edmonton,67,37,118,13,0,235,399
Edmonton--Leduc/Edmonton--Leduc,80,Edmonton,35,22,63,10,0,130,372
Edmonton--Leduc/Edmonton--Leduc,81,Edmonton,77,24,122,19,0,242,348
Edmonton--Leduc/Edmonton--Leduc,82,Edmonton,58,21,140,18,0,237,345
Edmonton--Leduc/Edmonton--Leduc,83,Edmonton,29,19,56,7,1,112,257
Edmonton--Leduc/Edmonton--Leduc,84,Edmonton,55,23,106,11,0,195,347
Edmonton--Leduc/Edmonton--Leduc,85,Edmonton,65,30,106,13,0,214,331
Edmonton--Leduc/Edmonton--Leduc,86,Edmonton,74,48,129,16,0,267,397
Edmonton--Leduc/Edmonton--Leduc,87,Edmonton,43,23,53,6,0,125,270
Edmonton--Leduc/Edmonton--Leduc,88,Edmonton,28,11,25,7,0,71,252
Edmonton--Leduc/Edmonton--Leduc,89,Edmonton,77,29,83,7,0,196,423
Edmonton--Leduc/Edmonton--Leduc,90,Edmonton,72,48,97,14,1,232,354
Edmonton--Leduc/Edmonton--Leduc,91,Edmonton,100,36,145,11,1,293,437
Edmonton--Leduc/Edmonton--Leduc,92,Edmonton,79,29,104,7,0,219,318
Edmonton--Leduc/Edmonton--Leduc,93,Edmonton,82,49,113,17,0,261,351
Edmonton--Leduc/Edmonton--Leduc,94,Edmonton,68,26,65,21,0,180,280
Edmonton--Leduc/Edmonton--Leduc,95,Edmonton,69,31,91,26,0,217,362
Edmonton--Leduc/Edmonton--Leduc,96,Edmonton,108,27,127,12,0,274,450
Edmonton--Leduc/Edmonton--Leduc,97,Edmonton,92,18,131,7,0,248,393
Edmonton--Leduc/Edmonton--Leduc,98,Edmonton,54,25,67,16,0,162,273
