District,Poll Number,Poll Name,Mark Corbiere,Thomas Ichim,Karen Redman,Karol Vesely,Richard Walsh-Bowers,Rejected Ballots,Total Vote,Electors
Kitchener Centre/Kitchener-Centre,1,Kitchener,1,55,88,11,63,1,219,406
Kitchener Centre/Kitchener-Centre,2,Kitchener,3,107,168,9,66,2,355,564
Kitchener Centre/Kitchener-Centre,3,Kitchener,0,99,131,8,68,1,307,545
Kitchener Centre/Kitchener-Centre,4,Kitchener,1,50,107,6,23,1,188,375
Kitchener Centre/Kitchener-Centre,5A,Kitchener,1,68,129,4,34,0,236,410
Kitchener Centre/Kitchener-Centre,5B,Mobile poll/Bureau itinérant,Merged with No. 185B,,,,,,,174
Kitchener Centre/Kitchener-Centre,6,Kitchener,0,66,81,8,23,2,180,378
Kitchener Centre/Kitchener-Centre,7,Kitchener,0,63,127,8,42,0,240,377
Kitchener Centre/Kitchener-Centre,8,Kitchener,1,42,89,14,61,0,207,444
Kitchener Centre/Kitchener-Centre,9,Kitchener,2,66,135,14,56,0,273,425
Kitchener Centre/Kitchener-Centre,10,Kitchener,0,68,162,12,34,0,276,483
Kitchener Centre/Kitchener-Centre,11,Kitchener,1,97,143,17,24,1,283,432
Kitchener Centre/Kitchener-Centre,12,Kitchener,0,59,111,11,55,0,236,433
Kitchener Centre/Kitchener-Centre,13,Kitchener,2,57,116,12,36,1,224,399
Kitchener Centre/Kitchener-Centre,14,Kitchener,5,81,104,14,70,2,276,477
Kitchener Centre/Kitchener-Centre,15,Kitchener,3,46,116,4,18,0,187,325
Kitchener Centre/Kitchener-Centre,16,Kitchener,2,63,148,3,28,0,244,408
Kitchener Centre/Kitchener-Centre,17,Kitchener,2,61,142,6,36,1,248,387
Kitchener Centre/Kitchener-Centre,18,Kitchener,1,113,129,8,43,0,294,480
Kitchener Centre/Kitchener-Centre,19,Kitchener,1,70,106,11,45,0,233,417
Kitchener Centre/Kitchener-Centre,20,Kitchener,2,82,140,7,47,0,278,471
Kitchener Centre/Kitchener-Centre,21,Kitchener,0,62,166,2,31,0,261,416
Kitchener Centre/Kitchener-Centre,22,Kitchener,0,78,118,13,40,1,250,368
Kitchener Centre/Kitchener-Centre,23,Kitchener,1,74,116,17,27,1,236,370
Kitchener Centre/Kitchener-Centre,24,Kitchener,1,47,76,8,44,1,177,398
Kitchener Centre/Kitchener-Centre,25,Kitchener,0,65,74,13,44,0,196,412
Kitchener Centre/Kitchener-Centre,26,Kitchener,5,70,128,11,88,9,311,604
Kitchener Centre/Kitchener-Centre,27,Kitchener,1,37,71,12,33,1,155,353
Kitchener Centre/Kitchener-Centre,28,Kitchener,1,29,35,4,29,0,98,258
