District,Poll Number,Poll Name,Noor Ahmed,Catherine Bell,John Duncan,Jack East,Pam Munroe,Rejected Ballots,Total Vote,Electors
Vancouver Island North/Île de Vancouver-Nord,1,Dawsons Landing,0,1,7,0,1,0,9,23
Vancouver Island North/Île de Vancouver-Nord,2,Oweekeno,5,19,2,1,3,0,30,54
Vancouver Island North/Île de Vancouver-Nord,3,Quatsino,2,7,20,1,4,0,34,38
Vancouver Island North/Île de Vancouver-Nord,4,Holberg,15,9,26,0,1,0,51,94
Vancouver Island North/Île de Vancouver-Nord,5,Coal Harbour,10,62,39,0,8,0,119,239
Vancouver Island North/Île de Vancouver-Nord,6,Port Hardy,42,37,42,1,5,1,128,231
Vancouver Island North/Île de Vancouver-Nord,7,Port Hardy,28,25,5,0,1,0,59,207
Vancouver Island North/Île de Vancouver-Nord,8,Port Hardy,54,62,65,0,5,0,186,299
Vancouver Island North/Île de Vancouver-Nord,9,Port Hardy,8,32,25,1,4,1,71,152
Vancouver Island North/Île de Vancouver-Nord,10,Port Hardy,18,26,46,0,7,0,97,169
Vancouver Island North/Île de Vancouver-Nord,11,Port Hardy,27,27,60,1,7,0,122,212
Vancouver Island North/Île de Vancouver-Nord,12,Port Hardy,40,38,50,1,13,0,142,331
Vancouver Island North/Île de Vancouver-Nord,13,Port Hardy,9,19,38,1,1,0,68,154
Vancouver Island North/Île de Vancouver-Nord,14,Port Hardy,29,33,52,0,3,0,117,208
Vancouver Island North/Île de Vancouver-Nord,15,Port Hardy,33,27,42,0,3,0,105,196
Vancouver Island North/Île de Vancouver-Nord,16,Port Hardy,50,43,64,0,8,1,166,309
Vancouver Island North/Île de Vancouver-Nord,17A,Port Hardy,18,44,43,0,7,2,114,368
Vancouver Island North/Île de Vancouver-Nord,17B,Port Hardy,24,42,38,0,5,1,110,340
Vancouver Island North/Île de Vancouver-Nord,18,Winter Harbour,0,3,4,0,0,0,7,18
Vancouver Island North/Île de Vancouver-Nord,19,Port Alice,30,55,36,1,10,0,132,174
Vancouver Island North/Île de Vancouver-Nord,20,Port Alice,17,50,49,1,2,1,120,169
Vancouver Island North/Île de Vancouver-Nord,21,Port Alice,27,101,78,1,12,0,219,382
Vancouver Island North/Île de Vancouver-Nord,22,Sullivan Bay,Void,,,,,,,
Vancouver Island North/Île de Vancouver-Nord,23,Kingcome Inlet,1,7,2,0,0,1,11,57
Vancouver Island North/Île de Vancouver-Nord,24,Minstrel Island,0,2,0,0,5,0,7,12
Vancouver Island North/Île de Vancouver-Nord,25,Echo Bay,0,3,3,0,10,0,16,46
Vancouver Island North/Île de Vancouver-Nord,26A,Sointula,17,82,40,0,20,0,159,276
Vancouver Island North/Île de Vancouver-Nord,26B,Sointula,11,89,50,0,10,1,161,290
Vancouver Island North/Île de Vancouver-Nord,27A,Port McNeill,29,46,43,0,3,0,121,219
Vancouver Island North/Île de Vancouver-Nord,27B,Port McNeill,29,47,56,0,4,0,136,238
Vancouver Island North/Île de Vancouver-Nord,27-1,Mount Waddington,Void,,,,,,,
Vancouver Island North/Île de Vancouver-Nord,28,Port McNeill,31,75,119,0,14,2,241,374
Vancouver Island North/Île de Vancouver-Nord,29,Port McNeill,47,74,101,1,11,1,235,413
Vancouver Island North/Île de Vancouver-Nord,30,Port McNeill,66,80,123,0,5,1,275,446
Vancouver Island North/Île de Vancouver-Nord,31,Port McNeill,36,62,93,0,12,0,203,343
Vancouver Island North/Île de Vancouver-Nord,32,Alert Bay 1,9,170,10,0,2,2,193,306
