District,Poll Number,Poll Name,Sunny Athwal,Chuck Cadman,Jasbir Singh Cheema,Gerhard Herwig,Joyce Holmes,Jim Karpoff,Dan Sheel,Roy Tyler Whyte,Rejected Ballots,Total Vote,Electors
Surrey North/Surrey-Nord,1,Surrey,4,34,6,6,2,39,30,0,1,122,306
Surrey North/Surrey-Nord,2,Surrey,5,65,19,0,0,49,22,2,0,162,302
Surrey North/Surrey-Nord,3,Surrey,7,59,25,2,0,40,19,0,0,152,325
Surrey North/Surrey-Nord,4,Surrey,5,59,7,3,0,39,48,0,0,161,315
Surrey North/Surrey-Nord,5,Surrey,1,102,19,5,0,35,26,1,2,191,391
Surrey North/Surrey-Nord,6,Surrey,1,76,10,2,0,32,41,1,0,163,401
Surrey North/Surrey-Nord,7,Surrey,5,61,11,3,0,39,24,1,0,144,320
Surrey North/Surrey-Nord,8,Surrey,4,74,9,1,2,24,22,0,0,136,269
Surrey North/Surrey-Nord,9,Surrey,4,127,14,5,1,56,24,1,0,232,434
Surrey North/Surrey-Nord,10,Surrey,5,77,7,2,2,40,17,0,0,150,313
Surrey North/Surrey-Nord,11,Surrey,4,106,17,1,0,44,25,0,4,201,402
Surrey North/Surrey-Nord,12,Surrey,8,96,20,5,2,42,46,1,0,220,407
Surrey North/Surrey-Nord,13,Surrey,4,84,26,2,0,49,30,0,0,195,397
Surrey North/Surrey-Nord,14,Surrey,4,94,11,2,0,31,19,2,0,163,355
Surrey North/Surrey-Nord,15,Surrey,7,93,32,2,0,38,45,2,1,220,540
Surrey North/Surrey-Nord,16,Surrey,4,84,20,2,0,41,38,2,1,192,398
Surrey North/Surrey-Nord,17A,Surrey,2,41,17,1,0,51,16,0,0,128,310
Surrey North/Surrey-Nord,17B,Surrey,4,41,20,2,2,50,15,0,2,136,311
Surrey North/Surrey-Nord,18A,Surrey,5,34,11,0,0,14,4,0,0,68,232
Surrey North/Surrey-Nord,18B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,,,125
Surrey North/Surrey-Nord,19,Surrey,2,137,5,8,1,41,24,0,1,219,345
Surrey North/Surrey-Nord,20,Surrey,1,69,6,0,0,40,16,1,0,133,275
