District,Poll Number,Poll Name,Scott Fast,Tim Felger,Moe Gill,Karl Hann,Harold J. Ludwig,David MacKay,Randy White,Rejected Ballots,Total Vote,Electors
Abbotsford/Abbotsford,134,Abbotsford,54,2,28,7,6,0,100,0,197,342
Abbotsford/Abbotsford,135,Abbotsford,51,1,40,5,4,0,91,0,192,421
Abbotsford/Abbotsford,136,Abbotsford,13,0,21,4,0,0,40,0,78,128
Abbotsford/Abbotsford,137,Abbotsford,40,1,48,8,2,1,98,1,199,434
Abbotsford/Abbotsford,138,Abbotsford,25,0,48,3,4,0,188,3,271,449
Abbotsford/Abbotsford,139,Abbotsford,31,1,41,3,3,1,153,0,233,376
Abbotsford/Abbotsford,140,Abbotsford,27,2,54,6,13,0,158,0,260,446
Abbotsford/Abbotsford,141,Abbotsford,27,1,47,4,6,0,140,1,226,432
Abbotsford/Abbotsford,142,Abbotsford,20,2,29,10,5,0,79,0,145,274
Abbotsford/Abbotsford,143,Fraser Valley H ,11,2,17,8,2,0,110,1,151,216
Abbotsford/Abbotsford,144,Abbotsford,39,2,65,10,4,1,329,0,450,687
Abbotsford/Abbotsford,145,Abbotsford,36,4,49,10,1,0,142,0,242,371
Abbotsford/Abbotsford,146,Abbotsford,25,1,48,9,0,0,185,0,268,409
Abbotsford/Abbotsford,147,Abbotsford,16,2,37,6,1,0,142,1,205,271
Abbotsford/Abbotsford,148,Abbotsford,13,0,60,7,0,0,218,1,299,433
Abbotsford/Abbotsford,149,Abbotsford,55,4,70,9,4,0,231,1,374,597
Abbotsford/Abbotsford,150,Abbotsford,27,1,54,4,1,0,154,1,242,402
Abbotsford/Abbotsford,151,Abbotsford,33,3,71,13,2,0,167,1,290,493
Abbotsford/Abbotsford,152,Abbotsford,17,2,64,5,1,0,154,0,243,377
Abbotsford/Abbotsford,153,Abbotsford,31,4,42,13,0,1,169,0,260,413
Abbotsford/Abbotsford,154,Abbotsford,23,0,61,5,7,0,220,1,317,514
Abbotsford/Abbotsford,155,Abbotsford,49,3,58,11,2,0,182,1,306,474
Abbotsford/Abbotsford,156,Abbotsford,24,4,67,12,4,0,205,0,316,507
Abbotsford/Abbotsford,157,Abbotsford,26,3,44,7,1,0,202,0,283,470
Abbotsford/Abbotsford,158,Abbotsford,14,0,33,3,4,0,123,0,177,262
Abbotsford/Abbotsford,159,Abbotsford,36,0,37,5,1,0,130,0,209,312
Abbotsford/Abbotsford,160,Abbotsford,36,2,43,6,3,1,143,1,235,390
Abbotsford/Abbotsford,161,Abbotsford,33,3,26,19,6,0,79,0,166,325
Abbotsford/Abbotsford,162,Abbotsford,18,1,42,6,1,0,107,0,175,312
Abbotsford/Abbotsford,163,Abbotsford,30,2,36,1,0,1,185,1,256,387
Abbotsford/Abbotsford,164,Abbotsford,46,2,29,14,1,0,127,1,220,435
Abbotsford/Abbotsford,165,Abbotsford,30,2,27,1,1,0,110,0,171,279
Abbotsford/Abbotsford,166,Abbotsford,43,2,19,6,1,0,85,0,156,328
Abbotsford/Abbotsford,167,Abbotsford,45,7,28,14,1,1,85,0,181,336
Abbotsford/Abbotsford,168,Abbotsford,53,6,38,13,2,0,138,0,250,465
Abbotsford/Abbotsford,169,Abbotsford,86,4,81,14,8,1,256,1,451,766
Abbotsford/Abbotsford,170,Abbotsford,18,2,24,2,0,0,61,1,108,211
Abbotsford/Abbotsford,171,Abbotsford,35,0,25,1,6,1,112,1,181,276
Abbotsford/Abbotsford,172,Abbotsford,41,3,38,5,4,0,111,0,202,381
Abbotsford/Abbotsford,173,Abbotsford,38,5,27,7,2,0,137,0,216,366
Abbotsford/Abbotsford,174,Abbotsford,30,3,27,4,1,0,107,0,172,326
Abbotsford/Abbotsford,175,Abbotsford,32,1,88,4,2,0,139,3,269,463
Abbotsford/Abbotsford,176,Abbotsford,26,1,70,3,1,0,185,2,288,492
Abbotsford/Abbotsford,177,Abbotsford,32,2,43,8,7,0,96,1,189,390
Abbotsford/Abbotsford,178,Abbotsford,34,0,51,4,2,1,172,0,264,412
Abbotsford/Abbotsford,179,Abbotsford,41,7,41,6,9,0,235,1,340,536
Abbotsford/Abbotsford,180,Abbotsford,19,1,63,5,8,0,166,2,264,434
Abbotsford/Abbotsford,181,Abbotsford,19,5,28,9,15,0,218,0,294,475
Abbotsford/Abbotsford,182,Abbotsford,18,2,61,3,11,0,192,1,288,444
Abbotsford/Abbotsford,183,Abbotsford,14,5,40,8,21,0,112,0,200,317
Abbotsford/Abbotsford,400,Abbotsford,18,2,29,0,1,0,165,1,216,274
Abbotsford/Abbotsford,500,Mobile poll/Bureau itinérant,5,0,7,0,1,0,34,1,48,64
Abbotsford/Abbotsford,501,Mobile poll/Bureau itinérant,9,0,15,0,1,0,56,1,82,89
Abbotsford/Abbotsford,502,Mobile poll/Bureau itinérant,3,0,10,1,1,0,77,2,94,119
Abbotsford/Abbotsford,503,Mobile poll/Bureau itinérant,11,1,8,3,4,0,59,0,86,105
Abbotsford/Abbotsford,504,Mobile poll/Bureau itinérant,10,0,16,1,3,1,47,3,81,113
Abbotsford/Abbotsford,505,Mobile poll/Bureau itinérant,13,1,16,3,2,0,73,1,109,135
Abbotsford/Abbotsford,506,Mobile poll/Bureau itinérant,5,3,10,0,0,0,20,0,38,59
Abbotsford/Abbotsford,600,Abbotsford,30,1,80,7,2,1,232,0,353,
Abbotsford/Abbotsford,601,Abbotsford--Matsqui Main 2,88,3,189,12,3,0,519,1,815,
Abbotsford/Abbotsford,602,Abbotsford,65,2,60,7,2,1,300,0,437,
Abbotsford/Abbotsford,603,Abbotsford,37,1,78,9,3,0,308,1,437,
Abbotsford/Abbotsford,604,Abbotsford,32,2,48,16,3,0,248,0,349,
Abbotsford/Abbotsford,605,Abbotsford,68,5,49,8,1,0,273,0,404,
Abbotsford/Abbotsford,606,Abbotsford,32,3,85,12,0,0,276,0,408,
Abbotsford/Abbotsford,607,Abbotsford,43,3,47,9,8,1,258,0,369,
Abbotsford/Abbotsford,,Group 1/Groupe 1,20,4,48,4,0,0,39,4,119,170
Abbotsford/Abbotsford,,Group 2/Groupe 2,82,2,97,19,11,1,598,4,814,
