District,Poll Number,Poll Name,Laurel Denise Fadeeff,Ted Menzies,Chris Shade,Joyce Thomas,Rejected Ballots,Total Vote,Electors
Macleod/Macleod,1,Kovach,28,59,23,25,0,135,183
Macleod/Macleod,2A,Bragg Creek,17,294,40,24,1,376,650
Macleod/Macleod,2B,Bragg Creek,35,217,27,20,0,299,509
Macleod/Macleod,3,Jumping Pound,27,205,27,5,0,264,385
Macleod/Macleod,4,Glenbow,8,87,9,7,0,111,191
Macleod/Macleod,5,Glenbow,32,243,43,22,0,340,514
Macleod/Macleod,6,Glenbow,29,295,51,11,2,388,609
Macleod/Macleod,7,Rocky View No. 44,20,174,18,9,2,223,338
Macleod/Macleod,8,Rocky View No. 44,24,321,47,12,0,404,669
Macleod/Macleod,9A,Pirmez Creek,16,200,40,3,0,259,430
Macleod/Macleod,9B,Pirmez Creek,11,212,27,7,0,257,471
Macleod/Macleod,10A,Rocky View No. 44,17,182,28,7,0,234,396
Macleod/Macleod,10B,Rocky View No. 44,13,219,31,5,0,268,421
Macleod/Macleod,11A,Rocky View No. 44,13,193,32,10,0,248,388
Macleod/Macleod,11B,Rocky View No. 44,9,215,43,7,0,274,431
Macleod/Macleod,12,Bragg Creek,Merged with No. 14,,,,,,176
Macleod/Macleod,13A,Bragg Creek,37,130,31,17,1,216,412
Macleod/Macleod,13B,Bragg Creek,27,121,47,12,0,207,361
Macleod/Macleod,14,Bragg Creek,80,328,76,35,0,519,597
Macleod/Macleod,15,Sarcee 145,34,149,36,24,1,244,407
Macleod/Macleod,16,Sarcee 145,27,120,36,10,0,193,302
Macleod/Macleod,17,Sarcee 145,6,6,10,3,0,25,97
Macleod/Macleod,18,Bragg Creek,Void,,,,,,
Macleod/Macleod,19,Priddis,19,187,38,11,0,255,336
Macleod/Macleod,20,Academy,20,283,51,8,1,363,445
Macleod/Macleod,21,Millarville,26,270,29,17,1,343,540
Macleod/Macleod,22,Turner Valley,28,157,22,8,1,216,301
Macleod/Macleod,23,Turner Valley,16,292,13,13,2,336,510
Macleod/Macleod,24,Academy,18,210,16,7,0,251,287
Macleod/Macleod,25,Millarville,9,170,29,6,0,214,299
Macleod/Macleod,26,Millarville,13,119,8,5,1,146,192
Macleod/Macleod,27,Millarville,17,258,44,11,0,330,528
Macleod/Macleod,28A,Black Diamond,11,138,23,18,1,191,445
Macleod/Macleod,28B,Black Diamond,12,132,16,17,1,178,434
Macleod/Macleod,29,Black Diamond,17,262,11,21,1,312,520
Macleod/Macleod,30,Turner Valley,16,174,25,14,0,229,338
Macleod/Macleod,31,Turner Valley,24,244,23,19,0,310,558
Macleod/Macleod,32,Turner Valley,28,167,14,26,3,238,364
Macleod/Macleod,33,Black Diamond,17,74,4,10,0,105,176
Macleod/Macleod,34,Black Diamond,23,173,14,14,0,224,353
Macleod/Macleod,35,Eden Valley 216,3,5,56,2,0,66,193
Macleod/Macleod,36,High River,14,198,8,4,1,225,324
Macleod/Macleod,37A,De Winton,9,158,22,5,0,194,417
Macleod/Macleod,37B,De Winton,10,203,24,11,2,250,489
Macleod/Macleod,37C,De Winton,8,244,26,15,3,296,530
Macleod/Macleod,38,De Winton,23,316,28,20,2,389,576
Macleod/Macleod,39,De Winton,16,284,23,15,0,338,440
Macleod/Macleod,40,De Winton,12,278,23,7,0,320,492
Macleod/Macleod,41,Okotoks,18,347,30,21,2,418,542
Macleod/Macleod,42,Okotoks,3,113,12,2,0,130,257
Macleod/Macleod,43,Okotoks,15,225,37,22,1,300,548
Macleod/Macleod,44,Okotoks,10,140,15,16,0,181,324
Macleod/Macleod,45,Okotoks,21,295,35,26,3,380,692
Macleod/Macleod,46,Okotoks,13,109,20,10,1,153,230
Macleod/Macleod,47,Okotoks,5,57,7,2,0,71,144
