District,Poll Number,Poll Name,Julie C. Baribeau,Nick Discepola,Meili Faille,Bert Markgraf,Robert Ramage,Charles Soucy,Rejected Ballots,Total Vote,Electors
Vaudreuil-Soulanges/Vaudreuil-Soulanges,1,Pointe-Fortune,10,91,115,7,18,3,3,247,369
Vaudreuil-Soulanges/Vaudreuil-Soulanges,2,Rigaud,23,57,123,13,13,3,5,237,444
Vaudreuil-Soulanges/Vaudreuil-Soulanges,3,Rigaud,1,41,103,6,11,3,1,166,308
Vaudreuil-Soulanges/Vaudreuil-Soulanges,4,Rigaud,6,60,168,7,19,5,7,272,452
Vaudreuil-Soulanges/Vaudreuil-Soulanges,5,Rigaud,18,115,75,7,27,3,3,248,413
Vaudreuil-Soulanges/Vaudreuil-Soulanges,6,Rigaud,11,99,59,15,32,3,4,223,419
Vaudreuil-Soulanges/Vaudreuil-Soulanges,7,Rigaud,4,59,98,6,7,2,1,177,351
Vaudreuil-Soulanges/Vaudreuil-Soulanges,8,Rigaud,8,115,155,14,17,4,5,318,470
Vaudreuil-Soulanges/Vaudreuil-Soulanges,9,Rigaud,7,48,106,3,7,4,8,183,344
Vaudreuil-Soulanges/Vaudreuil-Soulanges,10,Rigaud,7,78,126,10,5,0,6,232,437
Vaudreuil-Soulanges/Vaudreuil-Soulanges,11,Rigaud,8,91,204,8,14,5,7,337,499
Vaudreuil-Soulanges/Vaudreuil-Soulanges,12A,Rigaud,9,37,64,6,10,4,2,132,234
Vaudreuil-Soulanges/Vaudreuil-Soulanges,12B,Rigaud,6,42,73,6,14,1,1,143,274
Vaudreuil-Soulanges/Vaudreuil-Soulanges,13A,Rigaud,10,59,64,7,9,0,2,151,281
Vaudreuil-Soulanges/Vaudreuil-Soulanges,13B,Rigaud,8,37,65,7,9,1,6,133,271
Vaudreuil-Soulanges/Vaudreuil-Soulanges,14,Hudson,16,226,16,20,38,3,2,321,471
Vaudreuil-Soulanges/Vaudreuil-Soulanges,15A,Vaudreuil-Dorion,8,74,38,17,15,4,3,159,248
Vaudreuil-Soulanges/Vaudreuil-Soulanges,15B,Vaudreuil-Dorion,10,99,63,9,15,2,2,200,324
