District,Poll Number,Poll Name,Pierre J.C. Allard,Pierre Cayou Audette,Marie-Eve Bilodeau,Marcel Gagnon,Paul Giroux,Martial Toupin,Rejected Ballots,Total Vote,Electors
Saint-Maurice--Champlain/Saint-Maurice--Champlain,1,Radisson,Merged with No. 4,,,,,,,,72
Saint-Maurice--Champlain/Saint-Maurice--Champlain,2A,Obedjiwan 28,1,13,36,7,3,5,1,66,614
Saint-Maurice--Champlain/Saint-Maurice--Champlain,2B,Obedjiwan 28,2,4,40,4,8,3,0,61,440
Saint-Maurice--Champlain/Saint-Maurice--Champlain,3,Weymontachie,6,8,151,12,5,7,0,189,498
Saint-Maurice--Champlain/Saint-Maurice--Champlain,4,Parent,1,9,24,92,3,11,2,142,331
Saint-Maurice--Champlain/Saint-Maurice--Champlain,5,Coucoucache 24A,Merged with No. 18,,,,,,,,8
Saint-Maurice--Champlain/Saint-Maurice--Champlain,6,La Croche,1,3,48,117,3,10,1,183,463
Saint-Maurice--Champlain/Saint-Maurice--Champlain,7,Lac-Édouard,0,4,17,32,0,3,2,58,112
Saint-Maurice--Champlain/Saint-Maurice--Champlain,8,La Bostonnais,4,8,58,95,4,7,3,179,408
Saint-Maurice--Champlain/Saint-Maurice--Champlain,9,La Tuque,3,1,24,66,1,3,3,101,247
Saint-Maurice--Champlain/Saint-Maurice--Champlain,10,La Tuque,5,8,79,174,5,6,6,283,538
Saint-Maurice--Champlain/Saint-Maurice--Champlain,11,La Tuque,3,4,39,115,1,8,1,171,404
Saint-Maurice--Champlain/Saint-Maurice--Champlain,12,Haute-Mauricie,1,1,48,135,1,16,3,205,483
Saint-Maurice--Champlain/Saint-Maurice--Champlain,13,Grande Anse,0,1,22,39,1,4,1,68,113
Saint-Maurice--Champlain/Saint-Maurice--Champlain,14,La Tuque,0,2,93,92,2,6,3,198,417
Saint-Maurice--Champlain/Saint-Maurice--Champlain,15,Saint-Joseph-de-Mékinac,1,4,40,100,2,14,1,162,263
Saint-Maurice--Champlain/Saint-Maurice--Champlain,16,La Tuque,2,1,33,53,2,7,4,102,309
Saint-Maurice--Champlain/Saint-Maurice--Champlain,17,La Tuque,1,0,38,73,0,4,2,118,348
Saint-Maurice--Champlain/Saint-Maurice--Champlain,18,La Tuque,7,2,57,103,0,11,1,181,403
Saint-Maurice--Champlain/Saint-Maurice--Champlain,19,La Tuque,8,4,56,97,2,5,3,175,345
Saint-Maurice--Champlain/Saint-Maurice--Champlain,20,La Tuque,5,2,60,88,3,8,1,167,352
Saint-Maurice--Champlain/Saint-Maurice--Champlain,21,La Tuque,3,2,52,90,1,2,5,155,338
Saint-Maurice--Champlain/Saint-Maurice--Champlain,22,La Tuque,1,1,32,88,1,9,3,135,347
Saint-Maurice--Champlain/Saint-Maurice--Champlain,23,La Tuque,1,0,35,69,0,1,5,111,313
Saint-Maurice--Champlain/Saint-Maurice--Champlain,24,La Tuque,2,1,34,44,0,6,2,89,280
Saint-Maurice--Champlain/Saint-Maurice--Champlain,25,La Tuque,2,3,31,56,2,1,4,99,293
Saint-Maurice--Champlain/Saint-Maurice--Champlain,26,La Tuque,3,4,80,92,1,7,3,190,368
Saint-Maurice--Champlain/Saint-Maurice--Champlain,27,La Tuque,1,6,48,92,2,6,3,158,345
Saint-Maurice--Champlain/Saint-Maurice--Champlain,28,La Tuque,5,1,31,78,1,5,5,126,267
Saint-Maurice--Champlain/Saint-Maurice--Champlain,29,La Tuque,5,8,57,88,2,7,7,174,375
Saint-Maurice--Champlain/Saint-Maurice--Champlain,30,La Tuque,3,3,59,68,3,4,4,144,366
Saint-Maurice--Champlain/Saint-Maurice--Champlain,31,La Tuque,2,1,53,100,0,7,2,165,358
Saint-Maurice--Champlain/Saint-Maurice--Champlain,32,La Tuque,4,3,32,51,2,3,0,95,252
