District,Poll Number,Poll Name,Conrad A. Bitangcol,Mike Melymick,Moe Saeed,John Williams,Rejected Ballots,Total Vote,Electors
Edmonton--St. Albert/Edmonton--St. Albert,1,St. Albert,23,23,59,290,1,396,647
Edmonton--St. Albert/Edmonton--St. Albert,2,St. Albert,18,23,50,213,0,304,533
Edmonton--St. Albert/Edmonton--St. Albert,3,St. Albert,22,29,38,148,2,239,402
Edmonton--St. Albert/Edmonton--St. Albert,4,St. Albert,11,11,37,73,0,132,235
Edmonton--St. Albert/Edmonton--St. Albert,5,St. Albert,19,18,46,125,0,208,339
Edmonton--St. Albert/Edmonton--St. Albert,6,St. Albert,22,25,64,222,0,333,508
Edmonton--St. Albert/Edmonton--St. Albert,7,St. Albert,9,27,74,202,0,312,472
Edmonton--St. Albert/Edmonton--St. Albert,8,St. Albert,21,22,58,176,0,277,452
Edmonton--St. Albert/Edmonton--St. Albert,9,St. Albert,22,30,36,170,1,259,454
Edmonton--St. Albert/Edmonton--St. Albert,10,St. Albert,27,30,57,246,2,362,599
Edmonton--St. Albert/Edmonton--St. Albert,11,St. Albert,17,28,47,129,0,221,355
Edmonton--St. Albert/Edmonton--St. Albert,12,St. Albert,12,11,66,215,0,304,508
Edmonton--St. Albert/Edmonton--St. Albert,13,St. Albert,17,27,40,127,1,212,325
Edmonton--St. Albert/Edmonton--St. Albert,14,St. Albert,20,39,39,151,0,249,413
Edmonton--St. Albert/Edmonton--St. Albert,15,St. Albert,30,29,56,151,0,266,418
Edmonton--St. Albert/Edmonton--St. Albert,16,St. Albert,26,31,43,159,0,259,405
Edmonton--St. Albert/Edmonton--St. Albert,17,St. Albert,31,24,60,197,1,313,453
Edmonton--St. Albert/Edmonton--St. Albert,18,St. Albert,13,30,64,126,0,233,435
Edmonton--St. Albert/Edmonton--St. Albert,19,St. Albert,23,15,37,148,1,224,347
Edmonton--St. Albert/Edmonton--St. Albert,20,St. Albert,25,27,44,118,0,214,361
Edmonton--St. Albert/Edmonton--St. Albert,21,St. Albert,24,36,32,148,0,240,375
Edmonton--St. Albert/Edmonton--St. Albert,22,St. Albert,20,27,30,117,0,194,330
Edmonton--St. Albert/Edmonton--St. Albert,23,St. Albert,21,27,50,165,1,264,473
Edmonton--St. Albert/Edmonton--St. Albert,24,St. Albert,22,33,67,137,0,259,429
Edmonton--St. Albert/Edmonton--St. Albert,25,St. Albert,38,33,50,157,0,278,480
Edmonton--St. Albert/Edmonton--St. Albert,26,St. Albert,22,34,53,174,1,284,462
Edmonton--St. Albert/Edmonton--St. Albert,27,St. Albert,18,29,73,219,0,339,588
Edmonton--St. Albert/Edmonton--St. Albert,28,St. Albert,19,18,40,110,0,187,291
Edmonton--St. Albert/Edmonton--St. Albert,29,St. Albert,3,11,40,117,0,171,303
Edmonton--St. Albert/Edmonton--St. Albert,30,St. Albert,8,8,41,139,1,197,335
Edmonton--St. Albert/Edmonton--St. Albert,31,St. Albert,19,24,61,143,1,248,403
Edmonton--St. Albert/Edmonton--St. Albert,31-1,St. Albert,32,23,99,232,0,386,642
Edmonton--St. Albert/Edmonton--St. Albert,32,St. Albert,15,29,49,176,0,269,458
Edmonton--St. Albert/Edmonton--St. Albert,33,St. Albert,9,13,33,130,0,185,352
Edmonton--St. Albert/Edmonton--St. Albert,34,St. Albert,9,22,68,159,0,258,417
Edmonton--St. Albert/Edmonton--St. Albert,35,St. Albert,13,13,44,120,0,190,342
Edmonton--St. Albert/Edmonton--St. Albert,36,St. Albert,14,21,76,191,0,302,504
Edmonton--St. Albert/Edmonton--St. Albert,37,St. Albert,11,14,54,195,0,274,460
Edmonton--St. Albert/Edmonton--St. Albert,38,St. Albert,8,9,48,137,1,203,278
Edmonton--St. Albert/Edmonton--St. Albert,39,St. Albert,13,20,32,59,0,124,326
Edmonton--St. Albert/Edmonton--St. Albert,40,St. Albert,22,22,49,141,0,234,405
Edmonton--St. Albert/Edmonton--St. Albert,41,St. Albert,17,19,31,92,0,159,260
Edmonton--St. Albert/Edmonton--St. Albert,42,St. Albert,11,24,32,120,0,187,283
