Political Affiliation,N.L. Valid Votes Cnt,PEI Valid Votes Cnt,NS Valid Votes Cnt,NB Valid Votes Cnt,QC Valid Votes Cnt,Ont Valid Votes Cnt,Man Valid Votes Cnt,Sask Valid Votes Cnt,Alta Valid Votes Cnt,BC Valid Votes Cnt,Yukon Valid Votes Cnt,NWT Valid Votes Cnt,Nnvt Valid Votes Cnt
"Bloc Québécois/Bloc Québécois",0,0,0,0,1680109,0,0,0,0,0,0,0,0
"Canadian Action Party/Parti action canadienne",0,0,0,194,84,2215,114,0,1643,4557,0,0,0
"Christian Heritage Party/Parti de l'Héritage Chrétien",0,105,493,0,202,26098,4201,1428,2567,5141,100,0,0
"Communist Party of Canada/Parti communiste du Canada",0,0,0,0,1068,1291,741,0,380,946,0,0,0
"Conservative Party of Canada/Parti conservateur du Canada",64158,23499,122594,115021,301539,1607337,185566,178507,786271,628999,2618,2314,1075
"Green Party of Canada/Le Parti Vert du Canada",3117,3184,14235,12407,108660,226812,12960,11463,78146,109861,571,583,248
"Liberal Party of Canada/Parti libéral du Canada",95254,40241,173641,165111,1165645,2278875,157492,115925,280185,494992,5724,5317,3818
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,0,165,614,0,0,0,1170,0,0,0
"Marijuana Party/Parti Marijuana",0,0,474,369,15045,8615,1894,0,2736,3844,299,0,0
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,70,0,3136,3693,0,0,452,1345,0,0,0
"New Democratic Party/Nouveau Parti Démocratique",34700,9566,124371,76234,158427,921240,111507,99754,121560,460435,3216,5264,1129
"Progressive Canadian Party/Parti Progressiste Canadien",0,0,1459,0,0,8957,0,0,456,0,0,0,0
"Independent/Indépendant",1263,0,506,648,4175,14298,92,19428,601,4885,0,0,1172
"No Affiliation/Aucune appartenance",0,0,0,0,0,434,0,177,0,17185,0,0,0
