District,Poll Number,Poll Name,Justin Dollimont,Bill Matthews,Des McGrath,Larry Peckford,Rejected Ballots,Total Vote,Electors
Random--Burin--St. George's/Random--Burin--St. George's,1,Mainland,1,45,35,19,0,100,262
Random--Burin--St. George's/Random--Burin--St. George's,2,Three Rock Cove,2,20,32,13,0,67,179
Random--Burin--St. George's/Random--Burin--St. George's,3,Lourdes,1,47,40,18,0,106,265
Random--Burin--St. George's/Random--Burin--St. George's,4,Lourdes,0,33,39,18,2,92,215
Random--Burin--St. George's/Random--Burin--St. George's,5,Black Duck Brook,3,24,9,12,0,48,137
Random--Burin--St. George's/Random--Burin--St. George's,6,Fox Island River--Point au Mal,2,21,40,24,0,87,136
Random--Burin--St. George's/Random--Burin--St. George's,7,West Bay,6,31,39,14,0,90,238
Random--Burin--St. George's/Random--Burin--St. George's,8,Abrahams Cove,2,48,54,27,0,131,341
Random--Burin--St. George's/Random--Burin--St. George's,9,Boswarlos,0,10,10,15,1,36,105
Random--Burin--St. George's/Random--Burin--St. George's,10,Noels Pond--Coal Brook,2,50,38,23,0,113,232
Random--Burin--St. George's/Random--Burin--St. George's,11,Cape St. George,0,41,29,15,0,85,167
Random--Burin--St. George's/Random--Burin--St. George's,12,Marches Point--Red Brook,1,40,13,5,0,59,201
Random--Burin--St. George's/Random--Burin--St. George's,13,De Grau,2,84,38,14,0,138,253
Random--Burin--St. George's/Random--Burin--St. George's,14,Sheaves Cove,1,13,19,9,0,42,86
Random--Burin--St. George's/Random--Burin--St. George's,15,Ship Cove--Lower Cove,4,31,18,25,0,78,244
Random--Burin--St. George's/Random--Burin--St. George's,16,Campbells Creek,0,9,15,14,0,38,73
Random--Burin--St. George's/Random--Burin--St. George's,17,Felix Cove,2,23,24,8,1,58,92
Random--Burin--St. George's/Random--Burin--St. George's,18,Port au Port West-Aguathuna-Felix Cove,4,48,60,42,0,154,375
Random--Burin--St. George's/Random--Burin--St. George's,19A,Berry Head--Port au Port East,3,34,65,27,0,129,210
Random--Burin--St. George's/Random--Burin--St. George's,19B,Berry Head--Port au Port East,4,3,12,7,0,26,315
Random--Burin--St. George's/Random--Burin--St. George's,20,Port au Port East,3,22,69,26,1,121,209
Random--Burin--St. George's/Random--Burin--St. George's,21,Kippens,1,41,104,25,1,172,367
Random--Burin--St. George's/Random--Burin--St. George's,22,Kippens,2,31,38,17,0,88,178
Random--Burin--St. George's/Random--Burin--St. George's,22-1,Kippens,7,75,122,68,0,272,494
Random--Burin--St. George's/Random--Burin--St. George's,23,Kippens,4,70,104,36,1,215,493
Random--Burin--St. George's/Random--Burin--St. George's,24,Stephenville,1,76,78,42,0,197,384
Random--Burin--St. George's/Random--Burin--St. George's,24-1,Stephenville,5,35,38,12,0,90,190
Random--Burin--St. George's/Random--Burin--St. George's,25,Stephenville,2,42,48,27,1,120,383
Random--Burin--St. George's/Random--Burin--St. George's,26,Stephenville,1,37,45,31,0,114,275
Random--Burin--St. George's/Random--Burin--St. George's,26-1,Stephenville,1,18,27,10,0,56,201
Random--Burin--St. George's/Random--Burin--St. George's,27,Stephenville,5,38,53,26,0,122,282
Random--Burin--St. George's/Random--Burin--St. George's,28,Stephenville,6,60,92,31,0,189,428
Random--Burin--St. George's/Random--Burin--St. George's,29,Stephenville,2,72,95,33,2,204,450
Random--Burin--St. George's/Random--Burin--St. George's,30,Stephenville,2,54,53,31,0,140,340
Random--Burin--St. George's/Random--Burin--St. George's,31,Stephenville,1,47,76,47,0,171,400
Random--Burin--St. George's/Random--Burin--St. George's,32,Stephenville,3,35,59,26,1,124,403
Random--Burin--St. George's/Random--Burin--St. George's,33,Stephenville,2,69,101,32,1,205,407
Random--Burin--St. George's/Random--Burin--St. George's,34,Stephenville,5,59,84,38,1,187,426
Random--Burin--St. George's/Random--Burin--St. George's,35,Stephenville,4,58,47,38,2,149,329
Random--Burin--St. George's/Random--Burin--St. George's,36,Stephenville,5,53,81,17,0,156,355
Random--Burin--St. George's/Random--Burin--St. George's,37,Stephenville,3,43,59,23,1,129,304
Random--Burin--St. George's/Random--Burin--St. George's,38,Gallants--Georges Brook,3,10,11,14,0,38,59
Random--Burin--St. George's/Random--Burin--St. George's,39,Black Duck Siding,1,22,11,10,0,44,61
Random--Burin--St. George's/Random--Burin--St. George's,40A,Stephenville Crossing,2,23,37,14,2,78,227
Random--Burin--St. George's/Random--Burin--St. George's,40B,Stephenville Crossing,3,32,61,24,0,120,374
Random--Burin--St. George's/Random--Burin--St. George's,41,Stephenville Crossing,1,56,97,24,3,181,434
Random--Burin--St. George's/Random--Burin--St. George's,42,Stephenville Crossing,0,5,5,1,0,11,125
Random--Burin--St. George's/Random--Burin--St. George's,43,Stephenville Crossing,3,47,72,23,5,150,363
Random--Burin--St. George's/Random--Burin--St. George's,44,Mattis Point,0,5,6,0,0,11,85
Random--Burin--St. George's/Random--Burin--St. George's,45,St. Theresa's,3,33,31,8,0,75,97
Random--Burin--St. George's/Random--Burin--St. George's,46,Flat Bay,1,11,12,3,0,27,227
Random--Burin--St. George's/Random--Burin--St. George's,47,St. George's,1,34,53,13,0,101,214
Random--Burin--St. George's/Random--Burin--St. George's,48,Barachois Brook,2,24,26,10,0,62,118
Random--Burin--St. George's/Random--Burin--St. George's,49,St. George's,4,44,40,17,0,105,197
Random--Burin--St. George's/Random--Burin--St. George's,50,St. George's,1,35,49,16,1,102,283
Random--Burin--St. George's/Random--Burin--St. George's,51,St. George's,0,51,66,27,0,144,437
Random--Burin--St. George's/Random--Burin--St. George's,52,Heatherton,1,31,51,27,0,110,201
Random--Burin--St. George's/Random--Burin--St. George's,53,Highlands,0,9,44,0,0,53,78
Random--Burin--St. George's/Random--Burin--St. George's,54,St. David's,2,44,69,41,3,159,321
Random--Burin--St. George's/Random--Burin--St. George's,55,McKay's--Jeffreys--Cartyville,0,38,62,31,0,131,321
Random--Burin--St. George's/Random--Burin--St. George's,56,Robinsons,9,43,44,36,1,133,228
Random--Burin--St. George's/Random--Burin--St. George's,57,Codroy,1,62,92,23,0,178,334
Random--Burin--St. George's/Random--Burin--St. George's,58,O'Regan's--Millville--Great Codroy,2,14,124,24,2,166,263
Random--Burin--St. George's/Random--Burin--St. George's,59,Coal Brook--South Branch,3,18,88,8,0,117,223
Random--Burin--St. George's/Random--Burin--St. George's,60,Doyles--Upper Ferry,2,30,107,38,1,178,321
Random--Burin--St. George's/Random--Burin--St. George's,61,St. Andrews,0,39,97,11,0,147,220
Random--Burin--St. George's/Random--Burin--St. George's,62,Cape Ray,0,67,35,26,0,128,301
Random--Burin--St. George's/Random--Burin--St. George's,63,Fox Roost/Margaree,0,77,36,6,0,119,260
Random--Burin--St. George's/Random--Burin--St. George's,64,Isle aux Morts,1,34,15,15,0,65,220
Random--Burin--St. George's/Random--Burin--St. George's,65,Isle aux Morts,0,70,21,24,0,115,402
Random--Burin--St. George's/Random--Burin--St. George's,66,Burnt Islands,0,77,10,4,0,91,283
Random--Burin--St. George's/Random--Burin--St. George's,67,Burnt Islands,1,36,3,1,0,41,120
Random--Burin--St. George's/Random--Burin--St. George's,68,Burnt Islands,0,60,4,3,2,69,207
Random--Burin--St. George's/Random--Burin--St. George's,69,Harbour Le Cou,0,23,4,3,1,31,152
Random--Burin--St. George's/Random--Burin--St. George's,70,Rose Blanche,1,35,15,8,0,59,274
Random--Burin--St. George's/Random--Burin--St. George's,71,Rose Blanche,2,27,6,6,2,43,172
Random--Burin--St. George's/Random--Burin--St. George's,72,Petites,Void,,,,,,
Random--Burin--St. George's/Random--Burin--St. George's,73,La Poile,0,48,4,5,0,57,102
Random--Burin--St. George's/Random--Burin--St. George's,74,Grand Bruit,4,5,6,10,0,25,33
Random--Burin--St. George's/Random--Burin--St. George's,75,Channel-Port aux Basques,0,68,50,30,1,149,391
Random--Burin--St. George's/Random--Burin--St. George's,76,Channel-Port aux Basques,0,47,28,18,1,94,443
Random--Burin--St. George's/Random--Burin--St. George's,76-1,Channel-Port aux Basques,0,50,28,17,0,95,263
Random--Burin--St. George's/Random--Burin--St. George's,77,Channel-Port aux Basques,1,17,34,6,0,58,125
Random--Burin--St. George's/Random--Burin--St. George's,78,Channel-Port aux Basques,0,50,57,15,0,122,235
Random--Burin--St. George's/Random--Burin--St. George's,79A,Channel-Port aux Basques,1,57,32,21,0,111,276
Random--Burin--St. George's/Random--Burin--St. George's,79B,Channel-Port aux Basques,3,49,43,15,0,110,298
Random--Burin--St. George's/Random--Burin--St. George's,80,Channel-Port aux Basques,1,31,22,26,0,80,269
Random--Burin--St. George's/Random--Burin--St. George's,81,Channel-Port aux Basques,0,88,27,17,0,132,376
Random--Burin--St. George's/Random--Burin--St. George's,82,Channel-Port aux Basques,1,40,15,6,0,62,159
Random--Burin--St. George's/Random--Burin--St. George's,83,Channel-Port aux Basques,0,30,32,25,0,87,254
Random--Burin--St. George's/Random--Burin--St. George's,84,Channel-Port aux Basques,0,55,26,22,0,103,313
Random--Burin--St. George's/Random--Burin--St. George's,85,Channel-Port aux Basques,1,73,52,26,0,152,352
Random--Burin--St. George's/Random--Burin--St. George's,86,Burgeo,1,97,45,5,0,148,445
Random--Burin--St. George's/Random--Burin--St. George's,87,Burgeo,0,62,23,5,0,90,208
Random--Burin--St. George's/Random--Burin--St. George's,88,Burgeo,0,70,39,15,0,124,333
Random--Burin--St. George's/Random--Burin--St. George's,89,Burgeo,1,72,18,5,3,99,221
Random--Burin--St. George's/Random--Burin--St. George's,90,Burgeo,1,45,25,4,0,75,209
Random--Burin--St. George's/Random--Burin--St. George's,91,Ramea,0,39,10,11,0,60,188
Random--Burin--St. George's/Random--Burin--St. George's,92,Ramea,2,34,3,16,2,57,183
Random--Burin--St. George's/Random--Burin--St. George's,93,Ramea,0,24,11,18,0,53,226
Random--Burin--St. George's/Random--Burin--St. George's,94,Grey River,0,14,9,5,0,28,112
Random--Burin--St. George's/Random--Burin--St. George's,95,François,1,43,22,7,0,73,105
Random--Burin--St. George's/Random--Burin--St. George's,96,McCallum,0,25,18,3,0,46,104
Random--Burin--St. George's/Random--Burin--St. George's,97,Gaultois,1,70,19,11,1,102,226
Random--Burin--St. George's/Random--Burin--St. George's,98,Hermitage,0,88,26,14,2,130,344
Random--Burin--St. George's/Random--Burin--St. George's,99,Seal Cove,0,91,3,1,0,95,281
Random--Burin--St. George's/Random--Burin--St. George's,100,Sandyville,0,39,8,3,4,54,77
Random--Burin--St. George's/Random--Burin--St. George's,101,Harbour Breton,4,133,51,9,2,199,505
Random--Burin--St. George's/Random--Burin--St. George's,102,Harbour Breton,0,51,8,5,0,64,157
Random--Burin--St. George's/Random--Burin--St. George's,103,Harbour Breton,1,95,23,8,1,128,258
Random--Burin--St. George's/Random--Burin--St. George's,104,Harbour Breton,2,54,13,4,0,73,137
Random--Burin--St. George's/Random--Burin--St. George's,105,Harbour Breton,0,58,17,8,2,85,232
Random--Burin--St. George's/Random--Burin--St. George's,106,Harbour Breton,0,87,15,4,0,106,240
Random--Burin--St. George's/Random--Burin--St. George's,107,St. Joseph's Cove,Void,,,,,,
Random--Burin--St. George's/Random--Burin--St. George's,108,Head of Bay D'Espoir--St. Veronica's,15,51,16,40,0,122,304
Random--Burin--St. George's/Random--Burin--St. George's,109,Milltown,19,38,13,22,0,92,262
Random--Burin--St. George's/Random--Burin--St. George's,110A,Conne River,8,82,7,7,0,104,245
Random--Burin--St. George's/Random--Burin--St. George's,110B,Conne River,10,81,9,12,1,113,282
Random--Burin--St. George's/Random--Burin--St. George's,111,St. Alban's,10,69,42,59,4,184,385
Random--Burin--St. George's/Random--Burin--St. George's,112,St. Alban's,Void,,,,,,
Random--Burin--St. George's/Random--Burin--St. George's,113,Morrisville,6,40,3,11,0,60,115
Random--Burin--St. George's/Random--Burin--St. George's,114,Milltown,27,38,6,13,0,84,172
Random--Burin--St. George's/Random--Burin--St. George's,115,St. Alban's,1,36,19,20,5,81,182
Random--Burin--St. George's/Random--Burin--St. George's,116A,St. Alban's,2,51,25,16,0,94,313
Random--Burin--St. George's/Random--Burin--St. George's,116B,St. Alban's,5,74,22,39,3,143,327
Random--Burin--St. George's/Random--Burin--St. George's,117,Swift Current,1,63,34,16,0,114,193
Random--Burin--St. George's/Random--Burin--St. George's,117-1,Garden Cove,0,34,16,2,0,52,88
Random--Burin--St. George's/Random--Burin--St. George's,117-2,North Harbour,2,94,34,18,0,148,232
Random--Burin--St. George's/Random--Burin--St. George's,117-3,Goobies,0,20,5,17,0,42,83
Random--Burin--St. George's/Random--Burin--St. George's,118,Shoal Harbour,7,86,60,58,0,211,493
Random--Burin--St. George's/Random--Burin--St. George's,119A,Shoal Harbour,2,47,38,29,1,117,285
Random--Burin--St. George's/Random--Burin--St. George's,119B,Shoal Harbour,3,46,36,24,1,110,313
Random--Burin--St. George's/Random--Burin--St. George's,120,Milton/George's Brook,8,66,50,58,0,182,400
Random--Burin--St. George's/Random--Burin--St. George's,121,Harcourt--Barton--Monroe--Waterville--Gin Cove,1,51,25,34,2,113,236
Random--Burin--St. George's/Random--Burin--St. George's,122,Burgoynes Cove--New Burnt Cove--Clifton,0,9,19,11,0,39,109
Random--Burin--St. George's/Random--Burin--St. George's,123,Shoal Harbour,1,36,28,17,1,83,186
Random--Burin--St. George's/Random--Burin--St. George's,124,Elliott's Cove--Aspen Brook--Random Heights,1,34,28,25,0,88,220
Random--Burin--St. George's/Random--Burin--St. George's,125,Petley,0,20,9,7,0,36,122
Random--Burin--St. George's/Random--Burin--St. George's,126,Clarenville,3,17,22,9,0,51,181
Random--Burin--St. George's/Random--Burin--St. George's,127,Clarenville,2,48,53,28,0,131,331
Random--Burin--St. George's/Random--Burin--St. George's,128A,Clarenville,3,32,27,16,0,78,217
Random--Burin--St. George's/Random--Burin--St. George's,128B,Clarenville,2,53,26,26,1,108,232
Random--Burin--St. George's/Random--Burin--St. George's,129,Clarenville,1,35,38,19,0,93,222
Random--Burin--St. George's/Random--Burin--St. George's,130,Clarenville,1,42,28,19,0,90,357
Random--Burin--St. George's/Random--Burin--St. George's,131,Clarenville,Void,,,,,,
Random--Burin--St. George's/Random--Burin--St. George's,132,Clarenville,5,114,47,53,0,219,477
Random--Burin--St. George's/Random--Burin--St. George's,133,Clarenville,2,77,72,65,0,216,422
Random--Burin--St. George's/Random--Burin--St. George's,134,Adeytown--Deep Bight,0,40,36,33,0,109,222
Random--Burin--St. George's/Random--Burin--St. George's,135,Weybridge--Lady Cove--Robinson Bight,0,28,24,14,0,66,190
Random--Burin--St. George's/Random--Burin--St. George's,136,Hickman's Harbour,0,42,20,41,2,105,325
Random--Burin--St. George's/Random--Burin--St. George's,137,Britannia--Lower Lance Cove,1,34,23,11,0,69,167
Random--Burin--St. George's/Random--Burin--St. George's,138,Butter Cove--Southport--Gooseberry Cove,0,53,28,15,0,96,253
Random--Burin--St. George's/Random--Burin--St. George's,139,Hatchet Cove--St. Jones Within,0,32,15,26,0,73,139
Random--Burin--St. George's/Random--Burin--St. George's,140,Little Heart's Ease,2,42,29,18,0,91,276
Random--Burin--St. George's/Random--Burin--St. George's,141,Hillview,0,60,26,36,0,122,243
Random--Burin--St. George's/Random--Burin--St. George's,142,Northwest Brook-Ivany's Cove,0,74,12,29,2,117,238
Random--Burin--St. George's/Random--Burin--St. George's,143,Queen's Cove--Long Beach,2,29,23,22,1,77,167
Random--Burin--St. George's/Random--Burin--St. George's,144,Hodge's Cove--Caplin Cove,7,45,35,68,0,155,326
Random--Burin--St. George's/Random--Burin--St. George's,145,Sunnyside,Void,,,,,,
Random--Burin--St. George's/Random--Burin--St. George's,146,Pool's Cove,1,61,11,34,0,107,178
Random--Burin--St. George's/Random--Burin--St. George's,147,Wreck Cove,0,91,8,9,0,108,201
Random--Burin--St. George's/Random--Burin--St. George's,148,Rencontre East,1,76,9,3,3,92,135
Random--Burin--St. George's/Random--Burin--St. George's,149,English Harbour East,0,63,11,9,0,83,177
Random--Burin--St. George's/Random--Burin--St. George's,150,Grand Le Pierre,0,51,8,20,1,80,214
Random--Burin--St. George's/Random--Burin--St. George's,151,Terrenceville,1,36,27,15,0,79,352
Random--Burin--St. George's/Random--Burin--St. George's,152,Terrenceville,3,12,8,6,1,30,122
Random--Burin--St. George's/Random--Burin--St. George's,153,Harbour Mille-Little Harbour East,0,42,18,9,2,71,168
Random--Burin--St. George's/Random--Burin--St. George's,154,Belleoram,2,94,19,31,1,147,356
Random--Burin--St. George's/Random--Burin--St. George's,155,Mose Ambrose,0,92,14,16,0,122,210
Random--Burin--St. George's/Random--Burin--St. George's,156,St. Jacques,0,36,25,6,2,69,121
Random--Burin--St. George's/Random--Burin--St. George's,157,St. Bernard's,0,92,34,23,0,149,374
Random--Burin--St. George's/Random--Burin--St. George's,158,Bay L'Argent,0,63,29,19,0,111,273
Random--Burin--St. George's/Random--Burin--St. George's,159,Little Bay East,1,39,6,9,0,55,106
Random--Burin--St. George's/Random--Burin--St. George's,160,Jacques Fontaine,2,22,15,4,1,44,106
Random--Burin--St. George's/Random--Burin--St. George's,161,Brookside--Boat Harbour,5,19,33,19,1,77,214
Random--Burin--St. George's/Random--Burin--St. George's,162,Monkstown,0,5,3,14,0,22,28
Random--Burin--St. George's/Random--Burin--St. George's,163,Parkers Cove,2,40,61,11,1,115,265
Random--Burin--St. George's/Random--Burin--St. George's,164,Rushoon,1,38,37,16,2,94,268
Random--Burin--St. George's/Random--Burin--St. George's,165,Baine Harbour,0,16,21,13,0,50,119
Random--Burin--St. George's/Random--Burin--St. George's,166,Petite Forte,0,14,2,17,0,33,70
Random--Burin--St. George's/Random--Burin--St. George's,167,South East Bight,1,4,22,6,0,33,87
Random--Burin--St. George's/Random--Burin--St. George's,168,Red Harbour,0,31,43,6,0,80,169
Random--Burin--St. George's/Random--Burin--St. George's,169A,Spanish Room,3,48,58,35,1,145,235
Random--Burin--St. George's/Random--Burin--St. George's,169B,Spanish Room,2,19,6,4,0,31,101
Random--Burin--St. George's/Random--Burin--St. George's,170,Frenchman's Cove,2,33,27,16,0,78,134
Random--Burin--St. George's/Random--Burin--St. George's,171,Garnish,4,35,28,26,0,93,160
Random--Burin--St. George's/Random--Burin--St. George's,172,Garnish,4,83,34,12,0,133,353
Random--Burin--St. George's/Random--Burin--St. George's,173,Winterland,1,72,44,35,0,152,239
Random--Burin--St. George's/Random--Burin--St. George's,174,Creston North,1,55,53,36,2,147,340
Random--Burin--St. George's/Random--Burin--St. George's,175,Marystown,3,41,76,22,3,145,346
Random--Burin--St. George's/Random--Burin--St. George's,176,Marystown,1,40,49,21,0,111,289
Random--Burin--St. George's/Random--Burin--St. George's,177A,Marystown,0,40,25,13,1,79,356
Random--Burin--St. George's/Random--Burin--St. George's,177B,Marystown,2,21,41,5,0,69,192
Random--Burin--St. George's/Random--Burin--St. George's,178,Marystown,3,49,120,39,0,211,464
Random--Burin--St. George's/Random--Burin--St. George's,179,Marystown,1,38,49,20,3,111,205
Random--Burin--St. George's/Random--Burin--St. George's,180,Little Bay,1,44,124,26,1,196,360
Random--Burin--St. George's/Random--Burin--St. George's,181,Marystown,2,35,106,23,0,166,390
Random--Burin--St. George's/Random--Burin--St. George's,182,Marystown,0,28,79,21,0,128,280
Random--Burin--St. George's/Random--Burin--St. George's,183,Marystown,4,55,73,33,0,165,396
Random--Burin--St. George's/Random--Burin--St. George's,184,Creston South,4,53,87,21,0,165,356
Random--Burin--St. George's/Random--Burin--St. George's,185A,Creston South,4,24,57,15,0,100,255
Random--Burin--St. George's/Random--Burin--St. George's,185B,Creston South,0,52,49,21,0,122,259
Random--Burin--St. George's/Random--Burin--St. George's,186,Lewin's Cove,0,72,63,44,0,179,331
Random--Burin--St. George's/Random--Burin--St. George's,187,Burin,2,46,43,25,1,117,367
Random--Burin--St. George's/Random--Burin--St. George's,188,Fox Cove-Mortier,1,55,61,9,2,128,272
Random--Burin--St. George's/Random--Burin--St. George's,189,Burin,4,62,59,26,0,151,344
Random--Burin--St. George's/Random--Burin--St. George's,190,Burin,1,23,36,12,1,73,170
Random--Burin--St. George's/Random--Burin--St. George's,191,Burin,0,46,37,10,0,93,302
Random--Burin--St. George's/Random--Burin--St. George's,192,Burin,4,75,60,20,0,159,297
Random--Burin--St. George's/Random--Burin--St. George's,193,Lewin's Cove--Big Salmonier,2,59,76,16,0,153,317
Random--Burin--St. George's/Random--Burin--St. George's,194,Corbin--Epworth,0,29,23,3,0,55,138
Random--Burin--St. George's/Random--Burin--St. George's,195,Burin,2,48,43,11,1,105,245
Random--Burin--St. George's/Random--Burin--St. George's,196,Port au Bras,3,36,36,11,1,87,182
Random--Burin--St. George's/Random--Burin--St. George's,197,Fortune,0,108,16,18,0,142,247
Random--Burin--St. George's/Random--Burin--St. George's,198,Fortune,1,151,27,7,0,186,369
Random--Burin--St. George's/Random--Burin--St. George's,199,Fortune,1,151,19,10,0,181,395
Random--Burin--St. George's/Random--Burin--St. George's,200,Fortune,1,95,28,3,1,128,312
Random--Burin--St. George's/Random--Burin--St. George's,201,Grand Bank,1,115,27,17,0,160,365
Random--Burin--St. George's/Random--Burin--St. George's,202,Grand Bank,0,128,17,17,1,163,403
Random--Burin--St. George's/Random--Burin--St. George's,203,Grand Bank,1,66,18,11,0,96,212
Random--Burin--St. George's/Random--Burin--St. George's,204,Grand Bank,0,85,8,13,0,106,262
Random--Burin--St. George's/Random--Burin--St. George's,205,Grand Bank,0,69,16,6,0,91,256
Random--Burin--St. George's/Random--Burin--St. George's,206,Grand Bank,0,64,10,10,0,84,188
