District,Poll Number,Poll Name,Mario Bernier,Pierre Bibeau,Benoit Bouvier,Rolf Bramann,Christine Dandenault,David Gagnon,Réal Ménard,Antoine Théorêt-Poupart,Rejected Ballots,Total Vote,Electors
Hochelaga/Hochelaga,1A,Montréal,11,2,71,3,0,6,60,0,1,154,273
Hochelaga/Hochelaga,1B,Montréal,7,1,108,0,2,10,53,2,2,185,340
Hochelaga/Hochelaga,2,Montréal,4,0,105,5,0,10,86,1,5,216,421
Hochelaga/Hochelaga,3,Montréal,13,1,97,1,1,7,82,0,3,205,391
Hochelaga/Hochelaga,4,Montréal,8,1,52,6,1,5,67,0,4,144,275
Hochelaga/Hochelaga,5,Montréal,19,1,95,5,1,14,124,2,5,266,433
Hochelaga/Hochelaga,6,Montréal,14,0,110,9,0,5,129,4,8,279,470
Hochelaga/Hochelaga,7,Montréal,17,4,92,6,0,11,109,1,3,243,432
Hochelaga/Hochelaga,8,Montréal,15,4,143,4,3,9,83,1,4,266,405
Hochelaga/Hochelaga,9,Montréal,10,3,102,5,0,11,71,2,10,214,466
Hochelaga/Hochelaga,10,Montréal,22,1,95,6,0,7,112,0,7,250,401
Hochelaga/Hochelaga,11,Montréal,11,1,104,9,0,8,93,2,0,228,400
Hochelaga/Hochelaga,12,Montréal,9,0,90,3,0,5,83,0,3,193,395
Hochelaga/Hochelaga,13,Montréal,10,2,68,1,0,2,32,0,5,120,393
Hochelaga/Hochelaga,14,Montréal,7,1,113,2,0,4,38,0,6,171,290
Hochelaga/Hochelaga,15,Montréal,5,0,71,2,2,2,49,1,2,134,230
Hochelaga/Hochelaga,16,Montréal,12,0,76,3,0,10,144,0,4,249,406
Hochelaga/Hochelaga,17,Montréal,11,2,94,9,0,13,75,1,5,210,393
Hochelaga/Hochelaga,18,Montréal,14,0,94,10,1,10,103,1,6,239,388
Hochelaga/Hochelaga,19,Montréal,9,0,99,6,0,8,97,0,0,219,353
Hochelaga/Hochelaga,20,Montréal,14,0,80,3,0,16,83,2,2,200,308
Hochelaga/Hochelaga,21,Montréal,10,0,83,4,2,9,125,1,3,237,387
Hochelaga/Hochelaga,22,Montréal,10,2,43,2,1,17,67,0,1,143,256
Hochelaga/Hochelaga,23,Montréal,12,3,48,6,1,7,70,0,0,147,273
Hochelaga/Hochelaga,24,Montréal,9,1,101,3,1,6,90,0,3,214,457
Hochelaga/Hochelaga,25,Montréal,11,3,102,3,1,10,102,0,4,236,442
Hochelaga/Hochelaga,26,Montréal,14,1,81,7,0,10,112,7,4,236,395
Hochelaga/Hochelaga,27,Montréal,7,0,81,10,2,8,101,1,2,212,308
Hochelaga/Hochelaga,28,Montréal,12,0,106,2,2,9,106,0,0,237,377
Hochelaga/Hochelaga,29,Montréal,9,1,72,7,0,6,100,1,8,204,323
Hochelaga/Hochelaga,30,Montréal,10,2,69,9,0,14,111,3,8,226,443
Hochelaga/Hochelaga,31,Montréal,8,2,68,2,0,13,97,1,2,193,351
Hochelaga/Hochelaga,32,Montréal,9,3,55,3,0,13,126,4,0,213,419
Hochelaga/Hochelaga,33,Montréal,9,1,62,7,0,4,121,3,4,211,399
Hochelaga/Hochelaga,34,Montréal,14,0,58,9,0,11,132,2,8,234,391
Hochelaga/Hochelaga,35,Montréal,15,1,60,7,1,6,115,1,5,211,395
Hochelaga/Hochelaga,36,Montréal,7,0,64,4,0,7,110,3,4,199,462
Hochelaga/Hochelaga,37,Montréal,9,2,76,7,0,8,100,2,6,210,483
Hochelaga/Hochelaga,38,Montréal,11,1,78,6,0,12,136,1,0,245,410
Hochelaga/Hochelaga,39,Montréal,9,1,71,7,1,21,119,1,3,233,491
Hochelaga/Hochelaga,40,Montréal,8,0,32,5,0,0,110,1,2,158,291
Hochelaga/Hochelaga,41,Montréal,11,0,52,5,1,12,70,1,2,154,306
Hochelaga/Hochelaga,42,Montréal,8,0,85,5,0,16,120,3,1,238,464
Hochelaga/Hochelaga,43,Montréal,18,0,82,4,0,19,161,0,3,287,488
Hochelaga/Hochelaga,44,Montréal,11,1,60,8,0,11,156,2,5,254,415
Hochelaga/Hochelaga,45,Montréal,11,1,64,9,1,6,114,0,2,208,388
Hochelaga/Hochelaga,46,Montréal,10,2,95,12,0,14,132,2,7,274,505
Hochelaga/Hochelaga,47,Montréal,14,1,98,5,1,14,132,1,7,273,443
Hochelaga/Hochelaga,48,Montréal,12,3,60,6,0,15,110,0,3,209,428
Hochelaga/Hochelaga,49,Montréal,9,0,67,9,0,19,160,0,3,267,421
Hochelaga/Hochelaga,50,Montréal,15,3,87,13,1,18,147,2,5,291,463
Hochelaga/Hochelaga,51,Montréal,17,1,70,11,1,10,122,1,18,251,432
Hochelaga/Hochelaga,52,Montréal,8,0,66,10,0,6,163,1,6,260,404
Hochelaga/Hochelaga,53,Montréal,8,0,72,9,1,13,146,3,2,254,444
Hochelaga/Hochelaga,54,Montréal,14,1,68,6,0,18,131,2,4,244,442
Hochelaga/Hochelaga,55,Montréal,5,1,60,8,0,9,131,1,2,217,353
Hochelaga/Hochelaga,56,Montréal,16,0,116,11,0,14,147,0,9,313,480
Hochelaga/Hochelaga,57,Montréal,13,0,64,4,1,7,101,1,3,194,284
Hochelaga/Hochelaga,58,Montréal,8,1,55,4,0,6,98,0,3,175,284
Hochelaga/Hochelaga,59,Montréal,17,2,68,7,0,10,143,3,4,254,413
Hochelaga/Hochelaga,60,Montréal,10,0,82,8,0,8,131,0,6,245,405
Hochelaga/Hochelaga,61,Montréal,7,0,76,5,0,12,137,1,4,242,410
Hochelaga/Hochelaga,62,Montréal,10,1,97,11,0,17,165,3,3,307,444
Hochelaga/Hochelaga,63,Montréal,12,1,93,7,0,10,149,1,2,275,424
Hochelaga/Hochelaga,64,Montréal,9,0,62,6,0,15,103,1,9,205,317
Hochelaga/Hochelaga,65,Montréal,13,1,75,6,1,11,144,0,4,255,394
Hochelaga/Hochelaga,66,Montréal,21,0,141,4,0,10,148,0,2,326,467
Hochelaga/Hochelaga,67,Montréal,5,0,46,2,1,6,94,2,1,157,289
Hochelaga/Hochelaga,68,Montréal,9,2,91,9,0,3,111,2,1,228,375
Hochelaga/Hochelaga,69,Montréal,11,1,96,9,0,14,113,0,3,247,418
Hochelaga/Hochelaga,70,Montréal,13,0,45,5,0,6,149,0,1,219,401
Hochelaga/Hochelaga,71,Montréal,3,0,45,8,0,10,123,0,0,189,293
Hochelaga/Hochelaga,72,Montréal,Void,,,,,,,,,,
Hochelaga/Hochelaga,73,Montréal,10,0,58,13,1,8,142,0,7,239,453
Hochelaga/Hochelaga,74,Montréal,9,0,48,10,1,12,91,3,3,177,325
Hochelaga/Hochelaga,75,Montréal,8,0,52,4,0,10,137,3,0,214,384
Hochelaga/Hochelaga,76,Montréal,14,2,83,4,1,18,195,4,8,329,514
Hochelaga/Hochelaga,77,Montréal,9,0,54,5,0,8,155,2,7,240,378
Hochelaga/Hochelaga,78,Montréal,16,0,42,8,0,4,168,4,6,248,383
Hochelaga/Hochelaga,79,Montréal,11,1,50,5,1,20,179,1,9,277,448
Hochelaga/Hochelaga,80,Montréal,7,1,42,3,0,7,118,1,3,182,315
Hochelaga/Hochelaga,81,Montréal,6,0,32,4,1,3,115,1,3,165,282
Hochelaga/Hochelaga,82,Montréal,8,0,29,0,2,5,119,1,0,164,257
