District,Poll Number,Poll Name,Steve Boudrias,Gianni Chiazzese,Hélène Héroux,Richard Lahaie,François Pilon,Pablo Rodriguez,Éric St-Hilaire,Rejected Ballots,Total Vote,Electors
Honoré-Mercier/Honoré-Mercier,1,Montréal,1,13,1,2,14,64,182,5,282,479
Honoré-Mercier/Honoré-Mercier,2,Montréal,5,18,2,3,13,51,185,2,279,490
Honoré-Mercier/Honoré-Mercier,3,Montréal,2,13,0,5,9,76,140,7,252,463
Honoré-Mercier/Honoré-Mercier,4,Montréal,3,15,0,4,2,125,88,4,241,410
Honoré-Mercier/Honoré-Mercier,5,Montréal,5,14,0,6,5,57,63,1,151,238
Honoré-Mercier/Honoré-Mercier,6,Montréal,4,10,0,7,7,89,42,3,162,316
Honoré-Mercier/Honoré-Mercier,7,Montréal,0,8,0,0,13,66,93,4,184,297
Honoré-Mercier/Honoré-Mercier,8,Montréal,0,18,0,2,9,121,93,0,243,534
Honoré-Mercier/Honoré-Mercier,9,Montréal,3,31,2,9,10,127,104,4,290,564
Honoré-Mercier/Honoré-Mercier,10,Montréal,0,10,0,1,7,65,102,5,190,349
Honoré-Mercier/Honoré-Mercier,11,Montréal,5,13,0,3,4,57,76,1,159,277
Honoré-Mercier/Honoré-Mercier,12,Montréal,5,14,3,6,8,93,131,4,264,511
Honoré-Mercier/Honoré-Mercier,13,Montréal,0,16,2,4,6,83,108,9,228,414
Honoré-Mercier/Honoré-Mercier,14,Montréal,4,8,3,3,7,126,39,3,193,390
Honoré-Mercier/Honoré-Mercier,15,Montréal,1,5,1,0,7,91,19,2,126,263
Honoré-Mercier/Honoré-Mercier,16,Montréal,6,11,0,1,6,128,78,8,238,502
Honoré-Mercier/Honoré-Mercier,17,Montréal,3,23,2,2,7,142,98,7,284,532
Honoré-Mercier/Honoré-Mercier,18,Montréal,3,24,1,3,6,115,91,7,250,423
Honoré-Mercier/Honoré-Mercier,19,Montréal,1,11,0,5,7,100,109,2,235,516
Honoré-Mercier/Honoré-Mercier,20,Montréal,3,21,4,2,11,124,100,4,269,494
Honoré-Mercier/Honoré-Mercier,21,Montréal,1,12,2,5,6,90,36,7,159,290
Honoré-Mercier/Honoré-Mercier,22,Montréal,2,20,0,5,16,144,82,1,270,549
Honoré-Mercier/Honoré-Mercier,23,Montréal,5,20,0,4,20,145,86,7,287,504
