District,Poll Number,Poll Name,John Hugh Edwards,Mark Eyking,B. Chris Gallant,Howie MacDonald,Chris Milburn,Cathy Thériault,Rejected Ballots,Total Vote,Electors
Sydney--Victoria/Sydney--Victoria,67,Cape Breton,34,74,3,26,1,3,0,141,297
Sydney--Victoria/Sydney--Victoria,68,Cape Breton,38,73,1,11,1,3,1,128,320
Sydney--Victoria/Sydney--Victoria,69,Cape Breton,40,135,0,38,7,5,3,228,379
Sydney--Victoria/Sydney--Victoria,70,Cape Breton,39,103,4,31,7,0,1,185,369
Sydney--Victoria/Sydney--Victoria,71,Westmount,69,148,1,83,7,4,1,313,552
Sydney--Victoria/Sydney--Victoria,72,Westmount,43,131,0,67,7,0,3,251,419
Sydney--Victoria/Sydney--Victoria,73,Westmount,39,102,0,48,1,5,0,195,339
Sydney--Victoria/Sydney--Victoria,74,Westmount,43,73,0,34,0,3,1,154,257
Sydney--Victoria/Sydney--Victoria,75,Westmount,50,96,1,73,15,0,0,235,396
Sydney--Victoria/Sydney--Victoria,76,Westmount,34,164,0,57,9,1,3,268,454
Sydney--Victoria/Sydney--Victoria,77,Coxheath,38,105,0,39,2,4,1,189,322
Sydney--Victoria/Sydney--Victoria,78,Coxheath,46,120,2,60,15,4,2,249,401
Sydney--Victoria/Sydney--Victoria,79,Coxheath,53,176,2,46,5,2,0,284,491
Sydney--Victoria/Sydney--Victoria,80,Balls Creek,33,88,0,33,6,3,0,163,311
Sydney--Victoria/Sydney--Victoria,81,Rear Balls Creek,55,166,0,50,13,6,2,292,466
Sydney--Victoria/Sydney--Victoria,82,Blacketts Lake,30,117,3,53,6,2,2,213,340
Sydney--Victoria/Sydney--Victoria,83,Blacketts Lake,23,101,0,17,5,1,1,148,249
Sydney--Victoria/Sydney--Victoria,84,Frenchvale,75,117,2,40,6,6,1,247,463
Sydney--Victoria/Sydney--Victoria,85,Northside East Bay,49,119,5,53,13,2,3,244,549
Sydney--Victoria/Sydney--Victoria,86,Eskasoni 3,16,133,1,6,5,8,2,171,647
Sydney--Victoria/Sydney--Victoria,87,Eskasoni 3,14,145,0,4,4,5,1,173,647
Sydney--Victoria/Sydney--Victoria,88,Cape Breton,53,113,0,27,11,2,1,207,386
Sydney--Victoria/Sydney--Victoria,89,Cape Breton,42,155,0,37,14,0,0,248,459
Sydney--Victoria/Sydney--Victoria,90,Cape Breton,45,130,0,39,12,1,3,230,386
Sydney--Victoria/Sydney--Victoria,91,Cape Breton,36,145,0,35,6,0,1,223,348
Sydney--Victoria/Sydney--Victoria,92,Cape Breton,46,120,0,26,12,2,0,206,327
Sydney--Victoria/Sydney--Victoria,93,Cape Breton,55,121,1,34,8,2,2,223,372
Sydney--Victoria/Sydney--Victoria,94,Cape Breton,64,98,0,18,7,3,3,193,332
Sydney--Victoria/Sydney--Victoria,95,Cape Breton,53,78,2,28,6,2,1,170,389
Sydney--Victoria/Sydney--Victoria,96,Cape Breton,39,105,1,42,3,2,1,193,344
Sydney--Victoria/Sydney--Victoria,97,Membertou 28B,16,62,0,3,0,5,0,86,348
Sydney--Victoria/Sydney--Victoria,98,Cape Breton,54,113,3,34,7,2,1,214,385
Sydney--Victoria/Sydney--Victoria,99,Cape Breton,51,151,0,30,4,0,1,237,421
Sydney--Victoria/Sydney--Victoria,100,Cape Breton,61,105,1,29,6,0,1,203,373
Sydney--Victoria/Sydney--Victoria,101,Cape Breton,46,85,0,23,14,2,2,172,373
Sydney--Victoria/Sydney--Victoria,102,Cape Breton,36,85,0,16,2,3,1,143,329
Sydney--Victoria/Sydney--Victoria,103,Cape Breton,37,44,0,11,0,1,1,94,262
Sydney--Victoria/Sydney--Victoria,104,Cape Breton,48,69,0,17,1,3,2,140,307
Sydney--Victoria/Sydney--Victoria,105,Cape Breton,44,93,0,32,8,2,0,179,287
Sydney--Victoria/Sydney--Victoria,106,Cape Breton,43,115,0,34,16,2,0,210,331
Sydney--Victoria/Sydney--Victoria,107,Cape Breton,49,130,0,30,6,2,1,218,385
Sydney--Victoria/Sydney--Victoria,108,Cape Breton,87,170,1,41,16,3,2,320,449
Sydney--Victoria/Sydney--Victoria,109,Cape Breton,80,231,1,45,5,3,2,367,561
Sydney--Victoria/Sydney--Victoria,110,Cape Breton,43,94,1,21,3,2,2,166,318
Sydney--Victoria/Sydney--Victoria,111,Cape Breton,52,89,0,23,4,3,3,174,296
Sydney--Victoria/Sydney--Victoria,112,Cape Breton,73,122,2,30,5,5,0,237,490
Sydney--Victoria/Sydney--Victoria,113,Cape Breton,50,116,3,28,7,2,2,208,357
Sydney--Victoria/Sydney--Victoria,114,Cape Breton,65,130,3,31,7,3,1,240,455
Sydney--Victoria/Sydney--Victoria,115,Cape Breton,55,114,0,11,7,3,0,190,335
Sydney--Victoria/Sydney--Victoria,116,Cape Breton,50,78,0,11,2,2,0,143,286
Sydney--Victoria/Sydney--Victoria,117,Cape Breton,34,108,1,23,28,3,0,197,329
Sydney--Victoria/Sydney--Victoria,118,Cape Breton,43,125,0,27,24,3,0,222,379
Sydney--Victoria/Sydney--Victoria,119,Sydney,68,113,0,21,9,2,1,214,306
Sydney--Victoria/Sydney--Victoria,120,Cape Breton,45,99,1,19,3,0,1,168,285
Sydney--Victoria/Sydney--Victoria,121,Cape Breton,74,107,3,16,13,2,1,216,344
Sydney--Victoria/Sydney--Victoria,122,Cape Breton,54,93,0,11,6,2,0,166,294
Sydney--Victoria/Sydney--Victoria,123,Cape Breton,30,76,0,13,4,2,2,127,231
Sydney--Victoria/Sydney--Victoria,124,Cape Breton,62,105,1,16,11,2,0,197,394
Sydney--Victoria/Sydney--Victoria,125,Cape Breton,66,118,0,31,2,1,1,219,361
Sydney--Victoria/Sydney--Victoria,126,Cape Breton,40,120,1,27,4,1,1,194,317
Sydney--Victoria/Sydney--Victoria,127,Cape Breton,76,110,1,21,11,2,1,222,377
Sydney--Victoria/Sydney--Victoria,128,Cape Breton,86,74,1,13,1,0,2,177,353
Sydney--Victoria/Sydney--Victoria,129,Cape Breton,89,84,1,18,0,2,1,195,346
Sydney--Victoria/Sydney--Victoria,130,Cape Breton,61,96,1,18,4,3,2,185,381
Sydney--Victoria/Sydney--Victoria,131,Cape Breton,38,55,1,10,1,0,1,106,304
Sydney--Victoria/Sydney--Victoria,132,Cape Breton,69,110,2,14,1,0,2,198,340
Sydney--Victoria/Sydney--Victoria,133,Cape Breton,62,81,2,10,2,2,1,160,324
Sydney--Victoria/Sydney--Victoria,134,Cape Breton,63,66,0,13,1,1,2,146,298
Sydney--Victoria/Sydney--Victoria,135,Cape Breton,74,62,0,9,2,2,2,151,301
Sydney--Victoria/Sydney--Victoria,136,Cape Breton,69,36,0,11,3,0,0,119,258
Sydney--Victoria/Sydney--Victoria,137,Cape Breton,48,58,0,8,0,3,1,118,265
Sydney--Victoria/Sydney--Victoria,138,Cape Breton,68,66,1,16,4,0,0,155,337
Sydney--Victoria/Sydney--Victoria,139,Cape Breton,67,72,1,22,1,0,3,166,317
Sydney--Victoria/Sydney--Victoria,140,Cape Breton,61,53,1,12,0,2,1,130,278
Sydney--Victoria/Sydney--Victoria,141,Cape Breton,52,78,1,13,1,1,4,150,299
Sydney--Victoria/Sydney--Victoria,142,Cape Breton,58,54,0,15,2,4,1,134,291
Sydney--Victoria/Sydney--Victoria,143,Cape Breton,68,87,1,42,3,1,1,203,419
Sydney--Victoria/Sydney--Victoria,144,Cape Breton,57,64,1,14,2,3,4,145,304
Sydney--Victoria/Sydney--Victoria,145,Cape Breton,49,77,2,17,3,0,1,149,328
Sydney--Victoria/Sydney--Victoria,146,New Victoria,75,106,15,26,3,4,1,230,393
Sydney--Victoria/Sydney--Victoria,147,New Victoria,64,87,7,11,0,2,1,172,291
Sydney--Victoria/Sydney--Victoria,148,New Victoria,64,85,1,19,3,2,0,174,313
Sydney--Victoria/Sydney--Victoria,149,South Bar,64,63,0,19,6,1,0,153,252
Sydney--Victoria/Sydney--Victoria,150,South Bar,67,113,0,45,4,2,0,231,402
Sydney--Victoria/Sydney--Victoria,151,Lingan Road,55,124,3,30,4,2,2,220,440
Sydney--Victoria/Sydney--Victoria,152,Scotchtown,66,134,7,46,6,2,0,261,427
Sydney--Victoria/Sydney--Victoria,153,Scotchtown,62,70,8,30,1,0,1,172,407
Sydney--Victoria/Sydney--Victoria,154,River Ryan,64,77,2,35,3,4,0,185,378
