District,Poll Number,Poll Name,Alex Drossos,Ovid Jackson,Larry Miller,Sebastian Ostertag,Steven J. Taylor,Rejected Ballots,Total Vote,Electors
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,33,Keppel,10,50,65,22,5,3,155,255
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,34,Sarawak,3,36,49,9,0,0,97,177
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,35,Sarawak,9,74,106,42,1,1,233,344
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,36,Sarawak,7,98,98,20,3,0,226,392
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,37,Sarawak,7,56,57,8,1,0,129,224
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,38,Sarawak,12,125,162,44,9,1,353,528
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,39,Sarawak,9,79,133,39,8,0,268,483
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,40,Sarawak,4,63,69,50,7,0,193,353
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,41,Derby,3,35,121,12,3,0,174,237
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,42,Derby,3,77,102,25,4,0,211,340
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,43,Derby,17,115,130,38,2,0,302,473
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,44,Derby,3,48,107,30,6,0,194,354
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,45,Sydenham,8,72,98,30,8,1,217,387
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,46,Sydenham,12,92,121,34,3,1,263,453
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,47A,Sydenham,13,78,67,32,5,2,197,330
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,47B,Sydenham,10,94,81,35,0,1,221,334
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,48,Sydenham,Merged with No. 89,,,,,,,61
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,49,Owen Sound,6,64,52,44,2,0,168,461
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,50,Owen Sound,14,107,73,29,3,2,228,410
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,51,Owen Sound,8,108,114,31,3,1,265,490
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,52,Owen Sound,9,96,85,51,4,1,246,418
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,53,Owen Sound,Void,,,,,,,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,54,Owen Sound,7,54,47,27,4,1,140,304
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,55,Owen Sound,7,60,66,23,2,0,158,316
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,56,Owen Sound,7,109,64,39,6,1,226,378
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,57,Owen Sound,8,76,67,42,2,1,196,450
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,58,Owen Sound,9,87,36,42,8,0,182,351
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,59,Owen Sound,12,76,67,40,8,1,204,371
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,60,Owen Sound,5,84,36,39,1,1,166,350
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,61,Owen Sound,8,92,93,27,5,2,227,444
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,62,Owen Sound,15,80,59,58,2,2,216,428
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,63,Owen Sound,12,124,80,42,7,0,265,454
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,64,Owen Sound,10,67,29,25,2,1,134,398
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,65,Owen Sound,7,120,56,22,1,1,207,312
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,66,Owen Sound,8,146,75,31,5,0,265,409
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,67,Owen Sound,10,111,108,27,3,1,260,403
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,68,Owen Sound,25,146,78,44,5,0,298,500
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,69,Owen Sound,9,70,68,56,2,1,206,461
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,70,Owen Sound,7,98,94,38,4,1,242,478
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,71,Owen Sound,4,120,92,39,2,0,257,546
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,72,Owen Sound,11,114,100,44,2,3,274,456
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,73,Owen Sound,5,41,54,21,3,1,125,246
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,74,Owen Sound,6,51,58,32,2,0,149,437
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,75,Owen Sound,7,62,53,34,4,1,161,362
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,76,Owen Sound,8,77,42,45,0,0,172,395
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,77,Owen Sound,6,74,68,36,2,0,186,483
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,78,Owen Sound,5,67,67,29,2,0,170,337
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,79,Owen Sound,10,82,84,30,2,2,210,392
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,80,Owen Sound,12,114,95,42,0,0,263,500
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,81,Owen Sound,5,91,86,41,7,1,231,425
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,82,Owen Sound,16,99,41,42,1,0,199,406
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,83,Owen Sound,19,108,74,52,6,3,262,485
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,84,Owen Sound,9,95,107,40,7,0,258,453
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,85,Owen Sound,23,107,65,52,4,6,257,447
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,86,Owen Sound,14,139,106,28,5,1,293,451
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,87,Owen Sound,13,139,95,32,5,2,286,470
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,88,Owen Sound,Void,,,,,,,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,89,Sydenham,7,76,95,22,0,0,200,236
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,90A,St. Vincent,7,73,81,18,2,0,181,289
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,90B,St. Vincent,13,59,87,21,0,0,180,300
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,91,St. Vincent,10,64,120,29,8,1,232,378
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,92,Meaford,4,98,84,18,2,0,206,420
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,93,Meaford,12,91,73,33,1,0,210,439
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,94,Meaford,7,86,75,40,5,0,213,393
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,95,Meaford,11,134,79,31,1,1,257,460
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,96,Meaford,9,114,106,28,3,1,261,434
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,97,Meaford,7,97,91,27,3,1,226,372
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,98,Meaford,9,65,49,41,2,0,166,383
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,99,Meaford,16,68,75,36,2,0,197,382
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,100,Meaford,16,126,110,24,6,0,282,501
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,101,Sydenham,19,93,149,37,0,1,299,484
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,102,St. Vincent,23,124,161,35,4,0,347,491
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,103,St. Vincent,15,83,127,25,5,1,256,395
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,104,Rocklyn,8,47,107,31,2,2,197,291
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,105,South Bruce Peninsula,9,84,29,37,2,0,161,227
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,106,South Bruce Peninsula,9,144,140,40,6,1,340,470
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,107,South Bruce Peninsula,3,70,148,37,9,2,269,500
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,108,Elsinore,9,61,109,15,13,0,207,322
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,109,Invermay,2,68,89,35,6,0,200,326
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,110A,Tara,4,49,86,31,2,0,172,330
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,110B,Tara,3,48,81,33,3,0,168,340
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,111,Tara,2,49,113,31,1,2,198,332
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,112,Arranvale,7,37,94,18,6,1,163,301
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,113,Kilsyth,5,57,146,26,9,3,246,369
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,114,Desboro,8,73,179,36,11,0,307,462
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,115,Dobbinton,3,58,114,15,2,2,194,344
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,116,Paisley,13,106,71,49,4,1,244,359
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,117,Paisley,11,80,114,63,5,2,275,504
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,118,Scone,5,39,86,14,1,0,145,287
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,119,Chesley,4,98,98,24,7,0,231,379
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,120A,Chesley,4,36,63,22,3,0,128,292
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,120B,Chesley,6,41,55,24,10,1,137,295
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,121,Chesley,2,64,106,38,5,0,215,438
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,122,Chesley,5,86,84,19,6,1,201,309
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,123,Peabody,6,45,98,17,11,1,178,325
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,124,Kinghurst,12,44,94,27,1,0,178,340
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,125,Hemstock Mills,5,49,142,34,6,0,236,336
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,126A,Chatsworth,15,75,155,40,9,1,295,504
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,126B,Chatsworth,19,86,144,31,5,1,286,265
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,127,Holland,Merged with No. 126B,,,,,,,267
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,128,Williamsford,16,76,142,29,4,0,267,491
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,129,Holland Centre,16,58,140,50,7,1,272,463
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,130,Massie,15,70,125,28,8,3,249,401
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,131,Berkeley,22,68,119,44,6,1,260,427
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,132,Wodehouse,8,101,170,26,2,0,307,453
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,133,Kimberley,13,72,75,27,0,0,187,246
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,134,Hanover,5,57,82,38,5,1,188,387
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,135,Hanover,1,101,64,16,7,2,191,306
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,136,Hanover,3,90,121,34,9,2,259,560
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,137,Hanover,4,55,69,20,9,0,157,319
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,138,Hanover,5,62,52,14,5,2,140,305
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,139,Hanover,4,131,111,32,8,1,287,541
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,140,Hanover,5,76,66,27,5,0,179,366
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,141,Hanover,12,88,73,29,8,2,212,418
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,142,Hanover,3,71,66,17,7,0,164,371
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,143,Hanover,5,58,63,15,6,0,147,338
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,144,Hanover,3,138,108,16,10,0,275,503
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,145,Hanover,4,50,44,31,12,1,142,342
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,146,Hanover,1,95,80,20,8,0,204,348
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,147,Hanover,1,77,60,12,7,2,159,277
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,148,Elmwood,7,39,93,17,8,0,164,305
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,149,Louise,18,73,191,28,5,1,316,443
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,150A,Bentinck,4,37,79,23,16,1,160,284
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,150B,Bentinck,2,40,75,14,5,0,136,290
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,151,Allan Park,11,53,89,14,2,0,169,333
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,152,Aberdeen,16,95,114,27,8,0,260,460
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,153,Bentinck,3,63,106,22,4,1,199,324
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,154,Durham,9,73,68,17,2,2,171,344
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,155A,Durham,6,50,85,20,2,2,165,371
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,155B,Durham,17,27,60,18,1,1,124,335
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,156,Durham,12,66,85,21,5,1,190,402
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,157,Durham,12,79,89,30,4,1,215,258
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,158,Durham,Merged with No. 157,,,,,,,156
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,159,Durham,12,83,138,30,0,3,266,553
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,160,Glenelg,10,43,103,22,3,0,181,377
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,161,Glenelg Centre,9,53,83,12,3,0,160,272
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,162,Lauriston,11,85,116,32,8,0,252,405
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,163,Lauriston,9,73,103,19,3,0,207,346
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,164,Markdale,19,78,112,31,4,1,245,408
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,165,Markdale,9,78,98,24,6,0,215,356
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,166,Markdale,13,66,79,28,3,0,189,322
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,167A,Flesherton,8,59,78,22,9,1,177,388
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,167B,Flesherton,10,53,81,21,2,0,167,364
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,168,Flesherton,22,71,79,40,7,1,220,346
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,169,Flesherton,7,62,60,22,1,1,153,297
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,170,Flesherton,15,83,134,25,7,0,264,509
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,171,Flesherton,16,89,141,39,5,0,290,550
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,172,Flesherton,9,82,114,29,2,1,237,530
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,173,Maxwell,17,70,120,28,10,0,245,469
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,174,Maxwell,12,72,129,31,7,1,252,483
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,175,Maxwell,5,70,108,15,3,0,201,397
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,176,Maxwell,6,45,69,17,4,1,142,272
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,177A,Neustadt,10,59,90,22,5,0,186,373
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,177B,Neustadt,Merged with No. 178,,,,,,,139
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,178,Moltke,6,70,110,29,12,0,227,242
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,179,Ayton,5,70,106,33,0,2,216,412
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,180,Hampden,14,97,144,38,15,0,308,547
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,181,Alsfeldt,5,68,95,18,4,0,190,287
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,182,Nenagh,4,74,110,19,5,1,213,404
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,183,Egremont,16,41,78,17,2,1,155,223
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,184,Egremont,9,84,116,22,9,0,240,357
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,185,Egremont,9,82,70,8,0,0,169,292
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,186,Egremont,17,87,107,20,8,0,239,485
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,187,Egremont,5,33,26,10,5,0,79,192
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,188,Proton,10,52,121,27,0,0,210,434
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,189,Proton,11,55,89,18,5,0,178,346
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,190,Proton,14,34,89,21,4,1,163,368
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,191,Dundalk,11,22,63,16,4,1,117,277
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,192,Dundalk,8,23,64,15,2,0,112,242
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,193A,Dundalk,7,56,98,25,2,1,189,378
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,193B,Dundalk,3,49,87,22,3,1,165,358
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,194,Dundalk,12,25,59,11,1,2,110,243
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,195,Proton,11,72,102,32,10,1,228,488
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,500,Mobile poll/Bureau itinérant,1,20,26,0,3,0,50,154
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,501,Mobile poll/Bureau itinérant,1,14,23,5,2,1,46,65
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,502,Mobile poll/Bureau itinérant,0,18,16,3,1,5,43,78
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,503,Mobile poll/Bureau itinérant,0,13,6,3,1,5,28,31
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,504,Mobile poll/Bureau itinérant,1,50,41,12,1,3,108,142
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,505,Mobile poll/Bureau itinérant,4,47,32,6,0,3,92,232
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,506,Mobile poll/Bureau itinérant,0,36,27,5,0,3,71,179
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,507,Mobile poll/Bureau itinérant,2,11,7,2,3,0,25,80
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,508,Mobile poll/Bureau itinérant,0,18,13,5,2,12,50,130
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,509,Mobile poll/Bureau itinérant,3,37,40,15,0,3,98,119
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,600,North Bruce Peninsula,1,39,51,7,0,0,98,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,601,South Bruce Peninsula,14,86,101,12,4,1,218,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,602,Wiarton,12,147,189,43,5,0,396,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,603,Sauble Beach North,8,86,127,27,1,0,249,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,604,Bayview,15,158,253,62,8,3,499,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,605,Owen Sound,21,284,257,80,9,1,652,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,606,Owen Sound,23,220,239,64,3,5,554,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,607,Meaford,12,231,234,49,8,2,536,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,608,Tara,3,71,172,28,2,0,276,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,609,Chesley,6,84,125,26,8,0,249,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,610,Holland Centre,20,103,191,49,3,2,368,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,611,Hanover,10,203,205,36,7,2,463,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,612,West Grey,24,189,318,54,8,2,595,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,613,Flesherton,21,175,233,41,9,1,480,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,614,Ayton,9,53,58,17,6,1,144,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,615,Dundalk,13,70,138,24,4,0,249,
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,,Group 1/Groupe 1,9,26,37,10,2,0,84,204
Grey--Bruce--Owen Sound/Grey--Bruce--Owen Sound,,Group 2/Groupe 2,22,318,353,112,8,8,821,
