District,Poll Number,Poll Name,Romeo De La Pena,Russ Hiebert,Judy Higginbotham,H. Pummy Kaur,Pat Taylor,Rejected Ballots,Total Vote,Electors
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,1,Surrey,15,128,118,39,0,0,300,489
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,2,Surrey,17,123,115,47,2,0,304,504
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,3A,Surrey,14,68,62,43,2,0,189,334
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,3B,Mobile poll/Bureau itinérant,Merged with No. 502B,,,,,,,14
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,4,Surrey,12,92,46,47,0,1,198,347
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,5,Surrey,18,128,81,62,1,3,293,460
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,6,Surrey,15,68,46,36,2,2,169,306
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,7,Surrey,16,112,52,48,2,0,230,409
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,8,Surrey,19,115,80,48,2,0,264,399
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,9,Surrey,24,111,87,57,2,0,281,462
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,10A,Surrey,3,74,55,36,0,0,168,284
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,10B,Surrey,8,61,46,22,2,1,140,208
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,11A,Surrey,9,104,56,25,1,0,195,299
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,11B,Surrey,12,86,86,31,2,2,219,311
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,11C,Surrey,5,52,39,17,1,0,114,189
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,12A,Surrey,8,70,66,31,0,0,175,278
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,12B,Surrey,6,70,29,33,2,0,140,228
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,13,Surrey,14,138,82,51,2,1,288,489
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,14,Surrey,18,108,75,55,1,0,257,438
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,15,Surrey,11,68,34,34,2,1,150,300
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,16A,Surrey,8,64,36,40,2,1,151,290
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,16B,Surrey,17,72,39,20,0,1,149,273
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,17,Surrey,9,76,62,37,5,0,189,316
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,18,Surrey,8,77,62,21,2,0,170,290
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,19A,Surrey,8,106,97,38,0,1,250,457
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,19B,Surrey,11,85,69,21,0,1,187,316
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,20A,Surrey,9,153,85,39,1,2,289,446
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,20B,Surrey,14,119,70,38,1,0,242,384
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,21A,Surrey,13,113,87,37,3,0,253,417
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,21B,Surrey,13,68,51,27,1,0,160,280
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,22,Surrey,16,112,81,69,1,0,279,466
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,23A,Surrey,9,99,55,33,1,0,197,318
South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale,23B,Surrey,14,97,68,29,1,0,209,329
