District,Poll Number,Poll Name,Lawrence MacAulay,Dave MacKinnon,Peter McQuaid,Jeremy Stiles,Rejected Ballots,Total Vote,Electors
Cardigan/Cardigan,1,North Lake,105,20,46,2,3,176,261
Cardigan/Cardigan,2,Bothwell,153,38,60,2,5,258,329
Cardigan/Cardigan,3,Black Pond,107,29,49,2,1,188,272
Cardigan/Cardigan,4,New Zealand,88,15,50,0,1,154,212
Cardigan/Cardigan,5,Souris River,131,37,96,5,2,271,374
Cardigan/Cardigan,6,Souris North,72,14,49,0,1,136,211
Cardigan/Cardigan,7,Souris,79,10,61,3,3,156,269
Cardigan/Cardigan,8,Chepstow,180,32,68,3,2,285,468
Cardigan/Cardigan,9,Souris West,178,33,80,3,0,294,406
Cardigan/Cardigan,10,St. Charles,140,34,75,3,1,253,386
Cardigan/Cardigan,11,Red House,125,30,108,11,1,275,360
Cardigan/Cardigan,12,Farmington,111,7,58,2,2,180,252
Cardigan/Cardigan,13,Poplar Point,165,45,93,4,3,310,414
Cardigan/Cardigan,14,St. Peters North,134,16,74,9,3,236,320
Cardigan/Cardigan,15,St. Peters South,137,17,103,6,2,265,372
Cardigan/Cardigan,16,Green Meadows,100,22,115,5,2,244,327
Cardigan/Cardigan,17,Morell South,156,10,95,9,3,273,367
Cardigan/Cardigan,18,Bristol,133,22,85,7,0,247,326
Cardigan/Cardigan,19,Cherry Hill,145,45,81,8,0,279,406
Cardigan/Cardigan,20,Savage Harbour,152,25,56,9,4,246,322
Cardigan/Cardigan,21,Pisquid,126,25,66,5,0,222,394
Cardigan/Cardigan,22,Fort Augustus,121,19,71,15,0,226,294
Cardigan/Cardigan,23,Tracadie Cross,143,26,53,10,2,234,329
Cardigan/Cardigan,24,Grand Tracadie,181,54,88,18,1,342,494
Cardigan/Cardigan,25,Dunstaffnage,136,21,82,5,3,247,330
Cardigan/Cardigan,26,Lorne Valley,128,16,78,7,2,231,333
Cardigan/Cardigan,27,Glenfanning,161,15,109,12,2,299,395
Cardigan/Cardigan,28,Pooles Corner,140,15,92,9,0,256,333
Cardigan/Cardigan,29,Woodville Mills,171,13,74,3,1,262,367
